train/n_updates,rollout/ep_len_mean,train/policy_objective,train/learning_rate,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/std,time/time_elapsed,train/kl_divergence_loss,train/value_loss,time/total_timesteps
1,30.77,0.06215732917189598,0.0013,-510744.24288557,1573,7.748603820800781e-07,1.0,1.001094937324524,6,0.007492203265428543,38333273171.2,10000
2,25.31,0.03630164638161659,0.0013,-436409.55968231,1573,1.1920928955078125e-07,1.0,0.9971737265586853,12,0.009374639950692654,37977565641.6,20000
3,18.98,0.05141187086701393,0.0013,-326545.59704494,1568,5.960464477539063e-08,1.0,1.0013548135757446,19,0.0076289004646241665,37688726265.6,30000
4,16.92,0.04214558005332947,0.0013,-298836.05456597,1559,0.0,1.0,0.9911470413208008,25,0.005706546828150749,29396912630.4,40000
6,12.3,0.04873266816139221,0.0013,-233851.96480265996,1496,5.960464477539063e-08,1.0,0.9725701212882996,33,0.0051617068238556385,22717180169.6,50000
7,8.68,0.048378244042396545,0.0013,-184858.56373408,1502,-1.1920928955078125e-07,1.0,0.9712265133857727,39,0.004637979436665773,20636428064.0,60000
8,7.99,0.041097261011600494,0.0013,-177599.09805705998,1507,2.384185791015625e-07,1.0,0.9565694332122803,46,0.00550350034609437,18796715905.6,70000
9,8.09,0.03135497123003006,0.0013,-176185.91875602,1508,0.0,1.0,0.9448485970497131,53,0.005344634409993887,17172805400.0,80000
10,6.7,0.051711343228816986,0.0013,-162378.2196561,1510,0.0,1.0,0.9434809684753418,59,0.008361210115253925,17706105024.0,90000
12,5.35,0.047501593828201294,0.0013,-143841.46339056,1484,0.0,1.0,0.9314494132995605,67,0.00516741955652833,14800940411.2,100000
13,5.64,0.02126830443739891,0.0013,-146648.82548739,1486,2.384185791015625e-07,1.0,0.9226364493370056,74,0.005599379073828459,13952298172.8,110000
14,4.59,0.06682782620191574,0.0013,-135696.07032427998,1488,0.0,1.0,0.9177151322364807,80,0.00887073390185833,13623014524.8,120000
15,5.33,0.034798942506313324,0.0013,-145390.49706820998,1489,0.0,1.0,0.9111359715461731,87,0.008030670695006847,12955115766.4,130000
17,4.48,0.035774797201156616,0.0013,-134653.24085754,1470,-2.384185791015625e-07,1.0,0.8918631672859192,95,0.00634728604927659,12317579878.4,140000
18,4.76,0.037475913763046265,0.0013,-137418.10686348003,1472,1.7881393432617188e-07,1.0,0.882948100566864,101,0.008701729588210583,11728208161.6,150000
19,3.59,0.06815960258245468,0.0013,-124855.28029112,1473,2.384185791015625e-07,1.0,0.879350483417511,108,0.006609780713915825,12535432659.2,160000
20,3.81,0.019844267517328262,0.0013,-127135.86459999997,1473,0.0,1.0,0.867985188961029,115,0.005180544685572386,11222427814.4,170000
21,4.16,0.008304663002490997,0.0013,-130756.56645744,1474,0.0,1.0,0.858737051486969,122,0.00616290932521224,11294111281.6,180000
23,3.54,0.06017036363482475,0.0013,-124200.95631105,1463,0.0,1.0,0.844218909740448,129,0.0075379000045359135,11108512380.8,190000
24,3.48,0.01597937010228634,0.0013,-123516.53365510002,1467,-1.1920928955078125e-07,1.0,0.837103545665741,136,0.0078122117556631565,10888729526.4,200000
25,3.29,0.05341917276382446,0.0013,-121622.41318828001,1469,-1.1920928955078125e-07,1.0,0.8305330872535706,142,0.009819812141358852,10914687473.6,210000
26,3.85,0.012268705293536186,0.0013,-127076.42339032,1469,0.0,1.0,0.8270823955535889,149,0.0074138157069683075,10874520769.6,220000
28,3.17,0.05066043138504028,0.0013,-120530.58811117001,1459,0.0,1.0,0.8180285096168518,157,0.00498443515971303,10749414632.0,230000
29,3.13,0.017773015424609184,0.0013,-120008.91422317,1460,0.0,1.0,0.8162222504615784,164,0.00803709402680397,10645729363.2,240000
30,3.32,0.02062801830470562,0.0013,-122664.96299465,1459,0.0,1.0,0.8124485015869141,171,0.005712225567549467,10602770676.8,250000
31,3.28,0.0090763159096241,0.0013,-121416.20059698998,1460,0.0,1.0,0.8105742931365967,178,0.00963840913027525,10584291347.2,260000
32,3.18,0.06360307335853577,0.0013,-120390.42661265,1460,5.960464477539063e-08,1.0,0.8044805526733398,184,0.00842170137912035,10741741382.4,270000
34,3.14,0.036407701671123505,0.0013,-119986.59657537,1451,1.1920928955078125e-07,1.0,0.7958561778068542,192,0.008630577474832535,10478537489.6,280000
35,3.07,0.024097714573144913,0.0013,-119220.94189477,1451,5.960464477539063e-08,1.0,0.7926037311553955,199,0.009923085570335388,10466629696.0,290000
36,3.09,0.012440914288163185,0.0013,-119375.87769747997,1451,-1.1920928955078125e-07,1.0,0.7891859412193298,206,0.005156226921826601,10403840220.8,300000
37,3.1,0.021791711449623108,0.0013,-119421.29197371,1452,0.0,1.0,0.7865447998046875,213,0.005402417853474617,10415226675.2,310000
39,3.11,0.028449811041355133,0.0013,-119457.6244698,1444,0.0,1.0,0.7787160277366638,221,0.006025085691362619,10356589387.2,320000
40,3.01,0.03485884144902229,0.0013,-118486.63735252999,1444,0.0,1.0,0.7749623656272888,228,0.00912801269441843,10311474884.8,330000
41,3.0,0.03187901899218559,0.0013,-118312.08879374001,1444,0.0,1.0,0.7646405100822449,235,0.008349234238266945,10291436388.8,340000
42,3.01,0.023552987724542618,0.0013,-118389.96789654001,1445,-1.1920928955078125e-07,1.0,0.751598060131073,242,0.009730798192322254,10253872275.2,350000
43,3.03,0.021190080791711807,0.0013,-118537.40836594999,1445,0.0,1.0,0.7495379447937012,248,0.006124990060925484,10236976689.6,360000
45,3.01,0.019290219992399216,0.0013,-118320.72234908998,1438,1.1920928955078125e-07,1.0,0.7483117580413818,257,0.003076456254348159,10317371113.6,370000
46,3.06,0.03032798320055008,0.0013,-118812.77056689998,1439,5.960464477539063e-08,1.0,0.7447088360786438,263,0.0060638985596597195,10233538731.2,380000
47,3.03,0.010769822634756565,0.0013,-118505.34821996998,1440,0.0,1.0,0.7445352673530579,270,0.005674684885889292,10213976120.0,390000
48,3.03,0.023742133751511574,0.0013,-118510.58650151,1441,-1.1920928955078125e-07,1.0,0.7448945045471191,277,0.005890615284442902,10180944955.2,400000
50,3.0,0.00943443551659584,0.0013,-118234.01499155002,1434,0.0,1.0,0.7439906597137451,285,0.0035680895671248436,10161245432.0,410000
51,3.11,0.03158637881278992,0.0013,-119208.22437716999,1435,0.0,1.0,0.7419878840446472,292,0.008416040800511837,10160964504.0,420000
52,3.05,0.012731966562569141,0.0013,-118657.39474702001,1436,0.0,1.0,0.7411112785339355,299,0.0059509738348424435,10150831440.0,430000
53,3.02,0.01685601845383644,0.0013,-118345.75307159997,1436,-1.1920928955078125e-07,1.0,0.739132821559906,306,0.007206401322036982,10147786376.0,440000
54,3.0,0.02315673977136612,0.0013,-118158.83726957999,1437,5.960464477539063e-08,1.0,0.7390572428703308,313,0.005421091336756945,10120592729.6,450000
56,3.06,0.02871980331838131,0.0013,-118776.42230091,1431,0.0,1.0,0.7355841994285583,321,0.009766844101250172,10095814240.0,460000
57,3.02,0.03972911834716797,0.0013,-118364.66744136,1432,0.0,1.0,0.7368285655975342,328,0.007448290940374136,10082690100.8,470000
58,3.04,0.014043979346752167,0.0013,-118618.91217492,1432,0.0,1.0,0.7369372248649597,335,0.008899223059415817,10070869283.2,480000
59,3.02,0.0170944444835186,0.0013,-118328.81629787,1432,0.0,1.0,0.7326991558074951,342,0.009322413243353367,10073835104.0,490000
61,3.0,0.042218487709760666,0.0013,-118111.93511930003,1427,0.0,1.0,0.7295448184013367,350,0.008275122381746769,10029010545.6,500000
62,3.01,0.029244890436530113,0.0013,-118215.96408711,1427,-2.384185791015625e-07,1.0,0.7310423254966736,357,0.008884940296411514,10013883745.6,510000
63,3.0,0.03025151789188385,0.0013,-118106.14067159001,1426,1.1920928955078125e-07,1.0,0.7272195219993591,364,0.009325996972620487,10002947915.2,520000
64,3.0,0.02080976776778698,0.0013,-118086.48049154998,1426,0.0,1.0,0.7248782515525818,371,0.009482360444962978,9988474667.2,530000
65,3.0,0.028388798236846924,0.0013,-118087.73431847,1426,0.0,1.0,0.7233815789222717,378,0.007550629321485758,9971055920.0,540000
