train/value_loss,train/std,time/time_elapsed,train/entropy_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,time/fps,train/policy_loss,train/learning_rate
5622145536.0,1.0001628398895264,6,-21.285938262939453,10000,124,42.26,-702634.4430018598,-9.5367431640625e-06,1526,-1473353.0,0.0001
7735029760.0,1.0003635883331299,12,-21.28946304321289,20000,249,36.14,-595733.36266191,-1.9073486328125e-06,1542,-1738481.625,0.0001
6370118144.0,1.0002121925354004,19,-21.287818908691406,30000,374,41.28,-673448.23962783,1.1920928955078125e-06,1546,-1618341.375,0.0001
10516470784.0,1.0002819299697876,25,-21.288333892822266,40000,499,41.48,-677315.2541469501,-3.2186508178710938e-06,1542,-2041851.625,0.0001
6714432512.0,1.0001717805862427,32,-21.286781311035156,50000,624,35.99,-594824.6399212601,-1.1920928955078125e-07,1547,-1654009.875,0.0001
9878804480.0,0.9999710321426392,38,-21.28371810913086,60000,749,46.33,-755390.3952850403,1.0132789611816406e-06,1547,-2045079.25,0.0001
7485793792.0,1.0001276731491089,45,-21.286008834838867,70000,874,39.09,-633606.20164006,2.980232238769531e-07,1541,-1713501.0,0.0001
7986579968.0,1.0002468824386597,51,-21.287851333618164,80000,999,40.81,-664311.80644494,-8.344650268554688e-07,1540,-1747696.625,0.0001
6967792640.0,1.0003584623336792,58,-21.289318084716797,90000,1124,43.86,-714323.8892105999,1.7881393432617188e-07,1540,-1661053.875,0.0001
5656034816.0,1.0002610683441162,64,-21.288454055786133,100000,1249,35.18,-573739.9328114699,0.0,1541,-1537112.75,0.0001
7475843072.0,0.999975323677063,71,-21.28337287902832,110000,1374,45.44,-726536.6795761199,-2.384185791015625e-07,1540,-1742650.25,0.0001
5785101312.0,0.9996469020843506,77,-21.278806686401367,120000,1499,42.15,-678631.7682020902,5.960464477539063e-08,1542,-1509928.375,0.0001
6766881792.0,0.9991766214370728,84,-21.271324157714844,130000,1624,34.93,-564687.44533861,0.0,1545,-1578869.0,0.0001
6670172160.0,0.9986879825592041,90,-21.2637939453125,140000,1749,32.95,-541391.67094708,5.960464477539063e-08,1547,-1604640.25,0.0001
7218058240.0,0.998731255531311,96,-21.2652587890625,150000,1874,31.73,-509301.58285696997,1.1920928955078125e-07,1548,-1715266.0,0.0001
5238784000.0,0.9984527826309204,103,-21.26114273071289,160000,1999,34.11,-548829.4932981501,1.7881393432617188e-07,1549,-1461211.375,0.0001
5124562944.0,0.9983286261558533,109,-21.259193420410156,170000,2124,36.96,-585172.5017398599,2.384185791015625e-07,1550,-1413275.25,0.0001
8547904000.0,0.9979686141014099,115,-21.25318717956543,180000,2249,37.74,-605535.7594250799,0.0,1552,-1755268.75,0.0001
7511264256.0,0.9983894228935242,122,-21.259462356567383,190000,2374,33.52,-532177.8457764699,1.7881393432617188e-07,1552,-1719758.75,0.0001
7667189248.0,0.9985218048095703,128,-21.262147903442383,200000,2499,34.48,-537346.01025934,0.0,1552,-1749972.0,0.0001
8776650752.0,0.9985195398330688,135,-21.261512756347656,210000,2624,33.76,-535816.5822684601,0.0,1550,-1798279.0,0.0001
5781527552.0,0.9987452030181885,142,-21.264780044555664,220000,2749,32.16,-506503.99804225995,0.0,1548,-1514614.0,0.0001
6521450496.0,0.9986416697502136,148,-21.26331901550293,230000,2874,33.08,-525688.18680435,0.0,1546,-1604749.875,0.0001
5566528000.0,0.9988701939582825,155,-21.266895294189453,240000,2999,30.06,-480366.68461886,1.7881393432617188e-07,1544,-1488340.625,0.0001
5984710656.0,0.9983586072921753,161,-21.259029388427734,250000,3124,34.06,-534971.3033402199,5.960464477539063e-08,1543,-1520208.0,0.0001
6534671360.0,0.9985648989677429,168,-21.262746810913086,260000,3249,33.02,-519124.99256567995,0.0,1543,-1669979.5,0.0001
7005399552.0,0.9987001419067383,174,-21.263954162597656,270000,3374,32.68,-519821.048424,1.7881393432617188e-07,1543,-1621981.25,0.0001
7333381632.0,0.998587965965271,181,-21.262636184692383,280000,3499,37.08,-577833.0924799999,5.960464477539063e-08,1543,-1707795.375,0.0001
9432107008.0,0.9983985424041748,187,-21.260082244873047,290000,3624,38.45,-603083.55603423,0.0,1543,-1952113.375,0.0001
7646549504.0,0.9984697103500366,194,-21.260316848754883,300000,3749,34.19,-531646.6321475201,1.1920928955078125e-07,1543,-1655407.75,0.0001
5971733504.0,0.9987624883651733,200,-21.265792846679688,310000,3874,31.98,-505154.07972693,-1.1920928955078125e-07,1543,-1550737.25,0.0001
7055713792.0,0.9986215233802795,207,-21.263084411621094,320000,3999,27.05,-437864.90871161997,-1.1920928955078125e-07,1543,-1696680.625,0.0001
7039177728.0,0.9985266923904419,213,-21.261655807495117,330000,4124,34.57,-547826.5196063599,1.1920928955078125e-07,1543,-1652407.375,0.0001
6993444864.0,0.99815833568573,220,-21.256067276000977,340000,4249,33.12,-514680.49103205005,0.0,1542,-1702548.375,0.0001
6736989184.0,0.9979707598686218,226,-21.253236770629883,350000,4374,29.07,-459156.76673187,-1.1920928955078125e-07,1542,-1594807.0,0.0001
7124772352.0,0.997721791267395,233,-21.25008773803711,360000,4499,32.57,-509800.13692697993,-1.1920928955078125e-07,1542,-1700990.25,0.0001
6039385088.0,0.9978008270263672,239,-21.249801635742188,370000,4624,30.98,-484901.84561471996,-1.1920928955078125e-07,1542,-1465952.125,0.0001
6661127168.0,0.9974136352539062,246,-21.24498176574707,380000,4749,29.45,-464137.71247875,-1.1920928955078125e-07,1542,-1640224.25,0.0001
6355245056.0,0.997018575668335,252,-21.23874282836914,390000,4874,32.1,-510912.50193353,0.0,1542,-1572177.375,0.0001
8386442240.0,0.9967161417007446,259,-21.234189987182617,400000,4999,27.01,-429081.59341195005,0.0,1542,-1823282.625,0.0001
5962109440.0,0.9969895482063293,265,-21.237796783447266,410000,5124,32.82,-501093.25422547996,-1.1920928955078125e-07,1542,-1493858.25,0.0001
6498698752.0,0.9974976778030396,272,-21.245779037475586,420000,5249,26.74,-422442.32092706993,0.0,1542,-1575911.125,0.0001
7910808064.0,0.997515857219696,278,-21.24669075012207,430000,5374,30.18,-474777.6675244201,0.0,1541,-1798149.375,0.0001
7532410368.0,0.9973027110099792,285,-21.24221420288086,440000,5499,30.02,-469258.94633565,0.0,1541,-1632152.375,0.0001
6336649216.0,0.9970186948776245,291,-21.23956298828125,450000,5624,29.68,-463308.6596718999,-1.1920928955078125e-07,1541,-1589445.75,0.0001
8193463296.0,0.9967020750045776,298,-21.234214782714844,460000,5749,30.55,-477733.66334003006,0.0,1541,-1848777.625,0.0001
7434137600.0,0.9963932633399963,304,-21.230064392089844,470000,5874,34.17,-532288.7518784,0.0,1541,-1722980.375,0.0001
6601695744.0,0.9966377019882202,311,-21.233139038085938,480000,5999,35.53,-542864.16339872,0.0,1541,-1591960.625,0.0001
5720831488.0,0.9970729351043701,317,-21.240415573120117,490000,6124,32.93,-507267.18439177005,0.0,1541,-1550298.75,0.0001
5556224000.0,0.9973982572555542,324,-21.244338989257812,500000,6249,33.56,-507084.92844825,0.0,1541,-1468056.875,0.0001
6345846272.0,0.997302234172821,330,-21.243053436279297,510000,6374,31.15,-478650.49745448993,0.0,1541,-1587115.75,0.0001
5475996672.0,0.997879683971405,337,-21.251718521118164,520000,6499,32.48,-496247.01364034996,1.1920928955078125e-07,1540,-1484556.75,0.0001
5912741888.0,0.9977942705154419,343,-21.25107192993164,530000,6624,29.11,-451277.81431147,0.0,1541,-1551778.0,0.0001
6949884928.0,0.997870147228241,350,-21.250795364379883,540000,6749,33.76,-512212.5320355601,0.0,1540,-1597484.5,0.0001
7637767168.0,0.9980149865150452,356,-21.253982543945312,550000,6874,27.87,-435718.42939880997,0.0,1541,-1757441.0,0.0001
5673851904.0,0.9977572560310364,363,-21.24891471862793,560000,6999,28.52,-439343.51280172,2.384185791015625e-07,1541,-1411167.0,0.0001
7331963904.0,0.9982700943946838,369,-21.257131576538086,570000,7124,30.51,-473931.61945113004,0.0,1542,-1671821.5,0.0001
6947430400.0,0.9982238411903381,375,-21.256898880004883,580000,7249,31.02,-479627.9774416201,1.7881393432617188e-07,1542,-1672305.5,0.0001
7443868672.0,0.997863233089447,382,-21.25100326538086,590000,7374,30.44,-468930.7755771901,0.0,1542,-1685758.75,0.0001
5866888192.0,0.9974931478500366,389,-21.245887756347656,600000,7499,37.38,-566448.64176484,1.7881393432617188e-07,1541,-1510238.75,0.0001
7375623168.0,0.9968772530555725,395,-21.236330032348633,610000,7624,27.66,-423887.0158870699,5.960464477539063e-08,1541,-1704971.625,0.0001
7712037888.0,0.9967390894889832,402,-21.234569549560547,620000,7749,28.91,-445786.17151539,-1.1920928955078125e-07,1540,-1787430.0,0.0001
6532482048.0,0.9968003034591675,409,-21.235179901123047,630000,7874,31.37,-474179.3974063099,1.1920928955078125e-07,1540,-1591202.375,0.0001
6746093568.0,0.9968317747116089,415,-21.235496520996094,640000,7999,30.25,-467535.91791881004,-1.1920928955078125e-07,1539,-1613866.75,0.0001
5549296128.0,0.996721625328064,422,-21.234535217285156,650000,8124,24.63,-390703.74064176006,1.1920928955078125e-07,1539,-1532101.0,0.0001
6909578240.0,0.9968952536582947,428,-21.237049102783203,660000,8249,28.64,-440693.90024257003,-2.384185791015625e-07,1539,-1698139.0,0.0001
6984800768.0,0.996802031993866,435,-21.235048294067383,670000,8374,31.99,-485747.6596856001,-1.1920928955078125e-07,1538,-1624643.625,0.0001
6801746432.0,0.9969984292984009,441,-21.23845100402832,680000,8499,27.44,-417265.62774256995,1.7881393432617188e-07,1538,-1683324.75,0.0001
7320519680.0,0.9968836903572083,448,-21.235950469970703,690000,8624,25.96,-401874.7919410001,-1.1920928955078125e-07,1538,-1630658.875,0.0001
5566788608.0,0.9969889521598816,454,-21.23823356628418,700000,8749,27.97,-421817.92787333,-1.1920928955078125e-07,1538,-1484046.375,0.0001
9468889088.0,0.9965966939926147,461,-21.23240089416504,710000,8874,31.86,-484346.07754458,-1.1920928955078125e-07,1538,-1972163.25,0.0001
5541814272.0,0.9965333938598633,468,-21.231704711914062,720000,8999,31.95,-486851.0181265201,-1.1920928955078125e-07,1538,-1519926.75,0.0001
4882373632.0,0.9967253804206848,474,-21.233604431152344,730000,9124,26.59,-414399.1613078599,-1.1920928955078125e-07,1538,-1336042.625,0.0001
6059744256.0,0.9966444373130798,481,-21.233280181884766,740000,9249,36.28,-534762.16453268,0.0,1538,-1582987.75,0.0001
7044615168.0,0.9963148236274719,487,-21.22824478149414,750000,9374,29.3,-447684.3032176399,0.0,1538,-1685736.625,0.0001
5745302528.0,0.9965580701828003,494,-21.23141860961914,760000,9499,32.63,-488700.97092187003,0.0,1537,-1494757.25,0.0001
6927220736.0,0.9967528581619263,500,-21.234582901000977,770000,9624,28.34,-436458.00508102,0.0,1537,-1693354.375,0.0001
5359656960.0,0.9968996644020081,507,-21.23670768737793,780000,9749,29.06,-438189.01285315,0.0,1537,-1433989.75,0.0001
5964059648.0,0.9972798824310303,513,-21.242713928222656,790000,9874,28.66,-437109.61312942003,0.0,1537,-1545566.875,0.0001
6444499968.0,0.9967502355575562,520,-21.234241485595703,800000,9999,27.32,-416724.26528478996,0.0,1537,-1602054.25,0.0001
6008448000.0,0.9969614148139954,526,-21.237144470214844,810000,10124,25.32,-386004.01354355,0.0,1537,-1497258.125,0.0001
7238695936.0,0.997204601764679,533,-21.241077423095703,820000,10249,31.38,-471317.59833836,0.0,1537,-1689135.375,0.0001
7694181888.0,0.9975911974906921,539,-21.24728775024414,830000,10374,35.87,-533156.68351522,0.0,1537,-1807280.75,0.0001
6759627776.0,0.9970477819442749,546,-21.238815307617188,840000,10499,29.28,-446233.9185879399,0.0,1537,-1578248.75,0.0001
7635401728.0,0.9971399307250977,553,-21.24025535583496,850000,10624,30.49,-454931.35491551994,1.7881393432617188e-07,1536,-1731415.75,0.0001
8185779200.0,0.9969196319580078,559,-21.236900329589844,860000,10749,30.04,-445033.88481629005,0.0,1536,-1878824.625,0.0001
4780404736.0,0.9970525503158569,566,-21.239194869995117,870000,10874,34.16,-513358.41524482996,1.1920928955078125e-07,1536,-1399704.5,0.0001
6984839168.0,0.9973077774047852,572,-21.24272346496582,880000,10999,34.37,-506921.77303813,0.0,1536,-1671815.25,0.0001
6038951936.0,0.997020959854126,579,-21.23823356628418,890000,11124,29.1,-431954.6300204498,1.1920928955078125e-07,1536,-1552345.125,0.0001
6273637888.0,0.9975608587265015,585,-21.246387481689453,900000,11249,31.23,-472472.35191985994,1.1920928955078125e-07,1536,-1563041.625,0.0001
7135118848.0,0.9976890087127686,592,-21.248117446899414,910000,11374,31.09,-471100.29085166997,5.960464477539063e-08,1535,-1683076.375,0.0001
7188705280.0,0.9975398182868958,599,-21.246131896972656,920000,11499,30.13,-451179.05231509,-1.1920928955078125e-07,1535,-1699507.25,0.0001
6344657408.0,0.9975407123565674,605,-21.24598503112793,930000,11624,35.93,-535719.87879851,-1.1920928955078125e-07,1535,-1557961.0,0.0001
5443714048.0,0.9972223043441772,612,-21.24148941040039,940000,11749,33.5,-494282.60570545995,0.0,1534,-1238487.375,0.0001
5274945024.0,0.9973630309104919,619,-21.243724822998047,950000,11874,31.65,-473348.23482114,-2.384185791015625e-07,1534,-1497739.5,0.0001
5800683008.0,0.9975259304046631,625,-21.245738983154297,960000,11999,32.92,-491304.33798191004,-2.384185791015625e-07,1533,-1516007.5,0.0001
5598743040.0,0.9982679486274719,632,-21.257139205932617,970000,12124,27.45,-414825.4220705,-1.1920928955078125e-07,1533,-1493385.25,0.0001
5776548864.0,0.9983097314834595,639,-21.256906509399414,980000,12249,30.59,-456181.24541976,0.0,1532,-1465157.25,0.0001
5465753088.0,0.9989939332008362,646,-21.267637252807617,990000,12374,30.01,-442606.26954834996,1.1920928955078125e-07,1532,-1468397.125,0.0001
6307460096.0,0.9987859725952148,652,-21.264890670776367,1000000,12499,30.9,-462647.02071891003,0.0,1531,-1605637.75,0.0001
