rollout/ep_len_mean,train/entropy_loss,train/std,train/n_updates,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,time/fps,train/policy_loss,time/time_elapsed
55.58,-21.285354614257812,1.0001264810562134,124,17818859520.0,10000,-1390815.6374381802,0.0001,-1.5497207641601562e-06,1601,-2629504.25,6
47.15,-21.290769577026367,1.0004582405090332,249,18477598720.0,20000,-1185356.57594404,0.0001,-3.5762786865234375e-07,1615,-2719727.25,12
66.15,-21.289011001586914,1.0002944469451904,374,16160000000.0,30000,-1640905.8803549898,0.0001,7.748603820800781e-07,1620,-2585127.0,18
47.58,-21.28981590270996,1.000376582145691,499,23674179584.0,40000,-1191237.3238890201,0.0001,-4.76837158203125e-07,1619,-3087643.75,24
52.42,-21.290138244628906,1.0003890991210938,624,17644701696.0,50000,-1312136.23252573,0.0001,2.384185791015625e-07,1622,-2681103.5,30
46.3,-21.287227630615234,1.0002022981643677,749,17814362112.0,60000,-1172938.29641205,0.0001,-2.384185791015625e-07,1621,-2715860.0,36
57.55,-21.2886962890625,1.0003068447113037,874,16314079232.0,70000,-1428501.6106420201,0.0001,-1.1920928955078125e-07,1622,-2551070.5,43
61.5,-21.291990280151367,1.0005244016647339,999,20277334016.0,80000,-1528751.3070754104,0.0001,-1.1920928955078125e-07,1623,-2869010.5,49
45.45,-21.29316520690918,1.0006182193756104,1124,19290845184.0,90000,-1134549.0352769,0.0001,1.1920928955078125e-07,1624,-2739632.5,55
58.22,-21.293212890625,1.0005813837051392,1249,16899917824.0,100000,-1442130.4820796503,0.0001,0.0,1625,-2654742.5,61
49.66,-21.288124084472656,1.0003046989440918,1374,15830149120.0,110000,-1231304.06401932,0.0001,0.0,1627,-2479309.0,67
46.06,-21.283981323242188,0.9999992847442627,1499,17486876672.0,120000,-1147007.30758035,0.0001,0.0,1628,-2645500.0,73
50.47,-21.278366088867188,0.9996435046195984,1624,17726171136.0,130000,-1253918.5591062498,0.0001,-1.1920928955078125e-07,1629,-2627116.5,79
57.08,-21.271432876586914,0.9991976618766785,1749,16824128512.0,140000,-1423312.6652933196,0.0001,0.0,1630,-2559854.75,85
53.1,-21.271778106689453,0.9991633296012878,1874,18146992128.0,150000,-1304127.22437386,0.0001,0.0,1632,-2677546.0,91
49.13,-21.26839828491211,0.9989284873008728,1999,15312680960.0,160000,-1210083.52424291,0.0001,-1.1920928955078125e-07,1632,-2539695.5,97
53.01,-21.267454147338867,0.9988809823989868,2124,14231066624.0,170000,-1309195.4639419299,0.0001,-1.1920928955078125e-07,1633,-2435003.0,104
53.26,-21.263011932373047,0.9986216425895691,2249,16701941760.0,180000,-1302541.17746211,0.0001,-2.384185791015625e-07,1633,-2545242.25,110
56.46,-21.2701416015625,0.9991037845611572,2374,17960163328.0,190000,-1383378.6110588997,0.0001,-1.1920928955078125e-07,1634,-2598278.75,116
56.47,-21.273719787597656,0.9992898106575012,2499,19411957760.0,200000,-1366607.6134556597,0.0001,0.0,1634,-2821929.75,122
57.82,-21.273765563964844,0.9993301630020142,2624,20806213632.0,210000,-1424013.26387675,0.0001,0.0,1634,-2886459.0,128
56.74,-21.27878761291504,0.9996748566627502,2749,17754789888.0,220000,-1374222.5341717699,0.0001,-1.1920928955078125e-07,1635,-2664669.0,134
50.93,-21.27779769897461,0.9996089935302734,2874,19574575104.0,230000,-1250339.70367621,0.0001,0.0,1635,-2777648.75,140
51.95,-21.282936096191406,0.9999305605888367,2999,14774435840.0,240000,-1276440.44351987,0.0001,-1.1920928955078125e-07,1635,-2458177.5,146
48.0,-21.27645492553711,0.9995172619819641,3124,16143050752.0,250000,-1178716.2054886,0.0001,-1.1920928955078125e-07,1636,-2553234.0,152
49.37,-21.280275344848633,0.9997361898422241,3249,17608585216.0,260000,-1194838.56587434,0.0001,-2.384185791015625e-07,1635,-2704996.5,158
50.75,-21.28310775756836,0.9999704360961914,3374,14235126784.0,270000,-1244737.28049248,0.0001,-1.1920928955078125e-07,1635,-2337202.75,165
50.03,-21.28285026550293,0.9999278783798218,3499,16721556480.0,280000,-1221711.5352885397,0.0001,-1.1920928955078125e-07,1635,-2612493.25,171
56.58,-21.280786514282227,0.9997830986976624,3624,15919601664.0,290000,-1379779.09515254,0.0001,-1.1920928955078125e-07,1635,-2534715.75,177
53.73,-21.282217025756836,0.9999192953109741,3749,18634248192.0,300000,-1303767.92053662,0.0001,-2.384185791015625e-07,1635,-2693109.25,183
51.08,-21.286340713500977,1.0001238584518433,3874,16858906624.0,310000,-1248605.6701078399,0.0001,-1.1920928955078125e-07,1635,-2698119.0,189
50.36,-21.283811569213867,0.9999991059303284,3999,16876044288.0,320000,-1226582.4984046302,0.0001,-1.1920928955078125e-07,1635,-2599603.25,195
50.4,-21.282278060913086,0.9999135136604309,4124,17314359296.0,330000,-1229416.35971325,0.0001,0.0,1635,-2600479.5,201
44.54,-21.27833366394043,0.9996477365493774,4249,16101419008.0,340000,-1094920.2721609601,0.0001,-1.1920928955078125e-07,1636,-2522032.75,207
57.68,-21.277284622192383,0.9995678067207336,4374,14660837376.0,350000,-1394286.65722106,0.0001,-2.384185791015625e-07,1636,-2453446.0,213
50.6,-21.27383804321289,0.9993000626564026,4499,16605218816.0,360000,-1231058.17506275,0.0001,-2.384185791015625e-07,1635,-2635848.75,220
43.61,-21.27231788635254,0.9993064999580383,4624,14710084608.0,370000,-1074363.43914417,0.0001,0.0,1636,-2337603.25,226
50.39,-21.26915168762207,0.9990272521972656,4749,18566987776.0,380000,-1222465.3462058601,0.0001,0.0,1636,-2728509.75,232
52.15,-21.264297485351562,0.9987151622772217,4874,16475681792.0,390000,-1269828.0629048701,0.0001,-1.1920928955078125e-07,1636,-2588414.5,238
43.35,-21.261672973632812,0.9985492825508118,4999,16880424960.0,400000,-1054723.6276894598,0.0001,0.0,1636,-2594500.5,244
47.22,-21.266111373901367,0.9988753199577332,5124,13773594624.0,410000,-1146103.8687675497,0.0001,-1.1920928955078125e-07,1635,-2307344.75,250
40.04,-21.274364471435547,0.9994003772735596,5249,12999395328.0,420000,-978714.3249723001,0.0001,-1.1920928955078125e-07,1635,-2259577.25,256
46.35,-21.274831771850586,0.9993916749954224,5374,19969251328.0,430000,-1124357.68876048,0.0001,-1.1920928955078125e-07,1635,-2917665.25,262
39.43,-21.269968032836914,0.9991471767425537,5499,15557151744.0,440000,-965661.87585584,0.0001,0.0,1635,-2428293.5,268
45.54,-21.267845153808594,0.9988992810249329,5624,17249880064.0,450000,-1122674.2815470102,0.0001,0.0,1635,-2678263.75,275
46.56,-21.264076232910156,0.9987017512321472,5749,14772623360.0,460000,-1131171.03747099,0.0001,0.0,1635,-2435870.25,281
46.81,-21.259811401367188,0.9983691573143005,5874,17519972352.0,470000,-1150941.53696581,0.0001,0.0,1636,-2709079.0,287
40.74,-21.264795303344727,0.9987390041351318,5999,17576407040.0,480000,-991077.01778119,0.0001,-1.1920928955078125e-07,1636,-2638245.5,293
42.49,-21.272531509399414,0.9991990327835083,6124,15623992320.0,490000,-1039965.81531373,0.0001,0.0,1637,-2599063.75,299
50.53,-21.27684211730957,0.9995608925819397,6249,18387025920.0,500000,-1222606.18907434,0.0001,0.0,1637,-2670023.75,305
52.93,-21.275026321411133,0.9994275569915771,6374,15113458688.0,510000,-1272327.41924236,0.0001,0.0,1637,-2479014.0,311
43.96,-21.284927368164062,1.0000789165496826,6499,14957502464.0,520000,-1067784.77407967,0.0001,-1.1920928955078125e-07,1638,-2449900.5,317
51.85,-21.283985137939453,0.99997878074646,6624,15218120704.0,530000,-1242139.8019243004,0.0001,5.960464477539063e-08,1638,-2541343.75,323
49.39,-21.283084869384766,1.0000152587890625,6749,18033502208.0,540000,-1194646.7431551898,0.0001,0.0,1639,-2593186.0,329
40.77,-21.288145065307617,1.0003074407577515,6874,15476585472.0,550000,-997789.9523305398,0.0001,0.0,1639,-2479867.75,335
43.23,-21.282407760620117,0.999993085861206,6999,18233862144.0,560000,-1043321.8206092401,0.0001,0.0,1639,-2551925.25,341
39.34,-21.29117202758789,1.0005357265472412,7124,17149499392.0,570000,-960527.4653929502,0.0001,0.0,1640,-2567947.5,347
46.36,-21.29118537902832,1.0005091428756714,7249,16673876992.0,580000,-1127920.1881932798,0.0001,1.7881393432617188e-07,1641,-2602150.5,353
38.57,-21.286428451538086,1.0002189874649048,7374,17641224192.0,590000,-950254.9976385097,0.0001,0.0,1641,-2628950.5,359
33.06,-21.28264045715332,0.9999096989631653,7499,17187483648.0,600000,-815802.5686074902,0.0001,0.0,1641,-2697742.5,365
39.8,-21.27553939819336,0.9994852542877197,7624,18360635392.0,610000,-972462.5397272301,0.0001,0.0,1642,-2747802.5,371
39.84,-21.274133682250977,0.9993846416473389,7749,16015669248.0,620000,-971255.0741843,0.0001,0.0,1642,-2506076.75,377
34.96,-21.27622413635254,0.9995265603065491,7874,13856109568.0,630000,-854741.5985272097,0.0001,5.960464477539063e-08,1642,-2350077.5,383
43.43,-21.276609420776367,0.9995536804199219,7999,16437031936.0,640000,-1039175.27550443,0.0001,1.1920928955078125e-07,1642,-2538536.0,389
37.59,-21.275413513183594,0.9994398355484009,8124,17880494080.0,650000,-917744.82406572,0.0001,0.0,1643,-2710616.75,395
31.26,-21.277271270751953,0.9995676279067993,8249,17661118464.0,660000,-771776.8054301701,0.0001,0.0,1642,-2736598.75,401
37.88,-21.27577781677246,0.9995033144950867,8374,17332332544.0,670000,-918015.6091481299,0.0001,5.960464477539063e-08,1643,-2618232.0,407
40.87,-21.27878189086914,0.9996646046638489,8499,16062649344.0,680000,-995361.4685293501,0.0001,5.960464477539063e-08,1643,-2595305.25,413
35.86,-21.276878356933594,0.9995973110198975,8624,15505995776.0,690000,-864838.9145864098,0.0001,0.0,1643,-2420237.0,419
37.4,-21.27817153930664,0.9996352791786194,8749,15188967424.0,700000,-903322.74561764,0.0001,0.0,1643,-2480799.25,425
39.29,-21.27485466003418,0.9994221329689026,8874,17759285248.0,710000,-949055.2007405598,0.0001,1.1920928955078125e-07,1643,-2650876.5,431
31.94,-21.275339126586914,0.9994299411773682,8999,15586981888.0,720000,-783363.0119560501,0.0001,1.7881393432617188e-07,1644,-2544882.0,437
43.02,-21.27958869934082,0.9997727870941162,9124,13713328128.0,730000,-1038447.4351054701,0.0001,1.7881393432617188e-07,1644,-2309205.75,443
43.55,-21.278284072875977,0.9996272325515747,9249,15442569216.0,740000,-1037133.7624444298,0.0001,2.384185791015625e-07,1644,-2531993.0,449
29.61,-21.27462387084961,0.9993793964385986,9374,13003622400.0,750000,-730191.51328166,0.0001,1.7881393432617188e-07,1644,-2326921.75,456
34.44,-21.279956817626953,0.9997771382331848,9499,16537857024.0,760000,-831715.21913756,0.0001,5.960464477539063e-08,1644,-2574866.25,462
38.35,-21.283824920654297,1.0000135898590088,9624,14893318144.0,770000,-923199.88496329,0.0001,5.960464477539063e-08,1644,-2459338.0,468
36.28,-21.287830352783203,1.0002858638763428,9749,15035984896.0,780000,-882233.00785201,0.0001,0.0,1644,-2424734.25,474
39.47,-21.294933319091797,1.0007452964782715,9874,15032793088.0,790000,-960254.4698261501,0.0001,1.7881393432617188e-07,1645,-2484426.75,480
37.89,-21.287498474121094,1.0002731084823608,9999,17915885568.0,800000,-912982.41528625,0.0001,0.0,1645,-2680894.0,486
30.83,-21.29139518737793,1.000557541847229,10124,17318748160.0,810000,-749470.1790602301,0.0001,-2.384185791015625e-07,1645,-2566904.5,492
32.77,-21.297252655029297,1.0009307861328125,10249,16652728320.0,820000,-794090.6264844501,0.0001,1.7881393432617188e-07,1645,-2611863.25,498
36.08,-21.302871704101562,1.001278281211853,10374,15972526080.0,830000,-878188.4823251601,0.0001,-1.1920928955078125e-07,1645,-2579202.5,504
34.47,-21.296104431152344,1.0008506774902344,10499,16325425152.0,840000,-835036.8259677599,0.0001,0.0,1645,-2555922.25,510
30.58,-21.29861831665039,1.0010080337524414,10624,17761234944.0,850000,-745908.87292161,0.0001,-2.384185791015625e-07,1645,-2653235.5,516
35.44,-21.29677963256836,1.0008950233459473,10749,14695248896.0,860000,-850562.3663238198,0.0001,-1.1920928955078125e-07,1645,-2437416.0,522
36.6,-21.29933738708496,1.0010442733764648,10874,14547053568.0,870000,-885081.77753727,0.0001,-1.1920928955078125e-07,1645,-2473307.5,528
