rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/iterations,train/delta_std,train/step_size,rollout/return_std,train/learning_rate
-25079932.6722445,506.5,10000,1756,5,,,,,
-33376161.670897335,671.0,20000,1757,11,,,,,
-35089931.9748056,703.9,30000,1742,17,,,,,
-34681979.875366464,696.0,40000,1733,23,,,,,
-193288.941115,7.0,50000,1727,28,0,0.05,1.0118503257494638e-11,22236490.0,0.0018
-25030592.01470875,503.5,60000,1725,34,,,,,
-35694352.137174,716.2857142857143,70000,1722,40,,,,,
-38857746.662948556,779.3333333333334,80000,1720,46,,,,,
,,90000,1718,52,1,0.05,9.070433640290254e-12,24805870.0,0.0018
-20177614.4819812,407.6,100000,1717,58,,,,,
-21035876.814756416,424.9166666666667,110000,1716,64,,,,,
-227226.9896855,9.0,120000,1716,69,2,0.05,8.865345957342896e-12,25379720.0,0.0018
-30052539.885852396,603.6,130000,1715,75,,,,,
-31349057.5548825,631.0,140000,1714,81,,,,,
-30871113.095286768,620.6923076923077,150000,1714,87,,,,,
-49937450.890103,1000.0,160000,1714,93,3,0.05,8.847660451505313e-12,25430452.0,0.0018
-22434604.458906885,452.44444444444446,170000,1713,99,,,,,
-27424400.99808609,552.0,180000,1713,105,,,,,
-32252890.36420914,648.0,190000,1712,110,,,,,
-25178395.0,510.0,200000,1712,116,4,0.05,9.066137597601998e-12,24817624.0,0.0018
-33493852.847937834,672.1666666666666,210000,1712,122,,,,,
-30135192.6193919,605.3,220000,1712,128,,,,,
-30881051.641022,620.6153846153846,230000,1711,134,,,,,
-25241875.9264755,510.5,240000,1711,140,5,0.05,9.066454184636363e-12,24816758.0,0.0018
-21547978.437332716,435.7142857142857,250000,1711,146,,,,,
-21533437.783106714,434.42857142857144,260000,1710,151,,,,,
,,270000,1710,157,6,0.05,8.763468249683992e-12,25674766.0,0.0018
-30032523.647024203,604.2,280000,1710,163,,,,,
-20955475.126395497,423.5833333333333,290000,1710,169,,,,,
-26771078.070085466,538.8666666666667,300000,1710,175,,,,,
-50112490.0,1000.0,310000,1709,181,7,0.05,8.839310360053698e-12,25454474.0,0.0018
-29074950.756617147,585.1428571428571,320000,1709,187,,,,,
-33672673.94602999,677.3333333333334,330000,1709,193,,,,,
-37743957.03117041,758.0,340000,1709,198,,,,,
-39489525.05618457,792.5714285714286,350000,1709,204,,,,,
-25262054.189651,509.75,360000,1709,210,8,0.05,1.023824081070046e-11,21976432.0,0.0018
-28986286.328808855,585.0,370000,1708,216,,,,,
-20413836.81112127,414.8,380000,1708,222,,,,,
-19792579.2105736,405.6,390000,1708,228,9,0.05,8.917353834514419e-12,25231700.0,0.0018
-14433233.467649,295.0,400000,1708,234,,,,,
-24931462.4523095,503.0,410000,1707,240,10,0.05,9.093384031877427e-12,24743262.0,0.0018
-29954404.600814402,605.4,420000,1707,245,,,,,
-37436632.7398715,753.375,430000,1707,251,,,,,
-36383929.632137,731.6363636363636,440000,1707,257,,,,,
-36673127.3910964,737.0666666666667,450000,1707,263,,,,,
-25023031.594698,505.0,460000,1707,269,11,0.05,1.0164776138854581e-11,22135264.0,0.0018
-22421960.933509223,452.22222222222223,470000,1707,275,,,,,
-27272546.79871991,551.8181818181819,480000,1707,281,,,,,
-32136918.779108215,647.8571428571429,490000,1707,286,,,,,
-25357096.642426,510.5,500000,1707,292,12,0.05,9.100354150803902e-12,24724312.0,0.0018
-40127442.8324972,804.2,510000,1707,298,,,,,
-42969437.02895401,860.1428571428571,520000,1707,304,,,,,
-34731219.47989516,695.9230769230769,530000,1707,310,,,,,
,,540000,1707,316,13,0.05,9.48106610582089e-12,23731508.0,0.0018
-49919165.64679,1000.0,550000,1707,322,,,,,
-50026510.163162395,1000.0,560000,1707,327,,,,,
-36470722.645343095,730.5454545454545,570000,1707,333,,,,,
,,580000,1707,339,14,0.05,9.051735923304438e-12,24857110.0,0.0018
-37443893.45554175,751.75,590000,1707,345,,,,,
-41317455.48462567,834.5,600000,1707,351,,,,,
-36183157.14612027,729.7272727272727,610000,1707,357,,,,,
,,620000,1707,363,15,0.05,9.092344065153579e-12,24746092.0,0.0018
-49825300.8972805,1000.0,630000,1707,368,,,,,
-35759648.71454571,717.5714285714286,640000,1707,374,,,,,
-35067844.9601044,703.8,650000,1707,380,,,,,
-33469945.866674867,672.3333333333334,660000,1707,386,,,,,
-49967181.668685,1000.0,670000,1707,392,16,0.05,9.491547305062742e-12,23705302.0,0.0018
-28672489.15760257,575.7142857142857,680000,1707,398,,,,,
-27398063.110348728,551.0909090909091,690000,1707,404,,,,,
