time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,train/iterations,train/learning_rate,train/delta_std,train/step_size
1725,5,-33377408.31234533,670.0,10000,,,,,
1725,11,-39976046.459666,802.0,20000,,,,,
1726,17,-31906078.635279905,641.7272727272727,30000,,,,,
1725,23,-34588221.74366407,696.8461538461538,40000,,,,,
1724,28,,,50000,22094672.0,0,0.0018,0.05,1.0183450437073471e-11
1726,34,-25173575.528460998,506.0,60000,,,,,
1726,40,-35809569.43548914,717.7142857142857,70000,,,,,
1727,46,-38963101.68076978,780.4444444444445,80000,,,,,
1726,52,,,90000,24796688.0,1,0.0018,0.05,9.073792064939745e-12
1726,57,-49955430.9005145,1000.0,100000,,,,,
1726,63,-49797880.6724294,1000.0,110000,,,,,
1726,69,-43695847.435208246,877.375,120000,,,,,
1726,75,-41673891.64549025,836.9166666666666,130000,,,,,
1726,81,-42867210.414853215,860.2142857142857,140000,,,,,
1727,86,-33429296.09680767,670.6666666666666,150000,19952238.0,2,0.0018,0.05,1.1276930778070238e-11
1727,92,-39761695.03187899,802.4,160000,,,,,
1727,98,-43541972.5490945,876.5,170000,,,,,
1727,104,-44800676.0274805,901.2,180000,,,,,
1727,109,-45999442.34469424,924.0,190000,,,,,
1727,115,,,200000,16935820.0,3,0.0018,0.05,1.3285449997069154e-11
1727,121,-37545752.1518385,753.75,210000,,,,,
1728,127,-41687735.61316834,835.8333333333334,220000,,,,,
1728,133,-44432204.677873775,890.5555555555555,230000,,,,,
1728,138,-41698941.31829925,835.6666666666666,240000,,,,,
1728,144,-234600.179685,9.0,250000,20022794.0,4,0.0018,0.05,1.1237192600044299e-11
1728,150,-33451379.124727327,669.6666666666666,260000,,,,,
1728,156,-41689414.221942,834.8333333333334,270000,,,,,
1728,161,-43778041.60201075,876.125,280000,,,,,
1728,167,-41683830.317827664,835.6666666666666,290000,,,,,
1728,173,-42866597.99934136,859.1428571428571,300000,,,,,
1728,179,-50104929.726569,1000.0,310000,16930798.0,5,0.0018,0.05,1.3289391288806573e-11
1728,185,-25386687.424589332,511.5,320000,,,,,
1728,190,-30283491.3011324,609.4,330000,,,,,
1728,196,-33548830.997807503,674.5,340000,,,,,
1728,202,-36832308.38226841,739.6,350000,,,,,
1728,208,-50036247.833786,1000.0,360000,21998578.0,6,0.0018,0.05,1.0227933951167945e-11
1728,214,-49897077.0048905,1000.0,370000,,,,,
1729,219,-49939284.5824955,1000.0,380000,,,,,
1729,225,-49970021.778652556,1000.0,390000,,,,,
1728,231,-49966959.852030545,1000.0,400000,,,,,
1728,237,-49992530.40478029,1000.0,410000,,,,,
1728,242,,,420000,194757.71875,7,0.0018,0.05,1.155281537101871e-09
1728,248,-49923602.30363333,1000.0,430000,,,,,
1729,254,-49982093.122832194,1000.0,440000,,,,,
1728,260,-50009102.570578754,1000.0,450000,,,,,
1729,266,-49974485.5667619,1000.0,460000,,,,,
1729,271,-46547827.19956321,932.2857142857143,470000,,,,,
1729,277,,,480000,12007107.0,8,0.0018,0.05,1.873890105585918e-11
1729,283,-49745856.239757,1000.0,490000,,,,,
1729,289,-49835947.841576,1000.0,500000,,,,,
1728,294,-49871239.492351376,1000.0,510000,,,,,
1728,300,-49890213.848162696,1000.0,520000,,,,,
1728,306,-49919847.33628069,1000.0,530000,,,,,
1729,312,-49930132.11295374,1000.0,540000,,,,,
1729,318,-49794070.302193,1000.0,550000,222286.140625,9,0.0018,0.05,1.0122088722752665e-09
1729,323,-49820740.816968754,1000.0,560000,,,,,
1729,329,-49936602.02189686,1000.0,570000,,,,,
1729,335,-44987549.1768403,900.6,580000,,,,,
1729,341,-46160548.16591415,923.5384615384615,590000,,,,,
1729,346,-46690822.8202568,933.7333333333333,600000,,,,,
1729,352,-33355002.636063,671.0,610000,12468019.0,10,0.0018,0.05,1.804617046075041e-11
1729,358,-28694948.214119855,576.0,620000,,,,,
1729,364,-35085908.504171,703.2,630000,,,,,
1729,370,-37566917.887103416,752.6666666666666,640000,,,,,
1729,375,-40001790.31033394,802.1333333333333,650000,,,,,
1729,381,-25232622.3525315,511.0,660000,20039900.0,11,0.0018,0.05,1.1227601313945623e-11
1729,387,-30188833.8385534,606.8,670000,,,,,
1729,393,-37640373.72156724,754.25,680000,,,,,
1729,398,-40086450.47483079,803.4,690000,,,,,
1729,404,-39317235.94347521,788.8571428571429,700000,,,,,
1729,410,,,710000,19982346.0,12,0.0018,0.05,1.1259939161623045e-11
1729,416,-50125002.16675367,1000.0,720000,,,,,
1729,422,-35894362.127453715,718.4285714285714,730000,,,,,
1729,427,-40109884.9059437,802.9,740000,,,,,
1729,433,-41777994.973461084,835.75,750000,,,,,
1729,439,,,760000,20002996.0,13,0.0018,0.05,1.1248314779610524e-11
1729,445,-50041310.761738,1000.0,770000,,,,,
1729,450,-49754753.6826834,1000.0,780000,,,,,
1729,456,-43626465.94953263,876.0,790000,,,,,
1729,462,-38460843.94791792,772.4615384615385,800000,,,,,
1729,468,-39976550.61787693,802.8,810000,,,,,
1729,474,-49895288.963378996,1000.0,820000,19980090.0,14,0.0018,0.05,1.1261209846569198e-11
1729,479,-49841957.96642975,1000.0,830000,,,,,
1729,485,-43573355.51920125,876.25,840000,,,,,
1729,491,-44859976.8836789,901.0,850000,,,,,
1729,497,-39977041.66853067,803.5333333333333,860000,,,,,
1729,502,-50051865.265921,1000.0,870000,19922016.0,15,0.0018,0.05,1.1294037753628583e-11
1729,508,-39959891.83125959,804.2,880000,,,,,
1729,514,-37529716.774813496,754.5,890000,,,,,
1729,520,-37524432.91509133,753.9166666666666,900000,,,,,
1729,526,-39313456.751300074,789.0714285714286,910000,,,,,
1729,531,-50163086.527082,1000.0,920000,19959448.0,16,0.0018,0.05,1.1272856779986906e-11
1729,537,-37688371.01670775,755.25,930000,,,,,
1729,543,-42857196.19971429,860.1428571428571,940000,,,,,
1729,549,-36507866.082158186,734.5454545454545,950000,,,,,
1729,554,-39397662.44198972,791.4285714285714,960000,,,,,
1729,560,-758820.560751,23.0,970000,19785794.0,17,0.0018,0.05,1.1371794998715767e-11
1729,566,-37743227.0722985,755.75,980000,,,,,
1729,572,-36107389.52619357,725.5714285714286,990000,,,,,
1729,578,-40274241.2091378,807.9,1000000,,,,,
1730,583,-41888825.28356375,839.9166666666666,1010000,,,,,
