time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/return_std,train/delta_std,train/step_size,train/iterations,train/learning_rate
10000,1735,668.3333333333334,-33523739.964936,5,,,,,
20000,1736,801.0,-40166792.4147472,11,,,,,
30000,1735,779.8888888888889,-39019231.37083277,17,,,,,
40000,1734,819.9090909090909,-41038905.26660736,23,,,,,
50000,1734,506.0,-25133445.518055502,28,23783214.0,0.05,9.460454121479334e-12,0,0.0018
60000,1734,340.22222222222223,-16882800.93605878,34,,,,,
70000,1735,505.1666666666667,-25216093.39784875,40,,,,,
80000,1735,538.5333333333333,-26895451.328387268,46,,,,,
90000,1734,1000.0,-50094373.537136495,51,25553234.0,0.05,8.805147583279549e-12,1,0.0018
100000,1734,802.8,-40225101.3772882,57,,,,,
110000,1734,640.8181818181819,-32056574.38722009,63,,,,,
120000,1734,696.0769230769231,-34849109.082102686,69,,,,,
130000,1735,177.33333333333334,-8676286.338808835,74,23817346.0,0.05,9.446895522791099e-12,2,0.0018
140000,1735,341.22222222222223,-16947770.085575223,80,,,,,
150000,1736,505.9166666666667,-25254475.34110567,86,,,,,
160000,1736,538.4666666666667,-26863583.20956673,92,,,,,
170000,1737,1000.0,-50258900.8286995,97,25506922.0,0.05,8.821134794834151e-12,3,0.0018
180000,1737,672.6666666666666,-33716931.819848664,103,,,,,
190000,1737,781.7777777777778,-39226196.65463989,109,,,,,
200000,1737,821.4545454545455,-41210480.52583928,115,,,,,
210000,1738,16.0,-513889.377957,120,22274274.0,0.05,1.0101339036061585e-11,4,0.0018
220000,1738,410.0,-20391134.641240798,126,,,,,
230000,1739,508.4,-25349600.8071066,132,,,,,
240000,1739,545.8461538461538,-27225215.16775677,137,,,,,
250000,1740,1000.0,-50106116.102369,143,25457366.0,0.05,8.838305955161108e-12,5,0.0018
260000,1740,435.0,-21557672.106348287,149,,,,,
270000,1741,560.5555555555555,-27887478.048578337,155,,,,,
280000,1742,670.4166666666666,-33426977.941924673,160,,,,,
290000,1742,670.4666666666667,-33467069.652725805,166,,,,,
300000,1742,673.3333333333334,-33663461.181143336,172,23810344.0,0.05,9.449674549799614e-12,6,0.0018
310000,1742,506.125,-25260567.712071747,177,,,,,
320000,1743,640.8181818181819,-32021886.74873636,183,,,,,
330000,1743,604.2666666666667,-30183687.316894196,189,,,,,
340000,1744,670.0,-33526213.315368664,194,24905030.0,0.05,9.034319299605631e-12,7,0.0018
350000,1744,670.6666666666666,-33527716.622640163,200,,,,,
360000,1744,587.5,-29375536.039157167,206,,,,,
370000,1745,646.4285714285714,-32359977.78530636,212,,,,,
380000,1745,505.0,-25182060.3612685,217,23860916.0,0.05,9.429646299907724e-12,8,0.0018
390000,1746,752.5,-37635858.520982005,223,,,,,
400000,1746,670.2222222222222,-33489606.559362333,229,,,,,
410000,1746,577.1428571428571,-28802023.542075787,234,,,,,
420000,1746,1000.0,-50107699.7831605,240,25512448.0,0.05,8.819223996925363e-12,9,0.0018
430000,1746,668.6666666666666,-33441753.8547375,246,,,,,
440000,1747,543.7692307692307,-27099915.42153184,251,,,,,
450000,1747,1000.0,-50087099.693712,257,25686720.0,0.05,8.75938991479197e-12,10,0.0018
460000,1747,804.4,-40289640.14227541,263,,,,,
470000,1747,671.8888888888889,-33603290.496933,268,,,,,
480000,1747,753.9166666666666,-37741771.36387358,274,,,,,
490000,1748,789.0714285714286,-39507832.948322214,280,,,,,
500000,1748,504.25,-25257511.4409305,285,22248982.0,0.05,1.0112822038110814e-11,11,0.0018
510000,1748,504.875,-25266408.398665126,291,,,,,
520000,1748,588.4166666666666,-29401932.87556525,297,,,,,
530000,1748,12.0,-406162.653631,303,25514544.0,0.05,8.818499749874142e-12,12,0.0018
540000,1748,341.0,-16918244.56991267,308,,,,,
550000,1749,505.6,-25137954.0948093,314,,,,,
560000,1749,588.0,-29325919.279244915,320,,,,,
570000,1749,6.0,-143491.938728,325,24874390.0,0.05,9.045447550704022e-12,13,0.0018
580000,1750,294.85714285714283,-14563954.114186715,331,,,,,
590000,1750,364.14285714285717,-18043531.393435,337,,,,,
600000,1750,,,342,25485114.0,0.05,8.828683444039864e-12,14,0.0018
610000,1750,1000.0,-50040336.30222533,348,,,,,
620000,1750,1000.0,-50066528.0151672,354,,,,,
630000,1751,1000.0,-50071401.00111788,359,,,,,
640000,1751,909.7272727272727,-45574394.10281109,365,,,,,
650000,1751,258.25,-12761871.74575425,371,22245928.0,0.05,1.0114209816891595e-11,15,0.0018
660000,1751,381.875,-19000007.0699955,376,,,,,
670000,1751,505.6666666666667,-25246552.8133805,382,,,,,
680000,1751,538.3333333333334,-26901633.149056334,388,,,,,
690000,1752,405.8,-20192932.8567712,393,25533276.0,0.05,8.812030098670487e-12,16,0.0018
700000,1752,575.5714285714286,-28716191.549801145,399,,,,,
710000,1752,640.0,-31958714.843554724,405,,,,,
720000,1752,646.8571428571429,-32305947.309650928,410,,,,,
730000,1753,507.25,-25300432.739274498,416,24909398.0,0.05,9.032735497072064e-12,17,0.0018
740000,1753,671.5,-33528473.65174167,422,,,,,
750000,1753,703.9,-35171762.7158596,427,,,,,
760000,1753,605.9333333333333,-30230385.346058067,433,,,,,
770000,1753,671.6666666666666,-33461666.802503664,439,24825938.0,0.05,9.0631009641573e-12,18,0.0018
780000,1754,803.0,-40095898.0192034,444,,,,,
790000,1754,876.875,-43852182.028144,450,,,,,
800000,1754,901.5,-45098070.5525982,455,,,,,
