rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/return_std,train/learning_rate,train/iterations,train/step_size
-50126529.0993465,1443,1000.0,10000,6,,,,,
-50104556.8902615,1441,1000.0,20000,13,,,,,
-50062955.95134843,1444,1000.0,30000,20,,,,,
-50089700.97654589,1451,1000.0,40000,27,,,,,
-46212398.44060592,1450,923.9230769230769,50000,34,,,,,
,1448,,60000,41,0.05,16995176.0,0.0018,0,1.3239050480895465e-11
-50152285.188491665,1448,1000.0,70000,48,,,,,
-41800753.75742467,1447,835.0,80000,55,,,,,
-36520353.134311005,1447,730.0,90000,62,,,,,
-38595463.98136108,1447,771.5384615384615,100000,69,,,,,
-25447625.529893,1447,510.0,110000,76,0.05,22264446.0,0.0018,1,1.0105798142756584e-11
-37766305.7771875,1447,755.0,120000,82,,,,,
-37691754.30422537,1447,753.5,130000,89,,,,,
-40184801.9894488,1447,802.8,140000,96,,,,,
-42493132.13779453,1447,848.3076923076923,150000,103,,,,,
-43471138.17921913,1447,868.5333333333333,160000,110,,,,,
-50223970.008964,1447,1000.0,170000,117,0.05,16939466.0,0.0018,2,1.3282591172780744e-11
-50066743.43414025,1447,1000.0,180000,124,,,,,
-50059756.47708215,1448,1000.0,190000,131,,,,,
-50003180.48790833,1448,1000.0,200000,138,,,,,
-46177499.27570577,1448,923.5384615384615,210000,144,,,,,
-46696499.09873087,1448,933.7333333333333,220000,151,,,,,
-33508231.919309672,1448,668.3333333333334,230000,158,0.05,12453046.0,0.0018,3,1.8067868381987928e-11
-40177304.5591812,1448,801.0,240000,165,,,,,
-43913157.34625062,1448,875.625,250000,172,,,,,
-45162952.0861196,1448,900.5,260000,179,,,,,
-43001412.77201786,1448,857.9285714285714,270000,186,,,,,
,1448,,280000,193,0.05,17056032.0,0.0018,4,1.3191813960644616e-11
-37695615.698354,1448,751.75,290000,200,,,,,
-35899292.39568714,1448,716.2857142857143,300000,207,,,,,
-36516711.64389663,1448,729.7272727272727,310000,214,,,,,
-38603074.767576076,1448,771.3076923076923,320000,220,,,,,
-50070770.484798,1448,1000.0,330000,227,0.05,22282240.0,0.0018,5,1.009772820914634e-11
-37688764.27688825,1448,753.5,340000,234,,,,,
-30171131.690477498,1448,604.3,350000,241,,,,,
-30930564.208626688,1448,619.3076923076923,360000,248,,,,,
-16867135.534292,1448,340.0,370000,255,0.05,24887212.0,0.0018,6,9.04078721608581e-12
-25180881.4560415,1448,504.5,380000,262,,,,,
-33517598.852122445,1448,669.6666666666666,390000,269,,,,,
-30955644.475987617,1448,619.0,400000,276,,,,,
,1448,,410000,283,0.05,23854538.0,0.0018,7,9.432167720480056e-12
-49956582.381105,1448,1000.0,420000,289,,,,,
-49979985.79204919,1448,1000.0,430000,296,,,,,
-50032719.282638855,1448,1000.0,440000,303,,,,,
-50035644.9796195,1449,1000.0,450000,310,,,,,
-50005008.61556367,1449,1000.0,460000,317,,,,,
-50009585.63745347,1449,1000.0,470000,324,,,,,
-49677598.46595,1449,1000.0,480000,331,0.05,179936.015625,0.0018,8,1.2504444146799187e-09
