train/n_updates,train/clip_range,rollout/ep_len_mean,train/loss,train/approx_kl,time/time_elapsed,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_rew_mean
10,0.2,23.13,15670141952.0,0.0074931704,12,-21.308643966913223,0.0017,807,2.205371856689453e-06,10000,-0.008594862388781621,0.05118408203125,30318086214.4,1.0031543970108032,-426736.14761817
20,0.2,22.49,11716319232.0,0.0075534973,24,-21.35585574656725,0.0017,816,0.0,20000,-0.007601245439218474,0.04613037109375,26125406390.4,1.0063512325286865,-422076.684179
30,0.2,20.24,12685273088.0,0.007367781,34,-21.40021026134491,0.0017,877,5.960464477539063e-08,30000,-0.008114656119687425,0.0517333984375,26745061974.4,1.009073257446289,-371124.78918101
40,0.2,17.82,13162815488.0,0.00715951,43,-21.444553829729557,0.0017,910,5.960464477539063e-08,40000,-0.007421805253943603,0.04244384765625,24604756867.2,1.012338399887085,-331748.41724791005
60,0.2,17.32,11189020672.0,0.004310271,57,-21.544604137539864,0.0017,869,-1.1920928955078125e-07,50000,-0.003391013356667827,0.01351318359375,22728992897.6,1.0191172361373901,-317585.56161924003
70,0.2,16.42,10970772480.0,0.006553758,68,-21.593921664357186,0.0017,874,1.7881393432617188e-07,60000,-0.006231107856092421,0.03533935546875,21378265017.6,1.0225170850753784,-303728.41508221003
80,0.2,17.65,10815194112.0,0.005667683,80,-21.648767733573912,0.0017,865,5.960464477539063e-08,70000,-0.005235474362780224,0.02568359375,21736014865.6,1.0266238451004028,-324223.16203605
90,0.2,14.79,10932541440.0,0.0032372908,93,-21.702683731913567,0.0017,858,0.0,80000,-0.002169878961467475,0.00394287109375,22097975804.8,1.0299667119979858,-276129.26033372
100,0.2,14.82,12402306048.0,0.004170481,105,-21.760483939945697,0.0017,853,0.0,90000,-0.004282302044157404,0.0078857421875,23070360323.2,1.0345231294631958,-274847.64774899004
120,0.2,16.44,11442619392.0,0.00432132,123,-21.876219195127486,0.0017,812,1.7881393432617188e-07,100000,-0.0033339531806632293,0.01058349609375,23333504744.0,1.0421806573867798,-305071.28161673003
130,0.2,16.79,10788370432.0,0.0044172676,135,-21.93122757524252,0.0017,812,0.0,110000,-0.003923629261589667,0.00938720703125,22871182741.6,1.0459778308868408,-311479.98783922003
140,0.2,13.83,11242880000.0,0.0038304336,147,-21.986375297605992,0.0017,812,0.0,120000,-0.0031582224160956684,0.00841064453125,22399537278.4,1.0498554706573486,-264257.82714113995
