train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef
6051.2255859375,391,38.03,83,2474,0.0064,10000,120,228988.578125,-3.3401403427124023,-1414683.01674879,27.04647445678711
8180.10595703125,600,54.99,175,4974,0.0064,20000,113,297145.84375,-3.8558270931243896,-1532112.49878856,59.125247955322266
8169.29931640625,1076,11.8,271,7474,0.0064,30000,110,281408.0625,0.2978254556655884,-257284.88596577,67.11906433105469
8749.4677734375,2257,6.99,367,9974,0.0064,40000,108,221397.78125,-4.809422016143799,-159137.23546829002,68.94560241699219
6930.6884765625,3116,12.67,465,12474,0.0064,50000,107,201282.359375,3.623368978500366,-246486.16963795002,66.35013580322266
6436.58544921875,4462,7.2,559,14974,0.0064,60000,107,184032.765625,-4.285641193389893,-165583.23172674,61.89917755126953
4529.6328125,6192,4.07,646,17474,0.0064,70000,108,159490.5625,2.5433852672576904,-130441.61336601,60.726314544677734
3343.89013671875,8738,3.11,737,19974,0.0064,80000,108,139180.421875,2.054417610168457,-121023.79501438001,48.94195556640625
2413.1005859375,11885,3.21,824,22474,0.0064,90000,109,130038.6953125,0.4249357283115387,-122069.80559998,32.717132568359375
1208.8140869140625,15117,3.0,910,24974,0.0064,100000,109,114112.75,1.4222419261932373,-120013.81770250999,21.21986198425293
838.654052734375,18449,3.0,993,27474,0.0064,110000,110,110606.25,0.40793585777282715,-119910.78792537999,17.262054443359375
425.6378479003906,21784,3.0,1072,29974,0.0064,120000,111,106864.15625,0.8829094171524048,-119983.22665600998,8.817279815673828
384.8812255859375,25117,3.0,1151,32474,0.0064,130000,112,104654.1484375,-0.6996486186981201,-119669.09425519001,5.6156206130981445
330.0316162109375,27890,4.23,1229,34974,0.0064,140000,113,104532.21875,4.625168800354004,-147456.93259138,17.21225929260254
587.228759765625,30726,3.11,1308,37474,0.0064,150000,114,104206.6875,0.11425980925559998,-117716.85316819997,11.186244010925293
332.70697021484375,33994,3.05,1387,39974,0.0064,160000,115,103718.984375,-8.110920906066895,-117125.81150299,8.943875312805176
301.976806640625,37306,3.01,1466,42474,0.0064,170000,115,102673.984375,-2.0029428005218506,-116724.85108836,8.431936264038086
338.9545593261719,40629,3.15,1547,44974,0.0064,180000,116,102968.34375,-2.016361951828003,-118240.60425867,9.081153869628906
309.7127685546875,43955,3.0,1627,47474,0.0064,190000,116,102725.8515625,0.7212084531784058,-116588.89071099,7.1393046379089355
