train/actor_loss,time/total_timesteps,train/learning_rate,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
264542.46875,10000,0.0064,2474,92,4961.68115234375,47.165916442871094,-9.067541122436523,108,113,95.91,-3582552.2370184194
327380.9375,20000,0.0064,4974,185,4539.68359375,65.0340805053711,3.882596015930176,107,334,39.96,-1106254.2727523001
341403.625,30000,0.0064,7474,280,6253.20654296875,86.09205627441406,-6.554427623748779,107,555,49.48,-1446044.45306667
332212.6875,40000,0.0064,9974,373,5074.009765625,66.00843811035156,1.0165390968322754,107,746,62.2,-1788803.85213989
320682.375,50000,0.0064,12474,467,5787.77392578125,67.84194946289062,-3.697192430496216,106,1207,9.47,-282092.74382361997
316460.125,60000,0.0064,14974,561,6251.1689453125,57.8654899597168,-6.955059051513672,106,1749,12.73,-377589.24354584
319352.34375,70000,0.0064,17474,654,5288.314453125,68.16280364990234,4.1779093742370605,106,2428,11.57,-330863.05300852994
311441.90625,80000,0.0064,19974,748,6086.25634765625,80.41773223876953,0.452006459236145,106,2640,48.5,-1563242.87469147
300128.28125,90000,0.0064,22474,842,7589.82275390625,85.332763671875,4.946550369262695,106,3309,5.06,-179794.75531292998
267764.03125,100000,0.0064,24974,937,8958.4638671875,88.81983184814453,-2.7581498622894287,106,4227,6.87,-242664.53620908
263083.40625,110000,0.0064,27474,1032,8451.921875,76.64849853515625,-3.7745232582092285,106,4465,35.44,-975937.7638005699
246890.03125,120000,0.0064,29974,1127,8084.0712890625,88.83308410644531,4.391499042510986,106,6090,5.6,-201852.84168138998
243044.0625,130000,0.0064,32474,1221,6517.4609375,80.88626098632812,-5.313136577606201,106,7762,5.04,-181228.75316609998
225937.390625,140000,0.0064,34974,1316,4553.6875,74.3910903930664,0.2784571647644043,106,9544,4.03,-160921.71489075
202207.015625,150000,0.0064,37474,1411,4034.20263671875,67.42235565185547,0.9313139915466309,106,11692,4.13,-161975.16761344
174972.59375,160000,0.0064,39974,1507,2997.433349609375,44.84663772583008,-8.016738891601562,106,14095,4.0,-158993.15301225998
152019.453125,170000,0.0064,42474,1602,1808.997802734375,37.72050094604492,1.523559808731079,106,16558,4.0,-158533.08246320003
132131.421875,180000,0.0064,44974,1698,1547.6015625,23.474327087402344,-2.9428300857543945,105,19043,4.0,-158528.27965715
125968.0078125,190000,0.0064,47474,1794,1042.99755859375,18.314720153808594,0.28564226627349854,105,21519,4.0,-158481.26788139
126986.546875,200000,0.0064,49974,1890,681.2239379882812,14.36977481842041,1.309034824371338,105,23927,4.0,-158419.36287424003
122991.359375,210000,0.0064,52474,1986,368.1629638671875,11.233922004699707,5.319366455078125,105,26427,4.0,-158326.89752992
119596.4375,220000,0.0064,54974,2082,192.69876098632812,7.0493669509887695,6.272699356079102,105,28919,4.0,-158331.28964262
121351.75,230000,0.0064,57474,2178,502.7569580078125,8.007039070129395,0.09708243608474731,105,31276,4.02,-158692.94262947998
121148.2578125,240000,0.0064,59974,2274,220.74569702148438,8.21780014038086,0.9117861986160278,105,33687,4.13,-161198.25298534
122376.75,250000,0.0064,62474,2371,271.4449462890625,10.288076400756836,-2.257991313934326,105,36155,4.0,-158295.24424363
126558.6015625,260000,0.0064,64974,2469,563.1461181640625,9.643139839172363,-6.866898536682129,105,38516,4.03,-158903.53194945
125649.265625,270000,0.0064,67474,2567,695.656494140625,11.716985702514648,-4.520199298858643,105,40564,4.88,-179096.37413307
126517.875,280000,0.0064,69974,2666,868.6223754882812,11.918669700622559,-3.7284703254699707,105,43034,4.0,-158319.18491378
125096.625,290000,0.0064,72474,2766,595.6088256835938,10.932884216308594,5.722476482391357,104,45471,4.0,-158334.80176344
129645.421875,300000,0.0064,74974,2866,1144.6436767578125,10.793346405029297,-3.9149293899536133,104,47915,4.0,-158317.52635554
125629.109375,310000,0.0064,77474,2967,576.2653198242188,10.800824165344238,2.6249876022338867,104,50397,4.0,-158292.12292439
132527.359375,320000,0.0064,79974,3068,1358.7425537109375,14.032221794128418,-3.265519380569458,104,52633,4.0,-158315.89615885
130892.890625,330000,0.0064,82474,3169,878.418701171875,11.331195831298828,-0.10748422145843506,104,55065,4.0,-158326.24685998997
123958.234375,340000,0.0064,84974,3269,344.9903259277344,11.0631685256958,5.017298698425293,103,57449,4.0,-158300.39234119997
132372.71875,350000,0.0064,87474,3371,824.5299072265625,13.914042472839355,6.557890892028809,103,59342,4.01,-158524.17015212998
144258.015625,360000,0.0064,89974,3474,1202.5233154296875,15.83892822265625,-7.754087924957275,103,61640,4.13,-160945.57552591
139830.78125,370000,0.0064,92474,3576,1283.2889404296875,14.889324188232422,-8.498668670654297,103,64117,4.0,-158335.10120998998
131336.53125,380000,0.0064,94974,3679,561.2357788085938,15.495794296264648,2.2816052436828613,103,66583,4.0,-158322.02866309
136897.34375,390000,0.0064,97474,3781,1092.978515625,14.470881462097168,-1.7568737268447876,103,68923,5.2,-188059.39981074995
137980.265625,400000,0.0064,99974,3883,967.4710693359375,12.484408378601074,-5.01656436920166,102,71348,4.11,-160679.93361059998
