train/learning_rate,train/std,train/value_loss,train/entropy_loss,time/fps,rollout/ep_len_mean,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/total_timesteps
0.0007,1.020641803741455,106068.3359375,-8.635729789733887,1862,377.875,436.43701171875,-3.2186508178710938e-06,-564023.1577875417,5,499,10000
0.0007,1.01752507686615,16198374.0,-8.62302303314209,1868,267.06849315068496,-11565.8876953125,0.0,-373596.55075758905,10,999,20000
0.0007,1.0370885133743286,45633540.0,-8.73258113861084,1862,152.01,-20782.83203125,1.1920928955078125e-07,-218624.65021984998,16,1499,30000
0.0007,1.0369206666946411,35225332.0,-8.726746559143066,1862,140.09,-24953.087890625,-1.1920928955078125e-07,-199444.12894444,21,1999,40000
0.0007,1.0412734746932983,1945373696.0,-8.751321792602539,1849,113.5,-160519.21875,-1.1920928955078125e-07,-173832.98754145,27,2499,50000
0.0007,1.0530649423599243,20083654.0,-8.818016052246094,1818,136.21,-14356.421875,0.0,-171060.91662782003,32,2999,60000
0.0007,1.0675268173217773,310952.0625,-8.904839515686035,1819,95.7,1727.781005859375,2.384185791015625e-07,-167790.38852861003,38,3499,70000
0.0007,1.0878076553344727,1622009.125,-9.013411521911621,1820,107.38,6344.7255859375,0.0,-169054.71871571,43,3999,80000
0.0007,1.0922266244888306,44745572.0,-9.040352821350098,1816,81.37,-41175.9140625,5.960464477539063e-08,-150118.79016379,49,4499,90000
0.0007,1.106788158416748,50274400.0,-9.11954402923584,1819,96.72,-40018.41015625,0.0,-154058.87353247002,54,4999,100000
0.0007,1.1286965608596802,30568148.0,-9.235154151916504,1820,140.41,-25523.03125,-1.1920928955078125e-07,-192744.47642201002,60,5499,110000
0.0007,1.1270675659179688,25424396.0,-9.224161148071289,1816,183.36,-23150.646484375,1.1920928955078125e-07,-236697.26590483,66,5999,120000
0.0007,1.130957007408142,5620.5107421875,-9.246031761169434,1817,186.2,-585.7369384765625,0.0,-253821.47817651,71,6499,130000
0.0007,1.1277230978012085,35185828.0,-9.224943161010742,1816,140.33,-34816.6875,5.960464477539063e-08,-179197.34862841002,77,6999,140000
0.0007,1.1397300958633423,26556084.0,-9.287707328796387,1815,69.32,-17325.01953125,5.960464477539063e-08,-144252.18579199002,82,7499,150000
0.0007,1.1487605571746826,1463423616.0,-9.33096981048584,1812,99.48,-116056.3125,1.1920928955078125e-07,-138597.58855923,88,7999,160000
0.0007,1.1644134521484375,1931772160.0,-9.405837059020996,1813,92.78,-160511.40625,1.7881393432617188e-07,-142135.91697019,93,8499,170000
0.0007,1.1735115051269531,6544249.5,-9.460328102111816,1806,131.07,11301.544921875,-2.384185791015625e-07,-151697.8326772,99,8999,180000
0.0007,1.180844783782959,5491177.0,-9.495811462402344,1807,101.48,-3340.20947265625,0.0,-164784.02620104,105,9499,190000
0.0007,1.2071561813354492,32088076.0,-9.622450828552246,1807,106.72,-30338.11328125,-1.1920928955078125e-07,-164839.54649002998,110,9999,200000
0.0007,1.223708152770996,20008172.0,-9.707979202270508,1806,163.13,-21391.58203125,0.0,-186405.81472225004,116,10499,210000
0.0007,1.2232006788253784,55217908.0,-9.705665588378906,1806,227.17,-27554.177734375,0.0,-229983.25924725,121,10999,220000
0.0007,1.2326364517211914,20861038.0,-9.751023292541504,1802,290.39,-25096.009765625,0.0,-289829.69874782,127,11499,230000
0.0007,1.2348958253860474,26039698.0,-9.758840560913086,1801,296.45,-17837.333984375,1.1920928955078125e-07,-296670.19947288,133,11999,240000
0.0007,1.2396527528762817,15163725.0,-9.786593437194824,1799,123.93,-15095.947265625,-1.1920928955078125e-07,-146784.29964768,138,12499,250000
0.0007,1.2465343475341797,89476896.0,-9.81768798828125,1798,151.24,-57217.17578125,5.960464477539063e-08,-161218.59442005,144,12999,260000
0.0007,1.2563753128051758,84176960.0,-9.859894752502441,1797,225.03,-48151.8828125,5.960464477539063e-08,-177701.6903893,150,13499,270000
0.0007,1.2658214569091797,2354937856.0,-9.901721000671387,1796,137.64,-242579.875,0.0,-138704.84427228998,155,13999,280000
0.0007,1.2740726470947266,30137676.0,-9.938004493713379,1795,133.32,-14988.279296875,-1.1920928955078125e-07,-138711.31713652003,161,14499,290000
0.0007,1.2772588729858398,3841187840.0,-9.955376625061035,1794,152.52,-412485.03125,1.1920928955078125e-07,-147662.39399442,167,14999,300000
0.0007,1.2900499105453491,2573.193115234375,-10.009889602661133,1794,179.04,-426.02752685546875,0.0,-195574.56654103997,172,15499,310000
0.0007,1.2897920608520508,8941.6708984375,-10.01450252532959,1794,234.66,-611.2369384765625,0.0,-225394.23355524,178,15999,320000
0.0007,1.3010321855545044,15151917.0,-10.068059921264648,1794,77.16,-15205.734375,-1.1920928955078125e-07,-122183.40171807999,183,16499,330000
0.0007,1.3048862218856812,65402900.0,-10.083588600158691,1794,104.09,-34962.55078125,0.0,-153473.50791929,189,16999,340000
0.0007,1.3181875944137573,8293.2041015625,-10.148879051208496,1793,126.47,-823.2506713867188,0.0,-212360.70141735993,195,17499,350000
0.0007,1.3400217294692993,49356824.0,-10.238784790039062,1793,133.66,-52041.93359375,1.7881393432617188e-07,-196519.63173076004,200,17999,360000
0.0007,1.3615318536758423,11607814.0,-10.343127250671387,1793,147.75,-19032.11328125,-2.384185791015625e-07,-241935.42844080002,206,18499,370000
0.0007,1.373371958732605,25755762.0,-10.387017250061035,1793,117.23,-19420.140625,0.0,-172650.12063271002,211,18999,380000
0.0007,1.3845795392990112,2257.5927734375,-10.440221786499023,1793,89.04,-456.2462463378906,-1.1920928955078125e-07,-126104.7399783,217,19499,390000
0.0007,1.396398901939392,2223.570068359375,-10.488500595092773,1787,90.53,-446.3858947753906,0.0,-127593.9762573,223,19999,400000
0.0007,1.3990387916564941,1714035968.0,-10.50521183013916,1787,105.56,-231486.546875,0.0,-137601.52519358002,229,20499,410000
0.0007,1.3906965255737305,2156.18701171875,-10.471527099609375,1786,154.68,-443.84857177734375,-1.1920928955078125e-07,-159627.59708500002,235,20999,420000
0.0007,1.4124716520309448,61876736.0,-10.563165664672852,1786,157.54,-40214.70703125,5.960464477539063e-08,-159143.45272184,240,21499,430000
0.0007,1.4149446487426758,25444044.0,-10.568864822387695,1786,168.59,-16385.0703125,0.0,-194296.76565297,246,21999,440000
0.0007,1.4182590246200562,10295638.0,-10.582831382751465,1785,70.79,-13748.3486328125,-2.384185791015625e-07,-125668.1322733,252,22499,450000
0.0007,1.421453595161438,619427968.0,-10.593927383422852,1784,100.23,-199034.859375,-1.1920928955078125e-07,-217148.64266643004,257,22999,460000
0.0007,1.4248801469802856,5159601.5,-10.60577392578125,1784,180.46,-4759.33642578125,0.0,-505802.56613987,263,23499,470000
0.0007,1.4296183586120605,981885760.0,-10.617974281311035,1784,81.56,-112476.671875,0.0,-118921.27381031,269,23999,480000
0.0007,1.414352297782898,29015.625,-10.560813903808594,1784,89.5,593.9813232421875,-1.1920928955078125e-07,-137200.85955591,274,24499,490000
0.0007,1.4121456146240234,41514.12890625,-10.55640983581543,1783,157.59,746.7013549804688,-2.384185791015625e-07,-137232.79397767998,280,24999,500000
