time/time_elapsed,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_loss,train/std,time/total_timesteps,train/n_updates,train/value_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
5,3.5762786865234375e-07,0.0007,-8.668606758117676,-25562.0,1.0262168645858765,10000,499,29667882.0,1741,154.75409836065575,-323907.0695978197
11,0.0,0.0007,-8.673172950744629,-204618.671875,1.0276364088058472,20000,999,2606064640.0,1754,81.3,-183133.56155155998
17,0.0,0.0007,-8.729774475097656,1506.364990234375,1.0373523235321045,30000,1499,503301.15625,1755,76.4,-162077.83867306
22,-1.1920928955078125e-07,0.0007,-8.793607711791992,-5850.0673828125,1.0484741926193237,40000,1999,13620998.0,1748,106.36,-198055.52530915
28,5.960464477539063e-08,0.0007,-8.801573753356934,-465.1019592285156,1.0502344369888306,50000,2499,3879.49609375,1744,84.47,-151936.92154188
34,0.0,0.0007,-8.869222640991211,-5269.861328125,1.062285304069519,60000,2999,10433443.0,1739,70.55,-150113.24437249
40,5.960464477539063e-08,0.0007,-8.947997093200684,-83996.921875,1.0761198997497559,70000,3499,1000384128.0,1735,81.05,-155376.79661899
46,0.0,0.0007,-8.985749244689941,2053.39599609375,1.0831035375595093,80000,3999,360532.0,1732,105.29,-205987.18853056998
52,0.0,0.0007,-9.043927192687988,-47472.203125,1.0933078527450562,90000,4499,78740000.0,1730,134.0,-275314.3975752
57,-1.1920928955078125e-07,0.0007,-9.048271179199219,-69780.4140625,1.0941601991653442,100000,4999,105144344.0,1730,73.76,-143194.47626909
63,0.0,0.0007,-9.076460838317871,-31362.91796875,1.0995384454727173,110000,5499,40027072.0,1728,70.11,-142922.60268098002
69,0.0,0.0007,-9.069718360900879,-15091.2314453125,1.0971721410751343,120000,5999,38879256.0,1726,57.58,-145279.61883330002
75,0.0,0.0007,-9.098701477050781,-14859.548828125,1.1033369302749634,130000,6499,15185330.0,1728,49.96,-119474.73736090999
81,-2.384185791015625e-07,0.0007,-9.051088333129883,-16166.458984375,1.09503972530365,140000,6999,20034402.0,1727,78.85,-145974.18160239
86,2.384185791015625e-07,0.0007,-9.069808006286621,2350.2587890625,1.0978165864944458,150000,7499,282993.21875,1726,71.15,-152002.02706669
92,-1.1920928955078125e-07,0.0007,-9.105040550231934,-96579.125,1.1037975549697876,160000,7999,987369280.0,1725,91.32,-134551.67162401
98,-1.1920928955078125e-07,0.0007,-9.120316505432129,-376289.0625,1.1067769527435303,170000,8499,3857491200.0,1724,95.77,-158970.94436624995
104,0.0,0.0007,-9.108803749084473,-473.30267333984375,1.10466468334198,180000,8999,3279.76220703125,1723,108.77,-160068.60134772994
110,-1.1920928955078125e-07,0.0007,-9.17177677154541,2274.603515625,1.1178950071334839,190000,9499,492081.75,1723,117.87,-132441.59434322
116,-1.1920928955078125e-07,0.0007,-9.157881736755371,565.9984130859375,1.1146531105041504,200000,9999,36575.9296875,1722,100.4,-148125.22480811
121,0.0,0.0007,-9.132238388061523,829.1868896484375,1.1100858449935913,210000,10499,241492.09375,1721,103.35,-124917.76561861999
127,0.0,0.0007,-9.167037963867188,-209634.28125,1.1175392866134644,220000,10999,2796790784.0,1721,149.59,-192302.43092367996
133,0.0,0.0007,-9.228768348693848,-157641.859375,1.127813696861267,230000,11499,1477798656.0,1721,176.02,-225563.41717453004
139,1.1920928955078125e-07,0.0007,-9.233406066894531,-484.8777770996094,1.1283155679702759,240000,11999,3041.751220703125,1720,94.46,-129940.19336564999
145,0.0,0.0007,-9.252734184265137,-59186.6875,1.1323968172073364,250000,12499,275435168.0,1719,146.97,-155052.3012937
151,0.0,0.0007,-9.228253364562988,-28853.97265625,1.129132866859436,260000,12999,64809932.0,1719,232.62,-205154.18369303
157,1.7881393432617188e-07,0.0007,-9.294641494750977,-13008.8369140625,1.1413406133651733,270000,13499,25750770.0,1718,244.07,-255590.56426406003
162,-2.384185791015625e-07,0.0007,-9.383715629577637,-268130.5625,1.157577395439148,280000,13999,2170663680.0,1719,342.15,-369338.5110963001
168,-1.1920928955078125e-07,0.0007,-9.450806617736816,-610.8450317382812,1.171211838722229,290000,14499,6341.166015625,1720,85.41,-123470.16256296002
174,1.1920928955078125e-07,0.0007,-9.512140274047852,-13261.9638671875,1.1824404001235962,300000,14999,11008722.0,1719,175.2,-165386.04484175003
180,0.0,0.0007,-9.6124267578125,-36555.78125,1.2028279304504395,310000,15499,59648264.0,1719,270.97,-205356.43705873005
186,5.960464477539063e-08,0.0007,-9.6112060546875,-631.1484985351562,1.2023272514343262,320000,15999,8655.931640625,1719,336.48,-231268.67209006997
191,-1.1920928955078125e-07,0.0007,-9.692107200622559,-274610.09375,1.2186650037765503,330000,16499,2887995904.0,1719,241.35,-257444.16291426003
197,0.0,0.0007,-9.66717529296875,686.0225830078125,1.2129143476486206,340000,16999,63687.57421875,1719,55.92,-138917.53438081
203,0.0,0.0007,-9.56422233581543,5739.79736328125,1.1928707361221313,350000,17499,1289814.25,1718,99.22,-118186.16772834999
209,5.960464477539063e-08,0.0007,-9.580283164978027,-30988.671875,1.1953389644622803,360000,17999,61333592.0,1715,140.05,-140471.41182852
215,0.0,0.0007,-9.615983009338379,-419.493896484375,1.201966643333435,370000,18499,3388.262939453125,1715,227.18,-154531.23183066
221,0.0,0.0007,-9.572403907775879,-729.2762451171875,1.1940122842788696,380000,18999,9141.51171875,1714,209.69,-143594.07013868
227,5.960464477539063e-08,0.0007,-9.665999412536621,-522.4412841796875,1.212429404258728,390000,19499,4384.93798828125,1713,254.04,-156314.93719466001
233,-1.1920928955078125e-07,0.0007,-9.718377113342285,-26013.86328125,1.223724603652954,400000,19999,50293332.0,1714,299.57,-274366.62253064004
