train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,time/time_elapsed,rollout/ep_len_mean,time/fps,train/entropy_loss,time/total_timesteps,train/policy_loss,train/std,rollout/ep_rew_mean
0.0007,499,2519046656.0,2.384185791015625e-07,5,43.47,1937,-8.619668960571289,10000,186526.75,1.0181844234466553,-169289.81851369998
0.0007,999,87127360.0,-1.1920928955078125e-07,10,50.52,1933,-8.620339393615723,20000,-37864.375,1.0175361633300781,-180834.80397883002
0.0007,1499,379152320.0,0.0,15,33.94,1945,-8.716116905212402,30000,-113250.2109375,1.0346688032150269,-138164.03367006
0.0007,1999,135657680.0,-1.1920928955078125e-07,20,32.65,1956,-8.722044944763184,40000,-52637.2890625,1.0360559225082397,-146386.15998854
0.0007,2499,148240416.0,-1.1920928955078125e-07,25,39.24,1951,-8.772675514221191,50000,-35185.44140625,1.0460600852966309,-111949.97975325001
0.0007,2999,1526803840.0,0.0,30,53.21,1945,-8.826308250427246,60000,160086.21875,1.0557494163513184,-153629.09575752998
0.0007,3499,178070768.0,0.0,35,75.0,1948,-8.835173606872559,70000,-66849.640625,1.0572187900543213,-163469.87993887003
0.0007,3999,20286038.0,1.7881393432617188e-07,41,65.58,1948,-8.89011287689209,80000,-17681.28515625,1.0672537088394165,-158067.33114686
0.0007,4499,990034112.0,-1.1920928955078125e-07,46,111.49,1951,-8.916176795959473,90000,-82775.3125,1.0726953744888306,-262534.57759219
0.0007,4999,38306144.0,0.0,51,100.98,1956,-8.969941139221191,100000,-41791.0234375,1.0822396278381348,-249807.89587126003
0.0007,5499,173518672.0,0.0,56,114.11,1960,-8.999993324279785,110000,-59861.5,1.0885478258132935,-236872.30532088
0.0007,5999,133741720.0,-1.1920928955078125e-07,61,181.52,1963,-8.970815658569336,120000,-46494.03125,1.083481788635254,-318490.43771181
0.0007,6499,297437696.0,2.384185791015625e-07,66,171.03,1966,-9.061652183532715,130000,-90218.84375,1.0999000072479248,-283540.16480846
0.0007,6999,20369156.0,0.0,71,147.03,1965,-9.05549430847168,140000,-23570.2578125,1.0993436574935913,-253380.50388551998
0.0007,7499,1593818240.0,0.0,76,81.91,1965,-9.085168838500977,150000,-186482.3125,1.1063848733901978,-193954.00729301
0.0007,7999,766258.75,-1.1920928955078125e-07,81,44.9,1965,-9.102715492248535,160000,4575.55859375,1.1089497804641724,-135370.13592784997
0.0007,8499,190015152.0,5.960464477539063e-08,86,80.33,1962,-9.061179161071777,170000,-76154.15625,1.102151870727539,-183942.49736426
