rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,time/time_elapsed
-430797.27743769815,30235602.0,0.001,10000,167.9056603773585,2.149199962615967,53,-7.643309116363525,81,2474,4011.87353515625,123
-274937.77004727995,44583576.0,0.001,20000,191.01,4.664249420166016,104,-12.91152572631836,80,4974,3475.00244140625,247
-124694.60018825,26168912.0,0.001,30000,208.73,8.983784675598145,151,-11.841362953186035,80,7474,815.108642578125,371
-120185.16351772001,28767472.0,0.001,40000,262.06,14.953210830688477,174,-9.169820785522461,80,9974,-43.3806037902832,495
-143197.67503437996,11431466.0,0.001,50000,304.36,22.00359535217285,196,-4.415106773376465,80,12474,-1264.871826171875,620
-137967.30058056998,2538226.0,0.001,60000,374.92,26.105554580688477,209,0.024521604180336,80,14974,-3640.3232421875,745
-126884.02161319001,10383380.0,0.001,70000,446.37,26.33727264404297,219,0.5583392977714539,80,17474,-3945.9013671875,869
-131248.8041438,3635617.5,0.001,80000,535.61,22.403051376342773,234,-1.1532771587371826,80,19974,-3794.514892578125,993
-136583.69661875998,10149211.0,0.001,90000,608.21,21.25833511352539,245,0.8159431219100952,80,22474,-3855.46533203125,1118
-126552.3978899,26389908.0,0.001,100000,650.21,20.075664520263672,262,-0.7345581650733948,80,24974,-5814.60888671875,1242
-120800.07015951998,1877478.5,0.001,110000,690.96,17.709199905395508,271,-0.3050301671028137,80,27474,-6926.38818359375,1366
-120552.10267435001,30076892.0,0.001,120000,748.56,16.778017044067383,283,0.865859866142273,80,29974,-6865.48779296875,1490
-133600.06392596,795858.3125,0.001,130000,811.62,16.45490264892578,292,1.3991715908050537,80,32474,-8649.4111328125,1615
-126372.63872297,1458521.0,0.001,140000,845.06,13.293840408325195,304,0.3287312984466553,80,34974,-7972.1142578125,1739
-144935.79853007,6460530.0,0.001,150000,826.77,13.272567749023438,317,1.5022273063659668,80,37474,-10197.0986328125,1864
-147916.54331024,2817347.5,0.001,160000,830.28,13.843505859375,326,0.6703382730484009,80,39974,-9630.509765625,1988
-137299.55427634,3470919.0,0.001,170000,853.04,13.511499404907227,340,1.3722350597381592,80,42474,-10090.357421875,2113
-133519.30898313,1712331.75,0.001,180000,861.09,13.605616569519043,354,3.2588319778442383,80,44974,-11972.1748046875,2237
-162397.05460847,1362736.25,0.001,190000,865.52,13.652235984802246,366,0.7256219983100891,80,47474,-12283.0458984375,2361
-163077.46442982997,1421779.75,0.001,200000,876.27,9.528908729553223,374,-0.7359733581542969,80,49974,-12324.6298828125,2485
-157787.506406,1184659.25,0.001,210000,874.57,10.121658325195312,387,0.8936989903450012,80,52474,-13494.9853515625,2609
-136551.55854591,1000076.0625,0.001,220000,874.57,10.094966888427734,395,-0.2849217653274536,80,54974,-15789.77734375,2734
-132636.21166779,2122628.75,0.001,230000,877.41,11.949370384216309,407,1.4828097820281982,80,57474,-14101.76171875,2858
-165133.38537949,1090453.25,0.001,240000,895.76,10.123823165893555,419,0.7137647867202759,80,59974,-14419.548828125,2982
-173068.36263932,3040510.5,0.001,250000,899.39,10.903172492980957,427,0.3946608901023865,80,62474,-14922.14453125,3107
-180197.64555270996,3336442.0,0.001,260000,913.18,9.279073715209961,439,-1.35503351688385,80,64974,-15714.537109375,3231
-218741.48359368,1807075.5,0.001,270000,936.49,13.407378196716309,447,-1.970686912536621,80,67474,-15687.3759765625,3355
-238581.55990743998,1513971.5,0.001,280000,965.98,11.079560279846191,460,0.7204185724258423,80,69974,-17369.228515625,3480
-235688.19617299997,13150924.0,0.001,290000,957.57,10.570978164672852,469,0.6789203882217407,80,72474,-16797.1953125,3604
-238727.30675305997,1098243.75,0.001,300000,957.57,10.376073837280273,481,-0.74886155128479,80,74974,-15201.869140625,3729
-233909.82266257997,852266.1875,0.001,310000,959.95,9.366050720214844,489,0.6041842103004456,80,77474,-16466.13671875,3853
-244642.62953494,581204.625,0.001,320000,964.15,10.103182792663574,501,1.7595341205596924,80,79974,-17517.52734375,3978
-244011.52160073008,1058375.625,0.001,330000,973.74,9.97429370880127,509,0.8125003576278687,80,82474,-14973.1142578125,4102
-230965.87528057996,1155991.5,0.001,340000,974.05,9.234091758728027,521,2.0774621963500977,80,84974,-15080.0185546875,4226
-232622.14209229004,21269050.0,0.001,350000,944.49,9.579169273376465,533,0.5916866064071655,80,87474,-15337.025390625,4350
-203384.22816033996,1742565.625,0.001,360000,941.37,9.738020896911621,542,-0.5278021097183228,80,89974,-16084.2080078125,4475
-209482.35293182996,1924889.5,0.001,370000,937.84,9.269176483154297,553,0.12313340604305267,80,92474,-17412.251953125,4599
-230710.01387668002,1229872.25,0.001,380000,953.85,10.453024864196777,564,-0.5356295108795166,80,94974,-17948.5546875,4723
-233254.82863049,533529.8125,0.001,390000,953.85,10.857392311096191,573,-0.8508391976356506,80,97474,-16669.154296875,4847
-224153.84637751,813079.8125,0.001,400000,958.26,7.2248382568359375,584,-0.25192487239837646,80,99974,-17012.4296875,4972
-280593.68014184,1175531.25,0.001,410000,958.26,7.208361625671387,593,0.8645426034927368,80,102474,-17729.1015625,5097
-279734.98177089,1453009.375,0.001,420000,958.26,7.064733028411865,604,1.9395235776901245,80,104974,-17607.88671875,5223
-333397.21638516,4909065.5,0.001,430000,950.14,8.07472038269043,614,0.4526997208595276,80,107474,-18057.66015625,5349
