train/entropy_loss,train/explained_variance,train/n_updates,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/std,train/loss,time/fps,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean
-8.514111406356097,-6.556510925292969e-06,10,5,1498628068.45,10000,-718337.2190295416,0.0003,0.000537109375,0.0018669631,1.0001814365386963,756661248.0,1764,0.2,-0.002441792060926673,355.625
-8.51546590179205,-1.1920928955078125e-07,20,11,1329514588.55,20000,-736302.9811688542,0.0003,0.0014404296875,0.0023956192,1.0004119873046875,646278592.0,1787,0.2,-0.002528331774738035,381.0416666666667
-8.513882975280286,0.0,30,16,1105316809.35,30000,-737594.8263020685,0.0003,2.44140625e-05,0.0014336443,0.9996479153633118,553354112.0,1795,0.2,-0.001827355649220408,395.1506849315069
-8.511602905392646,0.0,40,22,1121971463.95,40000,-759789.593466902,0.0003,0.00447998046875,0.003732272,0.9996347427368164,452249856.0,1799,0.2,-0.0035758503841861965,410.6521739130435
-8.503855603188276,0.0,60,30,1036938154.375,50000,-786139.2464950499,0.0003,0.00025634765625,0.0018291943,0.9978277087211609,536254464.0,1626,0.2,-0.0019735495472559704,442.08
-8.499762587994336,1.1920928955078125e-07,70,36,1067478864.15,60000,-792498.6096251699,0.0003,0.00064697265625,0.002114901,0.9975976943969727,412971040.0,1654,0.2,-0.0019821544523438207,455.11
-8.49932746514678,0.0,80,41,1058976244.75,70000,-728212.1671691099,0.0003,0.000537109375,0.0020234443,0.9976398348808289,525415104.0,1674,0.2,-0.0020988271073292706,426.05
-8.497598126530647,-2.384185791015625e-07,90,47,1087181580.55,80000,-636206.71495732,0.0003,0.00906982421875,0.0044510844,0.9969558119773865,516266848.0,1690,0.2,-0.003806407369847875,386.69
-8.494512124359607,0.0,100,52,877386255.05,90000,-652092.1894731498,0.0003,0.0008544921875,0.0023583476,0.996694028377533,411650752.0,1703,0.2,-0.002338512725145847,407.27
-8.482652767002582,0.0,120,61,929648945.9,100000,-618905.46200295,0.0003,0.00244140625,0.0033399137,0.9948141574859619,372280736.0,1629,0.2,-0.0023287685155082725,394.71
