time/time_elapsed,train/learning_rate,train/std,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,time/fps,rollout/ep_len_mean
6,0.0003,0.9999260902404785,-8.51335292607546,-1.1920928955078125e-07,2550031727.3,0.2,10000,-0.0015750439735711553,-376785.83303361834,0.0010312787,1334476544.0,10,3.662109375e-05,1600,123.80263157894737
12,0.0003,0.9992383122444153,-8.511103162169457,1.1920928955078125e-07,2781031910.3,0.2,20000,-0.0014428203106945149,-351420.49824799004,0.00074683677,1194797056.0,20,0.0,1616,116.65
18,0.0003,0.9992918968200684,-8.509206072241067,0.0,2336361598.4,0.2,30000,-0.0008099272301478778,-399353.76824231003,0.00038519857,1117119872.0,30,0.0,1623,144.84
24,0.0003,0.9985754489898682,-8.507254509627819,0.0,2408015825.2,0.2,40000,-0.0013028436736931327,-417699.7548882999,0.00077443937,1009847168.0,40,0.0,1625,152.89
34,0.0003,0.9982393383979797,-8.504472721368074,-2.384185791015625e-07,2378616202.9,0.2,50000,-0.0008535366951036849,-372366.3252638499,0.00042830288,1119566976.0,60,0.0,1465,133.24
40,0.0003,0.9969508051872253,-8.499130556732416,0.0,2408698449.5,0.2,60000,-0.0012416942403433496,-387189.69294538995,0.00093612645,1181592448.0,70,0.0,1489,140.02
46,0.0003,0.9971811771392822,-8.495986423641444,1.1920928955078125e-07,2246980049.0,0.2,70000,-0.001832573381398106,-359650.31859762,0.0016476375,673365440.0,80,0.00025634765625,1509,134.43
52,0.0003,0.9971887469291687,-8.496677789837122,0.0,2270000422.1,0.2,80000,-0.0012352462990747881,-334118.58030446,0.00078713655,1381161088.0,90,1.220703125e-05,1524,125.53
58,0.0003,0.9967150688171387,-8.49532734900713,0.0,2194092098.6,0.2,90000,-0.001234946632030187,-367036.13108315994,0.000808208,1135654912.0,100,0.0,1540,140.4
67,0.0003,0.9959854483604431,-8.490971235185862,-1.1920928955078125e-07,2093219029.8,0.2,100000,-0.0005969023995021416,-321877.58727416,0.00013981873,971221056.0,120,0.0,1479,125.9
