time/fps,train/std,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/explained_variance
1754,1.0003983974456787,616071168.0,-0.0017905142528434226,320.96,0.0020372698,1414338050.05,0.2,0.000439453125,-8.514705219864846,10000,0.0003,-642826.6555184,5,10,-1.5497207641601562e-06
1769,1.0003000497817993,642481536.0,-0.0016766473316238261,329.8392857142857,0.0015517613,1436247798.0,0.2,8.544921875e-05,-8.51564776673913,20000,0.0003,-670188.2210624287,11,20,-2.384185791015625e-07
1775,0.9997738003730774,614613248.0,-0.0017286081223574002,336.9294117647059,0.0020386814,1370896621.6,0.2,0.0004150390625,-8.513966761529446,30000,0.0003,-673805.7334167295,16,30,0.0
1778,0.9992884993553162,693084160.0,-0.002371103421137377,340.78,0.0024465842,1490287384.75,0.2,0.0009765625,-8.510848639905452,40000,0.0003,-667578.18950235,22,40,0.0
1609,0.9992139339447021,572104000.0,-0.0011387150145310443,351.64,0.00091995206,1217407227.3,0.2,0.0,-8.507663162052632,50000,0.0003,-676041.59309999,31,60,1.1920928955078125e-07
1636,0.9981599450111389,601936576.0,-0.0028244169701793,393.9,0.0032514427,1045373022.4,0.2,0.00362548828125,-8.505826579779386,60000,0.0003,-727580.2034210301,36,70,0.0
1656,0.9977905750274658,628339584.0,-0.0031190036725092796,384.44,0.0032684654,1317346905.85,0.2,0.00428466796875,-8.501523497700692,70000,0.0003,-702180.73071411,42,80,0.0
1672,0.99739009141922,689405760.0,-0.0023060080009599917,380.65,0.0029488346,1223893484.75,0.2,0.00189208984375,-8.499228757619857,80000,0.0003,-694188.0782896,47,90,0.0
1685,0.9971986413002014,688484352.0,-0.0010995965114489082,320.41,0.0009028034,1270739376.4,0.2,2.44140625e-05,-8.497301176190376,90000,0.0003,-592668.55280714,53,100,0.0
1613,0.9970755577087402,747571392.0,-0.0009974170663554105,295.09,0.0008245587,1245955658.35,0.2,0.0,-8.497671469300986,100000,0.0003,-541163.99782382,61,120,0.0
1627,0.9967848658561707,569190144.0,-0.002494855066470336,298.62,0.0032282136,1113258937.75,0.2,0.0025390625,-8.495254619419574,110000,0.0003,-540637.27040267,67,130,0.0
1639,0.9966173768043518,706039232.0,-0.0020049159622431032,302.55,0.0022653495,1114239334.55,0.2,0.00048828125,-8.493845216929913,120000,0.0003,-540988.0488503,73,140,0.0
1650,0.9968819618225098,606159552.0,-0.001927622634502768,326.14,0.0026429836,1148194975.1,0.2,0.00113525390625,-8.494036649912596,130000,0.0003,-577213.17098976,78,150,5.960464477539063e-08
1602,0.9952778816223145,549499072.0,-0.0015432588537805715,272.94,0.0020717722,1140849889.9,0.2,0.00052490234375,-8.486504490673543,140000,0.0003,-485248.66146416,87,170,0.0
1614,0.9945752024650574,542504448.0,-0.002035635587617435,222.75,0.002959548,1104512540.9,0.2,0.00272216796875,-8.482911049574614,150000,0.0003,-385192.31857689,92,180,-1.1920928955078125e-07
1624,0.9945793151855469,544507264.0,-0.002325425407252624,243.1,0.0030561252,1012573975.85,0.2,0.00255126953125,-8.48094457834959,160000,0.0003,-399872.0217638,98,190,0.0
1632,0.994494616985321,444314368.0,-0.0016739965582019067,276.72,0.0027138013,920919810.375,0.2,0.0016845703125,-8.480770806223154,170000,0.0003,-445547.40917972,104,200,0.0
1640,0.994522750377655,621405952.0,-0.0011336270115862134,292.87,0.0011412398,1143035585.7,0.2,2.44140625e-05,-8.480443288385867,180000,0.0003,-475166.4773170801,109,210,0.0
1605,0.9932907223701477,830153024.0,-0.001979596941782802,265.4,0.0031339128,1047249369.4,0.2,0.002587890625,-8.476050665974617,190000,0.0003,-440335.00271067006,118,230,0.0
1614,0.9930882453918457,360094880.0,-0.0014567230597094748,276.92,0.002148128,846071705.8,0.2,0.0007080078125,-8.472485939413309,200000,0.0003,-438427.50257000996,123,240,0.0
1621,0.9927570819854736,480847936.0,-0.002268775165612169,300.64,0.0030744667,990270258.675,0.2,0.00211181640625,-8.470898293703794,210000,0.0003,-470507.99014204,129,250,0.0
1628,0.9926297068595886,517813504.0,-0.0018193089184933343,308.09,0.002788262,1020505900.3,0.2,0.00167236328125,-8.46951929628849,220000,0.0003,-482723.04285037995,135,260,0.0
1600,0.9912254810333252,409147904.0,-0.0032643775892211126,282.59,0.004710252,832032598.575,0.2,0.01434326171875,-8.463121211528778,230000,0.0003,-443770.57981122995,143,280,0.0
1607,0.9912685751914978,481747776.0,-0.0013737089811911574,262.12,0.0017040104,993768970.55,0.2,0.00029296875,-8.460716438293456,240000,0.0003,-406254.97295852005,149,290,5.960464477539063e-08
1614,0.9911389946937561,332855872.0,-0.0027977080079836015,286.57,0.0035549623,793215042.775,0.2,0.006005859375,-8.460636549443006,250000,0.0003,-425663.1774935301,154,300,0.0
1620,0.9913516640663147,407018304.0,-0.0018609041777381207,299.04,0.002491483,884269828.8,0.2,0.00089111328125,-8.460753162950278,260000,0.0003,-436389.81922411005,160,310,0.0
1626,0.9909610152244568,470332480.0,-0.003064720897600637,269.11,0.004115681,981138517.3,0.2,0.00933837890625,-8.460362089425326,270000,0.0003,-402257.82285376,165,320,0.0
1604,0.9908945560455322,346161536.0,-0.004069336534939794,278.12,0.004642462,752365886.525,0.2,0.020166015625,-8.457252781838179,280000,0.0003,-404487.31437609,174,340,0.0
1609,0.9889295697212219,366649536.0,-0.002064249954855768,265.59,0.0029216092,860921509.75,0.2,0.0025634765625,-8.452603528648615,290000,0.0003,-376430.74436072004,180,350,0.0
1615,0.9887080192565918,357143712.0,-0.0022479294433651376,296.61,0.0036660444,741520848.175,0.2,0.00858154296875,-8.446316300332546,300000,0.0003,-397671.249179,185,360,0.0
1620,0.9886326789855957,266057824.0,-0.002249928833316517,264.82,0.0026774337,849998181.75,0.2,0.00240478515625,-8.444951230287552,310000,0.0003,-358734.84619383997,191,370,0.0
1600,0.9868713021278381,352470432.0,-0.00204425868096223,286.53,0.0029819396,706347011.65,0.2,0.00186767578125,-8.438250201195478,320000,0.0003,-379923.64482471,199,390,2.384185791015625e-07
1605,0.9870160222053528,516801088.0,-0.0021231428820101426,268.77,0.0032858402,862357076.1,0.2,0.0037841796875,-8.434612660855056,330000,0.0003,-361151.68900310993,205,400,0.0
1610,0.9869481921195984,369954112.0,-0.0013226558799942722,282.95,0.0019642152,764206978.9,0.2,0.0005126953125,-8.434535504132509,340000,0.0003,-372861.51788839,211,410,-1.1920928955078125e-07
1614,0.9863685965538025,293116704.0,-0.0031176543066067097,286.37,0.0043958714,692719891.75,0.2,0.01597900390625,-8.432647920399905,350000,0.0003,-362408.79172282,216,420,-1.1920928955078125e-07
1618,0.98581463098526,244053632.0,-0.0028486977835200378,295.3,0.0039387373,661873323.0125,0.2,0.01075439453125,-8.429329129308462,360000,0.0003,-374381.40418687003,222,430,0.0
1601,0.986846387386322,323741600.0,-0.0015011058435447922,239.27,0.0026170455,801704013.925,0.2,0.00430908203125,-8.430051254481077,370000,0.0003,-318216.46808832,230,450,0.0
1606,0.9853705763816833,480489792.0,-0.002834797640025499,234.64,0.0032625222,825949550.6,0.2,0.00716552734375,-8.429312784969806,380000,0.0003,-315388.31004202,236,460,-1.1920928955078125e-07
1610,0.9851152896881104,163859680.0,-0.002195635648240568,251.75,0.0030588733,666296074.625,0.2,0.0068115234375,-8.423851995915175,390000,0.0003,-328792.24305086,242,470,0.0
1614,0.9845357537269592,311436224.0,-0.0022810723035945556,280.65,0.0031920236,691701427.925,0.2,0.00457763671875,-8.421551625430585,400000,0.0003,-349585.8214032699,247,480,-1.1920928955078125e-07
1599,0.9849818348884583,306339904.0,-0.0033894113221322186,299.69,0.004461188,598413011.8625,0.2,0.016064453125,-8.423937060683965,410000,0.0003,-352882.75329354,256,500,0.0
1602,0.9852880835533142,246897056.0,-0.0031442369203432464,279.55,0.0040800804,654147698.2125,0.2,0.01544189453125,-8.42314329817891,420000,0.0003,-316920.38645173,262,510,0.0
1606,0.9841935038566589,511813888.0,-0.0017477289135058526,282.44,0.0022592829,676088177.6,0.2,0.00447998046875,-8.420340049266816,430000,0.0003,-319599.42781415,267,520,-1.1920928955078125e-07
1610,0.9834744334220886,422111552.0,-0.0021277769657899624,272.28,0.0032165854,660912468.9125,0.2,0.00860595703125,-8.41510716304183,440000,0.0003,-310282.38689057995,273,530,0.0
1613,0.9819114804267883,247919104.0,-0.0022930744960831364,288.75,0.0025462469,640690113.575,0.2,0.0056396484375,-8.407874875515699,450000,0.0003,-329746.20353437995,278,540,0.0
1599,0.9801750779151917,109976696.0,-0.002523148253385443,325.19,0.002582318,491975770.025,0.2,0.0102294921875,-8.392080962657928,460000,0.0003,-356465.0616872,287,560,-1.1920928955078125e-07
1603,0.9790117144584656,222834656.0,-0.0014229502801754279,341.89,0.002518191,580512317.35,0.2,0.00980224609375,-8.389357226341962,470000,0.0003,-362542.62321476,293,570,0.0
