train/learning_rate,train/ent_coef_loss,time/fps,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef
0.0003,-2.129514455795288,171,160739.71875,58,-3301203.2119963258,43,2474,195.13953488372093,10000,3878.43994140625,1.5065357685089111
0.0003,-32.617557525634766,170,324303.65625,117,-297624.19531408994,422,4974,14.95,20000,5328.06591796875,3.571521043777466
0.0003,-54.56443786621094,170,209543.40625,176,-100709.66125893,2411,7474,5.0,30000,6045.88427734375,8.47834587097168
0.0003,-47.55885314941406,169,213300.484375,236,-100704.80384275,4411,9974,5.0,40000,3176.477783203125,16.4514217376709
0.0003,-41.82394027709961,169,202788.09375,295,-100701.10417591,6411,12474,5.0,50000,2130.890869140625,31.504457473754883
0.0003,-35.68164825439453,168,226970.546875,356,-100891.01220688997,8261,14974,5.02,60000,2325.767333984375,59.665428161621094
0.0003,-18.62302589416504,167,262966.375,416,-100692.56887993003,9515,17474,5.0,70000,2849.964111328125,104.1610107421875
0.0003,-5.202768802642822,167,297693.6875,477,-100594.69073437001,10576,19974,5.0,80000,3413.884521484375,155.67039489746094
0.0003,0.23967614769935608,167,395826.53125,538,-296141.83376297,11614,22474,15.14,90000,5320.810546875,171.7434539794922
0.0003,-2.1131608486175537,167,363455.8125,598,-520147.10695075,12025,24974,33.02,100000,7978.78759765625,177.37118530273438
0.0003,1.8651620149612427,166,428114.375,659,-243880.01484484997,12500,27474,19.26,110000,10908.8173828125,291.66162109375
0.0003,0.06142823398113251,166,390994.4375,720,-176874.55874672998,13092,29974,14.12,120000,13136.4375,368.362548828125
0.0003,3.9953675270080566,166,337429.8125,781,-154486.35437184,13678,32474,13.97,130000,15585.4970703125,333.3258972167969
0.0003,-0.8440910577774048,166,408841.625,839,-107114.34065626998,14674,34974,7.9,140000,21304.802734375,382.2872314453125
0.0003,-1.1552448272705078,167,356049.5,897,-138786.10645048003,15709,37474,9.81,150000,23344.751953125,386.6863708496094
0.0003,-1.6243544816970825,167,415937.71875,954,-788038.8016787799,16084,39974,41.61,160000,27912.625,426.1658630371094
0.0003,-0.2677217721939087,168,450292.0,1011,-758533.76955052,16478,42474,39.14,170000,27948.76953125,418.9124755859375
0.0003,0.6684026122093201,168,558987.75,1068,-160930.19393625,17904,44974,8.97,180000,31660.935546875,405.3978576660156
0.0003,0.7784856557846069,168,610696.5625,1126,-110106.45234194,19600,47474,6.06,190000,30788.962890625,406.6499328613281
0.0003,1.7390577793121338,168,572756.6875,1184,-258719.65632962,20830,49974,17.68,200000,41621.44921875,463.96258544921875
0.0003,3.464526891708374,169,728763.375,1241,-770907.9651223598,21030,52474,53.35,210000,44507.390625,494.73883056640625
0.0003,-1.6547973155975342,169,776933.9375,1298,-1636174.5234160202,21115,54974,96.97,220000,38610.796875,531.656494140625
0.0003,0.010172009468078613,169,840836.25,1356,-2436016.10846961,21194,57474,132.38,230000,45407.5234375,539.2368774414062
0.0003,-0.38740453124046326,169,1061898.875,1413,-1721716.5373026398,21288,59974,96.45,240000,54235.953125,501.501953125
0.0003,0.2531980276107788,169,1045717.6875,1472,-2969367.18735537,21363,62474,159.97,250000,49857.9765625,516.9766845703125
0.0003,-1.8038941621780396,169,1137785.375,1530,-2401440.5208920706,21430,64974,130.04,260000,56048.890625,504.0016174316406
0.0003,-0.479661226272583,169,1318096.875,1588,-1266585.2164870598,21542,67474,83.46,270000,68119.5546875,536.531005859375
0.0003,2.020643711090088,170,1423938.0,1646,-509605.9649406699,21947,69974,34.57,280000,80006.7890625,626.6237182617188
0.0003,0.24844521284103394,169,1578157.375,1706,-527500.19309521,22186,72474,29.45,290000,86280.0,684.577880859375
0.0003,3.496403932571411,169,1576723.25,1768,-1282926.67380451,22383,74974,67.85,300000,99237.2734375,881.5977783203125
0.0003,0.9143196940422058,169,1701803.25,1830,-2218051.19335364,22466,77474,116.38,310000,90345.8984375,949.7762451171875
0.0003,0.7527928352355957,168,1507268.0,1893,-304115.95064082,23364,79974,17.24,320000,83214.765625,1029.522705078125
0.0003,0.022807419300079346,168,1456166.125,1957,-110487.29825199003,24514,82474,6.38,330000,78403.5234375,1027.799560546875
0.0003,-4.571399688720703,168,1303769.75,2022,-119192.97657000001,26071,84974,7.52,340000,62792.17578125,1031.9664306640625
0.0003,1.0735915899276733,167,1390648.25,2090,-108709.83072052003,27620,87474,5.88,350000,64880.765625,1021.8163452148438
0.0003,1.1520400047302246,166,1346346.125,2160,-111440.94057698999,29191,89974,6.08,360000,59014.26953125,1021.3452758789062
0.0003,1.90153169631958,165,1157902.25,2229,-103044.45074983998,30995,92474,5.25,370000,62038.234375,1018.8018188476562
0.0003,-1.532799482345581,165,1163351.375,2298,-104181.14400176,32880,94974,5.39,380000,61836.53515625,1049.413818359375
0.0003,2.446660041809082,164,1096300.375,2367,-104667.97927751999,34726,97474,5.48,390000,46969.86328125,1046.281005859375
0.0003,0.6013518571853638,164,969949.0625,2436,-105476.26775234999,36544,99974,5.59,400000,48950.1640625,1038.3961181640625
0.0003,2.470370054244995,163,964619.75,2503,-106808.66902882999,38322,102474,5.76,410000,51545.67578125,1056.94970703125
0.0003,0.42214494943618774,163,911465.0625,2570,-106103.60711377002,40039,104974,5.89,420000,50005.390625,1000.886474609375
0.0003,-2.181776523590088,162,718449.3125,2639,-108858.41556113998,41648,107474,6.25,430000,39582.41796875,911.1719360351562
0.0003,0.3118285536766052,162,710860.5625,2706,-127257.44194613,43195,109974,7.21,440000,32371.056640625,780.365478515625
0.0003,-1.499708652496338,162,617142.75,2770,-137910.14548804998,44627,112474,7.89,450000,34352.73828125,670.3178100585938
0.0003,0.3159877061843872,162,593116.0625,2835,-314169.28539271996,45232,114974,17.01,460000,23678.404296875,592.04296875
0.0003,-0.7717828750610352,161,563905.125,2901,-681493.92243266,45634,117474,37.77,470000,25240.984375,520.1265869140625
0.0003,-0.23486942052841187,161,590711.9375,2967,-1919119.0321405602,45685,119974,117.48,480000,23523.625,467.05841064453125
0.0003,-4.562872886657715,161,572156.0,3033,-504638.8183075601,45870,122474,27.73,490000,22308.818359375,444.18450927734375
0.0003,-1.7960903644561768,161,598968.9375,3099,-146274.02514474,46634,124974,8.65,500000,22794.3671875,434.17852783203125
0.0003,-2.2988734245300293,161,554925.875,3165,-177332.89294143004,47273,127474,10.12,510000,22504.75,440.3765869140625
0.0003,1.205364465713501,160,578881.8125,3231,-109372.18817750001,48280,129974,6.59,520000,23507.1875,439.291259765625
0.0003,-2.7273640632629395,160,529555.25,3295,-115319.89194679,49282,132474,6.98,530000,22829.234375,438.3316650390625
0.0003,-2.3752083778381348,160,577110.5625,3363,-113870.69120837002,50559,134974,6.85,540000,24870.1875,434.4280700683594
0.0003,-0.9802917242050171,160,580306.6875,3430,-312908.6072108701,51704,137474,16.96,550000,23252.49609375,431.2021179199219
0.0003,-2.0081076622009277,160,603019.25,3497,-116635.94571207,52455,139974,7.08,560000,23705.162109375,410.9925842285156
0.0003,-5.810515880584717,159,552844.5625,3564,-119277.43672874,53691,142474,7.28,570000,26501.517578125,401.02960205078125
0.0003,1.357731580734253,159,619287.8125,3631,-116507.81476862001,54956,144974,7.19,580000,21602.431640625,406.7862548828125
0.0003,-3.840909957885742,159,581168.4375,3699,-310473.9761308401,56082,147474,16.87,590000,26842.572265625,399.047119140625
0.0003,1.445841670036316,159,570129.5625,3768,-186447.11401978,57172,149974,10.93,600000,23936.619140625,402.0012512207031
0.0003,-1.824375033378601,158,573766.9375,3837,-176869.55268975,58361,152474,10.71,610000,25040.67578125,393.5740966796875
0.0003,-2.0652360916137695,158,531395.375,3907,-109665.73806162004,59776,154974,6.53,620000,23305.689453125,394.6191101074219
0.0003,1.670406460762024,158,575668.3125,3976,-106860.76311693,61378,157474,5.99,630000,21834.271484375,396.0555725097656
0.0003,-2.2929775714874268,158,581215.3125,4045,-102266.01878582,63202,159974,5.39,640000,25440.302734375,391.9010009765625
0.0003,-1.7612435817718506,157,562298.75,4115,-117502.09240459,65003,162474,6.65,650000,25115.212890625,384.1311340332031
0.0003,1.2208027839660645,157,637525.875,4185,-101402.02170407999,66827,164974,5.22,660000,25355.48046875,385.2666320800781
0.0003,-0.7828500270843506,157,523875.28125,4255,-102005.26653122,68653,167474,5.19,670000,22223.248046875,378.2915344238281
0.0003,0.8501780033111572,157,547411.6875,4324,-100981.91064462998,70509,169974,5.23,680000,20618.0390625,361.0585021972656
0.0003,-2.2187960147857666,157,526521.9375,4393,-99460.92809319001,72377,172474,5.13,690000,22334.484375,340.618408203125
0.0003,1.2652149200439453,156,523063.9375,4463,-103206.91771094,74215,174974,5.65,700000,18048.80078125,331.1340026855469
0.0003,0.8244484066963196,156,581422.625,4534,-111764.26136324,75601,177474,6.46,710000,16831.740234375,308.9600524902344
0.0003,-1.4759184122085571,156,493879.8125,4603,-102916.43113614,77108,179974,5.91,720000,15480.3759765625,305.27392578125
0.0003,-1.401935338973999,156,519395.09375,4675,-106581.68909657001,78640,182474,6.43,730000,23874.958984375,302.8185729980469
0.0003,-0.17078641057014465,155,481365.03125,4745,-107241.04020321999,80142,184974,6.68,740000,17430.1015625,293.2681884765625
0.0003,-1.299724817276001,155,430743.71875,4814,-107973.35635741001,81599,187474,6.82,750000,16033.79296875,295.8556823730469
0.0003,-1.2261021137237549,155,450650.1875,4880,-106744.98171128999,83061,189974,6.62,760000,14584.1474609375,299.6300354003906
0.0003,1.06565260887146,155,412719.875,4947,-112984.28832653999,84430,192474,7.55,770000,15654.146484375,295.2361755371094
0.0003,-0.6470721364021301,155,475749.59375,5014,-108136.73393867999,85883,194974,6.45,780000,15709.0400390625,289.6014404296875
0.0003,0.30340126156806946,155,434909.15625,5081,-102166.30774786002,87528,197474,5.83,790000,12916.3935546875,274.7867736816406
0.0003,1.0397323369979858,155,391671.125,5147,-102135.05327165002,89188,199974,5.99,800000,12467.4228515625,263.8022155761719
0.0003,2.5204012393951416,155,397500.4375,5213,-102011.96525814998,90807,202474,6.16,810000,12859.970703125,248.03533935546875
0.0003,-0.13634195923805237,155,376702.53125,5280,-102912.07965171,92407,204974,6.52,820000,15626.810546875,233.49256896972656
0.0003,1.0777318477630615,155,360834.90625,5346,-104219.53325345002,93978,207474,6.49,830000,14541.3623046875,219.38583374023438
0.0003,-0.35997650027275085,155,374426.46875,5412,-103656.38105658001,95541,209974,6.54,840000,13841.08203125,206.3704376220703
0.0003,0.8903711438179016,155,338598.375,5478,-98232.30177203,97134,212474,6.48,850000,16417.59765625,195.2904510498047
0.0003,0.15425077080726624,155,317871.6875,5545,-90874.55862434,98809,214974,5.59,860000,12884.9248046875,188.6834716796875
0.0003,0.2521597146987915,155,349848.625,5612,-90621.79853510998,100539,217474,5.77,870000,11160.3701171875,181.75230407714844
0.0003,1.9201611280441284,154,360095.25,5681,-90363.62488686001,102237,219974,5.81,880000,12552.6904296875,171.35751342773438
0.0003,-0.901394248008728,154,351646.125,5750,-89907.44929646002,103899,222474,6.06,890000,10655.0693359375,165.70277404785156
0.0003,-0.413551390171051,154,309324.53125,5819,-89634.64379888,105518,224974,6.21,900000,11212.2373046875,162.39964294433594
0.0003,1.8569730520248413,154,322521.6875,5889,-88365.10033771001,107098,227474,6.46,910000,11326.826171875,162.16795349121094
0.0003,1.6813944578170776,154,350760.875,5961,-88243.07544195,108629,229974,6.89,920000,9813.197265625,154.48422241210938
0.0003,1.2778773307800293,154,307470.46875,6035,-88301.54556150996,110072,232474,7.0,930000,8908.794921875,149.01058959960938
0.0003,-2.872507333755493,153,324311.5,6109,-88199.68247322,111491,234974,7.08,940000,9939.4375,149.33187866210938
0.0003,-0.6739514470100403,153,267474.34375,6182,-87453.36677639998,112903,237474,7.17,950000,8064.83642578125,148.72457885742188
0.0003,-1.6476504802703857,153,305152.4375,6257,-86954.65592584,114309,239974,7.23,960000,11546.880859375,147.0059051513672
0.0003,0.8655806183815002,153,283016.6875,6330,-86760.93778675002,115660,242474,7.71,970000,9487.3701171875,142.4764862060547
0.0003,1.2258652448654175,153,264121.40625,6402,-87690.09013112003,116878,244974,8.51,980000,7673.23583984375,142.2324676513672
0.0003,1.3404923677444458,152,278901.875,6473,-93404.46346481,117801,247474,9.52,990000,7526.10791015625,138.88790893554688
0.0003,0.3928861618041992,152,252641.1875,6545,-293791.20883857,118497,249974,19.98,1000000,8026.90771484375,136.3086395263672
