rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,train/actor_loss,time/time_elapsed
-6001263.0269547645,100,17,0.0003,413.7647058823529,2474,-2.412824869155884,10000,4272.263671875,1.4541538953781128,145890.3125,99
-5933590.79087248,104,48,0.0003,352.5833333333333,4974,-9.599337577819824,20000,4338.1962890625,3.058133125305176,317380.1875,190
-6558628.818073765,107,77,0.0003,372.8961038961039,7474,-23.082889556884766,30000,4428.47216796875,6.94273042678833,447800.1875,279
-7952015.4928389555,101,86,0.0003,438.5232558139535,9974,-30.81226921081543,40000,7650.90625,14.742685317993164,565834.3125,392
-9301917.792996649,100,97,0.0003,502.1958762886598,12474,-20.83710479736328,50000,5483.4052734375,28.87201690673828,688110.875,499
-10768312.15023267,99,107,0.0003,567.82,14974,-23.8859920501709,60000,5470.3037109375,54.19884490966797,779217.5625,603
-11772755.7563238,106,118,0.0003,606.93,17474,-8.628549575805664,70000,5091.83935546875,90.97206115722656,911784.1875,656
-11712941.844970059,114,150,0.0003,607.43,19974,0.7469425797462463,80000,5272.95751953125,101.01111602783203,1003430.8125,701
-1176642.82988267,120,275,0.0003,79.27,22474,2.958564043045044,90000,8988.8447265625,116.93610382080078,1068350.125,747
-1346484.13424227,126,366,0.0003,84.12,24974,2.636577844619751,100000,9803.9423828125,91.29437255859375,1193348.0,793
-3218759.7856008406,131,377,0.0003,191.65,27474,-1.6855995655059814,110000,13634.0908203125,84.9898681640625,1229904.25,837
-4585958.76886277,136,386,0.0003,276.29,29974,-0.5600136518478394,120000,14985.4921875,112.2462387084961,1244217.75,881
-6422119.593844189,140,411,0.0003,372.69,32474,1.4148447513580322,130000,12149.900390625,111.54732513427734,1207797.875,925
-7973518.144702069,144,426,0.0003,470.55,34974,-0.21756261587142944,140000,13899.3173828125,126.9474105834961,1235235.0,970
-7244390.46669693,146,475,0.0003,421.43,37474,-0.7224766612052917,150000,10164.9658203125,120.04492950439453,1237486.75,1024
-643352.0,148,681,0.0003,37.8,39974,-3.010190010070801,160000,9897.318359375,117.04717254638672,1238258.625,1079
-2059024.0,150,700,0.0003,110.8,42474,0.8530956506729126,170000,9036.623046875,110.02482604980469,1239115.75,1130
-3499640.46618042,145,763,0.0003,200.66,44974,0.796078085899353,180000,8706.1337890625,86.6719741821289,1226705.75,1235
-4325360.2019614605,142,772,0.0003,279.88,47474,0.06462043523788452,190000,8464.2919921875,73.58589172363281,1246726.375,1331
-3220123.32166971,140,808,0.0003,274.48,49974,-4.4227614402771,200000,6501.32080078125,72.90104675292969,1233896.125,1427
-3447370.33135306,142,846,0.0003,342.18,52474,-0.28859519958496094,210000,8779.396484375,86.37738800048828,1215793.375,1473
-3464427.6823567506,139,863,0.0003,391.21,54974,-1.0089095830917358,220000,10487.4189453125,106.92633056640625,1154251.25,1580
-2649858.2676985697,137,873,0.0003,405.55,57474,-0.6988916993141174,230000,9591.3896484375,142.064697265625,1052454.375,1672
-1868688.51579876,139,890,0.0003,445.38,59974,0.5328834056854248,240000,7589.45751953125,158.09425354003906,1020168.375,1715
-99061.68910400002,142,1118,0.0003,22.53,62474,-1.3347649574279785,250000,5668.23193359375,184.55746459960938,957124.9375,1759
-98211.00407670002,144,1240,0.0003,83.31,64974,1.8523037433624268,260000,5478.20458984375,187.65628051757812,870344.375,1803
-93396.79559732,146,1273,0.0003,179.01,67474,0.5988097190856934,270000,7636.6357421875,164.5882568359375,757044.0625,1845
-89135.69709558,147,1294,0.0003,251.95,69974,-0.4187604784965515,280000,7487.23486328125,159.23956298828125,647611.0,1899
-99104.82990141,145,1418,0.0003,56.31,72474,1.6322585344314575,290000,4191.3583984375,156.4084930419922,576820.75,1989
-99965.53274259,140,2256,0.0003,7.74,74974,2.618070363998413,300000,4657.8603515625,172.783447265625,506841.5625,2129
-100068.01252898,139,3466,0.0003,7.44,77474,-0.22962740063667297,310000,4410.0693359375,185.76129150390625,449766.875,2222
-100121.14617077001,140,4800,0.0003,7.36,79974,-0.631574809551239,320000,6913.212890625,197.16395568847656,390800.0,2271
-99710.28922889,142,6032,0.0003,9.25,82474,0.21864108741283417,330000,4474.30224609375,210.5983428955078,307071.125,2320
-97886.99787026999,143,6447,0.0003,48.0,84974,1.4365477561950684,340000,4028.859619140625,163.1019744873047,274061.03125,2367
-94772.61745207,145,6598,0.0003,63.27,87474,2.307504415512085,350000,3729.540771484375,159.9281463623047,223137.53125,2410
-94133.86237298997,146,6616,0.0003,151.82,89974,1.8502988815307617,360000,4158.59521484375,153.00621032714844,211493.640625,2458
