train/is_line_search_success,train/value_loss,train/policy_objective,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,time/time_elapsed,train/explained_variance,train/std,train/kl_divergence_loss,train/learning_rate,time/total_timesteps
1.0,2424208355.0,0.05452936515212059,-388143.98145107145,139.9,4030,1,2,5.960464477539062e-07,1.012684941291809,0.006307109724730253,0.001,10000
1.0,1612218871.2,0.039577677845954895,-327329.0153474,148.21,4033,2,4,0.0,1.0008158683776855,0.0068978904746472836,0.001,20000
1.0,1220405400.8,0.026456784456968307,-269802.72068715,151.08,4031,3,7,0.0,0.9990780353546143,0.0042602806352078915,0.001,30000
1.0,1287665741.7,0.031010188162326813,-220984.52326357,134.12,4028,4,9,-1.1920928955078125e-07,0.9959979057312012,0.005080014932900667,0.001,40000
1.0,1213556296.4,0.02893776446580887,-216872.75984501,129.81,3814,6,13,0.0,0.9682273268699646,0.004360476974397898,0.001,50000
1.0,1088102847.9,0.028148187324404716,-208058.73187685,142.06,3845,7,15,0.0,0.9576341509819031,0.0045770034193992615,0.001,60000
1.0,950736153.8,0.031141247600317,-199915.03803363,151.67,3872,8,18,0.0,0.951466977596283,0.005506483837962151,0.001,70000
1.0,1098858457.4,0.03072204440832138,-186647.33374411,137.68,3889,9,20,0.0,0.9398835301399231,0.00724549638107419,0.001,80000
1.0,989833762.4,0.0303956288844347,-166785.66136118,139.4,3901,10,23,0.0,0.9312529563903809,0.005767752882093191,0.001,90000
1.0,1076422534.2,0.031616128981113434,-165024.2441684,134.91,3807,12,26,0.0,0.9177899956703186,0.005492554511874914,0.001,100000
1.0,873036330.65,0.036708444356918335,-142458.31505698,130.46,3823,13,28,0.0,0.911611795425415,0.0056853690184652805,0.001,110000
1.0,880307990.95,0.03443405404686928,-124436.05580411,136.38,3837,14,31,0.0,0.9033625721931458,0.005480106454342604,0.001,120000
1.0,839656987.25,0.03551602363586426,-155311.18793965998,160.8,3850,15,33,0.0,0.9064047336578369,0.006604196969419718,0.001,130000
1.0,718136871.5,0.03765350580215454,-153812.21742427,176.01,3790,17,36,0.0,0.9050567150115967,0.005937147885560989,0.001,140000
1.0,647491140.7,0.03682204708456993,-81945.87080168,157.97,3806,18,39,0.0,0.8918077349662781,0.007338512688875198,0.001,150000
1.0,550538958.975,0.033815816044807434,-64214.86849249999,172.5,3818,19,41,-1.1920928955078125e-07,0.8990392684936523,0.005647228565067053,0.001,160000
1.0,536139502.325,0.038471437990665436,-94243.06863706998,191.66,3833,20,44,0.0,0.8787816166877747,0.006298733409494162,0.001,170000
1.0,524680319.025,0.04128941521048546,-96214.58120245,219.73,3844,21,46,-1.1920928955078125e-07,0.8871152400970459,0.006341531407088041,0.001,180000
1.0,625892563.15,0.03237249329686165,-53649.823502,204.99,3798,23,50,0.0,0.8694024682044983,0.007269224151968956,0.001,190000
1.0,663109209.3,0.03595585748553276,-39658.195615749995,158.01,3807,24,52,0.0,0.8668369650840759,0.006264097988605499,0.001,200000
1.0,607191616.35,0.04118063300848007,-26663.778647910003,156.64,3813,25,55,0.0,0.8654570579528809,0.00698304595425725,0.001,210000
1.0,540496680.45,0.04048340022563934,2692.8056043200004,168.1,3822,26,57,0.0,0.8565092086791992,0.007586366031318903,0.001,220000
1.0,452498702.9,0.029905544593930244,15979.78696142,192.18,3780,28,60,0.0038771629333496094,0.8554601669311523,0.006512475665658712,0.001,230000
1.0,493894547.05,0.037523817270994186,32073.789277419997,195.05,3789,29,63,0.003563821315765381,0.8641626834869385,0.0071309953927993774,0.001,240000
1.0,385894488.35,0.036425601691007614,36558.24193487,205.43,3798,30,65,0.002339959144592285,0.8589655756950378,0.007514286786317825,0.001,250000
1.0,514162034.825,0.03947584703564644,45234.7773123,168.07,3807,31,68,0.008568644523620605,0.8529062867164612,0.007443459238857031,0.001,260000
1.0,597958568.9,0.038578592240810394,56096.2123362,158.52,3813,32,70,0.011826038360595703,0.8351173996925354,0.007154618855565786,0.001,270000
1.0,430083369.35,0.027180645614862442,73920.65479008999,185.37,3782,34,74,0.00042110681533813477,0.8452240824699402,0.006427424494177103,0.001,280000
