train/policy_loss,train/learning_rate,train/value_loss,train/entropy_loss,time/fps,train/explained_variance,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/std
-360911.59375,0.0007,2225060096.0,-12.915483474731445,1493,0.0,10000,499,25.26,6,-173302.95196775,1.0162510871887207
-97539.453125,0.0007,152657760.0,-12.88470458984375,1482,-1.1920928955078125e-07,20000,999,23.64,13,-169608.75790312997,1.0132591724395752
-50158.765625,0.0007,128386992.0,-12.919095993041992,1476,1.1920928955078125e-07,30000,1499,21.43,20,-160215.42728564,1.0175724029541016
-150704.21875,0.0007,579602048.0,-13.02513313293457,1467,1.1920928955078125e-07,40000,1999,27.77,27,-221949.13673972,1.0292848348617554
-419062.875,0.0007,2663730688.0,-13.129800796508789,1461,5.960464477539063e-08,50000,2499,27.16,34,-169249.73614141997,1.0425585508346558
-78189.09375,0.0007,54545524.0,-13.093561172485352,1457,-1.1920928955078125e-07,60000,2999,21.07,41,-136287.39273087,1.038562297821045
-437285.59375,0.0007,2972463104.0,-13.082128524780273,1457,0.0,70000,3499,16.56,48,-133854.08098134,1.0376052856445312
-420893.1875,0.0007,2609145088.0,-13.079385757446289,1454,-1.1920928955078125e-07,80000,3999,23.1,55,-197571.23620855,1.0368415117263794
-33661.37890625,0.0007,1273643136.0,-13.124040603637695,1447,0.0,90000,4499,21.07,62,-131368.64758642,1.0420209169387817
-185753.40625,0.0007,1139221248.0,-13.250938415527344,1446,-2.384185791015625e-07,100000,4999,23.22,69,-152040.46902084,1.0570462942123413
-383929.90625,0.0007,3144635904.0,-13.303827285766602,1445,1.1920928955078125e-07,110000,5499,25.45,76,-140398.12741571,1.0634708404541016
-625282.125,0.0007,4500874240.0,-13.425882339477539,1441,-2.384185791015625e-07,120000,5999,22.8,83,-155648.8422965,1.077927589416504
-179795.890625,0.0007,611285184.0,-13.452932357788086,1440,0.0,130000,6499,20.26,90,-153079.17731521002,1.0818438529968262
-494831.6875,0.0007,3292803584.0,-13.515153884887695,1439,-1.1920928955078125e-07,140000,6999,21.67,97,-129654.21575231999,1.0899442434310913
-72799.4296875,0.0007,184610720.0,-13.610311508178711,1438,0.0,150000,7499,22.06,104,-112634.08681446999,1.1010278463363647
-46996.6328125,0.0007,107901208.0,-13.697929382324219,1438,-1.1920928955078125e-07,160000,7999,20.1,111,-113456.06955650999,1.1123175621032715
-76772.984375,0.0007,64366904.0,-13.791097640991211,1438,0.0,170000,8499,26.23,118,-142555.08466449997,1.1239304542541504
