train/entropy_loss,train/std,rollout/ep_len_mean,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/fps,train/n_updates,rollout/ep_rew_mean,time/total_timesteps
-12.90839958190918,1.0156477689743042,35.74,0.0007,-408368.53125,0.0,6,2486147072.0,1459,499,-165247.61931543003,10000
-12.96049690246582,1.0219321250915527,30.21,0.0007,-69584.203125,-1.1920928955078125e-07,13,64297460.0,1486,999,-144111.46813924002,20000
-13.024038314819336,1.029702067375183,36.58,0.0007,-338302.15625,5.960464477539063e-08,20,2428443136.0,1481,1499,-144280.93491536,30000
-13.028188705444336,1.029845952987671,28.23,0.0007,-176427.34375,0.0,27,1003606336.0,1479,1999,-123331.91614897002,40000
-13.05699348449707,1.0341508388519287,32.31,0.0007,-208301.296875,0.0,33,1485478144.0,1473,2499,-117011.74795556001,50000
-13.134462356567383,1.0429242849349976,33.55,0.0007,-14811.6533203125,0.0,40,63009480.0,1471,2999,-115103.84521641002,60000
-13.223085403442383,1.0535168647766113,34.86,0.0007,-173154.21875,1.1920928955078125e-07,47,258913488.0,1470,3499,-126856.95425229,70000
-13.36128044128418,1.0695295333862305,30.07,0.0007,-299244.53125,0.0,54,2121442304.0,1470,3999,-135339.61768139002,80000
-13.459184646606445,1.0822330713272095,35.98,0.0007,-314988.0625,1.1920928955078125e-07,61,2468418304.0,1473,4499,-132238.01330625,90000
-13.64777946472168,1.1043215990066528,28.37,0.0007,245244.59375,0.0,67,2391233024.0,1476,4999,-105402.43987336999,100000
-13.694847106933594,1.110366940498352,36.35,0.0007,-96251.2421875,1.1920928955078125e-07,74,122421904.0,1476,5499,-138284.96699646002,110000
-13.764642715454102,1.1196846961975098,25.77,0.0007,-170982.828125,0.0,81,1497231232.0,1472,5999,-108646.62279099,120000
-13.777795791625977,1.1208558082580566,33.89,0.0007,-368336.6875,1.1920928955078125e-07,88,2931026432.0,1470,6499,-122157.95715639,130000
-13.846832275390625,1.1292188167572021,32.29,0.0007,38008.203125,-1.1920928955078125e-07,95,13823237.0,1470,6999,-106741.17505435998,140000
-13.917123794555664,1.138563632965088,28.41,0.0007,-80349.328125,0.0,101,519625216.0,1471,7499,-112143.46863458,150000
-14.003580093383789,1.1498304605484009,32.78,0.0007,-721848.3125,0.0,108,5118635520.0,1471,7999,-106431.27935363998,160000
-13.941534042358398,1.1424593925476074,29.46,0.0007,24979.728515625,0.0,115,5506213.5,1472,8499,-108792.00828423,170000
-13.976171493530273,1.1469078063964844,42.4,0.0007,35327.00390625,-1.1920928955078125e-07,122,14604570.0,1471,8999,-123666.39438982,180000
-13.976480484008789,1.1465803384780884,40.17,0.0007,-113088.0,0.0,129,213318752.0,1471,9499,-115061.11339020001,190000
-14.014686584472656,1.1519538164138794,37.04,0.0007,-222769.703125,0.0,135,681038912.0,1471,9999,-119888.29143598002,200000
-14.052007675170898,1.1568766832351685,68.69,0.0007,-151982.96875,-1.1920928955078125e-07,142,271932352.0,1471,10499,-136504.03102279,210000
-14.078493118286133,1.1600086688995361,67.37,0.0007,-340233.65625,5.960464477539063e-08,149,2364382464.0,1471,10999,-126601.93417558,220000
-14.15910530090332,1.1703795194625854,39.81,0.0007,-34685.24609375,1.1920928955078125e-07,156,23031348.0,1472,11499,-126159.37106991999,230000
