time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/delta_std,train/learning_rate,train/iterations,train/step_size,rollout/return_std
2134,-19861613.668699,4,10000,670.3333333333334,,,,,
2624,-19887051.716284003,7,20000,669.6666666666666,,,,,
2840,-20938892.577472303,10,30000,705.0,,,,,
2966,-22449750.147493836,13,40000,754.1666666666666,,,,,
3045,-23957293.266956337,16,50000,803.3333333333334,,,,,
3100,-29988444.736185,19,60000,1000.0,0.05,0.02,0,2.0892988727982953e-10,11965737.0
3143,-30000083.22809625,22,70000,1000.0,,,,,
3176,-29999736.564503502,25,80000,1000.0,,,,,
3202,-29917797.602763116,28,90000,1000.0,,,,,
3224,-29939664.687682007,31,100000,1000.0,,,,,
3241,-29906697.782569002,33,110000,1000.0,,,,,
3255,,36,120000,,0.05,0.02,1,9.495606079212848e-09,263279.65625
3268,-14985379.265281,39,130000,505.3333333333333,,,,,
3279,-16658711.037835445,42,140000,560.0,,,,,
3288,-19991564.417356916,45,150000,670.0,,,,,
3297,-21424782.58987343,48,160000,717.1428571428571,,,,,
3305,-14942365.303647501,51,170000,503.0,0.05,0.02,2,1.8775000998338953e-10,13315579.0
3312,-17972151.445853602,54,180000,603.0,,,,,
3318,-18019986.7694675,57,190000,603.8,,,,,
3324,-17176931.248779286,60,200000,577.7142857142857,,,,,
3328,-20402319.358462002,63,210000,685.3333333333334,0.05,0.02,3,1.6435448835228073e-10,15211024.0
3332,-24232586.3860318,66,220000,811.2,,,,,
3336,-26343996.605727874,68,230000,882.0,,,,,
3340,-27072523.808208596,71,240000,905.6,,,,,
3343,-25783278.036223143,74,250000,861.7857142857143,,,,,
3346,,77,260000,,0.05,0.02,4,2.49804094076822e-10,10007842.0
3349,-11324889.732325,80,270000,381.125,,,,,
3352,-12574632.577801084,83,280000,422.5833333333333,,,,,
3354,-16061449.178769134,86,290000,538.0666666666667,,,,,
3357,-30138013.944887,89,300000,1000.0,0.05,0.02,5,1.6353812748448604e-10,15286956.0
3353,-23962514.1703864,92,310000,801.6,,,,,
3355,-22479018.11021725,95,320000,752.125,,,,,
3356,-24531407.995943,98,330000,819.7272727272727,,,,,
3358,-25378422.963391382,101,340000,847.4615384615385,,,,,
3360,,104,350000,,0.05,0.02,6,2.452225367211014e-10,10194821.0
3363,-29940458.1463345,107,360000,1000.0,,,,,
3364,-21462624.46914557,109,370000,717.0,,,,,
3366,-21038744.4180137,112,380000,703.7,,,,,
3368,-21467538.607009,115,390000,717.5,,,,,
3369,,118,400000,,0.05,0.02,7,1.8745333063563407e-10,13336652.0
3370,-18068058.292547204,121,410000,604.2,,,,,
3372,-16756196.468968444,124,420000,559.5555555555555,,,,,
3373,-20068709.18791658,127,430000,669.6666666666666,,,,,
3374,,130,440000,,0.05,0.02,8,1.6766317501026862e-10,14910846.0
3375,-29824916.07040133,133,450000,1000.0,,,,,
3376,-29900872.0434042,136,460000,1000.0,,,,,
3377,-26618732.504289333,139,470000,889.6666666666666,,,,,
3377,-24973661.019921664,142,480000,834.5833333333334,,,,,
3378,-23990591.387257196,145,490000,801.7333333333333,,,,,
3379,-15054762.4441605,147,500000,502.75,0.05,0.02,9,2.0778477549665553e-10,12031680.0
3380,-17199777.91893143,150,510000,574.0,,,,,
3380,-17553618.374185834,153,520000,585.75,,,,,
3381,-18054450.0030592,156,530000,602.4,,,,,
3381,-8649896.086131858,159,540000,291.85714285714283,0.05,0.02,10,1.671442290129832e-10,14957142.0
3381,-12049609.8648487,162,550000,405.2,,,,,
3382,-16193175.560898999,165,560000,542.4615384615385,,,,,
3382,,168,570000,,0.05,0.02,11,1.632487756086931e-10,15314051.0
3383,-11343908.92034025,171,580000,381.0,,,,,
3383,-15099283.207106998,174,590000,504.8,,,,,
3384,-18548977.03428438,177,600000,619.0769230769231,,,,,
3384,,180,610000,,0.05,0.02,12,1.6726939278122188e-10,14945949.0
3385,-18056476.302293,183,620000,603.8,,,,,
3385,-18799513.302139625,186,630000,628.125,,,,,
3386,-18519859.19468269,189,640000,618.4615384615385,,,,,
3386,-15049915.1139995,191,650000,505.5,0.05,0.02,13,1.6327124374715396e-10,15311943.0
3386,-15106135.862828124,194,660000,504.375,,,,,
3387,-18085905.874474697,197,670000,603.5,,,,,
3387,-19361794.160929497,200,680000,645.7142857142857,,,,,
3388,,203,690000,,0.05,0.02,14,1.7465232038382794e-10,14314152.0
3388,-22540720.098970998,206,700000,751.75,,,,,
3389,-25075353.166621998,209,710000,834.5,,,,,
3389,,212,720000,,0.05,0.02,15,1.6174239725330608e-10,15456677.0
3389,-12085369.3216362,215,730000,406.0,,,,,
3389,-18800460.801634252,218,740000,628.75,,,,,
3390,-21016934.587360602,221,750000,703.0,,,,,
3390,-21453015.826528005,224,760000,717.0714285714286,,,,,
3390,-147775.906341,227,770000,8.0,0.05,0.02,16,1.8732540518762164e-10,13345760.0
3391,-22534872.391259,230,780000,752.0,,,,,
3391,-18827351.873653874,232,790000,628.0,,,,,
3391,-17203007.82083607,235,800000,574.7857142857143,,,,,
3391,-15071298.6890395,238,810000,503.5,0.05,0.02,17,1.6348668252508247e-10,15291765.0
3392,-20068640.606345832,241,820000,668.6666666666666,,,,,
3392,-16436352.210687453,244,830000,548.1818181818181,,,,,
3392,-109458.611929,247,840000,9.0,0.05,0.02,18,1.6329985974561367e-10,15309259.0
3392,-8655705.139134714,250,850000,291.2857142857143,,,,,
3393,-12061919.2369906,253,860000,404.7,,,,,
3393,,256,870000,,0.05,0.02,19,1.6310051920154223e-10,15327970.0
3393,-30110817.4152345,259,880000,1000.0,,,,,
3394,-25053616.0773645,262,890000,834.1666666666666,,,,,
3394,-19145502.65458,265,900000,638.6363636363636,,,,,
3394,-20055362.593144935,268,910000,669.0,,,,,
3394,-30032307.597851,270,920000,1000.0,0.05,0.02,20,1.7455821510470315e-10,14321870.0
3395,-15040471.316260498,273,930000,503.0,,,,,
3395,-18039683.781549595,276,940000,602.4,,,,,
3396,-30070374.62254,279,950000,1000.0,0.05,0.02,21,1.6202582331370508e-10,15429639.0
3396,-22560203.7525555,282,960000,752.5,,,,,
3396,-20063746.628108997,285,970000,669.0,,,,,
3396,-21890873.085709002,288,980000,729.1818181818181,,,,,
3397,-10061011.856994,291,990000,336.6666666666667,0.05,0.02,22,1.6700545113490506e-10,14969572.0
3397,-18030712.508961,294,1000000,602.0,,,,,
3397,-22555586.751028873,297,1010000,751.25,,,,,
3397,-18510034.845112383,300,1020000,617.5384615384615,,,,,
