rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
670.6666666666666,10000,3,-19849134.701103,3333,,,,,
802.4,20000,6,-23716869.9440182,3331,,,,,
876.5,30000,8,-26002998.616548248,3336,,,,,
820.8181818181819,40000,11,-24326655.95492218,3340,,,,,
859.2142857142857,50000,14,-25492544.3847605,3341,,,,,
,60000,17,,3341,2.472554383459169e-10,0,0.05,10111001.0,0.02
752.0,70000,20,-22277591.3262505,3344,,,,,
834.6666666666666,80000,23,-24799419.62237917,3347,,,,,
730.0,90000,26,-21525045.249175273,3350,,,,,
771.5384615384615,100000,29,-22769628.655943997,3352,,,,,
,110000,32,,3353,2.100662560566846e-10,1,0.05,11901007.0,0.02
1000.0,120000,35,-29870220.0,3356,,,,,
724.1428571428571,130000,38,-21382693.98011886,3356,,,,,
785.4444444444445,140000,41,-23235029.785009444,3356,,,,,
839.0833333333334,150000,44,-24573587.229452584,3358,,,,,
862.0714285714286,160000,47,-25326029.269216,3358,,,,,
508.5,170000,50,-15042245.753366,3359,2.48971870897563e-10,2,0.05,10041295.0,0.02
605.0,180000,53,-17918872.4684716,3361,,,,,
670.8888888888889,190000,56,-19845179.460346777,3362,,,,,
730.7272727272727,200000,59,-21582470.939565364,3362,,,,,
788.4285714285714,210000,62,-23340495.97088986,3363,,,,,
16.0,220000,65,-126810.0,3363,2.0961163360588841e-10,3,0.05,11926819.0,0.02
605.2,230000,68,-17922850.1086284,3363,,,,,
630.375,240000,71,-18651057.268647,3364,,,,,
671.3333333333334,250000,74,-19907658.162461665,3365,,,,,
718.2857142857143,260000,77,-21312986.097176857,3366,,,,,
1000.0,270000,80,-29559700.0,3366,1.8845529303757047e-10,4,0.05,13265746.0,0.02
615.2,280000,83,-17936822.033012,3365,,,,,
610.6,290000,86,-17906826.661533304,3366,,,,,
675.5,300000,89,-19838078.851731833,3366,,,,,
,310000,92,,3365,1.774793367825822e-10,5,0.05,14086146.0,0.02
669.6666666666666,320000,95,-19939044.82927433,3365,,,,,
717.2857142857143,330000,98,-21314535.48557214,3365,,,,,
780.1111111111111,340000,101,-23192662.192676775,3365,,,,,
670.2,350000,104,-19834081.485553462,3365,,,,,
342.3333333333333,360000,106,-10003614.147407332,3365,1.7651134720519934e-10,6,0.05,14163395.0,0.02
671.1666666666666,370000,109,-19466209.640373334,3366,,,,,
753.375,380000,112,-21977846.381203126,3366,,,,,
604.1333333333333,390000,115,-17707235.387392733,3366,,,,,
1000.0,400000,118,-29806255.366754,3366,1.7013630781992362e-10,7,0.05,14694100.0,0.02
1000.0,410000,121,-29740754.121382,3365,,,,,
1000.0,420000,124,-29730801.812085506,3365,,,,,
1000.0,430000,127,-29699131.96923689,3365,,,,,
1000.0,440000,130,-29688669.21733446,3364,,,,,
934.0714285714286,450000,133,-27641712.018657293,3364,,,,,
1000.0,460000,136,-29789944.274442,3364,3.4623140465761537e-10,8,0.05,7220604.5,0.02
508.5,470000,139,-14981486.043982165,3364,,,,,
551.7272727272727,480000,142,-16325392.035084909,3364,,,,,
,490000,145,,3360,1.631684787284371e-10,9,0.05,15321586.0,0.02
752.5,500000,148,-22371885.47543475,3359,,,,,
718.5714285714286,510000,151,-21346761.67297757,3359,,,,,
670.75,520000,154,-19929434.511483166,3359,,,,,
671.9333333333333,530000,157,-19929491.135196395,3359,,,,,
533.5,540000,160,-15513396.99710675,3359,1.7603483948303023e-10,10,0.05,14201733.0,0.02
689.0,550000,163,-20257628.314120166,3359,,,,,
714.0,560000,166,-21058006.6111129,3359,,,,,
,570000,169,,3359,1.670511506901562e-10,11,0.05,14965475.0,0.02
753.0,580000,172,-22410585.23658225,3359,,,,,
717.4285714285714,590000,175,-21338960.20916014,3359,,,,,
802.2,600000,178,-23900352.8614097,3360,,,,,
835.1666666666666,610000,181,-24902954.531110168,3360,,,,,
868.1333333333333,620000,184,-25871005.590017334,3360,,,,,
1000.0,630000,187,-29675962.562325,3360,2.4659435604590385e-10,12,0.05,10138107.0,0.02
603.2,640000,190,-17879892.7995828,3360,,,,,
752.0,650000,193,-22292147.5568975,3360,,,,,
731.5454545454545,660000,196,-21642211.598099455,3360,,,,,
789.0714285714286,670000,199,-23398005.272535,3361,,,,,
11.0,680000,202,-108102.201299,3361,2.104166285654685e-10,13,0.05,11881190.0,0.02
506.0,690000,205,-14985536.129652834,3361,,,,,
629.5,700000,208,-18694648.226517,3361,,,,,
730.5454545454545,710000,211,-21728995.968689088,3361,,,,,
17.0,720000,214,-131235.682498,3361,1.6831558369290178e-10,14,0.05,14853052.0,0.02
437.85714285714283,730000,217,-12734944.299565429,3361,,,,,
430.8333333333333,740000,220,-12526646.932748502,3361,,,,,
17.0,750000,223,-167666.678066,3361,1.6514302425552074e-10,15,0.05,15138392.0,0.02
408.8,760000,226,-12013943.9418282,3362,,,,,
364.42857142857144,770000,229,-10730907.470876643,3362,,,,,
10.0,780000,231,-96680.430124,3362,1.6436550731580013e-10,16,0.05,15210003.0,0.02
752.5,790000,234,-22411737.259336,3362,,,,,
716.8571428571429,800000,237,-21332857.18660257,3362,,,,,
801.8,810000,240,-23855379.627977498,3362,,,,,
771.0769230769231,820000,243,-22967411.440503843,3362,,,,,
340.6666666666667,830000,246,-9957998.973212667,3362,1.8807111423768674e-10,17,0.05,13292844.0,0.02
604.4,840000,249,-17868900.6872502,3362,,,,,
670.1111111111111,850000,252,-19874757.69886022,3362,,,,,
730.0909090909091,860000,255,-21690531.59576936,3361,,,,,
736.0666666666667,870000,258,-21872784.094981663,3361,,,,,
1000.0,880000,261,-29518404.620472,3361,1.882894534732671e-10,18,0.05,13277430.0,0.02
1000.0,890000,264,-29716700.8371085,3361,,,,,
858.8571428571429,900000,267,-25407283.991092432,3361,,,,,
803.8,910000,270,-23789740.9495198,3361,,,,,
738.2666666666667,920000,273,-21830055.320063666,3361,,,,,
338.3333333333333,930000,276,-10076853.198694333,3361,1.8957624359217107e-10,19,0.05,13187306.0,0.02
451.1111111111111,940000,279,-13354423.117672779,3361,,,,,
506.6666666666667,950000,282,-15006802.04353617,3361,,,,,
,960000,285,,3362,1.641388552853229e-10,20,0.05,15231007.0,0.02
1000.0,970000,288,-29832308.5744375,3362,,,,,
834.8333333333334,980000,291,-24900467.909928665,3362,,,,,
779.5555555555555,990000,294,-23243574.468716,3362,,,,,
718.0714285714286,1000000,297,-21337306.43670886,3362,,,,,
