time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/return_std,train/delta_std,train/learning_rate,train/iterations,train/step_size
3392,2,523.75,10000,-15237246.43692025,,,,,
3400,5,682.5,20000,-20079105.557360332,,,,,
3404,8,788.3333333333334,30000,-23339134.959552333,,,,,
3407,11,826.8181818181819,40000,-24529227.54215409,,,,,
3411,14,863.9285714285714,50000,-25670890.142247498,,,,,
3410,17,,60000,,9957283.0,0.05,0.02,0,2.5107249612688065e-10
3413,20,1000.0,70000,-29619000.329231333,,,,,
3373,23,835.6666666666666,80000,-24825365.559802163,,,,,
3378,26,673.0,90000,-19928449.66104958,,,,,
3382,29,719.7142857142857,100000,-21344786.82234914,,,,,
3385,32,506.0,110000,-15086067.756980501,13218017.0,0.05,0.02,1,1.8913577648493884e-10
3387,35,753.0,120000,-22432565.64761925,,,,,
3390,38,858.8571428571429,130000,-25456201.851349145,,,,,
3392,41,802.2,140000,-23815067.640089,,,,,
3393,44,788.0,150000,-23419187.190819714,,,,,
3399,47,,160000,,11963535.0,0.05,0.02,2,2.0896832875205718e-10
3401,49,755.75,170000,-22492491.2600415,,,,,
3401,52,563.5555555555555,180000,-16699971.955315556,,,,,
3402,55,672.6666666666666,190000,-19930125.676466916,,,,,
3403,58,719.4285714285714,200000,-21352423.591279,,,,,
3404,61,506.5,210000,-14901630.2516715,13254428.0,0.05,0.02,3,1.8861620598720208e-10
3404,64,605.2,220000,-17866100.8003034,,,,,
3409,67,604.2,230000,-17886078.1781277,,,,,
3409,70,670.1666666666666,240000,-19876597.983936332,,,,,
3409,73,,250000,,14152330.0,0.05,0.02,4,1.7664936180494806e-10
3409,76,1000.0,260000,-29815608.420997,,,,,
3409,79,717.4285714285714,270000,-21332271.865728576,,,,,
3409,82,589.25,280000,-17463584.840386916,,,,,
3396,85,671.4,290000,-19933111.89213093,,,,,
3397,88,1000.0,300000,-29945288.429942,14196762.0,0.05,0.02,5,1.7609648461647254e-10
3397,91,805.6,310000,-24005084.467211604,,,,,
3397,94,861.1428571428571,320000,-25697114.47705443,,,,,
3397,97,696.3076923076923,330000,-20753573.56214708,,,,,
3398,100,,340000,,14247856.0,0.05,0.02,6,1.7546498976006575e-10
3398,102,1000.0,350000,-29862353.048723,,,,,
3399,105,1000.0,360000,-29917878.6503086,,,,,
3400,108,1000.0,370000,-29932703.678158373,,,,,
3403,111,837.8333333333334,380000,-25010583.767855246,,,,,
3405,114,861.0,390000,-25652954.537615925,,,,,
3405,117,505.5,400000,-15042808.448706001,10058458.0,0.05,0.02,7,2.485470440571902e-10
3403,120,606.6,410000,-18021223.5457804,,,,,
3405,123,754.125,420000,-22310659.880089875,,,,,
3405,126,670.75,430000,-19872543.936145417,,,,,
3406,129,736.6,440000,-21888678.586083468,,,,,
3408,132,259.0,450000,-7610554.83763675,13251368.0,0.05,0.02,8,1.886597683631308e-10
3408,134,576.5714285714286,460000,-17165275.598957572,,,,,
3408,137,670.6666666666666,470000,-20014693.207907554,,,,,
3408,140,753.0,480000,-22519119.636760745,,,,,
3408,143,13.0,490000,-158607.750323,14265095.0,0.05,0.02,9,1.7525295104015015e-10
3409,146,753.25,500000,-22521238.98877175,,,,,
3409,149,560.3333333333334,510000,-16709290.548491333,,,,,
3409,152,575.7857142857143,520000,-17175074.2195155,,,,,
3409,155,,530000,,14896865.0,0.05,0.02,10,1.6782054912400923e-10
3410,158,1000.0,540000,-29975001.340814997,,,,,
3410,161,720.5714285714286,550000,-21482037.844787713,,,,,
3410,164,732.0909090909091,560000,-21848033.979513,,,,,
3410,167,718.7142857142857,570000,-21443728.270451356,,,,,
3410,170,669.0,580000,-20064619.802948665,14235951.0,0.05,0.02,11,1.7561173348834558e-10
3411,172,670.1666666666666,590000,-20062656.5794335,,,,,
3411,175,780.1111111111111,600000,-23374490.072518554,,,,,
3411,178,820.0909090909091,610000,-24574609.117791727,,,,,
3411,181,858.6428571428571,620000,-25733034.568264216,,,,,
3411,184,,630000,,10202383.0,0.05,0.02,12,2.4504079321197025e-10
3411,187,752.0,640000,-22494769.611284,,,,,
3413,190,558.8888888888889,650000,-16673703.21275422,,,,,
3413,193,619.3846153846154,660000,-18482583.984308228,,,,,
3413,196,670.1333333333333,670000,-20018365.055049468,,,,,
3413,199,669.0,680000,-19947153.421265002,14263019.0,0.05,0.02,13,1.7527845841414091e-10
3413,202,801.4,690000,-23912929.1441186,,,,,
3413,205,875.875,700000,-26222896.445148624,,,,,
3413,207,900.7,710000,-26964865.195292402,,,,,
3413,210,858.2857142857143,720000,-25695464.758186717,,,,,
3413,213,,730000,,10201039.0,0.05,0.02,14,2.4507307294641123e-10
3413,216,753.5,740000,-22503916.75440525,,,,,
3413,219,561.0,750000,-16707325.819398334,,,,,
3413,222,619.7692307692307,760000,-18485814.49349862,,,,,
3413,225,,770000,,14918612.0,0.05,0.02,15,1.6757591148053308e-10
3413,228,505.8333333333333,780000,-14981868.692320334,,,,,
