rollout/ep_len_mean,train/approx_kl,time/fps,train/std,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance
92.38,0.0008297167,1697,1.000112771987915,2065413248.0,-12.77094650194049,10,-0.0017354272767988732,0.0,0.2,4128683341.0,-370946.9043917699,0.0003,10000,5,-2.0265579223632812e-06
87.0,0.0004313844,1715,0.9999825954437256,1884522496.0,-12.7708351328969,20,-0.0011970527866651537,0.0,0.2,4115745317.0,-347949.9338512299,0.0003,20000,11,-1.1920928955078125e-07
83.39,0.00045213383,1721,0.9995367527008057,2341852928.0,-12.768320221453905,30,-0.0012328350583629799,0.0,0.2,4139148547.0,-332781.76178928994,0.0003,30000,17,0.0
69.78,0.0007096627,1724,0.9992976784706116,2141646592.0,-12.765196746587753,40,-0.0014337055539726863,0.0,0.2,3789551653.6,-280583.02628441004,0.0003,40000,23,0.0
76.07,0.00033234083,1579,0.9992651343345642,2077752576.0,-12.76376673951745,60,-0.000834050652156293,0.0,0.2,3848585741.0,-294634.71823042,0.0003,50000,31,0.0
66.64,0.00071217795,1603,0.9995285868644714,1859913472.0,-12.764974384009838,70,-0.0013917525609031145,0.0,0.2,3767794285.8,-266334.9304823799,0.0003,60000,37,0.0
75.04,0.00090968097,1620,0.9993506669998169,1815386880.0,-12.765326809883117,80,-0.0016705580654161167,0.0,0.2,3799891725.0,-291045.86766392,0.0003,70000,43,0.0
68.89,0.00026723417,1634,0.9996011257171631,2175519232.0,-12.765715595334768,90,-0.000943095149432338,0.0,0.2,3931738506.0,-271669.04771929,0.0003,80000,48,-1.1920928955078125e-07
86.17,0.00043398765,1644,0.9988908767700195,2081645568.0,-12.763637447357178,100,-0.0011200920949704595,0.0,0.2,3942492587.0,-309545.43117581005,0.0003,90000,54,0.0
86.08,0.0007971645,1582,0.999069333076477,2034004352.0,-12.762048514187336,120,-0.0015779880597619922,0.0,0.2,3487051663.2,-316910.92129799,0.0003,100000,63,0.0
72.24,0.00040201226,1595,0.9987111687660217,2293628928.0,-12.760443513095378,130,-0.001026274047944753,0.0,0.2,3943135754.0,-286940.17418872996,0.0003,110000,68,5.960464477539063e-08
77.11,0.00025740295,1606,0.9985701441764832,1879885440.0,-12.758166322112084,140,-0.00073797364384518,0.0,0.2,3860893374.4,-295512.00868409,0.0003,120000,74,0.0
73.35,0.00044090595,1615,0.9986848831176758,1752404480.0,-12.758024749904871,150,-0.0010099652741700992,0.0,0.2,3742890166.4,-277592.52104546,0.0003,130000,80,0.0
61.23,0.0007027319,1573,0.998255729675293,1827781120.0,-12.754701530188322,170,-0.001250780891496106,0.0,0.2,3648769991.2,-245492.77954224002,0.0003,140000,88,-2.384185791015625e-07
72.75,0.00059162,1583,0.998092770576477,1730502656.0,-12.753948758542538,180,-0.0010509722173082992,0.0,0.2,3345818004.8,-256837.71803429004,0.0003,150000,94,1.7881393432617188e-07
71.51,0.0008384654,1591,0.997929036617279,1746293760.0,-12.752529181540012,190,-0.0015261095551977633,0.0,0.2,3256308254.6,-258280.21399366003,0.0003,160000,100,0.0
74.75,0.0010912872,1599,0.9976298213005066,1792359296.0,-12.750379384309053,200,-0.0018252609688715893,0.0,0.2,3646641787.6,-277480.45963315,0.0003,170000,106,0.0
70.43,0.0010789402,1606,0.9975817203521729,1783169792.0,-12.748788644373416,210,-0.0017092664862502715,2.44140625e-05,0.2,3526887467.4,-255378.11199345996,0.0003,180000,112,0.0
75.27,0.00070157845,1576,0.9969984889030457,1450943232.0,-12.74487520828843,230,-0.0012676545127760618,0.0,0.2,3501975313.8,-273865.01177007,0.0003,190000,120,2.384185791015625e-07
63.62,0.00068864704,1583,0.9966728687286377,1531749248.0,-12.741846476495265,240,-0.0011666940295981475,0.0,0.2,3561415811.4,-238198.30552137003,0.0003,200000,126,0.0
64.34,0.00074392563,1589,0.9966490268707275,2270989312.0,-12.740276312828064,250,-0.0014069817852941924,0.0,0.2,3455407895.6,-244096.88981747,0.0003,210000,132,0.0
68.72,0.00061895023,1595,0.9966719150543213,1997783808.0,-12.740379859507083,260,-0.0011933999905522797,0.0,0.2,3363361661.6,-246238.32810691997,0.0003,220000,137,-1.1920928955078125e-07
77.39,0.000696257,1571,0.9968916773796082,1518704896.0,-12.742273785173893,280,-0.001281489757639065,0.0,0.2,3110483867.6,-266525.01956685,0.0003,230000,146,2.384185791015625e-07
70.97,0.00062404544,1577,0.9966514110565186,1318532864.0,-12.741274744272232,290,-0.0010553886446359683,0.0,0.2,3253038157.4,-240562.81645530998,0.0003,240000,152,1.1920928955078125e-07
55.37,0.0006579102,1583,0.9963671565055847,1807445504.0,-12.738906058669091,300,-0.0011147396553496947,0.0,0.2,3295976315.8,-209477.99030821,0.0003,250000,157,0.0
62.43,0.00046416261,1588,0.9964226484298706,1677964800.0,-12.737828058004379,310,-0.0009715244470498874,0.0,0.2,3325620043.8,-231550.62256268,0.0003,260000,163,-1.1920928955078125e-07
70.88,0.00034473737,1593,0.9962528944015503,1890700160.0,-12.737333906441927,320,-0.0008923229961510515,0.0,0.2,3259329541.2,-248713.76203521003,0.0003,270000,169,0.0
66.48,0.00035065907,1573,0.995701789855957,1506593536.0,-12.732591167092323,340,-0.0009408515454197186,0.0,0.2,3293953798.2,-238523.15147717003,0.0003,280000,177,0.0
80.42,0.0006720014,1578,0.9954500198364258,1646166272.0,-12.73045884296298,350,-0.0012593792842380935,0.0,0.2,3018932489.9,-266813.5681288,0.0003,290000,183,0.0
58.84,0.0012728573,1582,0.9954369068145752,1871401600.0,-12.729210586845875,360,-0.0017595820972928777,0.0,0.2,2974237877.9,-217404.26292371002,0.0003,300000,189,-2.384185791015625e-07
63.43,0.0003794402,1586,0.9957482814788818,1612493824.0,-12.730518939346075,370,-0.0009375740182804293,0.0,0.2,3205490154.4,-219396.62369066998,0.0003,310000,195,1.1920928955078125e-07
64.59,0.0006734999,1569,0.995123565196991,1628816896.0,-12.728486500680447,390,-0.0011461216145107755,0.0,0.2,3065810476.3,-222442.28540912003,0.0003,320000,203,-1.1920928955078125e-07
62.6,0.000571626,1574,0.9949267506599426,1291756416.0,-12.725307407230138,400,-0.0009004252162412741,0.0,0.2,2983598928.3,-217952.86614975,0.0003,330000,209,0.0
60.26,0.000864728,1578,0.9950886964797974,1364680704.0,-12.725122044235468,410,-0.0013632014271934168,0.0,0.2,3327906397.2,-218353.44073381997,0.0003,340000,215,1.1920928955078125e-07
63.31,0.00060074136,1582,0.9947710037231445,1630752256.0,-12.724458578974009,420,-0.0011041268251574365,0.0,0.2,2994394562.7,-228556.88818815994,0.0003,350000,221,1.1920928955078125e-07
65.05,0.0010266383,1585,0.9947640299797058,1750834560.0,-12.722940410673619,430,-0.0017248115476832027,7.32421875e-05,0.2,3134285748.8,-227276.92546705,0.0003,360000,227,-1.1920928955078125e-07
64.32,0.00018855,1570,0.9943060278892517,1509775872.0,-12.719266708940268,450,-0.0005721686678953119,0.0,0.2,2901585258.6,-222983.50699857998,0.0003,370000,235,1.1920928955078125e-07
65.87,0.00055577006,1574,0.9942699074745178,1396572160.0,-12.718605352938175,460,-0.0010679267570594675,0.0,0.2,2950070114.4,-221700.63615741997,0.0003,380000,241,0.0
64.69,0.00084645057,1577,0.9942437410354614,1419248640.0,-12.718372684717178,470,-0.001230993730132468,0.0,0.2,2932692300.8,-216431.75951214004,0.0003,390000,247,1.7881393432617188e-07
62.12,0.0006481804,1581,0.9941504001617432,1101839360.0,-12.717784185707568,480,-0.0011749637331377016,0.0,0.2,2913790258.6,-214225.28468726,0.0003,400000,252,1.1920928955078125e-07
66.65,0.00044216734,1567,0.9938068389892578,1304938112.0,-12.714465152472258,500,-0.0008735691642868914,0.0,0.2,2736215199.1,-215123.80420554,0.0003,410000,261,0.0
73.93,0.00020751703,1571,0.99338299036026,1518731520.0,-12.712264835834503,510,-0.0008136813607052318,0.0,0.2,2803849540.7,-238982.36141642,0.0003,420000,267,0.0
72.62,0.0007370971,1574,0.9930989742279053,1253282944.0,-12.708961007744074,520,-0.001189197526218777,0.0,0.2,2789755932.6,-235733.01163025995,0.0003,430000,273,0.0
64.03,0.000392298,1577,0.9930733442306519,1428266368.0,-12.707595476508141,530,-0.0008993412691779667,0.0,0.2,2846770260.9,-217877.52944287995,0.0003,440000,278,0.0
