train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/std,rollout/ep_len_mean,train/clip_range,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/fps
3253205399.6,-439453.6721101389,-0.0032378716165112563,1602375296.0,0.9996273517608643,127.36111111111111,0.2,6,0.0003,0.0018858481,0.00018310546875,10000,10,1.3709068298339844e-06,-12.768873578310012,1512
3000929128.5,-412821.75082197005,-0.0010880153236939804,1499923584.0,0.999403715133667,124.22,0.2,13,0.0003,0.0003578649,0.0,20000,20,1.1920928955078125e-07,-12.766137197613716,1515
3005190495.1,-380733.37359196,-0.0009797613888622436,1522547968.0,0.9991626739501953,117.51,0.2,19,0.0003,0.0002742124,0.0,30000,30,0.0,-12.764009492099285,1514
2966018629.4,-386825.91048319003,-0.0013453038822262898,1431512448.0,0.999103307723999,121.51,0.2,26,0.0003,0.0006752714,0.0,40000,40,0.0,-12.76269001364708,1516
2704558537.6,-328275.24228778,-0.00163908595477551,1464337152.0,0.9990971088409424,103.43,0.2,36,0.0003,0.0007863012,1.220703125e-05,50000,60,0.0,-12.761522717028857,1382
2649926355.9,-375359.09715107,-0.0011558790311937627,1280847488.0,0.9991261959075928,123.67,0.2,42,0.0003,0.00052251224,0.0,60000,70,0.0,-12.762514832615853,1401
2836538601.6,-393029.1574387599,-0.0015065415698700235,1501168896.0,0.9988293051719666,127.26,0.2,49,0.0003,0.00070089847,0.0,70000,80,0.0,-12.761247400194407,1416
2575711715.8,-402771.75674888,-0.0019049372929657693,1363420160.0,0.9990397691726685,129.46,0.2,56,0.0003,0.0012034748,4.8828125e-05,80000,90,-1.1920928955078125e-07,-12.760811764001847,1428
2764627053.6,-379684.44757811003,-0.0014107271155808121,1029865472.0,0.9986811876296997,123.08,0.2,62,0.0003,0.0006187249,0.0,90000,100,2.384185791015625e-07,-12.760152080655098,1437
2794465410.5,-329124.81289301993,-0.001362576560859452,1565920384.0,0.9984353184700012,102.49,0.2,72,0.0003,0.0005528078,0.0,100000,120,0.0,-12.75622499883175,1380
2597832043.6,-358151.09267559997,-0.0012914136959807365,1356272640.0,0.9980306625366211,119.94,0.2,79,0.0003,0.00038286712,0.0,110000,130,0.0,-12.754533213376998,1392
2585317603.4,-380334.20702144987,-0.0012613142803274968,1160882816.0,0.9981552958488464,127.33,0.2,85,0.0003,0.00061069126,0.0,120000,140,0.0,-12.753267154842614,1401
2599041838.6,-376310.7510799,-0.0016271086507913424,1250529536.0,0.9981768727302551,132.44,0.2,92,0.0003,0.00091605174,1.220703125e-05,130000,150,-1.1920928955078125e-07,-12.75379696637392,1410
2458423326.7,-363614.98396067997,-0.0018641298922375427,1288294912.0,0.9979983568191528,126.58,0.2,102,0.0003,0.0012034632,3.662109375e-05,140000,170,1.1920928955078125e-07,-12.752114217728376,1371
2322803497.8,-339662.09378828,-0.0019177279609721154,1088806784.0,0.9972639083862305,119.73,0.2,108,0.0003,0.0013307565,1.220703125e-05,150000,180,5.960464477539063e-08,-12.749139009416103,1380
2435321764.1,-325003.24754005997,-0.0015418435612446046,1056707712.0,0.9971264600753784,111.94,0.2,115,0.0003,0.0006858808,0.0,160000,190,5.960464477539063e-08,-12.745091458410025,1388
2572211985.3,-378220.72138094,-0.0017785153300792444,1184883328.0,0.9970929622650146,129.98,0.2,121,0.0003,0.001007701,1.220703125e-05,170000,200,0.0,-12.744349873811007,1395
2359948292.0,-329994.52218545997,-0.0014490140638372395,1264553984.0,0.9967129826545715,119.76,0.2,128,0.0003,0.0006258125,0.0,180000,210,0.0,-12.742536955326795,1402
2290036288.8,-361996.0864723301,-0.001614959284233919,1150940416.0,0.9961869716644287,132.87,0.2,138,0.0003,0.00063292275,0.0,190000,230,0.0,-12.736547867953778,1376
