rollout/ep_len_mean,train/n_updates,train/ent_coef,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/learning_rate
296.2962962962963,2474,1.7571041584014893,27,-7520839.466510445,5299.60595703125,265718.875,188,-11.480624198913574,10000,53,0.0003
6.0,4974,4.44657564163208,1362,-100145.78190721999,6237.1318359375,351760.4375,186,-52.28086853027344,20000,107,0.0003
6.0,7474,8.8643159866333,3028,-100138.88449112001,14657.7568359375,410485.5625,185,-50.701480865478516,30000,161,0.0003
6.0,9974,17.099445343017578,3717,-100131.12172937999,21008.744140625,536200.6875,185,-57.5303840637207,40000,215,0.0003
6.0,12474,35.09153747558594,4939,-100094.52974014002,9604.1533203125,518319.1875,185,-63.51522445678711,50000,270,0.0003
5.89,14974,63.36248016357422,5954,-99818.1789845,9325.1650390625,634280.625,184,-33.88860321044922,60000,324,0.0003
15.62,17474,110.03804779052734,7475,-396950.78744518996,8937.4638671875,512264.375,184,-20.656328201293945,70000,379,0.0003
15.78,19974,163.2769012451172,8168,-400475.7303896401,9152.376953125,729794.0625,183,-3.9615612030029297,80000,435,0.0003
45.12,22474,186.70509338378906,8518,-1283934.9598444102,18635.15234375,833677.125,183,2.400829792022705,90000,489,0.0003
66.57,24974,194.15859985351562,8682,-1915871.91699229,7842.2451171875,911500.8125,183,0.4045892655849457,100000,543,0.0003
108.45,27474,183.58021545410156,8758,-3102784.6120423903,7420.91455078125,1034608.25,184,1.0030405521392822,110000,597,0.0003
28.17,29974,224.64913940429688,8911,-407736.41961185,16334.796875,1212114.5,184,-4.490599155426025,120000,652,0.0003
43.3,32474,270.0261535644531,9103,-811671.3588118601,17568.189453125,1252515.875,183,-5.674073696136475,130000,706,0.0003
101.55,34974,235.52706909179688,9207,-2178138.44629938,25247.697265625,1138503.5,183,-0.8650329113006592,140000,761,0.0003
62.94,37474,266.1459655761719,9364,-522422.06099351007,21516.611328125,1055132.5,183,-0.8438563346862793,150000,816,0.0003
107.77,39974,251.46377563476562,9443,-1609246.42243076,25246.263671875,1007542.625,183,-5.704901695251465,160000,871,0.0003
105.35,42474,260.25433349609375,9525,-1781774.6722422102,23419.2578125,856150.0625,183,-1.773797631263733,170000,925,0.0003
162.18,44974,282.05706787109375,9562,-3178002.4968183804,24398.7890625,836689.8125,183,-3.96747088432312,180000,979,0.0003
61.05,47474,321.062255859375,9712,-880059.53080592,27757.037109375,822775.6875,183,3.924805164337158,190000,1034,0.0003
116.74,49974,343.2275695800781,9775,-1980954.13768672,33738.5703125,797361.625,183,-2.0278871059417725,200000,1088,0.0003
64.91,52474,364.3049011230469,9904,-730796.0914342902,33346.26953125,761714.0625,183,3.6591596603393555,210000,1143,0.0003
102.12,54974,369.20556640625,10004,-1613998.0037867106,29264.8828125,733453.0,183,-5.514193058013916,220000,1198,0.0003
8.55,57474,369.9155578613281,10793,-116713.44913394,25865.357421875,744775.5,183,1.7456746101379395,230000,1253,0.0003
7.95,59974,388.90496826171875,11683,-116073.16367630998,31929.62109375,696045.5625,183,-0.6429938673973083,240000,1307,0.0003
19.47,62474,366.0172119140625,12304,-296318.25359221007,20564.40625,626260.125,183,0.09003237634897232,250000,1362,0.0003
48.67,64974,321.56878662109375,12704,-826297.1844941999,21514.54296875,702166.8125,183,-2.9569807052612305,260000,1417,0.0003
24.84,67474,361.88323974609375,12980,-249227.78091630002,21237.107421875,689404.375,183,0.08281445503234863,270000,1472,0.0003
16.89,69974,415.5868835449219,13378,-214505.56317708,24728.076171875,606816.125,183,1.437038779258728,280000,1528,0.0003
6.48,72474,386.43218994140625,14609,-107893.17640423002,22404.11328125,527396.1875,183,1.0790190696716309,290000,1584,0.0003
39.51,74974,283.3590087890625,15230,-591789.80242895,18892.9765625,393652.5625,182,-0.007950067520141602,300000,1640,0.0003
20.31,77474,210.4840850830078,16266,-117293.07007341,19610.82421875,401481.875,182,-0.1740422248840332,310000,1697,0.0003
25.18,79974,207.83218383789062,16811,-135143.70003880005,14848.650390625,395305.625,182,-2.610943078994751,320000,1752,0.0003
18.23,82474,226.70396423339844,17372,-197905.26856521,15303.11328125,392079.125,182,-2.2654311656951904,330000,1809,0.0003
26.66,84974,223.67955017089844,17784,-128140.5044757,15629.4873046875,355918.09375,182,-2.58860182762146,340000,1865,0.0003
9.7,87474,206.1342010498047,18419,-104164.02622637,16575.7578125,345401.5,182,-3.844118118286133,350000,1921,0.0003
10.98,89974,187.4308319091797,19514,-107615.24695560003,14683.8818359375,291572.78125,182,-2.5932857990264893,360000,1976,0.0003
82.9,92474,144.38394165039062,19789,-1198452.62259768,13823.8564453125,271181.625,182,-0.19539040327072144,370000,2032,0.0003
31.78,94974,147.30300903320312,20146,-132049.31818692,11495.7236328125,265924.90625,181,-5.791772842407227,380000,2088,0.0003
7.14,97474,148.34439086914062,20729,-100144.23312318999,10025.4189453125,246458.21875,181,-0.42427316308021545,390000,2145,0.0003
5.24,99974,162.19061279296875,22431,-99239.92902324999,9691.1787109375,234318.109375,181,-1.332319974899292,400000,2202,0.0003
8.81,102474,159.23228454589844,23944,-108907.72103113,9096.3671875,237942.40625,181,-0.6186839938163757,410000,2259,0.0003
9.6,104974,145.85049438476562,25082,-111134.21829302999,8063.6767578125,217646.40625,181,1.4896926879882812,420000,2315,0.0003
13.41,107474,134.26251220703125,25950,-178146.87451494994,7484.89306640625,188419.3125,181,0.7448511719703674,430000,2374,0.0003
9.7,109974,127.03569793701172,26599,-110720.5840946,8107.02001953125,207876.140625,181,-0.4137176275253296,440000,2430,0.0003
17.34,112474,121.11067199707031,27122,-116715.67664654998,7390.34765625,199522.9375,180,-0.860737144947052,450000,2487,0.0003
13.3,114974,111.54827880859375,27906,-105875.76171321998,7341.96240234375,204173.015625,180,-0.8722417950630188,460000,2544,0.0003
9.06,117474,113.17256927490234,28731,-99664.02574949,6403.15478515625,189502.171875,180,-0.049393534660339355,470000,2601,0.0003
5.51,119974,116.20687866210938,30149,-99648.42000669999,5901.4580078125,195650.8125,180,-0.20824241638183594,480000,2660,0.0003
5.45,122474,112.31439208984375,31981,-99704.3369133,5875.94580078125,190697.859375,180,0.8019810318946838,490000,2719,0.0003
6.09,124974,103.89805603027344,33768,-99632.89423155997,5391.0556640625,185257.875,180,-3.178231954574585,500000,2775,0.0003
5.85,127474,97.14000701904297,34873,-99261.17216095001,5182.05810546875,166117.546875,180,3.190356492996216,510000,2831,0.0003
6.8,129974,82.73445129394531,36379,-99421.12030297998,4499.376953125,161225.53125,180,1.9705424308776855,520000,2887,0.0003
12.4,132474,75.06193542480469,37408,-99751.73514502002,4529.92529296875,167641.609375,180,-2.6619811058044434,530000,2943,0.0003
8.92,134974,73.79915618896484,38473,-98108.65194553001,3867.4208984375,150976.734375,180,-2.6047439575195312,540000,2999,0.0003
18.52,137474,63.76608657836914,39351,-107899.60487756999,4428.6845703125,148775.125,179,-3.4524807929992676,550000,3055,0.0003
15.68,139974,67.54582214355469,39854,-107056.82196874,4052.919189453125,135291.984375,179,1.4092904329299927,560000,3112,0.0003
16.9,142474,65.38092803955078,40434,-97848.80713647998,3832.423095703125,134094.484375,179,0.9366726875305176,570000,3168,0.0003
18.35,144974,60.482269287109375,40926,-97465.93641582999,3681.061279296875,140376.875,179,-0.8383727669715881,580000,3225,0.0003
7.27,147474,55.36369705200195,42071,-95888.52606900997,3704.454833984375,130168.28125,179,-0.9219337701797485,590000,3282,0.0003
13.68,149974,54.36360168457031,43047,-101395.42027052,3028.160888671875,131054.2421875,179,-2.0590715408325195,600000,3338,0.0003
29.03,152474,54.921226501464844,43426,-108395.46225816,3091.929443359375,133295.765625,179,1.4081053733825684,610000,3393,0.0003
66.85,154974,54.44009017944336,43600,-141317.75048214998,3099.667724609375,120288.15625,179,3.801068067550659,620000,3449,0.0003
45.48,157474,56.195796966552734,43840,-132004.21610107002,2994.91748046875,125540.78125,179,-1.4582139253616333,630000,3504,0.0003
31.82,159974,55.66035079956055,44145,-109493.80346488001,2974.299072265625,121819.59375,179,0.8809062242507935,640000,3561,0.0003
47.12,162474,56.592002868652344,44375,-115935.25225134999,3983.169677734375,128759.5390625,179,-3.1644883155822754,650000,3617,0.0003
38.07,164974,56.964813232421875,44638,-111812.7933383,2777.92724609375,123744.84375,179,-0.18772566318511963,660000,3673,0.0003
29.27,167474,56.55253601074219,44972,-107304.37813266998,2790.3974609375,120059.359375,179,-0.274719774723053,670000,3730,0.0003
28.48,169974,54.44696807861328,45298,-113313.33466774,2669.880859375,117224.890625,179,0.7605485320091248,680000,3787,0.0003
15.0,172474,52.95948791503906,45744,-103594.87309425998,2813.77099609375,114708.8828125,179,1.4386310577392578,690000,3844,0.0003
17.72,174974,51.34664535522461,46404,-105770.71846203,2798.897216796875,116543.765625,179,-0.12070803344249725,700000,3900,0.0003
20.09,177474,47.621646881103516,46828,-108385.86001032,2713.52880859375,117365.140625,179,-1.1004574298858643,710000,3956,0.0003
22.0,179974,45.747493743896484,47381,-102243.35578187,2569.431884765625,113562.6640625,179,-1.9210803508758545,720000,4012,0.0003
15.06,182474,44.19440841674805,48081,-99514.64063145997,2477.342529296875,114178.4296875,179,0.25640496611595154,730000,4068,0.0003
14.9,184974,43.099369049072266,48803,-100595.79042096999,2871.63623046875,114881.59375,179,-2.4848973751068115,740000,4124,0.0003
26.81,187474,44.87104415893555,49278,-111527.239858,2273.67236328125,109735.796875,179,-0.5205835103988647,750000,4180,0.0003
27.83,189974,42.70035171508789,49652,-113938.10165130002,2218.663818359375,109509.84375,179,0.19454622268676758,760000,4237,0.0003
19.45,192474,39.28049087524414,50063,-100392.65766266,2190.224853515625,107982.703125,179,1.629896640777588,770000,4294,0.0003
11.08,194974,37.574249267578125,50782,-96742.19092713002,2236.688720703125,111354.78125,179,-3.6761960983276367,780000,4352,0.0003
38.79,197474,37.913700103759766,51231,-96659.36531370001,2199.02734375,109805.875,179,2.468261480331421,790000,4408,0.0003
33.96,199974,36.653560638427734,51510,-96992.47866582999,2301.131103515625,113506.84375,179,-3.3970954418182373,800000,4465,0.0003
86.5,202474,35.074642181396484,51625,-105154.96610297001,2043.875,105946.1328125,179,-1.5465166568756104,810000,4521,0.0003
79.98,204974,35.357051849365234,51737,-106715.65371727999,2145.129638671875,108430.7265625,179,-0.650101900100708,820000,4578,0.0003
76.19,207474,35.11726760864258,51892,-105361.74584762,2136.485595703125,107034.7421875,179,1.1738674640655518,830000,4634,0.0003
75.67,209974,35.14122009277344,52013,-157730.72363287,2123.703125,108548.9765625,179,-1.0338433980941772,840000,4690,0.0003
38.48,212474,35.29228591918945,52261,-100503.69237369997,2158.029296875,105883.6484375,179,2.0343217849731445,850000,4747,0.0003
28.08,214974,34.89323043823242,52574,-98221.70141431,2032.9927978515625,106741.953125,179,1.389186978340149,860000,4803,0.0003
18.92,217474,33.83213806152344,53066,-98168.75426696002,2095.17041015625,105730.0546875,179,-2.212202548980713,870000,4859,0.0003
24.71,219974,31.91192626953125,53506,-97293.50424133,2035.3721923828125,101365.546875,178,-1.096900224685669,880000,4916,0.0003
27.67,222474,30.432580947875977,53828,-100973.04156462001,2005.6929931640625,103409.921875,178,1.0660830736160278,890000,4973,0.0003
30.63,224974,29.614643096923828,54257,-103366.69884077001,1906.8271484375,102454.359375,178,2.949748992919922,900000,5029,0.0003
39.46,227474,29.262128829956055,54499,-110726.26538098,2048.22509765625,103643.7578125,178,0.47742730379104614,910000,5085,0.0003
43.12,229974,28.855836868286133,54684,-100585.69847044002,2096.913818359375,102654.4609375,178,-1.0710623264312744,920000,5145,0.0003
33.94,232474,29.288742065429688,55048,-104022.35516764,2071.2548828125,103205.625,178,-0.5395294427871704,930000,5205,0.0003
25.53,234974,28.822599411010742,55372,-101051.65963666,2001.351318359375,101067.9375,178,2.568711280822754,940000,5264,0.0003
