train/explained_variance,train/policy_loss,time/total_timesteps,train/entropy_loss,time/fps,train/std,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean
0.0,-412107.75,10000,-17.207246780395508,1429,1.0151559114456177,499,-400273.93579961004,2264472320.0,0.0007,6,95.31
0.0,-219756.84375,20000,-17.379884719848633,1457,1.0302108526229858,999,-345321.2202325601,564548224.0,0.0007,13,92.71
0.0,-147026.625,30000,-17.458084106445312,1476,1.0367234945297241,1499,-264079.95697169995,209238480.0,0.0007,20,77.52
-1.1920928955078125e-07,-74964.3125,40000,-17.545454025268555,1459,1.0445936918258667,1999,-229099.68913548999,52342084.0,0.0007,27,71.62
0.0,-198145.078125,50000,-17.597917556762695,1458,1.0491331815719604,2499,-277006.35875316,327523424.0,0.0007,34,68.31
0.0,-84442.4921875,60000,-17.743562698364258,1451,1.0621806383132935,2999,-242606.57443467004,50423932.0,0.0007,41,64.61
1.7881393432617188e-07,-41334.625,70000,-17.83908462524414,1448,1.0703834295272827,3499,-245079.31104827995,26263962.0,0.0007,48,74.89
0.0,-165894.0625,80000,-17.947847366333008,1448,1.080819010734558,3999,-202772.06259997992,257130144.0,0.0007,55,56.41
-1.1920928955078125e-07,-100588.3984375,90000,-18.066679000854492,1450,1.0910252332687378,4499,-205208.61264649,164228304.0,0.0007,62,67.31
0.0,-87845.96875,100000,-18.088214874267578,1452,1.0934799909591675,4999,-220713.44611953004,60379144.0,0.0007,68,57.03
-1.1920928955078125e-07,-171897.796875,110000,-18.227733612060547,1450,1.1061266660690308,5499,-273164.63394302997,286318400.0,0.0007,75,74.99
0.0,-78637.2734375,120000,-18.27995491027832,1449,1.110891580581665,5999,-282467.33309386,46308360.0,0.0007,82,78.01
5.960464477539063e-08,-78572.328125,130000,-18.37457847595215,1449,1.120043158531189,6499,-209157.17746935997,41940724.0,0.0007,89,72.92
0.0,-534593.5625,140000,-18.38176918029785,1448,1.1209443807601929,6999,-182296.18969086002,2383180032.0,0.0007,96,66.27
0.0,45797.92578125,150000,-18.5076904296875,1445,1.132745623588562,7499,-184492.77944848995,16240384.0,0.0007,103,56.52
0.0,-181678.25,160000,-18.544368743896484,1443,1.1360830068588257,7999,-174573.59531064,131697136.0,0.0007,110,54.69
0.0,-77001.75,170000,-18.6741943359375,1442,1.148330807685852,8499,-166271.37156586,41044364.0,0.0007,117,47.76
0.0,-254608.578125,180000,-18.80712890625,1438,1.1613929271697998,8999,-179539.98170422998,372942112.0,0.0007,125,60.73
0.0,12027.0341796875,190000,-18.800615310668945,1437,1.1616793870925903,9499,-182155.11188407,1732816.625,0.0007,132,62.86
0.0,-177670.984375,200000,-18.867359161376953,1436,1.168007731437683,9999,-189083.03058706998,166351856.0,0.0007,139,54.84
0.0,-130221.5625,210000,-18.9876708984375,1433,1.1793676614761353,10499,-168557.46781275998,86776472.0,0.0007,146,53.2
1.7881393432617188e-07,-115735.046875,220000,-19.03877067565918,1432,1.1855915784835815,10999,-176546.91584704,82889216.0,0.0007,153,54.92
0.0,-368553.3125,230000,-19.131742477416992,1432,1.1937719583511353,11499,-199984.75208137,1123584640.0,0.0007,160,60.88
0.0,-382433.5,240000,-19.2034969329834,1428,1.2008036375045776,11999,-184417.28166056998,1631018496.0,0.0007,167,51.73
0.0,-158431.734375,250000,-19.32756233215332,1426,1.2136021852493286,12499,-213441.25509317004,195361184.0,0.0007,175,55.51
0.0,-48309.984375,260000,-19.407459259033203,1422,1.2222980260849,12999,-160445.93048442996,27581660.0,0.0007,182,49.77
-2.384185791015625e-07,73359.609375,270000,-19.4548397064209,1417,1.2273499965667725,13499,-154592.61248741,22454764.0,0.0007,190,48.05
0.0,-416966.6875,280000,-19.619783401489258,1411,1.244868516921997,13999,-171027.27789397002,1952052992.0,0.0007,198,48.64
0.0,16827.5078125,290000,-19.788270950317383,1408,1.2625402212142944,14499,-192299.3298289699,3777250.75,0.0007,205,58.57
0.0,-146187.078125,300000,-19.83637046813965,1406,1.267901062965393,14999,-176001.01064705,187249680.0,0.0007,213,54.69
5.960464477539063e-08,-35321.2109375,310000,-19.98579216003418,1404,1.2839457988739014,15499,-215511.46062015995,30152636.0,0.0007,220,60.97
-2.384185791015625e-07,-615878.875,320000,-20.167505264282227,1401,1.3027764558792114,15999,-160104.54802911,2787447552.0,0.0007,228,44.97
0.0,-88315.421875,330000,-20.32996940612793,1399,1.3209010362625122,16499,-159446.373218,55497996.0,0.0007,235,47.8
0.0,-273299.6875,340000,-20.476306915283203,1395,1.337204098701477,16999,-213347.23570866004,648766720.0,0.0007,243,65.27
