rollout/ep_len_mean,time/time_elapsed,train/std,train/policy_loss,train/explained_variance,time/fps,train/value_loss,train/learning_rate,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,train/n_updates
39.16,7,1.0189539194107056,-158708.109375,-2.384185791015625e-07,1302,121492496.0,0.0007,-17.252561569213867,10000,-239296.29935762004,499
34.16,15,1.0308018922805786,-195482.21875,0.0,1313,280764096.0,0.0007,-17.384519577026367,20000,-202721.44426516,999
29.73,23,1.0316883325576782,-248172.09375,1.1920928955078125e-07,1298,471605696.0,0.0007,-17.400297164916992,30000,-157052.19058481,1499
29.14,30,1.0466153621673584,-41235.8828125,0.0,1291,26644984.0,0.0007,-17.57066535949707,40000,-172030.43789968,1999
31.94,38,1.0634034872055054,-297107.125,0.0,1296,1608619904.0,0.0007,-17.758058547973633,50000,-167352.51169425,2499
21.28,46,1.0730372667312622,-499232.0625,0.0,1291,2441010432.0,0.0007,-17.86451530456543,60000,-130553.92272659,2999
31.55,54,1.081952452659607,-143707.640625,5.960464477539063e-08,1288,82248880.0,0.0007,-17.961963653564453,70000,-166217.53920021997,3499
30.25,62,1.0914697647094727,-300272.9375,0.0,1284,1782858112.0,0.0007,-18.062501907348633,80000,-166133.51090182,3999
29.85,70,1.0963972806930542,-36140.8828125,0.0,1280,19972404.0,0.0007,-18.121217727661133,90000,-161584.47725785,4499
27.74,78,1.0951271057128906,-527320.9375,-1.1920928955078125e-07,1278,2599931904.0,0.0007,-18.100374221801758,100000,-142523.11241940997,4999
27.14,86,1.1018610000610352,-91632.6484375,-1.1920928955078125e-07,1273,52539628.0,0.0007,-18.180362701416016,110000,-148169.88709578998,5499
23.14,94,1.1132904291152954,-378474.34375,1.1920928955078125e-07,1269,1599608064.0,0.0007,-18.304536819458008,120000,-131791.96911892004,5999
29.23,102,1.126425862312317,-173749.46875,5.960464477539063e-08,1268,223931264.0,0.0007,-18.44273567199707,130000,-156445.74609383,6499
32.7,110,1.1387301683425903,-164141.828125,0.0,1267,186310320.0,0.0007,-18.575639724731445,140000,-171345.89193361,6999
32.0,118,1.1592925786972046,-36460.4765625,0.0,1264,23648412.0,0.0007,-18.782730102539062,150000,-148334.79097895,7499
23.93,126,1.1658159494400024,-147382.96875,-1.1920928955078125e-07,1263,161450704.0,0.0007,-18.85464859008789,160000,-127414.64865285,7999
23.73,134,1.179062008857727,-268223.6875,-1.1920928955078125e-07,1262,287340896.0,0.0007,-18.98777961730957,170000,-148809.48384757,8499
19.07,142,1.178329348564148,-304084.0625,0.0,1260,1047394816.0,0.0007,-18.976806640625,180000,-114279.78357756,8999
25.67,150,1.1849058866500854,-486614.90625,0.0,1259,2457025024.0,0.0007,-19.038053512573242,190000,-130234.91128444999,9499
32.35,159,1.1930572986602783,-247913.625,0.0,1257,216790192.0,0.0007,-19.11491584777832,200000,-157742.61836214003,9999
22.34,167,1.199245810508728,-200481.984375,-2.384185791015625e-07,1256,1032207168.0,0.0007,-19.177045822143555,210000,-128159.96448108001,10499
29.58,175,1.205762267112732,-175921.359375,-1.1920928955078125e-07,1255,142263968.0,0.0007,-19.24588394165039,220000,-157327.41648596,10999
27.0,183,1.203858733177185,-640851.9375,5.960464477539063e-08,1255,2790962432.0,0.0007,-19.22845458984375,230000,-136978.59756689,11499
31.71,191,1.2172929048538208,-563980.375,0.0,1256,3236267264.0,0.0007,-19.36159896850586,240000,-198436.20227975,11999
21.22,198,1.231843113899231,-351410.375,-1.1920928955078125e-07,1257,1925769856.0,0.0007,-19.50385093688965,250000,-128789.58849586,12499
21.83,206,1.2474853992462158,-450034.09375,0.0,1258,2300788224.0,0.0007,-19.655481338500977,260000,-119031.75361786998,12999
26.86,214,1.2590104341506958,-165086.828125,-1.1920928955078125e-07,1258,527020608.0,0.0007,-19.776716232299805,270000,-136925.23346296,13499
30.89,222,1.2771821022033691,-423907.1875,0.0,1258,1477432704.0,0.0007,-19.943832397460938,280000,-155914.50777418,13999
22.48,230,1.294646143913269,50120.046875,0.0,1258,9636150.0,0.0007,-20.09937858581543,290000,-137875.50376161997,14499
21.63,238,1.3010722398757935,-1094915.625,0.0,1258,5632586752.0,0.0007,-20.15728759765625,300000,-125342.61039240999,14999
27.81,246,1.3114262819290161,-229660.46875,0.0,1258,297961632.0,0.0007,-20.253677368164062,310000,-134693.46519288997,15499
24.57,254,1.3140844106674194,-243209.5,1.7881393432617188e-07,1257,200596720.0,0.0007,-20.276636123657227,320000,-141393.05848879,15999
26.55,262,1.323828101158142,-71018.9765625,1.1920928955078125e-07,1256,515965120.0,0.0007,-20.363569259643555,330000,-142160.80143958,16499
25.89,270,1.3386958837509155,-21801.099609375,0.0,1255,23050700.0,0.0007,-20.495988845825195,340000,-129516.27737937999,16999
27.62,278,1.344018816947937,-132347.65625,5.960464477539063e-08,1255,142939648.0,0.0007,-20.548324584960938,350000,-144672.06019192998,17499
36.34,286,1.3614009618759155,-110919.953125,0.0,1254,82278672.0,0.0007,-20.704923629760742,360000,-166920.4432101,17999
28.08,294,1.3777252435684204,-818449.375,1.1920928955078125e-07,1255,4415853568.0,0.0007,-20.825178146362305,370000,-161296.16501763,18499
29.77,302,1.397935390472412,-734524.375,0.0,1255,2993050112.0,0.0007,-20.998445510864258,380000,-175318.746431,18999
34.54,310,1.4114108085632324,-175039.9375,0.0,1255,217293824.0,0.0007,-21.116470336914062,390000,-164267.99622071997,19499
29.53,318,1.416120171546936,-20177.75390625,0.0,1255,35293388.0,0.0007,-21.15009880065918,400000,-158694.25046482,19999
25.75,326,1.44471275806427,-150366.625,0.0,1253,106680144.0,0.0007,-21.379695892333984,410000,-140694.61101715,20499
33.77,335,1.457133412361145,-276722.5,0.0,1253,354657568.0,0.0007,-21.483259201049805,420000,-170417.66010622002,20999
27.51,343,1.4574590921401978,-215956.328125,0.0,1252,222337104.0,0.0007,-21.48497200012207,430000,-150396.32402955,21499
30.97,351,1.4592145681381226,-666290.3125,0.0,1251,2678640128.0,0.0007,-21.498945236206055,440000,-157803.6434489,21999
26.14,359,1.4624947309494019,-417532.09375,1.1920928955078125e-07,1250,871222784.0,0.0007,-21.52901840209961,450000,-146468.71680641,22499
29.13,368,1.4571094512939453,-103684.0625,0.0,1249,100947616.0,0.0007,-21.47340202331543,460000,-146384.86862546002,22999
24.39,376,1.4592901468276978,-378188.25,5.960464477539063e-08,1248,1095650816.0,0.0007,-21.49667739868164,470000,-161807.57404695,23499
32.1,384,1.4774492979049683,-30414.775390625,2.980232238769531e-07,1247,40824172.0,0.0007,-21.635099411010742,480000,-151200.56234633998,23999
39.49,392,1.4914778470993042,-505558.0,-1.1920928955078125e-07,1247,924783296.0,0.0007,-21.75221061706543,490000,-201657.13652348,24499
30.94,401,1.5162864923477173,-204932.109375,0.0,1246,158942176.0,0.0007,-21.944316864013672,500000,-140232.9555465,24999
30.91,409,1.529895305633545,-136407.78125,1.1920928955078125e-07,1246,202504912.0,0.0007,-22.05302619934082,510000,-169531.55976656,25499
34.23,417,1.5413986444473267,-356867.0625,0.0,1245,1544553472.0,0.0007,-22.138566970825195,520000,-182215.73082432002,25999
25.69,425,1.5610002279281616,-512186.0625,1.1920928955078125e-07,1245,2307981824.0,0.0007,-22.29163932800293,530000,-117911.81909503,26499
26.93,433,1.5718392133712769,-97716.359375,0.0,1244,141707552.0,0.0007,-22.366243362426758,540000,-135988.35140938,26999
29.07,442,1.5860735177993774,-146002.875,2.384185791015625e-07,1243,177156256.0,0.0007,-22.485654830932617,550000,-140784.63840054002,27499
32.5,450,1.6097761392593384,-451364.6875,0.0,1243,1657456768.0,0.0007,-22.655805587768555,560000,-196638.83405072006,27999
28.07,458,1.6331268548965454,-277229.25,1.7881393432617188e-07,1243,217890304.0,0.0007,-22.841150283813477,570000,-150919.31746572,28499
18.82,466,1.6379886865615845,-633254.5,0.0,1243,2503094784.0,0.0007,-22.866472244262695,580000,-127364.57037871,28999
22.34,474,1.6475516557693481,-192103.9375,1.1920928955078125e-07,1243,969258688.0,0.0007,-22.941682815551758,590000,-151257.49791008997,29499
19.99,482,1.6632574796676636,-437895.65625,-1.1920928955078125e-07,1243,1605638528.0,0.0007,-23.04652214050293,600000,-121261.51942700999,29999
29.2,490,1.6793556213378906,-175402.125,-1.1920928955078125e-07,1243,138943072.0,0.0007,-23.164714813232422,610000,-155021.16871661,30499
31.19,498,1.6868036985397339,-6701.5966796875,-2.384185791015625e-07,1243,12407693.0,0.0007,-23.220584869384766,620000,-126063.93859636,30999
