time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/step_size,train/iterations,train/learning_rate,rollout/return_std,train/delta_std
6,10000,507.0,1647,-20154795.466945253,,,,,
11,20000,577.2857142857143,1763,-22967047.694391005,,,,,
16,30000,641.5454545454545,1813,-25569851.840600368,,,,,
21,40000,696.6923076923077,1833,-27785474.588065464,,,,,
27,50000,506.0,1832,-20099064.7694185,1.315700465243097e-10,0,0.02,19001284.0,0.05
32,60000,753.0,1846,-30035956.234999,,,,,
37,70000,754.125,1862,-30089917.545233123,,,,,
43,80000,803.3,1856,-32049920.233393896,,,,,
48,90000,1000.0,1863,-40031072.422282,1.2624760958868109e-10,1,0.02,19802354.0,0.05
53,100000,1000.0,1874,-40023952.52050367,,,,,
58,110000,859.0,1878,-34286643.56456443,,,,,
63,120000,890.3333333333334,1878,-35507946.756140895,,,,,
69,130000,737.0,1880,-29349546.604074605,,,,,
74,140000,1000.0,1883,-39897533.199913,1.4095309641692921e-10,2,0.02,17736396.0,0.05
79,150000,1000.0,1888,-39912194.17355101,,,,,
84,160000,606.1,1892,-24107404.5739346,,,,,
89,170000,,1895,,1.233287638680025e-10,3,0.02,20271020.0,0.05
94,180000,671.3333333333334,1897,-26753782.580783665,,,,,
99,190000,835.6666666666666,1900,-33321381.2226305,,,,,
105,200000,876.75,1901,-34957173.07696375,,,,,
110,210000,671.3333333333334,1903,-26672051.687135067,,,,,
115,220000,261.5,1905,-10291403.81905225,1.3192887060586855e-10,4,0.02,18949606.0,0.05
120,230000,578.0,1906,-22997090.956415426,,,,,
125,240000,552.4545454545455,1908,-21982931.34960773,,,,,
130,250000,648.3571428571429,1910,-25864955.98352171,,,,,
135,260000,1000.0,1912,-40182020.0,1.2579057240280633e-10,5,0.02,19874304.0,0.05
141,270000,1000.0,1913,-40108368.20943034,,,,,
146,280000,859.0,1914,-34381985.229124285,,,,,
151,290000,890.3333333333334,1915,-35668925.32025378,,,,,
156,300000,917.75,1915,-36773650.16457976,,,,,
161,310000,504.5,1916,-20064888.161050998,1.405376925944779e-10,6,0.02,17788822.0,0.05
166,320000,801.8,1917,-32010585.7852404,,,,,
172,330000,858.4285714285714,1917,-34279575.20287172,,,,,
177,340000,695.3846153846154,1918,-27693527.721152775,,,,,
182,350000,,1917,,1.3170618762270436e-10,7,0.02,18981644.0,0.05
187,360000,1000.0,1917,-39892013.040490665,,,,,
192,370000,1000.0,1917,-39927355.8328406,,,,,
198,380000,803.0,1917,-32030918.9471654,,,,,
203,390000,835.8333333333334,1917,-33361272.032646,,,,,
208,400000,1000.0,1917,-40012374.263561,1.4103859746761316e-10,8,0.02,17725644.0,0.05
213,410000,1000.0,1918,-40048248.91399634,,,,,
218,420000,1000.0,1919,-40041532.26975467,,,,,
223,430000,1000.0,1920,-40035112.8594515,,,,,
229,440000,918.0833333333334,1920,-36736000.17246366,,,,,
234,450000,929.7857142857143,1920,-37175965.97391414,,,,,
239,460000,506.5,1920,-20070317.283746,2.5264915159972645e-10,9,0.02,9895145.0,0.05
244,470000,753.25,1921,-30062373.18934375,,,,,
249,480000,752.75,1921,-30062139.722307123,,,,,
254,490000,802.2,1922,-32082688.7778457,,,,,
260,500000,736.4666666666667,1923,-29426485.53134813,,,,,
265,510000,1000.0,1923,-40080247.466983,1.405208310822914e-10,10,0.02,17790956.0,0.05
270,520000,1000.0,1923,-40018058.2866655,,,,,
275,530000,1000.0,1924,-40047329.737323,,,,,
280,540000,901.1,1924,-36022617.538616605,,,,,
285,550000,917.5833333333334,1925,-36705038.669222005,,,,,
290,560000,509.5,1926,-20259549.851630002,1.5669378294891345e-10,11,0.02,15954685.0,0.05
295,570000,607.8,1926,-24248479.219355002,,,,,
301,580000,754.875,1926,-30175149.538402002,,,,,
306,590000,803.9,1926,-32132621.7388072,,,,,
311,600000,849.1538461538462,1926,-33943334.20165108,,,,,
316,610000,869.2666666666667,1927,-34746242.90127667,,,,,
321,620000,672.3333333333334,1926,-26763472.57812533,1.8504126009233346e-10,12,0.02,13510500.0,0.05
326,630000,803.4,1927,-32095439.9246322,,,,,
331,640000,780.5555555555555,1927,-31206866.593606777,,,,,
337,650000,752.8333333333334,1928,-30078705.22989108,,,,,
342,660000,,1928,,1.4071604992338393e-10,13,0.02,17766274.0,0.05
347,670000,505.0,1928,-20168487.37120325,,,,,
352,680000,560.6666666666666,1929,-22406793.134871442,,,,,
357,690000,640.5454545454545,1929,-25617308.937627908,,,,,
362,700000,717.5714285714286,1928,-28691862.87371107,,,,,
368,710000,1000.0,1928,-39843732.911029,1.3129414222490254e-10,14,0.02,19041216.0,0.05
373,720000,1000.0,1927,-40025384.10209775,,,,,
379,730000,1000.0,1925,-40055092.069881834,,,,,
384,740000,1000.0,1923,-40042784.659572,,,,,
389,750000,1000.0,1923,-40045427.241969176,,,,,
394,760000,1000.0,1924,-40054613.94383507,,,,,
400,770000,504.5,1924,-20113157.953842998,2.523803666054647e-10,15,0.02,9905683.0,0.05
405,780000,435.14285714285717,1924,-17296858.454154287,,,,,
410,790000,604.6,1925,-24098688.911113195,,,,,
415,800000,556.4666666666667,1925,-22000003.590588998,,,,,
420,810000,1000.0,1925,-40103921.6436955,1.2594711384927848e-10,16,0.02,19849602.0,0.05
425,820000,1000.0,1926,-40143676.516472004,,,,,
430,830000,1000.0,1926,-40120035.15226972,,,,,
436,840000,1000.0,1926,-40116873.15766078,,,,,
441,850000,923.8461538461538,1926,-37041881.56014393,,,,,
446,860000,934.0,1926,-37448467.18765367,,,,,
451,870000,506.75,1926,-20142077.8689495,2.511114927106206e-10,17,0.02,9955737.0,0.05
456,880000,576.4285714285714,1927,-23013003.918191858,,,,,
461,890000,703.5,1927,-28132825.184658397,,,,,
467,900000,752.9166666666666,1927,-30126817.07593475,,,,,
472,910000,802.3333333333334,1927,-32122529.27984073,,,,,
477,920000,1000.0,1927,-40071882.635872,1.5568199507320912e-10,18,0.02,16058377.0,0.05
482,930000,801.6,1927,-32086633.038874604,,,,,
487,940000,752.75,1927,-30112075.42840325,,,,,
492,950000,695.6923076923077,1927,-27799857.30163708,,,,,
498,960000,,1927,,1.3133991116909272e-10,19,0.02,19034580.0,0.05
503,970000,753.25,1927,-30146891.538869753,,,,,
508,980000,835.5,1927,-33434416.89344867,,,,,
513,990000,802.0,1927,-32110199.2576779,,,,,
518,1000000,835.0,1928,-33423250.416671168,,,,,
523,1010000,868.0,1928,-34766473.590943,,,,,
