time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/iterations,rollout/return_std,train/learning_rate,train/step_size,train/delta_std
10000,1000.0,4,2449,-39868980.544126496,,,,,
20000,803.2,8,2456,-31928993.1656942,,,,,
30000,877.0,12,2456,-34902807.31076,,,,,
40000,901.6,16,2455,-35880655.1776973,,,,,
50000,924.3076923076923,20,2456,-36793742.12759808,,,,,
60000,934.4,24,2455,-37149330.58753594,,,,,
70000,516.75,28,2457,-20202918.84803825,0,9878710.0,0.02,2.5306948203684954e-10,0.05
80000,677.8333333333334,32,2459,-26771572.64994183,,,,,
90000,710.3,36,2460,-28041182.0732794,,,,,
100000,701.3846153846154,40,2461,-27743622.486205384,,,,,
110000,16.0,44,2461,-223894.844309,1,17552398.0,0.02,1.4243067836261503e-10,0.05
120000,409.0,48,2462,-16127292.947263002,,,,,
130000,630.625,52,2463,-25040635.534281377,,,,,
140000,704.5,56,2465,-28029983.1609698,,,,,
150000,719.2142857142857,60,2466,-28491786.079513427,,,,,
160000,1000.0,64,2467,-39881399.215979,2,18900472.0,0.02,1.3227183237596307e-10,0.05
170000,809.0,68,2467,-32039546.313672405,,,,,
180000,610.4,72,2468,-24128191.390312705,,,,,
190000,700.3076923076923,76,2469,-27769063.875529233,,,,,
200000,740.2666666666667,80,2470,-29409472.545504466,,,,,
210000,1000.0,85,2470,-39885963.8775015,3,17615772.0,0.02,1.419182688033871e-10,0.05
220000,1000.0,89,2470,-39901343.45084975,,,,,
230000,876.875,93,2470,-34920780.39661363,,,,,
240000,901.5,97,2470,-35908604.633475706,,,,,
250000,924.2307692307693,101,2470,-36813000.60816877,,,,,
260000,934.3333333333334,105,2471,-37225519.68385434,,,,,
270000,1000.0,109,2472,-39562813.098818496,4,9917088.0,0.02,2.5209012655125207e-10,0.05
280000,1000.0,113,2472,-39802516.14912375,,,,,
290000,1000.0,117,2472,-39729694.01000286,,,,,
300000,900.7,121,2473,-35744572.826998994,,,,,
310000,923.6153846153846,125,2465,-36695813.09040746,,,,,
320000,933.8,129,2466,-37107925.63821847,,,,,
330000,1000.0,133,2467,-39866446.342254505,5,9922313.0,0.02,2.519573716330825e-10,0.05
340000,1000.0,137,2468,-39927778.12088825,,,,,
350000,1000.0,141,2468,-39921403.654541425,,,,,
360000,1000.0,145,2467,-39930261.89185089,,,,,
370000,924.2307692307693,149,2468,-36877497.98418177,,,,,
380000,,153,2468,,6,13571806.0,0.02,1.8420538705488099e-10,0.05
390000,1000.0,157,2469,-39960206.540744,,,,,
400000,1000.0,161,2470,-39940719.741534404,,,,,
410000,890.3333333333334,165,2470,-35478042.78063089,,,,,
420000,910.2727272727273,169,2471,-36287960.899424545,,,,,
430000,929.5,173,2472,-37081542.34325528,,,,,
440000,,177,2472,,7,9938423.0,0.02,2.5154897609347415e-10,0.05
450000,754.75,182,2472,-29917346.21409175,,,,,
460000,836.5,186,2472,-33267284.864000004,,,,,
470000,891.0,190,2472,-35405679.50064822,,,,,
480000,910.8181818181819,194,2473,-36231284.02443809,,,,,
490000,929.9285714285714,198,2473,-37025207.91403643,,,,,
500000,,202,2471,,8,9894903.0,0.02,2.5265534109308874e-10,0.05
510000,1000.0,206,2472,-39889610.900604,,,,,
520000,1000.0,210,2472,-39894356.80314781,,,,,
530000,1000.0,214,2472,-39878978.594375126,,,,,
540000,1000.0,218,2473,-39915184.7549847,,,,,
550000,1000.0,222,2473,-39905509.465680845,,,,,
560000,10.0,226,2474,-157649.128858,9,9923950.0,0.02,2.519158215363859e-10,0.05
570000,605.4,230,2474,-24094213.577310402,,,,,
580000,561.7777777777778,234,2474,-22152500.29665189,,,,,
590000,671.3333333333334,238,2475,-26579736.085718084,,,,,
600000,718.2857142857143,242,2475,-28497277.229225073,,,,,
610000,1000.0,246,2475,-39895714.520983,10,17686910.0,0.02,1.4134746151306388e-10,0.05
620000,1000.0,250,2476,-39865229.952153005,,,,,
630000,1000.0,254,2476,-39826551.685846835,,,,,
640000,1000.0,258,2476,-39836789.49187863,,,,,
650000,1000.0,262,2476,-39862976.31992555,,,,,
660000,868.2666666666667,266,2476,-34597781.272993006,,,,,
670000,1000.0,270,2477,-39868482.294042006,11,13557851.0,0.02,1.8439499926969916e-10,0.05
680000,802.4,274,2477,-31977500.3947924,,,,,
690000,858.8571428571429,278,2477,-34269832.391509145,,,,,
700000,901.2,282,2478,-35959583.9160959,,,,,
710000,917.6666666666666,286,2478,-36621620.12716975,,,,,
720000,934.1333333333333,290,2478,-37289939.9761902,,,,,
730000,506.0,294,2478,-20146523.5329435,12,9917646.0,0.02,2.520759434521125e-10,0.05
740000,802.4,298,2478,-32095390.5666412,,,,,
750000,858.8571428571429,302,2479,-34362529.74310343,,,,,
760000,820.1818181818181,306,2479,-32791414.52283118,,,,,
770000,847.8461538461538,310,2479,-33908941.36483469,,,,,
780000,,314,2479,,13,13608428.0,0.02,1.8370968635217366e-10,0.05
790000,675.6666666666666,318,2480,-26864930.058938667,,,,,
800000,837.8333333333334,322,2480,-33438291.812402163,,,,,
810000,782.6666666666666,326,2480,-31206688.048014004,,,,,
820000,837.0,330,2480,-33332094.967470508,,,,,
830000,860.2857142857143,334,2480,-34296763.66405343,,,,,
840000,1000.0,338,2480,-39965067.090335,14,13509496.0,0.02,1.85055012980051e-10,0.05
850000,1000.0,342,2481,-40015359.18350267,,,,,
860000,1000.0,346,2481,-39945704.18349216,,,,,
870000,1000.0,350,2481,-39971777.7479695,,,,,
880000,919.0,354,2481,-36673550.861281835,,,,,
890000,,358,2481,,15,16021079.0,0.02,1.560444135018102e-10,0.05
900000,787.25,362,2481,-31005545.535316747,,,,,
910000,858.1666666666666,366,2481,-34004767.050163664,,,,,
920000,815.7,370,2482,-32417568.4613814,,,,,
930000,781.9230769230769,374,2482,-31119351.979842924,,,,,
940000,,378,2482,,16,15536172.0,0.02,1.6091479537738707e-10,0.05
950000,1000.0,382,2482,-39965024.8823115,,,,,
960000,1000.0,386,2482,-39985741.5466766,,,,,
970000,704.8,390,2482,-28066086.660018098,,,,,
980000,772.9230769230769,394,2483,-30799891.770869233,,,,,
990000,803.2,398,2483,-32014651.495914932,,,,,
1000000,511.0,402,2483,-20160923.873244748,17,15996995.0,0.02,1.5627933669382088e-10,0.05
1010000,674.0,406,2483,-26762870.439517498,,,,,
1020000,782.6666666666666,410,2483,-31157013.492455,,,,,
1030000,822.1818181818181,414,2484,-32764710.20044373,,,,,
1040000,803.7333333333333,418,2484,-31983307.8094708,,,,,
