time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss
10000,89,131,2474,106.84269662921348,-76.68896484375,75,0.001,-1186.733154296875,-3570946.597032618,2.684814929962158,131076376.0
20000,424,264,4974,20.41,-153.35696411132812,75,0.001,8334.76953125,-458846.85864658013,6.421472072601318,69198000.0
30000,743,397,7474,34.87,-163.61912536621094,75,0.001,24653.65625,-498217.7290603,13.646778106689453,62044680.0
40000,936,530,9974,52.82,-158.8379669189453,75,0.001,28157.21875,-765269.78327501,25.94862937927246,102898832.0
50000,1081,664,12474,78.26,-116.90579223632812,75,0.001,41352.453125,-1067492.7304451198,45.6276741027832,108793064.0
60000,1262,797,14974,69.4,-51.33735656738281,75,0.001,52075.5,-1117083.94814112,75.3864517211914,77174336.0
70000,1329,931,17474,115.69,-140.864990234375,75,0.001,52487.87890625,-2252691.9674048205,122.4240493774414,86866848.0
80000,1633,1064,19974,20.47,-15.032623291015625,75,0.001,106497.5703125,-297062.91732357995,154.3976287841797,57107800.0
90000,2092,1198,22474,11.84,0.6362915635108948,75,0.001,136575.65625,-211544.09201902003,156.84278869628906,167586048.0
100000,3107,1333,24974,8.3,5.527846336364746,75,0.001,141536.28125,-167335.82103551002,142.8424072265625,246647808.0
110000,4409,1467,27474,7.12,3.0765116214752197,74,0.001,131924.203125,-152765.69711008,120.01236724853516,137004336.0
120000,5709,1601,29974,7.16,0.08135560154914856,74,0.001,130950.84375,-153904.55028546,98.44734954833984,192849776.0
130000,7088,1735,32474,7.0,1.9682261943817139,74,0.001,146215.890625,-152210.92170900002,83.93444061279297,43659092.0
140000,8466,1869,34974,7.13,4.147477626800537,74,0.001,141473.140625,-153481.30485265,78.19239044189453,46757168.0
150000,9850,2003,37474,7.97,0.7622776031494141,74,0.001,129765.5,-160027.57189157,72.83860778808594,29866564.0
160000,11228,2137,39974,7.09,-0.4716304540634155,74,0.001,129283.171875,-150619.46534323998,66.0904541015625,40835072.0
170000,12584,2271,42474,7.08,0.20072662830352783,74,0.001,138991.0625,-150312.83635591,71.38514709472656,30181100.0
180000,13985,2405,44974,7.0,1.149816632270813,74,0.001,131899.109375,-149685.04787438,61.690616607666016,32584880.0
190000,15365,2539,47474,7.0,1.9350289106369019,74,0.001,128805.34375,-149012.96985739,63.606563568115234,30377796.0
200000,16677,2673,49974,8.48,-0.2821033000946045,74,0.001,132509.484375,-150545.55545811,60.1856575012207,38904348.0
210000,18013,2807,52474,7.12,2.7877395153045654,74,0.001,124894.5859375,-149081.05668475002,57.74812316894531,47918304.0
220000,18933,2940,54974,20.82,0.9862033128738403,74,0.001,119280.515625,-215856.17800462001,63.84049987792969,19819204.0
230000,19447,3073,57474,19.77,3.6349644660949707,74,0.001,113182.234375,-113307.3813501,79.40401458740234,28388776.0
240000,19921,3206,59974,20.31,-0.6005205512046814,74,0.001,103937.03125,-75095.3,78.62290954589844,96916928.0
250000,20423,3339,62474,20.32,-3.0984303951263428,74,0.001,99267.1328125,-82586.23953013,77.61271667480469,31084320.0
260000,20941,3473,64974,19.26,1.8438684940338135,74,0.001,97717.296875,-61020.37520215001,80.33161163330078,47476576.0
270000,21461,3607,67474,18.84,-3.19348406791687,74,0.001,91454.9765625,-56762.08352225,76.49037170410156,26225304.0
280000,21993,3740,69974,18.61,1.4845423698425293,74,0.001,83142.8984375,-54429.300748890004,77.97465515136719,40378720.0
290000,22536,3874,72474,18.4,0.7878938913345337,74,0.001,70797.171875,-52304.15485135,78.51688385009766,53332672.0
300000,23079,4009,74974,18.3,2.4034082889556885,74,0.001,72981.875,-51291.948204680004,76.70140838623047,37571048.0
310000,23628,4143,77474,18.18,1.612870454788208,74,0.001,65834.53125,-50075.2,76.43958282470703,18574916.0
320000,24173,4278,79974,18.19,0.643909215927124,74,0.001,66699.2734375,-50175.71217405,80.38361358642578,90329312.0
330000,24725,4414,82474,18.27,2.401993751525879,74,0.001,68180.015625,-50988.16860497,79.63964080810547,54016544.0
340000,25278,4549,84974,18.06,2.2792606353759766,74,0.001,55949.66015625,-48858.92179608,77.32005310058594,16175826.0
350000,25831,4684,87474,18.33,-1.093843698501587,74,0.001,52962.41796875,-51596.57237751,78.47843933105469,28416320.0
360000,26386,4819,89974,18.27,-0.6921085119247437,74,0.001,57134.3359375,-50993.39744697,74.23757934570312,18028460.0
370000,26949,4953,92474,17.64,-1.9660189151763916,74,0.001,46449.5,-44604.50846355,76.15605926513672,27707808.0
380000,27522,5086,94974,17.44,-0.6846250295639038,74,0.001,51025.4765625,-42580.2642364,80.1900863647461,12597070.0
390000,28092,5220,97474,17.61,3.900872230529785,74,0.001,45943.96875,-44705.6,77.27243041992188,19247500.0
400000,28668,5355,99974,17.46,-0.6247607469558716,74,0.001,47664.87109375,-42783.47662441,74.87619018554688,24667028.0
410000,29247,5489,102474,17.4,-3.5654191970825195,74,0.001,46285.1484375,-42174.77847565,71.98538208007812,13722126.0
420000,29791,5624,104974,17.2,0.9924634695053101,74,0.001,45395.90234375,-40350.67053195,75.21678924560547,15208213.0
430000,30364,5760,107474,17.65,0.06774565577507019,74,0.001,38486.4609375,-46719.73439912,72.26264190673828,19962394.0
440000,30914,5896,109974,18.68,-6.109612464904785,74,0.001,34039.8828125,-61256.66547924001,72.2890396118164,22570520.0
450000,31464,6032,112474,17.31,2.6078555583953857,74,0.001,55469.71484375,-41264.8,76.27879333496094,28320434.0
460000,32036,6169,114974,17.18,-1.0144652128219604,74,0.001,45626.07421875,-43908.2540431,78.66134643554688,33153574.0
470000,32621,6305,117474,17.35,5.247995376586914,74,0.001,41842.078125,-41671.09827758,80.47911071777344,36028184.0
480000,33193,6441,119974,18.54,4.149874210357666,74,0.001,34577.5390625,-61288.80441029999,79.55374908447266,19047020.0
490000,33771,6578,122474,17.77,-3.8273234367370605,74,0.001,35461.33984375,-47943.333100589996,72.8455581665039,39352220.0
500000,34371,6714,124974,16.19,1.3271210193634033,74,0.001,43964.453125,-42155.20213614,74.16292572021484,28955396.0
510000,34960,6851,127474,16.55,3.720698595046997,74,0.001,28523.734375,-33568.948653600004,76.40991973876953,19870192.0
520000,35563,6988,129974,16.62,-0.5165165066719055,74,0.001,24769.87890625,-34276.9,65.34982299804688,22870692.0
530000,36173,7125,132474,16.26,-0.15154582262039185,74,0.001,29207.73828125,-30626.81669435,72.377685546875,74486648.0
540000,36787,7261,134974,16.33,0.5785280466079712,74,0.001,31332.70703125,-31341.00595505,71.10128021240234,19593088.0
550000,37404,7398,137474,16.04,0.19463980197906494,74,0.001,37040.41015625,-28398.103072579997,70.54846954345703,21310940.0
560000,38024,7534,139974,16.03,2.5352745056152344,74,0.001,14832.78125,-28298.411279699998,68.52078247070312,19295328.0
570000,38646,7670,142474,16.08,3.0716300010681152,74,0.001,35963.875,-28801.3,66.9421157836914,28545184.0
580000,39270,7805,144974,15.96,-0.745925784111023,74,0.001,16860.87890625,-27589.3,62.309146881103516,16463523.0
590000,39896,7941,147474,16.16,-3.380608320236206,74,0.001,22331.23046875,-29614.66607746,62.524417877197266,21002018.0
600000,40495,8077,149974,16.32,-1.0476515293121338,74,0.001,23090.541015625,-35280.74636155,62.35432434082031,17139700.0
610000,41126,8212,152474,15.77,2.2634024620056152,74,0.001,15547.5068359375,-25662.8,59.52674865722656,17670640.0
620000,41766,8347,154974,15.34,2.804154872894287,74,0.001,20310.61328125,-21306.0,60.659000396728516,18341924.0
630000,42406,8482,157474,15.54,-2.2743477821350098,74,0.001,20905.7265625,-23331.35623482,60.24342346191406,20597882.0
640000,43055,8617,159974,15.39,1.9630451202392578,74,0.001,12738.119140625,-21810.94452912,63.13005065917969,39542392.0
650000,43715,8752,162474,15.01,1.040734887123108,74,0.001,22084.095703125,-17964.0586578,62.984371185302734,11380410.0
660000,44382,8887,164974,15.0,-3.256429433822632,74,0.001,22021.236328125,-17860.9,58.139827728271484,32389152.0
670000,45044,9022,167474,14.97,-2.043524980545044,74,0.001,9582.86328125,-17557.076775100002,55.87116241455078,8737540.0
680000,45710,9157,169974,14.99,2.183119297027588,74,0.001,11908.5078125,-17759.6,60.634765625,15304133.0
690000,46378,9292,172474,15.18,0.5928913354873657,74,0.001,14701.671875,-19786.1,56.27490234375,123444008.0
700000,47044,9427,174974,15.0,-0.3639918565750122,74,0.001,6067.01171875,-17861.8,64.3636703491211,18455368.0
710000,47710,9562,177474,14.95,1.8854281902313232,74,0.001,7361.3603515625,-17354.4,54.58745193481445,12502571.0
720000,48383,9697,179974,15.09,2.982151985168457,74,0.001,7536.14453125,-18772.77191963,56.70656204223633,16945076.0
730000,49049,9832,182474,15.0,-2.42307186126709,74,0.001,5917.818359375,-17862.0665961,54.50752258300781,16454040.0
740000,49718,9968,184974,14.92,-0.12568068504333496,74,0.001,14209.806640625,-17050.86111709,56.666099548339844,12363022.0
750000,50387,10104,187474,14.98,0.711330771446228,74,0.001,5410.537109375,-17659.29025716,57.453548431396484,53818680.0
760000,51052,10240,189974,15.0,1.693717122077942,74,0.001,2242.67626953125,-17860.9,56.93097686767578,6258292.0
770000,51717,10375,192474,14.92,-1.0229047536849976,74,0.001,12757.462890625,-19143.30925604,54.173301696777344,8311107.0
780000,52386,10510,194974,14.86,1.1449763774871826,74,0.001,2534.776123046875,-16442.80859953,55.3845329284668,10232426.0
790000,53054,10645,197474,15.02,1.5250762701034546,74,0.001,1193.8223876953125,-18063.5,54.635833740234375,14182507.0
800000,53724,10780,199974,14.94,-2.847825050354004,74,0.001,3388.5751953125,-17252.31701904,55.5648307800293,12033874.0
810000,54401,10916,202474,14.91,-2.314162492752075,74,0.001,2288.60693359375,-16950.1,52.34361267089844,18769208.0
820000,55072,11053,204974,14.99,-0.10565927624702454,74,0.001,3966.3134765625,-17758.7,53.717132568359375,9699672.0
830000,55749,11190,207474,14.42,0.18884092569351196,74,0.001,-6220.89404296875,-24502.983136949995,53.08847427368164,7521104.5
840000,56426,11327,209974,14.75,-2.5668981075286865,74,0.001,3738.3115234375,-15328.713136419998,51.1896858215332,16536222.0
850000,57098,11462,212474,14.86,-0.585943341255188,74,0.001,5056.76806640625,-16443.92522922,52.430633544921875,13427466.0
860000,57774,11599,214974,14.91,2.617251396179199,74,0.001,1072.720947265625,-16948.35761566,51.022037506103516,10020039.0
870000,58450,11735,217474,14.89,-1.0327495336532593,74,0.001,-94.282958984375,-16749.30800567,56.55126953125,10917648.0
880000,59125,11872,219974,14.8,-1.448694109916687,74,0.001,3976.822265625,-15834.09864477,46.64670181274414,6419092.0
890000,59807,12009,222474,14.63,-6.730602264404297,74,0.001,-4116.931640625,-14112.156004359998,51.31943893432617,13716743.0
900000,60485,12146,224974,14.61,3.818443536758423,74,0.001,2654.95947265625,-13909.855122779998,49.226478576660156,10390603.0
910000,61176,12280,227474,14.21,-0.39644813537597656,74,0.001,-209.633056640625,-11946.235749810001,47.213768005371094,10467217.0
920000,61865,12414,229974,14.49,-0.0740261822938919,74,0.001,-2450.06494140625,-12696.03552638,47.97113800048828,5358730.5
930000,62556,12547,232474,14.4,2.0986249446868896,74,0.001,-7645.37841796875,-11786.17354886,47.77239227294922,5945316.0
940000,63233,12681,234974,14.75,-2.3992059230804443,74,0.001,-6025.5693359375,-15331.29824666,51.919647216796875,15157410.0
950000,63922,12815,237474,14.37,4.834366798400879,74,0.001,-8133.4814453125,-29548.00595613,58.79866027832031,17951356.0
960000,64617,12949,239974,14.39,2.245236873626709,74,0.001,-5341.61279296875,-11684.824653990001,49.190956115722656,8215636.0
970000,65312,13082,242474,14.22,-0.4512593746185303,74,0.001,-2488.842529296875,-9968.68912387,48.862918853759766,8713104.0
980000,66002,13215,244974,14.08,1.4241193532943726,74,0.001,-12382.361328125,-19002.32959953,50.119102478027344,15860782.0
990000,66691,13349,247474,14.5,-0.4824749231338501,74,0.001,-2748.0107421875,-12795.134175120002,50.50149917602539,20040272.0
1000000,67390,13482,249974,14.12,1.3279168605804443,74,0.001,-3422.810791015625,-13128.841077009998,52.92684555053711,10537094.0
