time/fps,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean
82,10,16.07,10000,0.9999755024909973,0.2,-17.02716325223446,-0.004670019453351415,26281916880.0,14682888192.0,0.0003,0.0024423348,0.0007568359375,-1.1920928955078125e-07,121,-291638.16836894
130,20,13.15,20000,0.9999458193778992,0.2,-17.026792012155056,-0.0032408462444436736,25563182636.8,11660513280.0,0.0003,0.0017036536,6.103515625e-05,-1.1920928955078125e-07,153,-259367.56884367001
181,30,14.79,30000,0.9999125599861145,0.2,-17.0264186963439,-0.0031680696104558594,24226208028.8,11530293248.0,0.0003,0.0017056384,6.103515625e-05,0.0,165,-270631.96982542
225,40,14.73,40000,0.999887228012085,0.2,-17.02605143636465,-0.0028380187881339226,24197517684.8,12218398720.0,0.0003,0.0015120523,0.000146484375,-1.1920928955078125e-07,177,-257030.35312437
85,60,11.29,50000,0.9998368620872498,0.2,-17.025917220115662,-0.0019677903790579878,23420479940.8,11934375936.0,0.0003,0.001072582,0.0,0.0,584,-218720.33631490002
42,70,12.63,60000,0.9997442364692688,0.2,-17.024739672243594,-0.0011730341857401072,22477374153.6,10815303680.0,0.0003,0.0006510726,0.0,0.0,1398,-234703.73558167
40,80,10.77,70000,0.9997697472572327,0.2,-17.024323447048666,-0.002594780889739923,23014391291.2,12518132736.0,0.0003,0.001420878,1.220703125e-05,-1.1920928955078125e-07,1711,-213752.17689979
46,90,10.51,80000,0.9998016953468323,0.2,-17.02467217296362,-0.0029566961441560126,21763024660.0,9811601408.0,0.0003,0.0017639638,6.103515625e-05,-2.384185791015625e-07,1723,-214977.10830162998
51,100,10.92,90000,0.9997467398643494,0.2,-17.02460133731365,-0.0019557274060389316,21273206416.0,12125907968.0,0.0003,0.0011176033,0.0,0.0,1735,-214913.70135908
57,120,10.06,100000,0.999634325504303,0.2,-17.023171988129615,-0.001009631744454964,22339162112.8,10947177472.0,0.0003,0.0005704757,0.0,1.7881393432617188e-07,1752,-196469.1177956
