train/value_loss,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/fps,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std
10223780929.6,11,10000,0.2,-4.76837158203125e-07,5150401536.0,10,24.72,-17.025704896450044,842,-230418.07048365005,0.0026528188,0.0003,-0.003918571385838732,0.0009765625,0.9997336864471436
9927559087.6,23,20000,0.2,0.0,5353444864.0,20,24.02,-17.022727686166764,847,-202882.09290041,0.0038954061,0.0003,-0.005890174693740846,0.0042236328125,0.9995052218437195
9041123794.0,35,30000,0.2,0.0,4526323712.0,30,23.95,-17.020410065352916,849,-207612.44138449998,0.0026613337,0.0003,-0.003738480074025574,0.00125732421875,0.9993441700935364
8903692189.2,47,40000,0.2,0.0,4387064832.0,40,26.67,-17.019217981398107,850,-212718.13853629996,0.0022573916,0.0003,-0.0029927230387329475,0.00057373046875,0.9993174076080322
8438064675.6,63,50000,0.2,0.0,3955699200.0,60,26.65,-17.01692907512188,782,-218706.05098588002,0.0013874485,0.0003,-0.0019140366526698926,7.32421875e-05,0.9990822672843933
8995827322.4,75,60000,0.2,0.0,4177978368.0,70,18.92,-17.0159968867898,793,-169462.67325518,0.0013322497,0.0003,-0.0020029971170515636,1.220703125e-05,0.9990456104278564
9051928665.2,87,70000,0.2,-1.1920928955078125e-07,4970437120.0,80,22.94,-17.01473242044449,800,-195824.48062044,0.00075636664,0.0003,-0.0010988857835400267,0.0,0.9988693594932556
8652039273.6,99,80000,0.2,0.0,4565495808.0,90,21.93,-17.012797953188418,806,-191826.5172292,0.0006515904,0.0003,-0.0010362385760345205,0.0,0.9987244606018066
8899424227.6,111,90000,0.2,0.0,4628244480.0,100,22.89,-17.01194332242012,810,-189606.94306835,0.0007846491,0.0003,-0.0011469513023257606,0.0,0.9987260699272156
8882613167.6,127,100000,0.2,0.0,4408989696.0,120,19.14,-17.009983991086482,781,-169391.74997074998,0.00054334465,0.0003,-0.0008742731406528037,0.0,0.9985346794128418
8591707394.0,139,110000,0.2,2.384185791015625e-07,4328759296.0,130,17.89,-17.009752058982848,787,-158424.10747744,0.0012920715,0.0003,-0.0017939842264240724,1.220703125e-05,0.9985504150390625
9105403576.0,151,120000,0.2,1.7881393432617188e-07,4813641216.0,140,21.76,-17.009031948447227,791,-191250.29109816,0.0004853119,0.0003,-0.0008369551076611969,0.0,0.998420000076294
9156469928.4,163,130000,0.2,0.0,4734904320.0,150,18.05,-17.007275345921517,795,-163971.31406685,0.0005558598,0.0003,-0.000892109023334342,0.0,0.9982530474662781
10276558530.4,180,140000,0.2,0.0,6624432640.0,170,22.07,-17.004287666082384,776,-207164.73478045996,0.00049125217,0.0003,-0.0008583433656895068,0.0,0.9979864954948425
9199114337.6,192,150000,0.2,0.0,4651952128.0,180,20.26,-17.001981395483018,780,-173674.36551643003,0.0006831926,0.0003,-0.0010707720284699462,0.0,0.9978051781654358
9356086642.8,204,160000,0.2,0.0,4962070528.0,190,21.5,-16.99988474845886,784,-181753.37965292,0.00039842003,0.0003,-0.0006773218055968755,0.0,0.9976460933685303
8871289718.4,215,170000,0.2,0.0,4704952320.0,200,18.83,-16.998424512147903,787,-171408.24390675995,0.00025481055,0.0003,-0.0005065018302047974,0.0,0.9975661635398865
9243137678.8,227,180000,0.2,-1.1920928955078125e-07,4692947456.0,210,20.53,-16.99724036157131,790,-178291.31103577,0.00048807627,0.0003,-0.0008187328683561645,0.0,0.9974350333213806
8858439905.2,244,190000,0.2,0.0,4026484224.0,230,21.49,-16.995708575844766,776,-187454.93344092995,0.0004644421,0.0003,-0.0007244623731821776,0.0,0.9973080158233643
8934046872.8,256,200000,0.2,1.7881393432617188e-07,4155161600.0,240,17.55,-16.995026858150958,779,-155809.08356904,0.00033119216,0.0003,-0.0006230071637219226,0.0,0.9973387718200684
