time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss
94,0.0003,91.68085106382979,7091.716796875,54,-3043214.315491957,184,10000,1.6624432802200317,-9.094188690185547,2474,332706.5625
195,0.0003,111.37,8850.37109375,107,-4020021.87987388,185,20000,3.49796724319458,-18.757722854614258,4974,708767.5
237,0.0003,117.46,13210.6494140625,162,-4042636.35499243,184,30000,6.9675211906433105,-27.16904067993164,7474,1067363.625
281,0.0003,181.37,9924.2734375,217,-6220437.56925926,183,40000,14.361832618713379,-32.20740509033203,9974,1299646.0
388,0.0003,86.71,14118.3212890625,273,-3062372.2439697506,182,50000,30.01728057861328,-40.63866424560547,12474,1448093.25
619,0.0003,25.39,14596.1708984375,330,-658252.8134846899,181,60000,59.9879035949707,-33.705345153808594,14974,1585720.5
724,0.0003,82.93,18601.345703125,386,-2934949.8968563504,181,70000,81.05390167236328,8.9870023727417,17474,1726841.5
808,0.0003,157.88,24462.041015625,442,-5415514.099439809,180,80000,78.9796142578125,3.3627095222473145,19974,1906046.125
868,0.0003,128.07,23386.185546875,497,-4407984.145781051,180,90000,72.77302551269531,-5.290843963623047,22474,2014082.625
900,0.0003,186.07,15166.853515625,551,-6348760.739812731,181,100000,90.12381744384766,-0.31301140785217285,24974,2080859.125
1023,0.0003,50.17,19114.255859375,606,-1532679.7533728702,181,110000,104.1678695678711,-2.819629669189453,27474,2162020.0
1102,0.0003,129.48,33189.23828125,662,-4761702.82629992,181,120000,91.07136535644531,-2.6082656383514404,29974,2238774.5
1208,0.0003,92.44,21536.5,718,-3233524.55857631,181,130000,79.38163757324219,2.563286781311035,32474,2252395.5
1280,0.0003,113.13,20360.19921875,774,-3983802.6871628105,180,140000,57.643714904785156,-2.1647253036499023,34974,2378725.0
1351,0.0003,109.4,23525.232421875,828,-3715443.421695469,180,150000,81.05915832519531,-2.647609233856201,37474,2455815.75
1421,0.0003,104.84,23643.33984375,884,-3598043.11053767,180,160000,76.00376892089844,1.8139622211456299,39974,2536295.25
1492,0.0003,147.54,29807.42578125,941,-4795852.99738346,180,170000,72.48544311523438,-1.629995346069336,42474,2576227.0
1754,0.0003,21.82,26171.537109375,995,-537828.9876472299,180,180000,79.70320129394531,-0.017074525356292725,44974,2675894.25
1976,0.0003,26.36,47097.32421875,1050,-680432.0773337302,180,190000,81.70188903808594,-3.1727511882781982,47474,2750314.75
2243,0.0003,37.25,33400.87109375,1106,-1139986.91782574,180,200000,94.68035888671875,-1.2004941701889038,49974,2750047.0
2313,0.0003,106.62,39443.48046875,1162,-3720544.3509174995,180,210000,85.36878204345703,1.8219256401062012,52474,2795496.5
2619,0.0003,26.38,43997.5234375,1218,-581646.02012464,180,220000,91.6902847290039,-0.04736673831939697,54974,2863347.75
2811,0.0003,15.48,29762.765625,1275,-336257.1558787299,180,230000,86.69602966308594,0.9042696356773376,57474,2886990.75
3619,0.0003,12.53,43721.58984375,1333,-176171.68551580995,179,240000,151.5943603515625,-1.9194810390472412,59974,2937156.5
3976,0.0003,43.14,32444.0,1391,-1032526.8409427401,179,250000,173.4072723388672,1.5559953451156616,62474,2917014.75
4203,0.0003,52.87,42546.08203125,1448,-1627511.00869938,179,260000,165.47134399414062,1.3296000957489014,64974,2931207.25
4248,0.0003,120.21,31443.326171875,1505,-4403742.20018258,179,270000,150.45101928710938,-1.2134456634521484,67474,2913119.75
4264,0.0003,217.89,58701.3984375,1563,-8308206.624093589,179,280000,134.07225036621094,1.5294098854064941,69974,2896660.25
4290,0.0003,310.92,44764.16796875,1621,-11434300.304042669,178,290000,126.67173767089844,-0.49533119797706604,72474,2876866.75
4378,0.0003,141.46,39394.30078125,1680,-4100196.17219466,178,300000,126.24625396728516,-1.789858102798462,74974,2924002.0
4439,0.0003,145.95,37979.95703125,1737,-4768838.38994511,178,310000,120.9598617553711,0.8367819786071777,77474,2912870.0
4496,0.0003,147.56,25910.376953125,1795,-4754845.55223896,178,320000,124.75135040283203,-0.5188474655151367,79974,2916131.0
4528,0.0003,212.73,32975.62890625,1852,-6871917.402452361,178,330000,122.88568115234375,1.0185143947601318,82474,2938795.5
4568,0.0003,270.38,29604.712890625,1909,-8724936.080412399,178,340000,113.43183898925781,-1.2268240451812744,84974,2886318.5
4820,0.0003,70.56,37020.23046875,1967,-2369211.3879703,177,350000,110.9101791381836,3.0919811725616455,87474,2919974.75
5332,0.0003,27.57,27614.2421875,2027,-507174.16892484995,177,360000,125.11014556884766,-1.5921097993850708,89974,2878319.25
5425,0.0003,115.09,28653.65234375,2085,-2094121.0982026898,177,370000,126.82270812988281,-1.1092802286148071,92474,2903632.0
5472,0.0003,146.26,34650.9609375,2145,-2828581.55745556,177,380000,122.22648620605469,0.6520801782608032,94974,2876507.5
5611,0.0003,47.67,33086.703125,2204,-1037233.88569348,176,390000,122.83670043945312,0.982985258102417,97474,2811591.0
5900,0.0003,15.44,45954.984375,2264,-260609.41749713998,176,400000,121.99765014648438,3.060082197189331,99974,2831198.25
6380,0.0003,36.91,32002.5,2323,-850682.5966637301,176,410000,137.04763793945312,-4.037224769592285,102474,2793436.5
6617,0.0003,21.73,21327.537109375,2383,-370008.8031349001,176,420000,145.20590209960938,-0.8843661546707153,104974,2751807.0
7029,0.0003,28.05,53298.5546875,2441,-606205.65627288,176,430000,154.8638458251953,-0.025567710399627686,107474,2747808.25
7288,0.0003,50.19,36682.75390625,2500,-1188011.40054745,175,440000,164.9711456298828,0.48351866006851196,109974,2697072.75
7406,0.0003,79.8,34988.21875,2557,-1960089.6254451901,175,450000,162.01893615722656,1.2900726795196533,112474,2685678.0
7533,0.0003,69.58,27062.076171875,2617,-1726162.4667733803,175,460000,153.18112182617188,-0.08436572551727295,114974,2664464.25
7570,0.0003,112.92,36742.57421875,2677,-2980295.4415967297,175,470000,145.73294067382812,-4.183585166931152,117474,2619683.25
7968,0.0003,34.82,26568.818359375,2735,-859691.9872113899,175,480000,134.75381469726562,1.2859643697738647,119974,2632230.25
8327,0.0003,32.34,26392.419921875,2794,-567555.9250144,175,490000,129.44602966308594,-1.3707026243209839,122474,2649921.5
8470,0.0003,59.09,39573.53515625,2853,-1416684.3866198298,175,500000,138.47328186035156,-0.13097506761550903,124974,2644057.0
8678,0.0003,31.55,11911.896484375,2913,-462904.69697293,175,510000,134.44003295898438,-1.2741475105285645,127474,2603637.75
9110,0.0003,15.28,21957.419921875,2974,-301227.1119974,174,520000,131.3661346435547,1.0610220432281494,129974,2570251.25
9478,0.0003,28.37,24970.353515625,3032,-563792.6827544499,174,530000,130.83071899414062,0.29742467403411865,132474,2613835.0
9559,0.0003,106.5,25411.544921875,3091,-2030318.1862302497,174,540000,127.31798553466797,0.8619207143783569,134974,2591867.0
9727,0.0003,62.29,25143.466796875,3148,-957771.93067352,174,550000,130.8002166748047,2.337311029434204,137474,2566173.25
9865,0.0003,68.82,35335.8828125,3206,-1050428.1213406504,174,560000,134.87672424316406,-0.48215451836586,139974,2554139.25
9936,0.0003,118.48,19956.33203125,3264,-2014019.0403624298,174,570000,140.32070922851562,-0.5475317239761353,142474,2511805.5
10009,0.0003,159.02,16182.0,3323,-2724212.884562411,174,580000,138.45486450195312,-0.6524629592895508,144974,2469763.5
10071,0.0003,165.29,32147.171875,3382,-2719999.8365663295,174,590000,133.57484436035156,-0.766603410243988,147474,2441755.75
10152,0.0003,117.08,27901.818359375,3442,-1695256.9549767303,174,600000,133.6270751953125,2.489896297454834,149974,2446832.5
10234,0.0003,127.22,42726.453125,3502,-1847735.7345588699,174,610000,135.2834930419922,2.8621668815612793,152474,2384250.75
10362,0.0003,69.97,36266.1171875,3560,-1005744.0388133801,174,620000,136.8133087158203,-0.8964242339134216,154974,2338148.0
10638,0.0003,32.18,31598.275390625,3617,-580063.3325571199,174,630000,138.14076232910156,-3.151782989501953,157474,2295291.0
10978,0.0003,33.65,27003.833984375,3674,-666517.84812543,174,640000,144.28854370117188,-3.3581440448760986,159974,2241470.25
11258,0.0003,35.63,26681.416015625,3731,-706723.5496052998,174,650000,152.2103271484375,-0.21452546119689941,162474,2210173.0
11569,0.0003,31.93,32879.921875,3788,-563352.8182691201,174,660000,152.28387451171875,0.3232865333557129,164974,2158825.25
11695,0.0003,76.94,18826.17578125,3845,-1239808.18872239,174,670000,152.60006713867188,-4.788320064544678,167474,2151903.25
11729,0.0003,168.85,21410.5,3903,-3368660.9280850403,174,680000,151.13848876953125,-0.2095794975757599,169974,2090891.5
11773,0.0003,215.03,34014.484375,3960,-4641516.753002521,174,690000,148.4847869873047,-0.4750071167945862,172474,2066700.375
11839,0.0003,175.3,26554.41015625,4017,-3428122.3388962103,174,700000,152.19384765625,-0.2040184736251831,174974,2060068.25
11848,0.0003,241.75,40619.14453125,4073,-4809975.90824986,174,710000,154.95706176757812,1.317314624786377,177474,2011632.75
11861,0.0003,331.18,29088.087890625,4131,-6345914.86143088,174,720000,153.69091796875,0.9988467693328857,179974,2022635.0
11883,0.0003,383.27,35958.1484375,4189,-6579613.37599771,174,730000,152.96148681640625,-1.2222400903701782,182474,1994413.25
11907,0.0003,440.41,24846.24609375,4246,-7061107.853262658,174,740000,157.987548828125,2.383711338043213,184974,1960945.75
11929,0.0003,537.73,20448.267578125,4303,-8120369.58963104,174,750000,166.13601684570312,0.8192967176437378,187474,1929865.75
11952,0.0003,479.53,35180.87109375,4361,-6059052.98852613,174,760000,173.53721618652344,0.39558523893356323,189974,1891214.625
11977,0.0003,405.27,19955.8984375,4418,-4841750.8834834285,174,770000,178.4860076904297,-2.608980178833008,192474,1874295.125
12003,0.0003,427.44,26285.677734375,4475,-5152889.1306792805,174,780000,181.07290649414062,-0.6555379033088684,194974,1820685.125
12034,0.0003,378.13,27219.451171875,4533,-4631374.09881207,174,790000,185.064697265625,-1.8945648670196533,197474,1801243.625
12086,0.0003,273.33,16499.93359375,4590,-3186708.941156381,174,800000,182.34877014160156,2.229482650756836,199974,1809887.75
12157,0.0003,159.78,16593.9140625,4647,-1745570.0732811198,174,810000,180.031005859375,-0.5410007834434509,202474,1713405.625
12235,0.0003,117.07,24130.84375,4705,-1424348.38488558,174,820000,183.86984252929688,2.4395275115966797,204974,1696711.625
