train/actor_loss,train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/episodes
353013.875,-14.85299015045166,1.8651983737945557,10000,6283.15478515625,210.48888888888888,158,62,-7611694.819177423,0.0003,2474,45
756901.0625,-18.683828353881836,3.6175966262817383,20000,5145.935546875,284.3015873015873,156,127,-10680445.932356652,0.0003,4974,63
1133209.75,-14.677700996398926,6.983282566070557,30000,9610.7021484375,307.1818181818182,156,192,-11664116.37330109,0.0003,7474,88
1439910.875,-9.606888771057129,10.015320777893066,40000,3983.4453125,385.1,155,256,-14773656.625050552,0.0003,9974,109
1636023.75,-6.485270977020264,17.548555374145508,50000,4112.53759765625,383.2,155,321,-14749920.609068938,0.0003,12474,148
1839950.0,-11.063735008239746,32.333072662353516,60000,5246.0537109375,217.99,155,385,-8120864.6566680195,0.0003,14974,201
2013918.0,-1.632398247718811,56.34315490722656,70000,9443.4189453125,112.9,155,450,-3935160.64017728,0.0003,17474,282
2180729.5,-3.32293438911438,52.29788589477539,80000,13765.4482421875,188.44,155,515,-6734206.13846382,0.0003,19974,303
2269640.25,1.107661247253418,62.932254791259766,90000,12029.6953125,163.68,155,579,-5429679.981659041,0.0003,22474,395
2379285.25,-0.576892077922821,50.728126525878906,100000,17050.53515625,147.89,155,644,-4654297.181570601,0.0003,24974,425
2472865.5,-0.8819306492805481,48.987144470214844,110000,6426.2177734375,244.15,155,708,-8190403.74700691,0.0003,27474,436
2571618.75,-3.986013889312744,57.70075225830078,120000,7255.70068359375,326.7,155,772,-11067058.256931601,0.0003,29974,450
2545272.75,1.1599814891815186,77.9263687133789,130000,11447.791015625,380.43,155,837,-12967155.40078967,0.0003,32474,495
2645625.0,-0.4590223431587219,60.310020446777344,140000,7005.64306640625,454.83,155,901,-15794120.0541314,0.0003,34974,507
2670213.5,0.3424733877182007,50.77341842651367,150000,17493.5234375,509.13,155,966,-17878339.316073358,0.0003,37474,515
2735357.0,-2.363518476486206,56.58355712890625,160000,7220.15966796875,542.45,155,1031,-19031930.804787524,0.0003,39974,532
2757422.5,-3.0719754695892334,72.5761947631836,170000,11942.6142578125,535.17,155,1096,-17605697.424741212,0.0003,42474,545
2781068.75,-1.0995882749557495,66.17960357666016,180000,12714.4091796875,577.0,155,1161,-19023869.886444293,0.0003,44974,558
2758688.5,-0.675581157207489,80.5369644165039,190000,7654.9619140625,403.6,154,1226,-12003395.84833113,0.0003,47474,615
2781547.5,-2.1396420001983643,84.82254028320312,200000,18331.921875,333.56,154,1291,-9961548.66081742,0.0003,49974,643
2792001.75,-1.612430453300476,69.92986297607422,210000,7713.80712890625,296.4,154,1356,-9183623.84466018,0.0003,52474,657
2797371.75,0.6759558916091919,78.03703308105469,220000,17998.9765625,287.71,154,1421,-8886705.54531145,0.0003,54974,722
2801326.25,3.6826508045196533,76.40914916992188,230000,13201.271484375,242.92,154,1486,-7134095.81000517,0.0003,57474,753
2808345.25,-1.6056561470031738,76.57930755615234,240000,12822.974609375,227.01,154,1552,-5915575.133094571,0.0003,59974,777
2771294.75,-2.3454222679138184,83.10076904296875,250000,6449.865234375,299.68,154,1617,-7413515.76202235,0.0003,62474,801
2760592.25,4.337907791137695,80.85286712646484,260000,11837.4697265625,398.01,154,1683,-9899132.23600016,0.0003,64974,820
2737441.5,3.577191114425659,87.26760864257812,270000,6194.14013671875,218.72,154,1749,-5151517.54655778,0.0003,67474,900
2693332.5,-1.7128418684005737,93.15222930908203,280000,5939.41552734375,104.03,154,1815,-2150436.06720465,0.0003,69974,1000
2642653.0,-3.007514476776123,97.3268051147461,290000,15395.8662109375,124.87,154,1882,-2545488.63893746,0.0003,72474,1081
2610933.0,-0.9923585653305054,104.9061508178711,300000,10529.8427734375,73.82,153,1949,-1403439.5705057702,0.0003,74974,1205
2552102.75,1.1164376735687256,117.53105926513672,310000,10457.9169921875,17.06,153,2015,-273163.33012697,0.0003,77474,1493
2483611.5,-0.7945622205734253,115.66687774658203,320000,15869.8125,75.75,153,2082,-1862572.21902685,0.0003,79974,1663
2403293.5,0.25159069895744324,134.17259216308594,330000,15078.30078125,18.87,153,2148,-450246.2994131001,0.0003,82474,2044
2367923.5,-1.257348895072937,118.4031753540039,340000,6462.64111328125,119.55,153,2215,-3719777.38680844,0.0003,84974,2090
2292167.25,3.018282413482666,119.91049194335938,350000,10704.154296875,68.96,153,2282,-1653451.40755667,0.0003,87474,2220
2247299.0,-0.37141984701156616,114.71980285644531,360000,14483.392578125,71.07,153,2349,-1526556.8878698498,0.0003,89974,2362
2230044.75,1.56536865234375,99.33087158203125,370000,5819.64990234375,69.0,153,2415,-1513861.1658228901,0.0003,92474,2515
2219618.25,-2.610090970993042,97.38130950927734,380000,14322.876953125,36.29,153,2483,-610097.65375195,0.0003,94974,2725
2203529.0,-0.4660707116127014,104.60963439941406,390000,9503.70703125,140.19,152,2549,-2720612.96083381,0.0003,97474,2742
2189919.5,-2.4808897972106934,106.38627624511719,400000,13981.87109375,235.52,152,2616,-4662805.9949923195,0.0003,99974,2752
2189162.5,-0.37520018219947815,105.70893096923828,410000,10027.0361328125,331.57,152,2683,-6617178.009231739,0.0003,102474,2764
2172528.75,-3.1440834999084473,108.11872100830078,420000,17863.3359375,428.34,152,2749,-8606646.248041311,0.0003,104974,2775
2154556.75,-0.8366211652755737,109.73429870605469,430000,10490.4033203125,526.1,152,2816,-10635647.05685793,0.0003,107474,2785
2131684.0,0.7773398160934448,106.4412841796875,440000,17295.322265625,614.27,152,2883,-12485953.74153012,0.0003,109974,2795
2122555.25,1.31062912940979,100.93638610839844,450000,5234.72802734375,45.53,152,2950,-968758.5458344099,0.0003,112474,2943
2105690.0,-0.2537236213684082,94.64375305175781,460000,5488.45703125,97.39,152,3017,-2064391.8405768299,0.0003,114974,2997
2094299.125,3.721311092376709,89.79364776611328,470000,12555.265625,65.26,152,3083,-1340397.50379315,0.0003,117474,3114
2100016.25,-2.3940532207489014,80.87261199951172,480000,12531.6923828125,125.96,152,3150,-2674928.59452435,0.0003,119974,3187
2085169.25,-1.1762772798538208,77.54331970214844,490000,16312.6328125,151.41,152,3216,-3288524.0795559697,0.0003,122474,3248
2082462.25,-2.120410919189453,74.84463500976562,500000,11836.15625,18.75,152,3283,-366248.24222996004,0.0003,124974,3556
2075839.375,1.316641926765442,71.58304595947266,510000,12113.685546875,89.86,152,3350,-2411627.0112428395,0.0003,127474,3631
2086056.75,1.0892088413238525,76.93881225585938,520000,16107.4853515625,175.45,152,3417,-4754139.351845649,0.0003,129974,3640
2093384.75,1.2497364282608032,77.94866943359375,530000,12577.291015625,283.83,152,3483,-7969822.89418282,0.0003,132474,3651
2109738.75,0.3229213356971741,78.20973205566406,540000,9745.8447265625,394.13,152,3549,-10537105.98607218,0.0003,134974,3669
2107392.25,0.13575303554534912,78.08355712890625,550000,9395.40625,459.66,152,3615,-12660476.979918208,0.0003,137474,3704
2109035.0,-0.11290472745895386,77.80525207519531,560000,9587.04296875,308.13,152,3682,-8469204.977941472,0.0003,139974,3752
2118249.5,3.455183744430542,82.82160186767578,570000,17814.5,62.73,152,3749,-1761377.4295727203,0.0003,142474,4025
