time/total_timesteps,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,time/fps,train/kl_divergence_loss,rollout/ep_len_mean,train/std,time/time_elapsed,train/learning_rate,train/is_line_search_success,train/value_loss
10000,-1.1920928955078125e-07,0.05884380638599396,-661606.7551369302,1,1565,0.005172684323042631,44.61,1.0031882524490356,6,0.001,1.0,38103997769.6
20000,-1.1920928955078125e-07,0.05912204831838608,-465602.4359743701,2,1563,0.005300966557115316,31.77,0.9993848204612732,12,0.001,1.0,34911877500.8
30000,5.960464477539063e-08,0.04715622216463089,-516541.86851570994,3,1557,0.005158696789294481,36.6,1.0026326179504395,19,0.001,1.0,30519994780.8
40000,0.0,0.04691847041249275,-387446.8690784001,4,1556,0.005136067047715187,25.95,0.9959586262702942,25,0.001,1.0,28755725027.2
50000,0.0,0.04548211023211479,-365914.41417987,6,1496,0.004428621381521225,24.58,0.9967091679573059,33,0.001,1.0,26402016390.4
60000,-2.384185791015625e-07,0.05488244444131851,-325350.38871783,7,1500,0.005505705717951059,21.52,1.0008012056350708,39,0.001,1.0,23770826838.4
70000,-1.1920928955078125e-07,0.05895145609974861,-266427.99373045,8,1506,0.004987620748579502,16.84,0.9871886372566223,46,0.001,1.0,22571685846.4
80000,-2.384185791015625e-07,0.05966176837682724,-250470.94471704002,9,1510,0.005137909669429064,15.53,0.9846487045288086,52,0.001,1.0,21613365059.2
90000,0.0,0.05419764295220375,-226492.42783191003,10,1510,0.004988518077880144,13.06,0.9843363165855408,59,0.001,1.0,19989907142.4
100000,2.384185791015625e-07,0.05072545260190964,-207241.43533023,12,1484,0.006614789366722107,11.59,0.97627192735672,67,0.001,1.0,18108525649.6
110000,0.0,0.047447167336940765,-195264.22389367,13,1488,0.005181886255741119,10.54,0.9609525203704834,73,0.001,1.0,16239132004.8
120000,-2.384185791015625e-07,0.0565854050219059,-179697.40657351003,14,1491,0.005331952124834061,8.89,0.9589278697967529,80,0.001,1.0,16500451035.2
130000,0.0,0.07193928211927414,-176057.54172984,15,1494,0.00873844139277935,8.52,0.9389865398406982,86,0.001,1.0,14613123320.0
140000,-2.384185791015625e-07,0.05254613980650902,-160343.01891569997,17,1477,0.006230453494936228,7.18,0.9192559719085693,94,0.001,1.0,13312556491.2
150000,-2.384185791015625e-07,0.048425644636154175,-153405.63861258002,18,1479,0.00913345068693161,6.5,0.9055821299552917,101,0.001,1.0,13539236396.8
160000,2.384185791015625e-07,0.07349367439746857,-146490.61014222002,19,1480,0.006346886977553368,5.81,0.9120068550109863,108,0.001,1.0,12661949094.4
170000,-1.1920928955078125e-07,0.01287275180220604,-145821.66450725,20,1482,0.007586306426674128,5.74,0.9004284739494324,114,0.001,1.0,11854464052.8
180000,2.980232238769531e-07,0.05264802277088165,-147351.12582323002,21,1482,0.007235649507492781,5.88,0.8874554634094238,121,0.001,1.0,12277278169.6
