rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,train/std,time/total_timesteps
-4547490.96666079,0.0007,-1.1920928955078125e-07,499,-21.530338287353516,12838295552.0,152.70967741935485,-2195334.5,1835,5,1.0168418884277344,10000
-5964655.179748256,0.0007,-2.384185791015625e-07,999,-21.671480178833008,2877043968.0,202.44444444444446,-981163.5,1842,10,1.026884913444519,20000
-1635027.4122363098,0.0007,-1.1920928955078125e-07,1499,-21.67632484436035,4811707392.0,90.71,-1241940.875,1846,16,1.026939868927002,30000
-1806860.0381296196,0.0007,0.0,1999,-21.753889083862305,5011106816.0,105.57,-1352531.5,1842,21,1.0322874784469604,40000
-1780860.05716518,0.0007,-1.1920928955078125e-07,2499,-21.769933700561523,4382792704.0,108.42,-1268359.75,1838,27,1.033636212348938,50000
-1357391.5897992402,0.0007,-1.1920928955078125e-07,2999,-21.800460815429688,2145916288.0,87.55,-869363.3125,1838,32,1.0358854532241821,60000
-1794677.8319354302,0.0007,-1.1920928955078125e-07,3499,-21.84766960144043,5619901440.0,114.51,-1439312.625,1840,38,1.0388041734695435,70000
-1169265.49477857,0.0007,0.0,3999,-21.944379806518555,1671984384.0,78.46,-798523.5,1841,43,1.0455068349838257,80000
-1221871.97920079,0.0007,0.0,4499,-22.053071975708008,1973665408.0,82.0,-881525.0,1843,48,1.0531293153762817,90000
-1600995.25497001,0.0007,-1.1920928955078125e-07,4999,-22.12343978881836,2558003712.0,103.46,-954844.0,1843,54,1.058314323425293,100000
-1396284.5109941503,0.0007,2.384185791015625e-07,5499,-22.10405158996582,2664814080.0,91.87,-1047681.6875,1846,59,1.0568220615386963,110000
-1299400.7169575498,0.0007,0.0,5999,-22.068559646606445,5288673280.0,86.49,-1326965.5,1848,64,1.0548522472381592,120000
-1394196.8076394699,0.0007,0.0,6499,-22.068923950195312,1920861440.0,86.54,-793222.375,1848,70,1.0557633638381958,130000
-1929714.08035933,0.0007,0.0,6999,-22.14320182800293,2519973376.0,115.59,-985337.6875,1852,75,1.0613421201705933,140000
-1471912.31825035,0.0007,0.0,7499,-22.23487663269043,2561463552.0,96.46,-987483.8125,1855,80,1.0675715208053589,150000
-1631403.2885496598,0.0007,0.0,7999,-22.211809158325195,1734103808.0,101.59,-775225.1875,1856,86,1.066096544265747,160000
-1666693.4037286297,0.0007,0.0,8499,-22.3228816986084,9362702336.0,100.5,-1792072.0,1855,91,1.0737260580062866,170000
-1808854.6148961002,0.0007,0.0,8999,-22.33342170715332,1632421632.0,91.92,-775470.375,1853,97,1.074707269668579,180000
-1601142.6818499307,0.0007,-1.1920928955078125e-07,9499,-22.585893630981445,4153410048.0,92.79,-1236582.25,1855,102,1.0928750038146973,190000
-1072034.94625191,0.0007,0.0,9999,-22.681842803955078,1249796992.0,77.58,-697598.375,1854,107,1.1002469062805176,200000
-1464128.7307281198,0.0007,-1.1920928955078125e-07,10499,-22.795978546142578,3203342848.0,96.4,-1107717.75,1854,113,1.1087111234664917,210000
-1457678.2124668201,0.0007,1.1920928955078125e-07,10999,-22.86884117126465,3783480064.0,91.39,-1245078.875,1853,118,1.1140722036361694,220000
-1534795.5229344899,0.0007,2.384185791015625e-07,11499,-22.997644424438477,1719423744.0,95.64,-769783.25,1856,123,1.1245979070663452,230000
-1388101.6899516198,0.0007,-1.1920928955078125e-07,11999,-23.118757247924805,2044197504.0,84.98,-947383.0,1858,129,1.1332114934921265,240000
-1464813.2218139502,0.0007,0.0,12499,-23.0643367767334,4508867584.0,91.08,-1306183.75,1859,134,1.1307129859924316,250000
-1033867.7573042099,0.0007,-1.1920928955078125e-07,12999,-23.168350219726562,2110412032.0,63.04,-967263.875,1858,139,1.139147400856018,260000
-1776007.2685349702,0.0007,0.0,13499,-23.263227462768555,4075120128.0,114.46,-1348042.75,1858,145,1.147462248802185,270000
-1325279.55874635,0.0007,5.960464477539063e-08,13999,-23.309022903442383,3445659648.0,84.88,-1224626.75,1857,150,1.1503796577453613,280000
-1430431.8081952399,0.0007,1.1920928955078125e-07,14499,-23.313095092773438,2479361536.0,87.1,-994637.375,1855,156,1.1507378816604614,290000
-704028.1083830701,0.0007,2.384185791015625e-07,14999,-23.370220184326172,3600078080.0,34.31,-1266210.75,1853,161,1.1554677486419678,300000
-839086.74212136,0.0007,0.0,15499,-23.512432098388672,5500107264.0,36.79,-1462566.125,1851,167,1.1663399934768677,310000
-1717539.6663580604,0.0007,-2.384185791015625e-07,15999,-23.571016311645508,4313078272.0,97.05,-1488681.125,1851,172,1.170059084892273,320000
-2206510.6600487395,0.0007,0.0,16499,-23.570690155029297,1719349632.0,129.42,-787001.9375,1850,178,1.1712483167648315,330000
-1549178.6400039801,0.0007,0.0,16999,-23.63351821899414,1463258624.0,87.15,-772160.1875,1849,183,1.1759170293807983,340000
-1751716.1983252303,0.0007,0.0,17499,-23.69227409362793,2176193024.0,108.22,-949968.0,1845,189,1.1815379858016968,350000
-1923326.5853664097,0.0007,0.0,17999,-23.72123908996582,2970727168.0,109.97,-1134569.375,1844,195,1.184278130531311,360000
-875909.9287042299,0.0007,-1.1920928955078125e-07,18499,-23.758197784423828,5793819136.0,50.48,-1508709.625,1843,200,1.187249779701233,370000
-1494335.6461919202,0.0007,1.1920928955078125e-07,18999,-23.71725845336914,2787907584.0,87.27,-1091099.0,1842,206,1.1849086284637451,380000
-1675335.09642634,0.0007,0.0,19499,-23.723974227905273,1537748480.0,94.14,-848348.625,1843,211,1.1851953268051147,390000
-1750444.7667063298,0.0007,0.0,19999,-23.831022262573242,2859359488.0,107.95,-1082491.75,1841,217,1.193987488746643,400000
-1822623.3243600905,0.0007,0.0,20499,-23.985660552978516,1695614720.0,96.13,-878181.375,1839,222,1.2066792249679565,410000
-2334602.24696597,0.0007,0.0,20999,-24.164995193481445,2349175040.0,143.32,-1047210.8125,1836,228,1.2209961414337158,420000
-2118961.2714693598,0.0007,0.0,21499,-24.29939079284668,5236170752.0,112.33,-1514940.5,1835,234,1.234182357788086,430000
-1763193.0705936803,0.0007,0.0,21999,-24.3834285736084,2406798848.0,86.69,-1047086.625,1828,240,1.24063241481781,440000
-1694665.37901685,0.0007,-1.1920928955078125e-07,22499,-24.380002975463867,1883084160.0,100.59,-870907.1875,1828,246,1.239469289779663,450000
-1601573.5270330799,0.0007,0.0,22999,-24.445693969726562,8796059648.0,70.61,-1835248.625,1829,251,1.2446595430374146,460000
-1631079.3094241403,0.0007,0.0,23499,-24.514511108398438,2719771392.0,80.05,-1104673.75,1831,256,1.2499171495437622,470000
-1505308.3673760402,0.0007,0.0,23999,-24.640810012817383,3343497728.0,86.1,-1263277.5,1827,262,1.2600816488265991,480000
-1824224.04090581,0.0007,0.0,24499,-24.79873275756836,4976854528.0,92.33,-1547414.375,1829,267,1.2726352214813232,490000
-1578669.32602532,0.0007,1.1920928955078125e-07,24999,-24.919858932495117,6545499648.0,94.29,-1828184.75,1832,272,1.2826597690582275,500000
-2068708.81103129,0.0007,0.0,25499,-25.0268497467041,4482441216.0,120.73,-1361576.0,1835,277,1.2920174598693848,510000
-1947226.1161360997,0.0007,0.0,25999,-25.290416717529297,3077454592.0,107.11,-1234258.25,1836,283,1.3152953386306763,520000
-2408439.62040228,0.0007,-1.1920928955078125e-07,26499,-25.407487869262695,7382899200.0,121.28,-1936841.75,1836,288,1.3250622749328613,530000
-1849549.8938782802,0.0007,1.7881393432617188e-07,26999,-25.43775749206543,3190783232.0,102.64,-1249291.375,1837,293,1.3280705213546753,540000
