rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,rollout/return_std,train/delta_std,train/iterations,train/step_size
153.86666666666667,10000,-7445043.9179753335,4,2249,,,,,
207.8,20000,-10274753.191929203,8,2405,0.02,19901148.0,0.05,0,1.2562088869128019e-10
449.3333333333333,30000,-22478391.697934333,12,2476,,,,,
467.15384615384613,40000,-23362240.43346508,15,2519,,,,,
338.1666666666667,50000,-16906330.224960167,19,2541,0.02,25503398.0,0.05,1,9.802615663634384e-11
449.6666666666667,60000,-22505899.62041733,23,2564,,,,,
150.85714285714286,70000,-7402221.908943571,27,2574,0.02,23941930.0,0.05,2,1.0441931347360267e-10
316.38461538461536,80000,-15721021.399097847,30,2583,,,,,
,90000,,34,2592,0.02,24882944.0,0.05,3,1.0047042364735859e-10
316.9,100000,-15780547.868076399,38,2597,,,,,
372.42857142857144,110000,-18560603.168287925,42,2604,,,,,
172.83333333333334,120000,-8535209.865579,46,2607,0.02,25236150.0,0.05,4,9.906423598105007e-11
279.8181818181818,130000,-13911669.053051364,49,2611,,,,,
,140000,,53,2614,0.02,24974864.0,0.05,5,1.0010064305232547e-10
431.6,150000,-21505863.893394202,57,2615,,,,,
520.75,160000,-26030751.57847625,61,2617,,,,,
9.0,170000,-285916.343371,64,2618,0.02,25205712.0,0.05,6,9.918386945084734e-11
,180000,,68,2618,0.02,17044934.0,0.05,7,1.466711474495952e-10
437.42857142857144,190000,-21839873.57450243,72,2620,,,,,
4.0,200000,-155900.922457,76,2620,0.02,23412728.0,0.05,8,1.0677952272386548e-10
267.25,210000,-13281675.428636251,80,2622,,,,,
370.0,220000,-18465113.824962284,83,2625,,,,,
7.4,230000,-262781.47873740003,87,2624,0.02,25352450.0,0.05,9,9.860979394149538e-11
220.28571428571428,240000,-10974054.962435856,91,2622,,,,,
190.5,250000,-9380010.572787,95,2619,0.02,20145324.0,0.05,10,1.2409827332415801e-10
181.66666666666666,260000,-9008863.263505,99,2618,0.02,19869058.0,0.05,11,1.2582378194903043e-10
296.2142857142857,270000,-14740213.231445929,103,2616,,,,,
188.66666666666666,280000,-9305524.210656833,107,2614,0.02,23800188.0,0.05,12,1.0504118408416474e-10
19.0,290000,-633610.0,111,2612,0.02,19863064.0,0.05,13,1.2586175157647261e-10
604.4,300000,-30331986.0381336,114,2610,,,,,
36.785714285714285,310000,-1658083.7503396429,119,2603,0.02,22024152.0,0.05,14,1.1351174861173874e-10
171.69230769230768,320000,-8493585.93844023,123,2596,0.02,12546953.0,0.05,15,1.9925155969602315e-10
370.3333333333333,330000,-18537857.241506666,127,2594,0.02,19965102.0,0.05,16,1.252184883560048e-10
76.92857142857143,340000,-3810835.0928728567,131,2589,0.02,16947842.0,0.05,17,1.4751140586799494e-10
130.44444444444446,350000,-6409627.861342112,135,2584,0.02,20191270.0,0.05,18,1.238158880978446e-10
487.6666666666667,360000,-24398073.397833664,139,2581,0.02,12336074.0,0.05,19,2.026576684244219e-10
5.0,370000,-177223.78070666667,143,2578,0.02,20484358.0,0.05,20,1.2204433297302586e-10
172.53846153846155,380000,-8587559.494328614,147,2574,,,,,
15.5,390000,-642014.1607555,151,2572,0.02,12472201.0,0.05,22,2.004457710924612e-10
26.5,400000,-1202478.584219,155,2568,0.02,19852940.0,0.05,23,1.2592593634508376e-10
57.0,410000,-2626286.39535125,159,2564,0.02,16936686.0,0.05,24,1.4760856426043745e-10
171.28571428571428,420000,-8473763.77745307,163,2561,,,,,
76.0,430000,-3742349.532940933,168,2557,0.02,19759686.0,0.05,25,1.265202248523778e-10
102.16666666666667,440000,-5020110.879219,172,2555,0.02,17050244.0,0.05,26,1.4662546177213187e-10
38.666666666666664,450000,-1773659.6709564999,176,2554,0.02,22074736.0,0.05,27,1.1325163723485687e-10
15.5,460000,-635687.329225,180,2553,0.02,1703108.75,0.05,29,1.4679037985132481e-09
165.42857142857142,470000,-8174399.22986093,184,2552,,,,,
432.0,480000,-21656283.404305335,188,2543,0.02,19854774.0,0.05,30,1.25914292881113e-10
413.25,490000,-20755025.70264525,192,2539,,,,,
138.2,500000,-6779255.264674301,197,2535,0.02,23643926.0,0.05,31,1.0573539960256895e-10
229.77777777777777,510000,-11419761.85464578,201,2532,0.02,12367463.0,0.05,32,2.0214331597490087e-10
31.6,520000,-1498745.8352926,205,2529,0.02,22223594.0,0.05,33,1.1249304959770612e-10
270.125,530000,-13528499.223459,209,2523,,,,,
4.428571428571429,540000,-179364.29568357143,214,2522,0.02,5125310.0,0.05,35,4.877753756460379e-10
104.54545454545455,550000,-5173186.584095364,218,2522,0.02,12518476.0,0.05,36,1.9970482212361418e-10
12.6,560000,-497852.561469,222,2521,0.02,12496446.0,0.05,38,2.0005687384472282e-10
3.0,570000,-127454.910598,225,2522,0.02,4059019.75,0.05,40,6.159122101223602e-10
196.33333333333334,580000,-9806174.716705916,229,2523,,,,,
102.78571428571429,590000,-5064727.859931787,233,2522,0.02,18663756.0,0.05,41,1.3394944875511072e-10
274.3333333333333,600000,-13681065.324853167,237,2521,0.02,439176.1875,0.05,43,5.692476268137625e-09
8.0,610000,-302532.55154250003,242,2517,0.02,3414670.5,0.05,46,7.321350747879762e-10
10.0,620000,-393460.661387375,246,2518,0.02,6513388.5,0.05,48,3.8382477751675026e-10
48.375,630000,-2362428.710081,250,2517,0.02,18213228.0,0.05,49,1.3726286773874108e-10
7.5,640000,-257374.5688545,254,2517,0.02,17079122.0,0.05,51,1.4637754897073307e-10
117.44444444444444,650000,-5831286.442963888,258,2517,0.02,12542768.0,0.05,52,1.9931803429962258e-10
103.3,660000,-5169229.6255345,262,2516,0.02,10564179.0,0.05,54,2.366487839022824e-10
10.5,670000,-397021.0812439286,266,2516,0.02,17137940.0,0.05,57,1.458751730520902e-10
202.4,680000,-10166366.650023598,270,2515,0.02,12985.728515625,0.05,62,1.9251903893291455e-07
302.2,690000,-15183865.762084702,274,2516,,,,,
99.9090909090909,700000,-4984705.227198819,278,2515,0.02,6556866.5,0.05,64,3.8127967449952394e-10
3.0,710000,-127662.07354433334,282,2514,0.02,5298939.5,0.05,74,4.717924939612317e-10
130.0,720000,-6495460.38313425,286,2515,0.02,12537513.0,0.05,75,1.9940157858222562e-10
5.222222222222222,730000,-166093.14406933336,290,2515,0.02,46745.06640625,0.05,82,5.348157827711475e-08
6.666666666666667,740000,-74680.0,294,2513,0.02,65220.85546875,0.05,91,3.8331293694682245e-08
,750000,,298,2514,0.02,61898.890625,0.05,94,4.038844281240017e-08
4.857142857142857,760000,-7002.588796214286,302,2513,0.02,52195.6015625,0.05,106,4.789675500660451e-08
5.0,770000,2039.2857142857142,306,2509,0.02,4465.1337890625,0.05,129,5.598936354545003e-07
5.0,780000,4201.232060142857,311,2500,0.02,3446.39111328125,0.05,160,7.253964326991991e-07
115.55555555555556,790000,-5589253.234653222,316,2498,0.02,5045.0,0.05,178,4.955401209372212e-07
5.142857142857143,800000,-4454.285714285715,320,2494,0.02,3446.39111328125,0.05,208,7.253964326991991e-07
5.0,810000,2760.0,325,2490,0.02,156557.5,0.05,231,1.5968574018643267e-08
5.0,820000,2760.0,329,2486,0.02,2522.5,0.05,258,9.910802418744424e-07
5.0,830000,3432.6666666666665,333,2487,0.02,3446.39111328125,0.05,261,7.253964326991991e-07
5.333333333333333,840000,-12391.666666666666,337,2485,0.02,5210.45361328125,0.05,287,4.798046688847535e-07
5.0,850000,3536.153846153846,341,2485,0.02,3446.39111328125,0.05,301,7.253964326991991e-07
,860000,,346,2483,0.02,7104.91748046875,0.05,318,3.51868976622427e-07
5.0,870000,4021.25,350,2481,0.02,4512.38525390625,0.05,339,5.540306915463589e-07
5.0,880000,4201.428571428572,354,2482,0.02,4830.2197265625,0.05,344,5.175747901375871e-07
5.0,890000,4594.545454545455,358,2480,0.02,32791.4375,0.05,368,7.62394165576552e-08
5.0,900000,5282.5,363,2476,0.02,5169.58642578125,0.05,388,4.835976596950786e-07
5.0,910000,12850.0,367,2478,0.02,12566843.0,0.05,390,1.9893618696809057e-10
5.0,920000,7244.444444444444,370,2480,0.02,7339.853515625,0.05,393,3.406062205613125e-07
5.0,930000,-12551.871328000001,375,2479,0.02,5210.45361328125,0.05,399,4.798046688847535e-07
5.0,940000,3881.1111111111113,379,2477,0.02,67013.9921875,0.05,424,3.7305643019180934e-08
,950000,,383,2476,0.02,32607.712890625,0.05,437,7.666897516855897e-08
5.0,960000,12850.0,387,2475,0.02,4512.38525390625,0.05,459,5.540306915463589e-07
5.0,970000,3881.1111111111113,391,2475,0.02,44451.73828125,0.05,474,5.624076848675941e-08
5.0,980000,5642.857142857143,396,2474,0.02,35994.44921875,0.05,493,6.945515451661777e-08
5.0,990000,2760.0,400,2472,0.02,36188.64453125,0.05,516,6.908243932457481e-08
5.0,1000000,4778.0,404,2471,0.02,6381.47607421875,0.05,528,3.9175887422970845e-07
