time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,rollout/return_std,train/learning_rate,train/delta_std,train/step_size,train/iterations
10000,2349,-33523739.964936,4,668.3333333333334,,,,,
20000,2503,-40166792.4147472,7,801.0,,,,,
30000,2547,-39019231.37085755,11,779.8888888888889,,,,,
40000,2575,-41038905.26662763,15,819.9090909090909,,,,,
50000,2588,-50020478.645844,19,1000.0,23783214.0,0.02,0.05,1.0511615189390255e-10,0
60000,2599,-50185002.55881067,23,1000.0,,,,,
70000,2608,-37684026.74356312,26,753.0,,,,,
80000,2615,-40177357.45976929,30,802.4,,,,,
90000,2621,-42488639.14399069,34,848.0,,,,,
100000,2625,-43496993.03007,38,868.2666666666667,,,,,
110000,2631,-20271489.394266,41,407.0,17030306.0,0.02,0.05,1.4679711612952673e-10,1
120000,2633,-25267843.988799997,45,506.25,,,,,
130000,2636,-29404292.236440662,49,588.3333333333334,,,,,
140000,2638,-32340827.752073854,53,647.1428571428571,,,,,
150000,2638,-50235258.308118,56,1000.0,23818630.0,0.02,0.05,1.0495985330871704e-10,2
160000,2639,-37649586.377390005,60,753.0,,,,,
170000,2639,-30211671.591446996,64,604.2,,,,,
180000,2639,-26856806.829807866,68,537.6,,,,,
190000,2641,-33774596.45624966,71,674.3333333333334,25539904.0,0.02,0.05,9.788603261284834e-11,3
200000,2641,-28915818.298237566,75,578.0,,,,,
210000,2642,-32129837.081940364,79,641.2727272727273,,,,,
220000,2644,-30284485.403898064,83,604.3333333333334,,,,,
230000,2642,-25268080.629270248,87,505.5,24946266.0,0.02,0.05,1.0021539847970828e-10,4
240000,2641,-25226583.128784373,90,504.5,,,,,
250000,2639,-23855384.160320845,94,480.6923076923077,,,,,
260000,2637,-25408214.6712785,98,510.0,25327744.0,0.02,0.05,9.870598088879134e-11,5
270000,2636,-30188783.897988796,102,606.2,,,,,
280000,2621,-37691758.4780745,106,753.875,,,,,
290000,2619,-36574184.38088882,110,731.1818181818181,,,,,
300000,2618,-39505574.10168908,114,788.7857142857143,,,,,
310000,2618,-25204754.769946,118,503.0,22281352.0,0.02,0.05,1.1220144258139442e-10,6
320000,2617,-22627609.367972557,122,455.6666666666667,,,,,
330000,2618,-27620070.62953682,126,554.6363636363636,,,,,
340000,2618,-30318268.611924533,129,607.3333333333334,,,,,
350000,2617,-50222807.013141,133,1000.0,24832444.0,0.02,0.05,1.0067474631725304e-10,7
360000,2617,-50163976.47325575,137,1000.0,,,,,
370000,2617,-43014961.49884314,141,857.8571428571429,,,,,
380000,2615,-37655040.98415541,145,751.75,,,,,
390000,2614,-36828081.39766093,149,735.5333333333333,,,,,
400000,2614,-50116490.3354615,153,1000.0,22317412.0,0.02,0.05,1.1202015010036703e-10,8
410000,2613,-50111698.16639625,156,1000.0,,,,,
420000,2612,-31982949.199612264,160,639.3636363636364,,,,,
430000,2612,-32304072.199356347,164,645.5714285714286,,,,,
440000,2612,-33448551.58049467,168,670.6666666666666,24957646.0,0.02,0.05,1.0016969892445715e-10,9
450000,2612,-25202286.72726638,172,505.125,,,,,
