rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/delta_std,rollout/return_std,train/step_size
672.0,4,10000,2256,-33544181.908628,,,,,
670.5,8,20000,2436,-33491698.64958417,,,,,
780.3333333333334,11,30000,2504,-39049878.39458577,,,,,
820.2727272727273,15,40000,2541,-41061733.170921,,,,,
,19,50000,2562,,0.02,0,0.05,22211660.0,1.1255349430250305e-10
672.6666666666666,23,60000,2579,-33534444.526327003,,,,,
720.1428571428571,27,70000,2589,-35849793.87665429,,,,,
782.3333333333334,30,80000,2598,-39025563.07754777,,,,,
671.9333333333333,34,90000,2600,-33484901.63022833,,,,,
1000.0,38,100000,2607,-50100468.737547,0.02,1,0.05,23734952.0,1.0532989064282461e-10
801.4,42,110000,2612,-40097331.3089488,,,,,
858.1428571428571,45,120000,2616,-42963767.96538315,,,,,
900.7,49,130000,2620,-45047807.1143188,,,,,
917.25,53,140000,2623,-45887436.99030917,,,,,
1000.0,57,150000,2626,-49953051.709118,0.02,2,0.05,20043218.0,1.247304620699552e-10
1000.0,60,160000,2628,-49882153.27657733,,,,,
753.625,64,170000,2630,-37608495.79490663,,,,,
671.3333333333334,68,180000,2633,-33458368.804965418,,,,,
508.0,72,190000,2634,-25334425.485783,0.02,3,0.05,24749086.0,1.0101382924565527e-10
604.2,75,200000,2637,-30219438.713947803,,,,,
604.1,79,210000,2638,-30188003.249467902,,,,,
670.0833333333334,83,220000,2640,-33514282.888226673,,,,,
736.0666666666667,87,230000,2641,-36800932.52674834,,,,,
339.3333333333333,90,240000,2643,-16839912.445829332,0.02,4,0.05,22257798.0,1.1232018787277198e-10
508.25,94,250000,2644,-25231464.880910248,,,,,
606.6,98,260000,2645,-30220098.700340897,,,,,
1000.0,102,270000,2646,-49987264.7439985,0.02,5,0.05,25409404.0,9.838876935397423e-11
1000.0,105,280000,2647,-50102317.70045725,,,,,
780.1111111111111,109,290000,2648,-39019163.04284766,,,,,
