rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/return_std,train/iterations,train/step_size,train/delta_std,train/learning_rate
-33702986.845119335,6,1441,670.6666666666666,10000,,,,,
-40298620.9376286,13,1469,802.4,20000,,,,,
-35264704.330043,20,1491,703.0,30000,,,,,
-32424196.010002714,26,1510,646.5714285714286,40000,,,,,
-16909742.51792967,33,1512,337.8333333333333,50000,24950704.0,0,1.0019757246126915e-10,0.05,0.02
-18412116.905188635,39,1523,367.72727272727275,60000,,,,,
-23565592.520647336,45,1531,470.26666666666665,70000,,,,,
-10298743.7916308,52,1534,206.6,80000,25836324.0,1,9.676298651228876e-11,0.05,0.02
-189921.381845,58,1537,5.5,90000,22350414.0,2,1.118547476863796e-10,0.05,0.02
-16873365.13762067,65,1537,337.3333333333333,100000,,,,,
-21050355.643612,71,1539,419.8333333333333,110000,,,,,
-23560290.029770665,77,1543,470.1333333333333,120000,,,,,
-20240518.943373203,84,1547,405.2,130000,25811964.0,3,9.685430929495809e-11,0.05,0.02
-25221649.72335562,90,1551,504.0,140000,,,,,
-32011266.30025636,96,1552,639.2727272727273,150000,,,,,
-32359819.615288567,102,1556,646.2142857142857,160000,,,,,
-16909865.916625332,108,1560,338.6666666666667,170000,23885574.0,4,1.046656858405548e-10,0.05,0.02
-25209287.806756496,115,1563,503.5,180000,,,,,
-33527929.164943773,121,1566,669.0,190000,,,,,
-36568127.573648185,127,1567,729.1818181818181,200000,,,,,
-36873453.789236136,133,1568,735.2666666666667,210000,,,,,
-25191618.042744,140,1569,502.0,220000,22337246.0,5,1.1192069493404233e-10,0.05,0.02
-13545535.998464398,146,1570,271.1333333333333,230000,,,,,
-12680739.753361,152,1571,254.0,240000,23926678.0,6,1.0448587828282285e-10,0.05,0.02
-25196367.14341425,158,1573,503.0,250000,,,,,
-27491238.87061036,165,1573,548.2727272727273,260000,,,,,
-25198003.084359,171,1574,502.5,270000,25828146.0,7,9.679362866776842e-11,0.05,0.02
-30167741.4686826,177,1575,601.6,280000,,,,,
-37714683.36789487,183,1576,751.0,290000,,,,,
-40228962.7220963,190,1577,800.8,300000,,,,,
-36858198.82362993,196,1578,734.6,310000,,,,,
-16876024.264919,202,1580,338.3333333333333,320000,22373166.0,8,1.1174099839861285e-10,0.05,0.02
-18980170.731396623,208,1582,380.0,330000,,,,,
-27488641.872202907,215,1580,549.0909090909091,340000,,,,,
-30982513.989629846,221,1582,618.4615384615385,350000,,,,,
-25232041.03435525,227,1584,503.5,360000,25587024.0,9,9.770576708811873e-11,0.05,0.02
-22478662.82012989,233,1583,448.22222222222223,370000,,,,,
-27164225.84260777,239,1583,541.3846153846154,380000,,,,,
,246,1583,,390000,25630440.0,10,9.754026752961664e-11,0.05,0.02
-30172751.352751203,252,1583,601.6,400000,,,,,
-35909937.632484004,259,1582,715.4285714285714,410000,,,,,
-33537447.371602505,265,1580,668.4166666666666,420000,,,,,
-182820.10852449998,272,1579,5.0,430000,25002628.0,11,9.998948891087878e-11,0.05,0.02
-16879314.112770893,278,1578,336.55555555555554,440000,,,,,
-253382.398271,285,1577,7.0,450000,23974282.0,12,1.0427840535509603e-10,0.05,0.02
-16906577.647429444,291,1576,337.55555555555554,460000,,,,,
-21069215.390099417,298,1575,420.3333333333333,470000,,,,,
-25235866.628840998,304,1574,502.5,480000,25635718.0,13,9.752018637065873e-11,0.05,0.02
-13837748.423265273,311,1572,276.3636363636364,490000,,,,,
-25191326.542254,318,1571,503.0,500000,23954670.0,14,1.043637745667958e-10,0.05,0.02
-16869159.222011223,324,1570,336.8888888888889,510000,,,,,
-21647721.382584788,331,1568,431.85714285714283,520000,,,,,
,338,1566,,530000,25847276.0,15,9.672199152710448e-11,0.05,0.02
-30227565.1144282,345,1564,601.8,540000,,,,,
-19436760.65506392,351,1563,387.46153846153845,550000,,,,,
-138630.654655,358,1562,3.0,560000,25856686.0,16,9.668679051832996e-11,0.05,0.02
-16901897.404992167,365,1561,337.3333333333333,570000,,,,,
-16902649.62256093,371,1560,337.6666666666667,580000,,,,,
-50321825.379757,378,1559,1000.0,590000,25009858.0,17,9.99605814788751e-11,0.05,0.02
-22448595.634656113,385,1558,446.8888888888889,600000,,,,,
-21644288.504107572,391,1557,431.42857142857144,610000,,,,,
-16905736.58891767,398,1556,337.3333333333333,620000,25866878.0,18,9.66486959907975e-11,0.05,0.02
-30210920.240267605,404,1555,602.4,630000,,,,,
-33574035.660302,411,1555,669.0,640000,,,,,
-28791408.232961643,418,1554,573.5714285714286,650000,,,,,
-33564005.587379664,424,1553,668.0,660000,25644946.0,19,9.748509638418668e-11,0.05,0.02
-20213577.493775,431,1553,402.6,670000,,,,,
-21636823.204052713,438,1552,431.07142857142856,680000,,,,,
-14486837.452266857,444,1552,289.42857142857144,690000,25661526.0,20,9.7422105105327e-11,0.05,0.02
-22426221.473048337,451,1551,447.3333333333333,700000,,,,,
-23550857.418442536,457,1552,469.6,710000,,,,,
-25201678.7884905,463,1553,502.0,720000,25849910.0,21,9.671213135886703e-11,0.05,0.02
-16908472.300388414,470,1553,337.5,730000,,,,,
-21675345.72602757,476,1553,432.14285714285717,740000,,,,,
-25199560.26901,482,1554,502.0,750000,25834916.0,22,9.676826007165573e-11,0.05,0.02
-18955213.260474622,488,1554,378.125,760000,,,,,
-21639890.9030225,494,1555,431.57142857142856,770000,,,,,
-50206028.09822,501,1556,1000.0,780000,25648112.0,23,9.74730574032634e-11,0.05,0.02
-28777233.25668886,507,1557,573.0,790000,,,,,
-21635639.370045073,513,1556,431.0,800000,,,,,
-11249258.950480111,520,1556,225.33333333333334,810000,25666962.0,24,9.740146883485679e-11,0.05,0.02
-16824294.799442414,526,1556,335.9166666666667,820000,,,,,
-197899.43040714288,533,1556,5.571428571428571,830000,25639690.0,25,9.750508039862993e-11,0.05,0.02
-8538369.598613584,539,1556,171.08333333333334,840000,,,,,
-16890067.296372868,546,1556,336.8666666666667,850000,,,,,
-8500822.316453833,552,1556,169.5,860000,25045514.0,26,9.981827864269377e-11,0.05,0.02
-20197120.681448698,558,1556,402.1,870000,,,,,
-156318.916532,565,1557,4.0,880000,25057158.0,27,9.977188519805225e-11,0.05,0.02
-15206213.314799402,571,1557,303.3,890000,,,,,
,577,1557,,900000,23980228.0,28,1.0425255103641007e-10,0.05,0.02
-21642358.987984568,583,1558,431.0,910000,,,,,
,590,1559,,920000,23987560.0,29,1.0422068069670942e-10,0.05,0.02
-15165617.0604186,596,1559,302.4,930000,,,,,
-19396548.33925977,602,1559,386.6923076923077,940000,,,,,
,609,1559,,950000,25855094.0,30,9.66927371504056e-11,0.05,0.02
