rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,train/ent_coef,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/actor_loss
27.14,40,0.001,343,2.511240243911743,246,-1036211.85987433,2474,-67.98725891113281,10000,378786816.0,-678.3429565429688
18.68,78,0.001,832,6.476278781890869,255,-323866.68665954,4974,-165.45692443847656,20000,73844528.0,4892.6767578125
24.57,116,0.001,1387,14.849108695983887,258,-413097.3858545201,7474,-182.09988403320312,30000,101802184.0,20056.05078125
19.39,154,0.001,1928,29.32811164855957,259,-295823.40699034004,9974,-171.33419799804688,40000,83672656.0,25691.734375
26.15,192,0.001,2370,53.12206268310547,259,-458830.3669100399,12474,-165.5524139404297,50000,262702176.0,36810.58203125
22.65,230,0.001,2682,81.87774658203125,260,-337896.5600849899,14974,-83.17767333984375,60000,68080832.0,51477.046875
28.14,268,0.001,2982,122.79395294189453,261,-551365.8699434601,17474,-74.14543151855469,70000,66446932.0,48847.7734375
20.04,306,0.001,3477,150.95822143554688,261,-371699.18438848,19974,-15.466866493225098,80000,60440068.0,85216.8828125
3.0,344,0.001,4271,161.91343688964844,261,-118958.09748246001,22474,-1.5485894680023193,90000,60681656.0,102321.84375
3.0,382,0.001,6762,160.04083251953125,261,-117826.02332273997,24974,2.6136603355407715,100000,154450624.0,113195.4140625
3.01,420,0.001,10031,130.44512939453125,261,-117460.25963302999,27474,9.832498550415039,110000,40005496.0,119082.8359375
3.02,458,0.001,13344,102.13150024414062,261,-117059.93721558999,29974,4.600812911987305,120000,37103632.0,118540.140625
3.01,496,0.001,16364,86.99787902832031,261,-116993.47231967999,32474,7.932035446166992,130000,66555012.0,114189.65625
3.01,534,0.001,19689,68.86231231689453,261,-117133.09797498,34974,0.6014799475669861,140000,61534220.0,105756.1875
3.0,572,0.001,23021,63.74052047729492,261,-116855.94140223002,37474,1.140773057937622,150000,43713284.0,107075.875
3.0,611,0.001,26353,58.58160400390625,261,-116944.32691986002,39974,0.7117807865142822,160000,53019672.0,119449.171875
3.0,649,0.001,29686,51.83614730834961,261,-116916.24690622998,42474,0.9896285533905029,170000,54646236.0,114673.484375
3.0,687,0.001,33019,57.172119140625,261,-116849.14979162002,44974,-0.5322555303573608,180000,26233766.0,115487.515625
3.0,725,0.001,36053,50.2829704284668,262,-116746.60435307001,47474,-1.5990543365478516,190000,37964028.0,116934.421875
3.0,763,0.001,39387,48.202762603759766,262,-116867.36423566999,49974,-0.8123199939727783,200000,40614888.0,106814.46875
3.0,801,0.001,42718,44.75419998168945,262,-116783.89368164,52474,-1.350278615951538,210000,20793572.0,119903.0859375
3.0,839,0.001,46052,42.58646011352539,262,-116718.57040455002,54974,-4.542051792144775,220000,25895740.0,115501.90625
3.0,877,0.001,49386,40.239105224609375,262,-116699.66161027,57474,-0.902143657207489,230000,32581804.0,111621.640625
3.0,915,0.001,52718,39.00807189941406,262,-116677.82843863999,59974,1.6186456680297852,240000,33674544.0,115132.875
3.0,953,0.001,56050,37.302818298339844,262,-116728.32340560001,62474,0.33751988410949707,250000,34602844.0,111057.3046875
3.0,991,0.001,59383,33.92579650878906,262,-116667.92618405,64974,-2.860257625579834,260000,24742170.0,108147.421875
3.0,1029,0.001,62717,33.044044494628906,262,-116659.53594455002,67474,-2.49063777923584,270000,40131144.0,114018.375
3.0,1068,0.001,66049,29.761436462402344,262,-116695.64143684001,69974,-0.48814857006073,280000,13378206.0,113964.0625
3.0,1106,0.001,69382,30.912981033325195,262,-116694.45505938002,72474,1.6686409711837769,290000,27588562.0,104956.8828125
3.0,1144,0.001,72716,27.982879638671875,262,-116678.83760110999,74974,-0.16589665412902832,300000,15043754.0,112247.78125
3.0,1182,0.001,76049,27.417945861816406,262,-116842.30806048002,77474,-3.6649887561798096,310000,32619460.0,105006.1328125
3.0,1220,0.001,79382,27.93450355529785,262,-116699.57402017999,79974,4.3856658935546875,320000,24628342.0,110416.4140625
3.0,1259,0.001,82716,26.595504760742188,262,-116671.85055144998,82474,3.4675934314727783,330000,13320776.0,111281.0
3.0,1297,0.001,86049,24.670604705810547,262,-116692.09304185999,84974,1.9659912586212158,340000,13414108.0,111848.6484375
3.0,1335,0.001,89382,24.9324951171875,262,-116633.73308393998,87474,1.8237714767456055,350000,16745631.0,109094.25
3.0,1374,0.001,92716,23.349857330322266,262,-116627.71040434,89974,0.9374390840530396,360000,10591678.0,102585.1796875
3.0,1412,0.001,96049,26.12149429321289,262,-116671.01148924003,92474,1.1204427480697632,370000,22275168.0,111385.8984375
3.0,1450,0.001,99382,26.947383880615234,262,-116642.23244085003,94974,-0.4814293384552002,380000,16396179.0,110206.9765625
3.0,1488,0.001,102715,21.05437660217285,262,-116619.76803002002,97474,-0.4326053857803345,390000,29838764.0,111582.3359375
3.0,1526,0.001,106048,21.5860595703125,262,-116656.79740662998,99974,0.8228858709335327,400000,13598936.0,110829.8359375
3.0,1568,0.001,109382,20.223339080810547,261,-116631.60852697,102474,-3.926758289337158,410000,6439281.5,112454.15625
3.0,1610,0.001,112715,21.946496963500977,260,-116638.81104808,104974,-0.3312549591064453,420000,33290256.0,102124.65625
3.0,1652,0.001,116048,18.96407127380371,260,-116617.84352616,107474,-2.21941876411438,430000,34774692.0,110560.421875
3.0,1693,0.001,119380,17.86551856994629,259,-116620.40226016003,109974,-1.8093194961547852,440000,9279076.0,109339.5
3.0,1735,0.001,122714,17.33539390563965,259,-116658.74413183998,112474,-0.7941964864730835,450000,6743216.0,110126.8515625
3.0,1777,0.001,126047,17.152881622314453,258,-116652.52731417,114974,-2.4019062519073486,460000,5740282.0,108310.65625
3.0,1818,0.001,129380,17.48619270324707,258,-116647.06703600001,117474,0.6519178152084351,470000,6248233.0,104141.3671875
3.0,1860,0.001,132713,15.535664558410645,258,-116598.43872593,119974,1.3124631643295288,480000,3957666.25,104222.3359375
3.0,1901,0.001,136042,15.95357894897461,257,-116629.39500678,122474,1.471731185913086,490000,4469921.0,109186.78125
3.0,1942,0.001,139375,14.878132820129395,257,-116685.73977916001,124974,-2.741736888885498,500000,4401748.0,96971.078125
3.0,1983,0.001,142709,15.052959442138672,257,-116627.64906693,127474,1.691076397895813,510000,3712776.75,103953.09375
3.0,2024,0.001,146038,16.644481658935547,256,-116624.04958971997,129974,2.437742233276367,520000,4267640.0,109740.15625
3.0,2065,0.001,149372,15.1156005859375,256,-116644.61607758001,132474,-5.535178184509277,530000,3240672.75,109482.5078125
3.0,2106,0.001,152705,14.762765884399414,256,-116611.99576447999,134974,-1.5335215330123901,540000,10304724.0,104721.234375
3.0,2146,0.001,156038,14.331681251525879,256,-116639.17553219,137474,-2.559051275253296,550000,4571901.0,104547.796875
3.0,2187,0.001,159371,13.116111755371094,255,-116626.08761019,139974,5.067909240722656,560000,3657696.25,108713.0
3.0,2228,0.001,162705,14.229154586791992,255,-116612.98184051,142474,-2.1851000785827637,570000,9684076.0,109922.3046875
3.0,2269,0.001,166037,12.928374290466309,255,-116633.06207000998,144974,-3.121314287185669,580000,12685640.0,109702.03125
3.0,2309,0.001,169370,12.406759262084961,255,-116626.75044638,147474,0.382232666015625,590000,56379472.0,107216.4375
3.0,2350,0.001,172705,13.61085319519043,255,-116664.52548478998,149974,-1.169901967048645,600000,6161840.0,103809.859375
3.0,2391,0.001,176037,12.75442123413086,255,-116629.88160519,152474,1.1961641311645508,610000,5213575.0,108018.015625
