time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/episodes
16,0.001,-59.449195861816406,-403087.19393799995,820.1150512695312,16.81,10000,2.487204074859619,2474,589,254360736.0,531
33,0.001,-142.28457641601562,-157218.20287284002,12374.228515625,7.76,20000,6.369274616241455,4974,589,115048048.0,1185
51,0.001,-152.85972595214844,-195892.94781424993,16858.9375,11.06,30000,14.117576599121094,7474,586,121319544.0,2031
68,0.001,-130.93185424804688,-213804.37649765998,25041.85546875,9.97,40000,26.682165145874023,9974,584,141930784.0,2971
85,0.001,-84.28591918945312,-261406.63491478004,38929.31640625,20.02,50000,45.16028594970703,12474,583,196557616.0,3606
103,0.001,-47.024200439453125,8240.885386599999,51488.6484375,12.35,60000,63.6379280090332,14974,582,126452240.0,4320
120,0.001,-26.411579132080078,33909.78174395,49336.390625,9.82,70000,82.94356536865234,17474,579,65965840.0,5277
138,0.001,-12.328606605529785,42117.6,41604.171875,9.05,80000,102.10691833496094,19974,579,127897848.0,6359
155,0.001,-9.0103759765625,41514.5,23906.9453125,9.04,90000,120.06205749511719,22474,578,66472284.0,7468
172,0.001,-1.0634217262268066,41719.4,14953.6328125,8.96,100000,131.06761169433594,24974,578,74535632.0,8580
190,0.001,0.6043252944946289,43540.07276545,4462.55908203125,8.88,110000,133.6535186767578,27474,578,42618272.0,9701
207,0.001,0.6545534133911133,46984.54617868001,11573.2373046875,8.55,120000,124.3595962524414,29974,577,63797416.0,10861
225,0.001,0.7781350016593933,49825.794370539996,-12432.822265625,8.3,130000,121.49288940429688,32474,577,35993088.0,12034
242,0.001,-0.8746288418769836,50734.01938185,-7675.1904296875,8.19,140000,117.44316864013672,34974,577,37516632.0,13252
259,0.001,-1.2322673797607422,51849.3,-23557.515625,8.09,150000,116.06881713867188,37474,577,72153184.0,14480
277,0.001,-2.2254958152770996,51946.0061893,-16692.599609375,8.1,160000,113.9867935180664,39974,577,27120504.0,15719
294,0.001,-0.2653086483478546,52044.20988707001,-30623.80078125,8.08,170000,107.96793365478516,42474,576,34139360.0,16958
312,0.001,0.09384915232658386,52454.5,-30114.693359375,8.04,180000,108.00778198242188,44974,576,49674060.0,18200
329,0.001,-0.37959036231040955,50639.439329470006,-34531.890625,8.03,190000,105.24430847167969,47474,576,26663256.0,19446
347,0.001,-2.146494150161743,52963.7,-40284.40234375,8.0,200000,105.02983856201172,49974,576,142600544.0,20693
364,0.001,-1.778671145439148,52865.9,-40678.390625,8.01,210000,93.8859634399414,52474,576,26820964.0,21940
381,0.001,2.0204548835754395,52961.0,-43703.67578125,8.0,220000,94.07982635498047,54974,576,27316840.0,23188
399,0.001,1.2766318321228027,52660.9,-42453.140625,8.02,230000,88.69641876220703,57474,576,15542837.0,24436
416,0.001,1.0440702438354492,52864.6,-45369.12890625,8.0,240000,81.30885314941406,59974,576,29352684.0,25685
