time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
60,153988.375,-47.500709533691406,10000,9243.861328125,1683,2474,5.0,164,-158209.42729577,2.0554800033569336,0.0003
125,138137.25,-93.98235321044922,20000,2891.560791015625,3683,4974,5.0,159,-158207.57250022,4.489815711975098,0.0003
191,135836.4375,-111.10034942626953,30000,1229.1380615234375,5683,7474,5.0,156,-158200.89033191,8.979386329650879,0.0003
252,136118.765625,-115.002197265625,40000,744.97900390625,7683,9974,5.0,158,-158184.70634637002,17.762956619262695,0.0003
314,136390.75,-101.71086883544922,50000,804.13916015625,9683,12474,5.0,159,-158148.89277100004,34.603515625,0.0003
372,146101.28125,-78.27984619140625,60000,576.3587646484375,11683,14974,5.0,161,-158042.55548504,65.35926818847656,0.0003
430,142154.828125,-46.267822265625,70000,533.85693359375,13683,17474,5.03,162,-157637.60115968002,115.5613021850586,0.0003
489,144390.21875,-17.53032684326172,80000,698.2351684570312,15556,19974,5.28,163,-164014.34998946002,188.43934631347656,0.0003
547,153180.40625,-2.8394150733947754,90000,3168.729248046875,17104,22474,5.22,164,-160107.05097527,246.89251708984375,0.0003
605,160690.3125,0.3094691038131714,100000,3787.200439453125,18625,24974,5.2,165,-155037.17501704997,302.6720275878906,0.0003
663,205838.265625,0.16518783569335938,110000,6882.5224609375,18925,27474,49.38,165,-2365277.02626965,360.08380126953125,0.0003
723,310438.875,2.2599830627441406,120000,8637.55859375,19054,29974,55.0,165,-2655689.06306853,219.12936401367188,0.0003
781,665749.5625,7.675761699676514,130000,12158.7265625,19107,32474,154.71,166,-7637467.814759161,171.45584106445312,0.0003
836,724326.3125,-4.382838726043701,140000,16677.46484375,19573,34974,25.47,167,-1109135.1307171,200.15484619140625,0.0003
891,992149.625,6.681483268737793,150000,21261.52734375,19731,37474,79.01,168,-3792333.4828327503,248.5016632080078,0.0003
948,1112372.375,-2.5793471336364746,160000,19234.5546875,20442,39974,5.71,168,-180851.88699831,308.4039611816406,0.0003
1006,1110904.125,2.3342299461364746,170000,34596.5546875,22318,42474,5.0,168,-157249.68329279,330.83319091796875,0.0003
1064,1220449.375,-0.18335479497909546,180000,24816.578125,24258,44974,5.0,169,-156886.76780026002,332.86431884765625,0.0003
1123,1329510.75,-0.917204737663269,190000,22107.728515625,26091,47474,5.0,169,-157444.66134339,331.5176086425781,0.0003
1181,1467638.25,0.8553447723388672,200000,33080.03515625,27798,49974,5.04,169,-159905.14713763003,283.8331298828125,0.0003
1237,1451125.5,0.9336308240890503,210000,40907.4140625,29795,52474,5.0,169,-158423.08217253,264.5461730957031,0.0003
1293,1378885.5,2.200625419616699,220000,50906.58203125,31674,54974,5.31,170,-156123.40864149,220.30140686035156,0.0003
1349,1636458.0,-4.15289306640625,230000,35384.80859375,32502,57474,24.67,170,-1067077.85605981,204.57200622558594,0.0003
1405,1626022.75,3.356621026992798,240000,45663.31640625,32681,59974,47.42,170,-2210146.97456402,199.75753784179688,0.0003
1463,1448562.625,0.450992226600647,250000,48596.14453125,32880,62474,71.24,170,-3369833.35529202,186.3839874267578,0.0003
1521,1692108.375,-5.920745372772217,260000,40564.88671875,33735,64974,8.97,170,-260931.78428628,232.70040893554688,0.0003
1580,1815598.875,-9.18008804321289,270000,58381.53125,34383,67474,7.48,170,-200239.29138204,242.86541748046875,0.0003
