train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,time/episodes,time/fps,time/total_timesteps,train/learning_rate,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean
7271.28515625,2474,1.858752727508545,409318.8125,74,139,10000,0.0003,71,-20.577117919921875,103.12162162162163,-4360318.802944797
6591.34521484375,4974,4.182180404663086,929740.125,101,138,20000,0.0003,144,-51.796661376953125,195.82,-9147758.46519366
7933.82275390625,7474,8.356779098510742,1095685.625,274,138,30000,0.0003,216,-69.28900146484375,72.94,-3499767.8923770906
9862.9248046875,9974,14.709162712097168,1386293.0,284,139,40000,0.0003,287,-30.203777313232422,161.17,-7923537.567411359
12216.7333984375,12474,25.017131805419922,1625492.75,384,139,50000,0.0003,358,-32.21700668334961,115.34,-5279147.68950366
14116.2890625,14974,39.37761688232422,1836438.125,458,139,60000,0.0003,430,-10.291580200195312,140.65,-6464556.08405195
10871.4482421875,17474,63.30790710449219,1976874.375,517,139,70000,0.0003,502,-4.783560752868652,133.64,-5729586.90841255
22266.35546875,19974,192.71884155273438,1713671.5,2243,139,80000,0.0003,573,-84.39410400390625,5.64,-149237.55239956002
32233.74609375,22474,333.7393798828125,1462735.0,2826,139,90000,0.0003,647,-23.80634307861328,5.15,-128582.58150259998
26424.1015625,24974,280.9952087402344,1482861.625,3414,138,100000,0.0003,719,23.386201858520508,55.2,-2544085.1981242397
45983.56640625,27474,113.92375946044922,1731331.0,3704,139,110000,0.0003,790,33.569000244140625,40.56,-1253017.30402315
51223.80078125,29974,102.2768325805664,1917440.875,3971,139,120000,0.0003,862,-6.104758262634277,33.53,-1423769.5822222799
58081.390625,32474,167.75198364257812,2068865.875,4048,139,130000,0.0003,934,0.8799540400505066,96.05,-4576322.4704281
54483.1640625,34974,160.022216796875,2220927.0,4095,139,140000,0.0003,1006,-2.3453383445739746,183.99,-8569848.192538492
50936.91015625,37474,239.24246215820312,2406870.0,4127,139,150000,0.0003,1078,-0.8823026418685913,266.75,-12604924.903624143
47846.171875,39974,198.79544067382812,2613075.0,4155,139,160000,0.0003,1150,-1.8050134181976318,254.62,-12088469.012448141
67286.1953125,42474,152.94041442871094,2889225.75,4212,139,170000,0.0003,1221,-0.088749960064888,247.8,-11868176.471154131
74251.53125,44974,159.26759338378906,2939527.0,4260,139,180000,0.0003,1293,0.24525171518325806,192.12,-8806056.28144071
60051.51171875,47474,143.42034912109375,3391998.0,4449,139,190000,0.0003,1365,2.1724085807800293,54.96,-2235048.3375070305
61287.6796875,49974,105.72954559326172,3490182.25,4504,138,200000,0.0003,1438,-0.9973769187927246,116.12,-5129790.183981011
58240.33203125,52474,150.6796112060547,3602988.75,4703,138,210000,0.0003,1512,-1.504326343536377,56.47,-2213537.7505607996
47717.09765625,54974,148.1018829345703,3485089.5,4804,138,220000,0.0003,1583,-0.4850693345069885,87.93,-3722477.1555990805
79508.609375,57474,239.66287231445312,3421891.0,5067,138,230000,0.0003,1654,-2.4208054542541504,28.76,-1003162.7957245298
65759.8359375,59974,381.9494323730469,3251605.5,5479,138,240000,0.0003,1726,-0.517663836479187,26.22,-1049535.2003301098
86737.578125,62474,410.6229553222656,2949921.25,6388,138,250000,0.0003,1800,-6.501678466796875,6.59,-150588.01486560996
89231.21875,64974,572.9552612304688,2563025.0,7609,138,260000,0.0003,1877,-3.0206940174102783,5.1,-107753.06349510998
70821.9921875,67474,827.832275390625,2042947.875,9359,138,270000,0.0003,1953,-2.655970573425293,8.24,-256225.31908991
46615.9296875,69974,536.451904296875,1605730.75,10484,138,280000,0.0003,2027,-0.3278583288192749,8.45,-210323.80134702
46471.890625,72474,312.91619873046875,1522522.0,11207,137,290000,0.0003,2102,5.109457015991211,8.21,-179737.01337064998
66724.8125,74974,271.95513916015625,1752761.25,11993,137,300000,0.0003,2177,-2.5618107318878174,5.72,-124818.93944873998
70824.28125,77474,389.4396057128906,1618445.75,13850,137,310000,0.0003,2252,-2.551668643951416,5.3,-109049.38890628
74752.921875,79974,401.78125,1530921.5,15747,137,320000,0.0003,2327,1.2508623600006104,5.02,-100085.77183617001
57617.76171875,82474,371.5264892578125,1566435.375,17730,137,330000,0.0003,2402,-0.3207707405090332,5.02,-104326.75178003998
48358.7265625,84974,350.80816650390625,1346324.375,19720,137,340000,0.0003,2477,1.3871831893920898,5.0,-102832.30409288999
45894.3359375,87474,334.43939208984375,1244545.625,21715,136,350000,0.0003,2555,-1.3690580129623413,5.0,-101428.68149762001
39277.5625,89974,329.75872802734375,1160725.125,23707,136,360000,0.0003,2631,3.7462596893310547,5.08,-100127.73174309003
36450.39453125,92474,324.57354736328125,1169140.25,25686,136,370000,0.0003,2710,2.700669765472412,5.09,-100591.22558555
27691.421875,94974,316.3409729003906,998628.875,27643,136,380000,0.0003,2787,-0.6887260675430298,5.08,-99891.66888368002
33541.03125,97474,307.5240478515625,988266.375,29524,136,390000,0.0003,2864,5.916767120361328,5.34,-107381.77132942999
30441.912109375,99974,294.7193908691406,869366.375,31166,135,400000,0.0003,2942,-2.087587356567383,5.01,-99409.23205509002
29436.27734375,102474,281.898681640625,851178.1875,32999,135,410000,0.0003,3019,8.29593276977539,5.07,-102840.61990967
27959.91015625,104974,274.25177001953125,773608.9375,34965,135,420000,0.0003,3099,-1.7431516647338867,5.1,-103337.35205220999
29898.205078125,107474,269.1182861328125,785391.75,36922,135,430000,0.0003,3179,-1.2649550437927246,5.13,-105630.70667689
27605.462890625,109974,260.4779357910156,748103.1875,38850,135,440000,0.0003,3257,-0.9346798062324524,5.29,-108883.26730277002
27188.2421875,112474,254.29270935058594,699690.875,40755,134,450000,0.0003,3336,-1.699125051498413,5.36,-109009.4849746
27592.34375,114974,236.8858642578125,666881.4375,42553,134,460000,0.0003,3414,-0.987206220626831,5.54,-113018.53039734
30511.296875,117474,220.8369598388672,638921.0,43958,134,470000,0.0003,3492,1.6226469278335571,6.46,-132453.08599454
25091.560546875,119974,208.389892578125,625361.5,45141,134,480000,0.0003,3570,-0.23088288307189941,9.89,-198783.97525425
27887.1953125,122474,205.78948974609375,689976.625,46050,134,490000,0.0003,3648,1.372143268585205,10.12,-216303.51462188998
29421.23046875,124974,204.13302612304688,641486.0,47212,134,500000,0.0003,3727,-1.0053699016571045,5.62,-116512.87773773001
29282.392578125,127474,214.639404296875,546059.8125,49096,133,510000,0.0003,3807,2.4845426082611084,5.02,-102343.49733486
32184.6953125,129974,214.887939453125,603785.6875,50781,133,520000,0.0003,3886,1.1454267501831055,5.66,-117121.99236886002
32891.0625,132474,208.79132080078125,648158.125,52152,133,530000,0.0003,3967,-4.116202354431152,7.09,-157006.58295055
31106.453125,134974,210.47325134277344,644255.1875,53397,133,540000,0.0003,4046,-1.3488167524337769,7.09,-167526.01670787996
40424.63671875,137474,214.72323608398438,660878.625,55092,133,550000,0.0003,4127,4.148746013641357,5.45,-123839.00715240002
42544.609375,139974,214.17820739746094,561009.25,56954,133,560000,0.0003,4207,2.89101243019104,5.42,-122609.10618795999
37987.7265625,142474,211.751708984375,552514.4375,58875,132,570000,0.0003,4287,-2.27944278717041,5.02,-109637.49358379001
38842.78515625,144974,206.63768005371094,606973.3125,60524,132,580000,0.0003,4369,-0.27412164211273193,5.02,-107497.84738745002
37971.22265625,147474,200.59149169921875,624366.6875,61509,132,590000,0.0003,4449,1.4855951070785522,15.0,-475864.02694754
37361.63671875,149974,194.57965087890625,734510.4375,62566,132,600000,0.0003,4530,-4.855399131774902,15.12,-551591.6570779999
45877.12890625,152474,204.5940399169922,725215.625,64350,132,610000,0.0003,4611,-6.629204273223877,5.0,-99098.60176838002
47697.23046875,154974,207.2376251220703,661902.125,66273,132,620000,0.0003,4691,-2.0001144409179688,5.0,-98206.50468921999
44304.58984375,157474,210.5967254638672,720943.0,68269,132,630000,0.0003,4772,1.8414019346237183,5.0,-98310.03754366002
46911.47265625,159974,209.3311309814453,778473.5,70264,131,640000,0.0003,4852,0.9556543827056885,5.04,-98897.73983743001
48789.7109375,162474,208.79440307617188,746788.9375,72256,131,650000,0.0003,4934,2.5018067359924316,5.03,-98659.05451192
45326.234375,164974,210.1317901611328,706000.5,74249,131,660000,0.0003,5014,-0.26352745294570923,5.02,-98947.12843670002
55215.4765625,167474,207.37286376953125,707678.625,76240,131,670000,0.0003,5096,1.6966580152511597,5.03,-98568.31789634
