time/total_timesteps,train/is_line_search_success,time/fps,train/kl_divergence_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std
10000,1.0,951,0.005621668882668018,10,0.001,30.3,-5.960464477539062e-07,0.07212681323289871,-502097.4568714001,1,40025238464.0,0.9944934248924255
20000,1.0,961,0.0060996999964118,20,0.001,25.58,0.0,0.06644491106271744,-405621.24952955,2,33927298681.6,0.9921823143959045
30000,1.0,964,0.004594460129737854,31,0.001,19.31,-1.1920928955078125e-07,0.058975499123334885,-318569.45665719995,3,30448415427.2,0.9917993545532227
40000,1.0,964,0.004280776716768742,41,0.001,17.63,0.0,0.06187490373849869,-296721.31093320006,4,28857776188.8,0.9945476651191711
50000,1.0,932,0.005278460215777159,53,0.001,18.34,-1.1920928955078125e-07,0.06494826823472977,-303770.07696385996,6,26105833811.2,1.000696063041687
60000,1.0,936,0.004450676031410694,64,0.001,14.51,1.7881393432617188e-07,0.05981636047363281,-247515.16440059,7,23109917971.2,0.9933446645736694
70000,1.0,938,0.004256655927747488,74,0.001,13.9,0.0,0.05614672973752022,-237679.46780799,8,23628063763.2,0.9938631057739258
80000,1.0,939,0.005598981399089098,85,0.001,10.69,0.0,0.062362972646951675,-198252.89652065004,9,20320287347.2,0.9770963788032532
90000,1.0,941,0.004950379021465778,95,0.001,12.64,0.0,0.05585416778922081,-223273.25007393,10,18701904998.4,0.9688792824745178
100000,1.0,928,0.0049989293329417706,107,0.001,11.63,0.0,0.05720197781920433,-209032.78958903003,12,18724539347.2,0.9663772583007812
110000,1.0,930,0.004918276332318783,118,0.001,10.61,0.0,0.06579501926898956,-196514.53547711,13,17340150896.0,0.9572264552116394
120000,1.0,932,0.005449410993605852,128,0.001,9.12,-2.384185791015625e-07,0.06374567002058029,-178640.58858994007,14,16652900808.0,0.9498491883277893
130000,1.0,933,0.005598149728029966,139,0.001,8.18,0.0,0.07090339064598083,-170829.76410539998,15,15389645113.6,0.9373889565467834
140000,1.0,924,0.006001030560582876,151,0.001,7.56,-2.384185791015625e-07,0.06975464522838593,-165873.06961702,17,14719447332.8,0.9275766015052795
150000,1.0,927,0.005192354787141085,161,0.001,6.94,-2.384185791015625e-07,0.057481877505779266,-156088.18694346002,18,13804247043.2,0.9214916229248047
160000,1.0,927,0.005869156215339899,172,0.001,5.68,0.0,0.06968004256486893,-143505.14663991003,19,13397827513.6,0.9085109829902649
170000,1.0,927,0.005802159663289785,183,0.001,5.18,0.0,0.0666889175772667,-138265.87613575,20,12810446528.0,0.9049203991889954
180000,1.0,928,0.0074149915017187595,193,0.001,5.34,0.0,0.052699219435453415,-140691.46033065,21,12035841336.0,0.8933834433555603
190000,1.0,921,0.009020731784403324,206,0.001,4.9,0.0,0.06909632682800293,-135132.48165623,23,11994264769.6,0.8777039051055908
200000,1.0,922,0.005091378465294838,216,0.001,4.84,1.7881393432617188e-07,0.027602020651102066,-135056.71592151,24,11671176411.2,0.8733905553817749
210000,1.0,922,0.007751941680908203,227,0.001,4.65,0.0,0.057360585778951645,-133124.72512055998,25,11694022184.0,0.868472695350647
220000,1.0,922,0.007470688782632351,238,0.001,4.74,0.0,0.03660774976015091,-133475.58894386003,26,11344864100.8,0.8600121140480042
230000,1.0,916,0.008508434519171715,251,0.001,4.91,0.0,0.06373607367277145,-135769.63177058,28,11201953368.0,0.8484331369400024
240000,1.0,916,0.006488853599876165,261,0.001,4.26,0.0,0.059611473232507706,-128880.09626205999,29,11227510800.0,0.8447955846786499
250000,1.0,916,0.008098199963569641,272,0.001,4.97,-1.1920928955078125e-07,0.0455646887421608,-136196.27759258,30,11179537873.6,0.8414164781570435
260000,1.0,916,0.009438276290893555,283,0.001,4.85,-1.1920928955078125e-07,0.04162938892841339,-135047.73044925,31,11303468182.4,0.837972104549408
270000,1.0,916,0.006186709739267826,294,0.001,4.29,0.0,0.05178030952811241,-129269.57022762,32,11098223312.0,0.8363837599754333
280000,1.0,911,0.008136388845741749,307,0.001,4.12,0.0,0.06136137992143631,-127489.22625780999,34,10850229192.0,0.8296937346458435
290000,1.0,911,0.006102285347878933,318,0.001,4.09,-1.1920928955078125e-07,0.036437079310417175,-127201.43082601001,35,10733213145.6,0.828199028968811
300000,1.0,911,0.0063182637095451355,329,0.001,4.25,0.0,0.037639763206243515,-128614.14454484999,36,10756166516.8,0.8263934254646301
