train/explained_variance,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/policy_loss,train/n_updates,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/std,time/fps
-2.181529998779297e-05,57379872.0,211.3953488372093,10000,0.0001,-49116.5859375,124,2,-8.523458480834961,-493025.5273113489,1.0016099214553833,3361
1.7285346984863281e-06,160534896.0,231.3452380952381,20000,0.0001,-65991.8125,249,5,-8.518026351928711,-525201.0431804763,1.000712275505066,3432
3.2186508178710938e-06,686921856.0,237.09,30000,0.0001,-122740.453125,374,8,-8.518202781677246,-518122.51001305995,1.0008622407913208,3456
9.59634780883789e-06,110552240.0,179.64,40000,0.0001,-68858.171875,499,11,-8.507575035095215,-398822.02064719005,0.9990043044090271,3459
1.6570091247558594e-05,91178288.0,164.45,50000,0.0001,-58427.59375,624,14,-8.505948066711426,-336997.38741060003,0.9987028241157532,3467
-4.172325134277344e-06,598192384.0,174.99,60000,0.0001,-130542.359375,749,17,-8.50222110748291,-347843.79001620994,0.9980842471122742,3468
-1.1920928955078125e-07,1030721536.0,177.8,70000,0.0001,-141638.921875,874,20,-8.499002456665039,-358682.25699347,0.9975666999816895,3467
4.172325134277344e-07,680958976.0,159.92,80000,0.0001,-127389.234375,999,23,-8.496308326721191,-318790.48833597003,0.9971377849578857,3465
1.6093254089355469e-06,53889396.0,155.59,90000,0.0001,-46833.00390625,1124,25,-8.492376327514648,-308591.01590415003,0.9964517951011658,3463
0.0,654595712.0,154.67,100000,0.0001,-127380.75,1249,28,-8.489889144897461,-286071.76191778993,0.9960573315620422,3461
1.7881393432617188e-07,82825008.0,157.48,110000,0.0001,-60435.38671875,1374,31,-8.48482894897461,-304822.2305356,0.9952217936515808,3461
-2.384185791015625e-07,497879040.0,155.47,120000,0.0001,-966.9851684570312,1499,34,-8.485979080200195,-288107.60001694,0.9954259991645813,3459
-2.384185791015625e-07,78283024.0,123.79,130000,0.0001,-54804.9609375,1624,37,-8.482980728149414,-236734.38934497998,0.9948690533638,3457
1.7881393432617188e-07,96722400.0,136.24,140000,0.0001,-62102.4765625,1749,40,-8.478830337524414,-251581.76928484003,0.9942091107368469,3457
-2.384185791015625e-07,102792792.0,136.34,150000,0.0001,-51198.42578125,1874,43,-8.477298736572266,-242529.37100216,0.9940180778503418,3454
0.0,332492864.0,133.54,160000,0.0001,-69339.578125,1999,46,-8.476622581481934,-237682.0579823,0.9937841296195984,3453
0.0,193953664.0,132.49,170000,0.0001,-80744.171875,2124,49,-8.477265357971191,-229491.14146073002,0.9939402937889099,3451
1.1920928955078125e-07,100534128.0,124.62,180000,0.0001,-44785.3671875,2249,52,-8.473337173461914,-225230.29875703,0.9933652281761169,3450
0.0,898057728.0,129.73,190000,0.0001,-137300.859375,2374,55,-8.472640037536621,-214927.97601297998,0.9932085871696472,3448
-1.1920928955078125e-07,528422336.0,135.19,200000,0.0001,-136292.265625,2499,58,-8.467232704162598,-229318.47976281,0.9923308491706848,3445
0.0,35337160.0,130.98,210000,0.0001,-26933.015625,2624,60,-8.46835994720459,-232907.2777683,0.9925459027290344,3444
0.0,101425872.0,135.62,220000,0.0001,-49491.359375,2749,64,-8.469024658203125,-217588.38674084004,0.9926130175590515,3428
0.0,28637994.0,118.12,230000,0.0001,-16515.16015625,2874,67,-8.47014045715332,-199071.96734907996,0.9928236603736877,3428
0.0,625911936.0,126.66,240000,0.0001,-110091.828125,2999,70,-8.467584609985352,-186610.75016526002,0.992432177066803,3427
5.960464477539063e-08,41237376.0,110.54,250000,0.0001,-35135.75390625,3124,72,-8.465471267700195,-202980.85366982,0.9920114874839783,3425
0.0,1431691520.0,127.06,260000,0.0001,-181538.5,3249,75,-8.462811470031738,-209670.19421249002,0.9915938973426819,3424
0.0,182676640.0,116.61,270000,0.0001,-78901.1875,3374,78,-8.459687232971191,-197236.06018960997,0.991081714630127,3423
-1.1920928955078125e-07,49493496.0,103.48,280000,0.0001,-30246.47265625,3499,81,-8.458526611328125,-176060.42216881004,0.9908730387687683,3423
0.0,531433376.0,116.14,290000,0.0001,-103271.1953125,3624,84,-8.457488059997559,-188599.82596607003,0.9906682968139648,3422
1.1920928955078125e-07,70129568.0,121.65,300000,0.0001,-53571.10546875,3749,87,-8.450133323669434,-192396.47367937997,0.989520251750946,3421
0.0,987412800.0,106.85,310000,0.0001,-138866.15625,3874,90,-8.455392837524414,-175915.34471707002,0.9903793334960938,3418
1.7881393432617188e-07,23900376.0,107.64,320000,0.0001,-26228.150390625,3999,93,-8.454667091369629,-176623.22824828004,0.9903104901313782,3417
1.1920928955078125e-07,1130154752.0,110.04,330000,0.0001,-182681.78125,4124,96,-8.454141616821289,-178579.1406802,0.9901943802833557,3416
-1.1920928955078125e-07,1326087168.0,126.42,340000,0.0001,-206733.09375,4249,99,-8.451661109924316,-195625.17358927004,0.9897577166557312,3415
0.0,516911520.0,130.19,350000,0.0001,-99808.5390625,4374,102,-8.450395584106445,-197878.49326150998,0.9895842671394348,3414
5.960464477539063e-08,1063735808.0,131.4,360000,0.0001,-154549.53125,4499,105,-8.449950218200684,-206541.24319632995,0.9894910454750061,3413
-1.1920928955078125e-07,601384512.0,128.21,370000,0.0001,-121368.3359375,4624,108,-8.449945449829102,-197596.08787554997,0.9894888401031494,3413
1.1920928955078125e-07,60830828.0,117.87,380000,0.0001,-36598.48828125,4749,111,-8.447856903076172,-189599.67427130003,0.9891350269317627,3413
0.0,599769536.0,112.04,390000,0.0001,-113898.734375,4874,114,-8.450087547302246,-180548.48691103997,0.9895393252372742,3412
0.0,38329736.0,122.3,400000,0.0001,-29224.12890625,4999,117,-8.450797080993652,-186288.5362255,0.9896634221076965,3411
0.0,11240402.0,127.12,410000,0.0001,-13813.1328125,5124,120,-8.447650909423828,-194385.22235487,0.9890944361686707,3411
-1.1920928955078125e-07,2035183616.0,127.95,420000,0.0001,-281237.3125,5249,123,-8.439472198486328,-196448.15054002005,0.9878224730491638,3410
0.0,358846784.0,127.88,430000,0.0001,-58504.6640625,5374,126,-8.434955596923828,-200333.63485710992,0.9870045781135559,3410
0.0,18099468.0,117.69,440000,0.0001,-18298.125,5499,129,-8.433526992797852,-187965.39709674,0.9868221282958984,3409
0.0,90802456.0,109.11,450000,0.0001,-55689.28125,5624,132,-8.42954158782959,-176991.98658235,0.9861493110656738,3408
0.0,1577892096.0,116.56,460000,0.0001,-222942.71875,5749,134,-8.423967361450195,-172075.61123809003,0.9852545857429504,3407
-1.1920928955078125e-07,669320896.0,116.26,470000,0.0001,-130517.421875,5874,137,-8.421594619750977,-172224.71900401002,0.9848845601081848,3407
0.0,16582259.0,110.44,480000,0.0001,-15048.3076171875,5999,140,-8.423357009887695,-166797.52525991,0.9851318001747131,3406
0.0,299932352.0,122.13,490000,0.0001,-28209.92578125,6124,143,-8.424089431762695,-175456.00678713003,0.9853730201721191,3405
-2.384185791015625e-07,71749432.0,114.6,500000,0.0001,-45291.1484375,6249,146,-8.41600227355957,-168363.68604276,0.9839450716972351,3404
-1.1920928955078125e-07,572688384.0,114.67,510000,0.0001,-100990.203125,6374,149,-8.41238021850586,-169034.99857566002,0.9834010601043701,3403
-1.1920928955078125e-07,41596104.0,91.9,520000,0.0001,-33428.62109375,6499,152,-8.409280776977539,-153690.32245169,0.9828726649284363,3402
0.0,506687680.0,102.53,530000,0.0001,-81216.234375,6624,155,-8.408117294311523,-161342.71243388002,0.9826174378395081,3401
0.0,542925248.0,106.69,540000,0.0001,-94282.5390625,6749,158,-8.407648086547852,-161090.72411329,0.9825756549835205,3400
0.0,496228768.0,107.16,550000,0.0001,-58289.4765625,6874,161,-8.40952205657959,-161592.62782579998,0.9829050898551941,3399
0.0,114363408.0,115.82,560000,0.0001,-52365.2421875,6999,164,-8.404557228088379,-169064.37881159998,0.9821053147315979,3398
5.960464477539063e-08,708741184.0,112.92,570000,0.0001,-133186.5,7124,167,-8.401464462280273,-158438.34225616002,0.9816004633903503,3397
0.0,283413184.0,108.36,580000,0.0001,-59712.35546875,7249,170,-8.398283958435059,-158084.24330860996,0.9811384677886963,3395
0.0,12893994.0,120.06,590000,0.0001,-11795.05859375,7374,173,-8.401691436767578,-178383.49872332002,0.981565535068512,3394
0.0,14735878.0,104.79,600000,0.0001,-15672.15625,7499,176,-8.402429580688477,-150284.49442646003,0.9816873073577881,3393
0.0,27474810.0,116.43,610000,0.0001,-24663.16015625,7624,179,-8.402176856994629,-161081.67367811,0.9816511273384094,3391
0.0,572500288.0,108.26,620000,0.0001,-93256.9296875,7749,182,-8.39984130859375,-157480.48673657997,0.9812765717506409,3390
0.0,17609142.0,115.1,630000,0.0001,-23856.98046875,7874,185,-8.398308753967285,-174956.03727215997,0.9809906482696533,3389
0.0,42699920.0,114.53,640000,0.0001,-33570.73046875,7999,188,-8.39920425415039,-161218.78061847,0.9812542796134949,3388
0.0,520594080.0,112.45,650000,0.0001,-69638.65625,8124,191,-8.395366668701172,-151840.84109730003,0.9806240200996399,3388
0.0,16771750.0,96.26,660000,0.0001,-18890.962890625,8249,194,-8.391870498657227,-152013.48743815004,0.9800686240196228,3387
0.0,55923744.0,101.48,670000,0.0001,-32673.32421875,8374,197,-8.392034530639648,-141029.24178774,0.9801363945007324,3386
0.0,430866848.0,96.87,680000,0.0001,-44428.921875,8499,200,-8.387762069702148,-142993.40437943,0.9794517159461975,3385
5.960464477539063e-08,458771552.0,106.73,690000,0.0001,-57155.26171875,8624,203,-8.385125160217285,-148882.22724036,0.9790042042732239,3384
-1.1920928955078125e-07,17534912.0,86.33,700000,0.0001,-16425.587890625,8749,206,-8.388670921325684,-144366.63212515,0.9795791506767273,3383
1.1920928955078125e-07,34123804.0,97.95,710000,0.0001,-19165.052734375,8874,209,-8.386857986450195,-147784.10999833,0.9791882634162903,3382
0.0,403240416.0,116.6,720000,0.0001,-66314.6875,8999,212,-8.385456085205078,-159044.25270808997,0.9790757298469543,3381
0.0,760700800.0,126.74,730000,0.0001,-108673.9609375,9124,215,-8.381241798400879,-167362.90824214,0.9782884120941162,3380
0.0,505859904.0,110.13,740000,0.0001,-44206.9765625,9249,218,-8.378738403320312,-158655.65354097,0.9780269265174866,3379
0.0,550354560.0,123.15,750000,0.0001,-77732.53125,9374,221,-8.380706787109375,-163715.34963853,0.9782476425170898,3379
0.0,86231280.0,127.52,760000,0.0001,-62658.7109375,9499,224,-8.380895614624023,-165475.1978491,0.9782389998435974,3378
-1.1920928955078125e-07,149728464.0,112.87,770000,0.0001,-51839.39453125,9624,227,-8.38076114654541,-165706.06202032,0.9782536625862122,3377
0.0,11257952.0,124.34,780000,0.0001,-12323.373046875,9749,230,-8.382183074951172,-163714.38674611002,0.9784398674964905,3376
1.7881393432617188e-07,491717824.0,120.79,790000,0.0001,-72581.4453125,9874,234,-8.381680488586426,-159991.02055783,0.9783472418785095,3376
1.1920928955078125e-07,540146752.0,127.22,800000,0.0001,-84898.671875,9999,237,-8.381237030029297,-167305.16549609,0.9782915115356445,3375
0.0,495199424.0,106.53,810000,0.0001,24464.568359375,10124,240,-8.380172729492188,-151794.71821466,0.9781641960144043,3374
0.0,267628768.0,139.41,820000,0.0001,-70881.984375,10249,243,-8.379443168640137,-168146.59063695002,0.9780603051185608,3374
0.0,1033900864.0,128.53,830000,0.0001,-142506.28125,10374,246,-8.378765106201172,-167555.2557033,0.9779152274131775,3373
1.1920928955078125e-07,839945280.0,117.39,840000,0.0001,-123051.9765625,10499,249,-8.376269340515137,-158626.58126553,0.9775665402412415,3372
0.0,489254976.0,145.54,850000,0.0001,-64359.0,10624,252,-8.375683784484863,-180539.21043835997,0.9773955345153809,3372
0.0,20090222.0,114.06,860000,0.0001,-19185.826171875,10749,255,-8.372490882873535,-156389.3505352,0.9769024848937988,3371
0.0,31939382.0,120.53,870000,0.0001,-16485.306640625,10874,258,-8.37075424194336,-151066.91069545998,0.9765787124633789,3370
0.0,11899986.0,132.15,880000,0.0001,-16969.51953125,10999,261,-8.37137508392334,-161766.05961842,0.9766595363616943,3369
0.0,24864356.0,156.2,890000,0.0001,-17397.658203125,11124,264,-8.370709419250488,-178003.47876212,0.976642906665802,3369
-2.384185791015625e-07,372594976.0,159.77,900000,0.0001,-83352.1015625,11249,267,-8.369577407836914,-183901.12493335997,0.9764977097511292,3369
0.0,1529442688.0,155.3,910000,0.0001,-185614.21875,11374,270,-8.369904518127441,-189143.65227076004,0.976529598236084,3368
0.0,19059196.0,155.94,920000,0.0001,-21825.390625,11499,273,-8.364486694335938,-185562.28236917,0.9756136536598206,3368
0.0,512596672.0,162.57,930000,0.0001,-70399.953125,11624,276,-8.364081382751465,-175190.85987920995,0.975508987903595,3367
0.0,1421589760.0,158.38,940000,0.0001,-169571.078125,11749,279,-8.358951568603516,-178639.15717701003,0.9747719168663025,3366
0.0,56127624.0,155.74,950000,0.0001,-41260.93359375,11874,282,-8.356634140014648,-188665.88569415998,0.9743368029594421,3366
-2.384185791015625e-07,1031845504.0,159.18,960000,0.0001,-145163.21875,11999,285,-8.356744766235352,-178724.44894308998,0.9744358062744141,3365
0.0,45489248.0,152.47,970000,0.0001,-27719.90625,12124,288,-8.353927612304688,-163314.70453109,0.9739152789115906,3365
0.0,6077919.0,144.93,980000,0.0001,1833.380126953125,12249,291,-8.354599952697754,-151676.56410113,0.9739786982536316,3364
0.0,589635456.0,100.7,990000,0.0001,-95022.515625,12374,294,-8.357331275939941,-131773.40434238,0.9744823575019836,3363
0.0,16179394.0,128.85,1000000,0.0001,-2955.98681640625,12499,297,-8.352375030517578,-149098.87487573,0.973656177520752,3363
