train/policy_loss,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/std,rollout/ep_len_mean,train/entropy_loss,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,time/time_elapsed
-164198.15625,-725962.08593024,124,4.291534423828125e-06,1.0017515420913696,370.28,-8.524383544921875,3319,0.0001,10000,723748224.0,3
-41539.30078125,-558975.3772730615,249,3.6954879760742188e-06,1.001786708831787,281.61538461538464,-8.524282455444336,3409,0.0001,20000,63576920.0,5
-123653.375,-530821.0547765499,374,-7.987022399902344e-06,1.0020216703414917,266.9,-8.525390625,3442,0.0001,30000,353914208.0,8
-79044.0703125,-447037.23346208007,499,1.1086463928222656e-05,1.0002765655517578,233.78,-8.515302658081055,3459,0.0001,40000,143199120.0,11
-79462.2109375,-504226.2878344199,624,4.351139068603516e-06,1.0006227493286133,272.47,-8.517682075500488,3471,0.0001,50000,208482336.0,14
-56528.16796875,-497084.97203447,749,1.2516975402832031e-06,0.9997580647468567,285.75,-8.512121200561523,3475,0.0001,60000,79288832.0,17
-108298.578125,-500152.10475281,874,-2.384185791015625e-07,0.9996479153633118,287.51,-8.511954307556152,3476,0.0001,70000,482477408.0,20
-50850.63671875,-446388.8351831,999,1.1920928955078125e-07,0.9993889927864075,252.18,-8.509456634521484,3478,0.0001,80000,371027840.0,22
-57556.1875,-388506.13882976,1124,-9.5367431640625e-07,0.9997930526733398,231.53,-8.51226806640625,3480,0.0001,90000,106944280.0,25
-128073.3984375,-392957.81455147004,1249,1.7881393432617188e-07,0.9996964335441589,246.61,-8.512027740478516,3480,0.0001,100000,603147072.0,28
-53070.0625,-389769.79325603996,1374,-1.1920928955078125e-07,0.9989377856254578,253.21,-8.506958961486816,3482,0.0001,110000,367164544.0,31
-108780.234375,-389311.88304743,1499,-2.384185791015625e-07,0.9980723261833191,271.6,-8.50193977355957,3482,0.0001,120000,634342208.0,34
-69011.5078125,-372509.7293910701,1624,-1.1920928955078125e-07,0.9974659085273743,265.35,-8.4981050491333,3470,0.0001,130000,167926928.0,37
-24768.103515625,-339342.21526783996,1749,-1.1920928955078125e-07,0.9971343874931335,257.71,-8.496923446655273,3472,0.0001,140000,23708178.0,40
-50565.2734375,-266628.86977417005,1874,1.7881393432617188e-07,0.9969742298126221,199.94,-8.495038032531738,3472,0.0001,150000,77660496.0,43
-56876.0390625,-240779.35072325997,1999,0.0,0.9969099164009094,184.22,-8.49483585357666,3472,0.0001,160000,137327312.0,46
-68904.984375,-249792.26541496997,2124,0.0,0.9971980452537537,200.29,-8.49733829498291,3472,0.0001,170000,500395200.0,48
-36718.03515625,-243962.99493981,2249,0.0,0.9967290759086609,199.91,-8.493799209594727,3472,0.0001,180000,53827436.0,51
-16906.712890625,-240043.05810660002,2374,0.0,0.9964044094085693,207.97,-8.492086410522461,3472,0.0001,190000,15326229.0,54
-105390.7734375,-238796.72249595996,2499,-1.1920928955078125e-07,0.9950976967811584,209.04,-8.48386001586914,3472,0.0001,200000,564880512.0,57
-24880.97265625,-239158.68970507002,2624,0.0,0.9949648976325989,201.48,-8.483316421508789,3471,0.0001,210000,24410592.0,60
-27603.212890625,-238346.18020322997,2749,5.960464477539063e-08,0.9944589734077454,204.84,-8.480317115783691,3471,0.0001,220000,22410276.0,63
-26679.947265625,-213136.66883063997,2874,0.0,0.9942016005516052,189.9,-8.478386878967285,3471,0.0001,230000,28509660.0,66
-45580.70703125,-223466.87840165003,2999,0.0,0.9941949248313904,210.81,-8.478179931640625,3470,0.0001,240000,61301176.0,69
-20454.97265625,-232098.17877747,3124,-1.1920928955078125e-07,0.9934260249137878,239.58,-8.473560333251953,3470,0.0001,250000,20948482.0,72
8700.318359375,-222438.82497959,3249,0.0,0.9931783676147461,215.19,-8.471863746643066,3470,0.0001,260000,14424600.0,74
-106411.671875,-223999.08976235,3374,2.384185791015625e-07,0.9928229451179504,219.12,-8.469649314880371,3469,0.0001,270000,582408896.0,77
-69707.5,-216669.88900917,3499,5.960464477539063e-08,0.9931318759918213,220.32,-8.471784591674805,3469,0.0001,280000,513742688.0,80
-74716.96875,-189582.14779925995,3624,0.0,0.9930691719055176,189.61,-8.471444129943848,3455,0.0001,290000,514911040.0,83
-16952.337890625,-175982.87526289,3749,0.0,0.9917692542076111,169.37,-8.463373184204102,3455,0.0001,300000,14342352.0,86
-25419.724609375,-183527.59074463998,3874,0.0,0.99155592918396,193.77,-8.462066650390625,3455,0.0001,310000,45779236.0,89
-12400.4443359375,-206097.78324224,3999,0.0,0.9911075234413147,228.07,-8.459845542907715,3455,0.0001,320000,23407758.0,92
-27760.625,-196052.17706449993,4124,0.0,0.990939199924469,200.8,-8.458719253540039,3454,0.0001,330000,31651504.0,95
