time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/step_size,train/learning_rate,rollout/return_std,train/iterations,train/delta_std
4387,10000,672.3333333333334,2,-13427101.530393668,,,,,
4401,20000,803.4,4,-16052831.979254002,,,,,
4388,30000,877.125,6,-17515281.792206876,,,,,
4418,40000,901.7,9,-17997781.4371455,,,,,
4431,50000,924.3846153846154,11,-18448224.784269616,,,,,
4439,60000,934.4666666666667,13,-18648252.615823865,,,,,
4425,70000,1000.0,15,-20041923.8813145,4.538954628818814e-11,0.0018,4957088.5,0,0.05
4414,80000,807.2,18,-16093104.8831638,,,,,
4407,90000,879.5,20,-17559834.624924622,,,,,
4431,100000,903.6,22,-17998426.8763882,,,,,
4423,110000,860.5714285714286,24,-17154234.028807573,,,,,
4380,120000,,27,,3.346676061277698e-11,0.0018,6723088.5,1,0.05
4390,130000,1000.0,29,-19981418.980080333,,,,,
4388,140000,835.5,31,-16676788.438011168,,,,,
4400,150000,802.9,34,-16012098.3654012,,,,,
4403,160000,835.75,36,-16689056.262540832,,,,,
4415,170000,868.6,38,-17361301.890370663,,,,,
4417,180000,1000.0,40,-19975339.384261,3.3126165005503694e-11,0.0018,6792214.0,2,0.05
4422,190000,1000.0,42,-19927539.160439752,,,,,
4427,200000,1000.0,45,-19959099.297023166,,,,,
4419,210000,1000.0,47,-19952506.862322778,,,,,
4427,220000,1000.0,49,-19946195.120425638,,,,,
4434,230000,1000.0,51,-19961514.770934787,,,,,
4435,240000,,54,,2.4838942014326904e-09,0.0018,90583.5625,3,0.05
4440,250000,1000.0,56,-20030144.282038,,,,,
4442,260000,1000.0,58,-20000583.8801068,,,,,
4438,270000,1000.0,60,-19953501.166698,,,,,
4436,280000,1000.0,63,-19942191.726628102,,,,,
4434,290000,1000.0,65,-19950427.454180695,,,,,
4432,300000,1000.0,67,-19952266.233977538,,,,,
4435,310000,672.0,69,-13239549.559291333,2.611008520503333e-09,0.0018,86173.6015625,4,0.05
4433,320000,803.2,72,-15979399.5317794,,,,,
4435,330000,877.0,74,-17462267.989293374,,,,,
4433,340000,901.6,76,-17960906.404227,,,,,
4435,350000,924.3076923076923,78,-18436571.106296692,,,,,
4433,360000,934.4,81,-18650061.5884284,,,,,
4433,370000,1000.0,83,-19896825.4986305,4.5301873363712275e-11,0.0018,4966682.0,5,0.05
4430,380000,1000.0,85,-19879192.51738625,,,,,
4437,390000,1000.0,87,-19964731.752450284,,,,,
4439,400000,1000.0,90,-19978530.869317334,,,,,
4438,410000,924.5384615384615,92,-18469861.783751998,,,,,
4436,420000,934.6,94,-18649072.634715334,,,,,
4433,430000,1000.0,96,-20049117.6799915,4.5427484690607756e-11,0.0018,4952948.5,6,0.05
4432,440000,1000.0,99,-20034466.641179502,,,,,
4432,450000,779.7777777777778,101,-15577939.315830776,,,,,
4430,460000,819.8181818181819,103,-16369042.095513,,,,,
4429,470000,858.4285714285714,106,-17157192.02233007,,,,,
4434,480000,,108,,3.309277157859114e-11,0.0018,6799067.5,7,0.05
4434,490000,1000.0,110,-19894712.644726332,,,,,
4435,500000,1000.0,112,-19948901.967402197,,,,,
4434,510000,1000.0,115,-19956059.207558997,,,,,
4436,520000,1000.0,117,-19960243.765552398,,,,,
4438,530000,1000.0,119,-19966098.656859457,,,,,
4442,540000,1000.0,121,-19963626.558029596,,,,,
4445,550000,1000.0,123,-20021682.079845503,2.333415904942626e-09,0.0018,96425.1640625,8,0.05
4443,560000,1000.0,126,-20025773.194203753,,,,,
4445,570000,780.0,128,-15595414.251774447,,,,,
4446,580000,820.0,130,-16400746.205980273,,,,,
4445,590000,858.5714285714286,132,-17173397.89807443,,,,,
4446,600000,,134,,3.304111151347655e-11,0.0018,6809698.0,9,0.05
4451,610000,1000.0,137,-19975939.091881335,,,,,
4450,620000,1000.0,139,-19973835.812004,,,,,
4451,630000,1000.0,141,-19979388.927183248,,,,,
4450,640000,1000.0,143,-19994402.266203396,,,,,
4450,650000,1000.0,146,-19983751.901215997,,,,,
4453,660000,1000.0,148,-19974202.464854468,,,,,
4453,670000,1000.0,150,-20016249.815152,2.884578131912008e-09,0.0018,78001.0078125,10,0.05
4453,680000,805.8,152,-16041101.1173828,,,,,
4451,690000,878.625,155,-17531638.221933126,,,,,
4454,700000,902.9,157,-18026695.479840703,,,,,
4453,710000,859.8571428571429,159,-17151059.786778573,,,,,
4454,720000,1000.0,161,-20026650.0,2.8128816983996607e-11,0.0018,7998914.0,11,0.05
4453,730000,454.77777777777777,163,-8956099.981614778,,,,,
4452,740000,553.9090909090909,166,-10947510.619026545,,,,,
4453,750000,649.5,168,-12894801.158185286,,,,,
4456,760000,,170,,2.3610547544850036e-11,0.0018,9529639.0,12,0.05
4457,770000,1000.0,172,-20005134.111555,,,,,
4457,780000,1000.0,175,-20001564.7854696,,,,,
4458,790000,890.0,177,-17794390.79932178,,,,,
4457,800000,910.0,179,-18184434.553987183,,,,,
4456,810000,929.2857142857143,181,-18548083.259624284,,,,,
4457,820000,,183,,4.524383992454695e-11,0.0018,4973052.5,13,0.05
4456,830000,1000.0,186,-19874633.241592333,,,,,
4455,840000,1000.0,188,-19867520.633047998,,,,,
4450,850000,1000.0,190,-19883859.06216,,,,,
4449,860000,1000.0,193,-19920489.249728,,,,,
4448,870000,1000.0,195,-19945405.67057123,,,,,
4451,880000,1000.0,197,-19942549.050932128,,,,,
4450,890000,1000.0,199,-20055548.632545,1.7867606283417103e-09,0.0018,125926.21875,14,0.05
4450,900000,802.2,202,-16040402.8614824,,,,,
4451,910000,876.375,204,-17547619.288395625,,,,,
4450,920000,753.8333333333334,206,-15060688.538009666,,,,,
4451,930000,803.0666666666667,208,-16028489.026007133,,,,,
4452,940000,1000.0,211,-20001111.303061,2.8128683410288957e-11,0.0018,7998952.0,15,0.05
4452,950000,1000.0,213,-19945840.9683335,,,,,
4451,960000,1000.0,215,-19963278.793334667,,,,,
4450,970000,901.2,217,-17945015.301991902,,,,,
4450,980000,917.6666666666666,220,-18292634.767600667,,,,,
4449,990000,934.1333333333333,222,-18646979.177523136,,,,,
4450,1000000,1000.0,224,-19955865.067404,4.533319206134756e-11,0.0018,4963250.5,16,0.05
4450,1010000,802.8,226,-16023548.7424162,,,,,
4450,1020000,752.75,229,-15044595.038899124,,,,,
4450,1030000,820.1818181818181,231,-16404840.937363636,,,,,
4449,1040000,788.0714285714286,233,-15747776.654694999,,,,,
