time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/return_std
2,3551,-19825895.0,1000.0,10000,,,,,
5,3750,-19740296.94978925,1000.0,20000,,,,,
7,3818,-17317546.38850075,876.25,30000,,,,,
10,3856,-17800785.3487948,901.0,40000,,,,,
12,3879,-17463598.914849386,923.8461538461538,50000,,,,,
15,3892,-17745089.133794934,934.0,60000,,,,,
17,3904,-19807651.780050002,1000.0,70000,4.229375877295993e-11,0,0.0018,0.05,5319934.0
20,3913,-19768325.550453253,1000.0,80000,,,,,
22,3921,-17269354.46590075,876.375,90000,,,,,
25,3928,-16103405.332906453,820.5454545454545,100000,,,,,
27,3933,-16919402.192181855,859.0,110000,,,,,
30,3936,,,120000,3.3549364675256044e-11,1,0.0018,0.05,6706535.0
32,3940,-14833380.85230725,752.25,130000,,,,,
35,3944,-14176649.058461288,717.4285714285714,140000,,,,,
38,3942,-15809049.258611899,802.2,150000,,,,,
40,3944,-16483505.702305332,835.1666666666666,160000,,,,,
43,3947,-17163040.0629344,868.1333333333333,170000,,,,,
45,3948,-10045595.762569,513.0,180000,3.345553695188741e-11,2,0.0018,0.05,6725344.5
48,3950,-15746093.508867402,805.2,190000,,,,,
50,3951,-14766844.032910876,754.625,200000,,,,,
53,3953,-16128586.567079274,821.5454545454545,210000,,,,,
55,3954,-16691673.034651462,849.0,220000,,,,,
58,3955,,,230000,3.3835590579345265e-11,3,0.0018,0.05,6649802.5
60,3957,-13274289.844145,672.6666666666666,240000,,,,,
63,3957,-14083671.145716714,718.4285714285714,250000,,,,,
65,3958,-15343783.113335222,781.0,260000,,,,,
68,3960,-16388663.470964165,835.75,270000,,,,,
70,3960,-16817890.117969286,859.2142857142857,280000,,,,,
73,3959,-19883300.0,1000.0,290000,3.3663929283056504e-11,4,0.0018,0.05,6683711.5
75,3959,-19798550.0,1000.0,300000,,,,,
78,3960,-19844901.310019,1000.0,310000,,,,,
80,3960,-17607684.55969344,890.5555555555555,320000,,,,,
83,3960,-18102660.8139705,917.9166666666666,330000,,,,,
85,3960,-18327652.55130043,929.6428571428571,340000,,,,,
88,3961,-19611261.787075,1000.0,350000,4.57575262402532e-11,5,0.0018,0.05,4917224.0
90,3961,-19255619.059657335,1000.0,360000,,,,,
93,3962,-16764520.292115001,858.5714285714286,370000,,,,,
95,3963,-17458683.56053389,890.0,380000,,,,,
98,3961,-18015880.328761082,917.5,390000,,,,,
100,3961,-18269788.90334564,929.2857142857143,400000,,,,,
103,3962,-19781935.267608,1000.0,410000,4.5816871130366366e-11,6,0.0018,0.05,4910854.5
105,3962,-19823489.782093,1000.0,420000,,,,,
108,3962,-13278884.890057556,670.5555555555555,430000,,,,,
111,3963,-13267864.806644835,670.4166666666666,440000,,,,,
113,3962,-14593062.406303935,736.3333333333334,450000,,,,,
116,3962,-19768254.146786,1000.0,460000,2.5461575556273708e-11,7,0.0018,0.05,8836845.0
118,3963,-19494824.371446252,1000.0,470000,,,,,
121,3963,-19603611.228040334,1000.0,480000,,,,,
123,3963,-19662407.581507668,1000.0,490000,,,,,
126,3963,-19684497.85347545,1000.0,500000,,,,,
128,3963,-19692616.423470285,1000.0,510000,,,,,
131,3963,,,520000,7.910109234288143e-10,8,0.0018,0.05,284446.125
133,3963,-19892265.33137867,1000.0,530000,,,,,
136,3963,-19852490.7482208,1000.0,540000,,,,,
138,3962,-19830206.316651374,1000.0,550000,,,,,
141,3962,-19812191.0533211,1000.0,560000,,,,,
143,3962,-18400879.876366787,929.5,570000,,,,,
146,3962,,,580000,4.5659771102934954e-11,9,0.0018,0.05,4927751.0
148,3962,-19774927.340276998,1000.0,590000,,,,,
151,3962,-19819408.563222997,1000.0,600000,,,,,
153,3962,-19828500.494593125,1000.0,610000,,,,,
156,3963,-19858540.2651341,1000.0,620000,,,,,
158,3962,-19867072.96659477,1000.0,630000,,,,,
161,3962,-19867167.768693734,1000.0,640000,,,,,
163,3963,-19883300.0,1000.0,650000,2.4861870340231462e-09,10,0.0018,0.05,90500.03125
166,3963,-15956298.899373,813.2,660000,,,,,
169,3964,-17419360.9327695,883.25,670000,,,,,
171,3964,-17846420.911519997,906.6,680000,,,,,
174,3964,-18272686.469222922,928.1538461538462,690000,,,,,
176,3965,-18466570.27332653,937.7333333333333,700000,,,,,
179,3965,-19788701.747625,1000.0,710000,4.6995487362755384e-11,11,0.0018,0.05,4787693.5
181,3966,-15887291.356584001,802.2,720000,,,,,
184,3967,-13901057.679288302,704.0,730000,,,,,
186,3967,-14867652.868445417,753.3333333333334,740000,,,,,
189,3968,-15853628.326491931,802.6666666666666,750000,,,,,
191,3968,-10025020.0,505.5,760000,2.83553631963418e-11,12,0.0018,0.05,7935006.5
193,3969,-15876915.399071202,802.2,770000,,,,,
196,3969,-16994014.039056573,858.7142857142857,780000,,,,,
198,3970,-17822182.4295116,901.1,790000,,,,,
201,3970,-18148870.357926335,917.5833333333334,800000,,,,,
203,3971,-18417661.222215936,934.0666666666667,810000,,,,,
206,3971,-19659055.950948,1000.0,820000,4.5808756093945746e-11,13,0.0018,0.05,4911724.5
208,3971,-19045043.0021165,1000.0,830000,,,,,
211,3972,-19240122.898929667,1000.0,840000,,,,,
213,3972,-19414668.956666443,1000.0,850000,,,,,
216,3973,-19510071.551181544,1000.0,860000,,,,,
218,3973,-19595740.768592782,1000.0,870000,,,,,
221,3973,-96334.606456,11.0,880000,3.7592057244850707e-10,14,0.0018,0.05,598530.6875
223,3973,-9919083.623297,511.0,890000,,,,,
226,3974,-12413898.96747275,633.25,900000,,,,,
228,3974,-13252098.063887917,673.1666666666666,910000,,,,,
231,3974,-13205909.2581382,672.6666666666666,920000,,,,,
233,3975,-19288696.714685,1000.0,930000,2.3966247389428652e-11,15,0.0018,0.05,9388203.0
236,3975,-19319187.9611895,1000.0,940000,,,,,
238,3975,-19461246.022133715,1000.0,950000,,,,,
241,3975,-19498738.017215114,1000.0,960000,,,,,
243,3975,-19597249.720156502,1000.0,970000,,,,,
246,3975,-19637973.524365786,1000.0,980000,,,,,
248,3975,-19633353.913749,1000.0,990000,7.091132125935928e-10,16,0.0018,0.05,317297.71875
251,3976,-19779533.011122998,1000.0,1000000,,,,,
254,3976,-19787980.162500497,1000.0,1010000,,,,,
256,3976,-19810318.741075624,1000.0,1020000,,,,,
258,3976,-18135891.318161916,920.0,1030000,,,,,
261,3977,-17166153.23199613,870.6,1040000,,,,,
