train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,time/fps,train/ent_coef
0.0055,6063537.0,333.1923076923077,7988.015625,-1124275.0403779615,2474,33,26,10000,-21.10169219970703,294,28.535634994506836
0.0055,50725896.0,283.94029850746267,-2823.00390625,-442008.739777985,4974,68,67,20000,-0.05363333225250244,292,32.63502883911133
0.0055,10738640.0,81.5,-16653.16796875,91228.77821029,7474,103,164,30000,-4.647644996643066,291,34.96743392944336
0.0055,77613280.0,35.77,-31256.576171875,116856.21757577,9974,138,429,40000,-2.265291452407837,289,37.63398361206055
0.0055,29284628.0,42.66,-38144.45703125,100997.38604452,12474,172,706,50000,1.3847286701202393,289,45.1468620300293
0.0055,6001285.5,32.01,-45659.03125,121696.39620246999,14974,207,1003,60000,1.40153169631958,288,43.41679382324219
0.0055,15902126.0,23.93,-43827.3984375,132606.996884,17474,242,1366,70000,-21.92261505126953,288,51.03657913208008
0.0055,11503430.0,22.73,-56291.1875,133240.0,19974,277,1673,80000,0.607047438621521,287,49.83360290527344
0.0055,7017126.0,27.39,-54188.8671875,127986.51929149,22474,312,2062,90000,2.2167468070983887,287,57.392127990722656
0.0055,7599314.0,37.85,-45762.13671875,127608.0,24974,348,2395,100000,7.5767951011657715,287,93.39969635009766
0.0055,10248572.0,31.2,-57378.69921875,106406.99382937,27474,382,2660,110000,2.318789482116699,287,55.0908203125
0.0055,9275664.0,41.75,-39216.80078125,47121.76243198001,29974,417,2914,120000,-1.3470338582992554,287,66.64569091796875
0.0055,12249284.0,24.73,-45076.6953125,121105.17799828999,32474,452,3277,130000,2.6205859184265137,287,60.996910095214844
0.0055,7914613.0,42.31,-48693.1015625,35315.021234219996,34974,487,3587,140000,2.711207389831543,286,69.31103515625
0.0055,9029017.0,23.28,-60123.51953125,131294.01829448002,37474,523,3966,150000,-2.3091039657592773,286,62.39283752441406
0.0055,14110672.0,30.77,-50587.54296875,106853.75508706999,39974,558,4282,160000,-5.285449028015137,286,74.06090545654297
0.0055,14379496.0,29.67,-59819.62109375,132254.15143888,42474,593,4601,170000,2.713379383087158,286,73.81910705566406
0.0055,21599416.0,31.4,-31033.55859375,84110.60185937,44974,627,4890,180000,9.270347595214844,286,138.64341735839844
0.0055,10123954.0,23.44,-50352.54296875,133425.8,47474,662,5165,190000,4.217283725738525,286,55.81074905395508
0.0055,9179126.0,28.61,-48801.94140625,132231.41692419,49974,697,5573,200000,-7.860937118530273,286,51.347145080566406
0.0055,125714616.0,27.65,-55155.7109375,127019.42506937002,52474,732,5852,210000,0.021949633955955505,286,59.023502349853516
0.0055,9477651.0,24.04,-56266.390625,130187.41122509,54974,767,6205,220000,0.8154094219207764,286,69.32861328125
0.0055,36787784.0,65.48,-25736.791015625,-65692.37748471,57474,801,6385,230000,9.021590232849121,286,183.22035217285156
0.0055,38804648.0,25.19,-50670.28515625,125956.17591126001,59974,836,6790,240000,-0.8178071975708008,286,73.49909973144531
0.0055,18481864.0,23.51,-57854.0546875,131810.0,62474,871,7199,250000,-1.1251811981201172,286,62.29084396362305
0.0055,19647572.0,23.32,-50422.68359375,101567.66092634998,64974,906,7550,260000,2.438755512237549,286,90.5513916015625
0.0055,15004298.0,61.96,-45885.9765625,95451.12482248001,67474,940,7775,270000,0.7777620553970337,287,76.98193359375
0.0055,9440146.0,36.24,-46271.48046875,122234.73699642999,69974,975,8123,280000,-3.538616180419922,287,60.14918899536133
0.0055,18583582.0,23.66,-67229.0,124438.37660355,72474,1009,8551,290000,-7.579861164093018,287,54.545623779296875
0.0055,9893764.0,25.44,-56051.1328125,132372.07625275,74974,1044,8944,300000,-0.7252199649810791,287,53.8189697265625
0.0055,5385484.0,21.57,-61668.4375,131244.95584747,77474,1078,9366,310000,2.1799776554107666,287,46.09024429321289
0.0055,4124202.0,26.3,-58582.578125,132982.6416498,79974,1113,9697,320000,0.5652074813842773,287,40.68113708496094
0.0055,22690498.0,40.27,-36900.44140625,62298.88662736001,82474,1147,9942,330000,-55.564186096191406,287,174.11758422851562
0.0055,31582892.0,29.98,-48517.73828125,109422.97212481,84974,1182,10280,340000,3.9815046787261963,287,90.36445617675781
0.0055,8695324.0,27.52,-36471.984375,128700.10331046,87474,1216,10690,350000,4.102077007293701,287,96.99545288085938
0.0055,17421660.0,23.66,-44657.5859375,133514.2,89974,1251,11124,360000,0.31161046028137207,287,55.51845932006836
0.0055,12458504.0,34.37,-46012.58203125,117019.2,92474,1285,11445,370000,16.023422241210938,287,138.00363159179688
0.0055,15447226.0,116.17,-28670.1171875,-144897.11941235003,94974,1319,11536,380000,-6.930886268615723,287,101.50422668457031
0.0055,18126138.0,23.24,-37789.94921875,133017.99810481002,97474,1354,11900,390000,-3.2836413383483887,287,54.53028106689453
0.0055,8277374.0,24.13,-40798.75,133196.5878906,99974,1389,12325,400000,1.2567148208618164,287,58.51705551147461
0.0055,13317311.0,25.66,-38695.0390625,131649.86456202,102474,1427,12574,410000,-4.149555206298828,287,69.55431365966797
0.0055,21468384.0,38.4,-37319.3203125,84363.04654140999,104974,1466,12730,420000,8.542491912841797,286,160.1667938232422
0.0055,29598356.0,22.89,-42468.6328125,133433.94943497,107474,1504,13113,430000,-0.12686371803283691,285,47.00026321411133
0.0055,55647668.0,33.03,-41174.69140625,119661.18600387,109974,1543,13491,440000,7.899532318115234,285,127.29552459716797
0.0055,6039279.5,28.51,-54709.8671875,130331.71053224002,112474,1581,13892,450000,-0.13228058815002441,284,46.664588928222656
0.0055,29745820.0,79.74,-27380.96875,-70414.64713782999,114974,1620,14046,460000,23.62107276916504,283,490.07647705078125
0.0055,26701058.0,24.3,-49943.671875,133508.49083401,117474,1658,14307,470000,7.667959690093994,283,61.87412643432617
0.0055,12311904.0,25.84,-55813.7421875,130135.87246389,119974,1697,14720,480000,-0.41649484634399414,282,52.19993209838867
0.0055,16042636.0,22.39,-54327.125,133545.61339849,122474,1736,15144,490000,-1.8704352378845215,282,43.64205551147461
0.0055,49064684.0,46.3,-36815.30859375,15112.189159299993,124974,1775,15399,500000,5.768048286437988,281,81.95364379882812
0.0055,7965691.0,24.19,-61105.37890625,133487.4,127474,1813,15779,510000,3.1155314445495605,281,48.32440948486328
0.0055,13516245.0,22.57,-54712.8046875,133545.0,129974,1852,16097,520000,-1.0552692413330078,280,50.40023422241211
