time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,time/time_elapsed,train/learning_rate,train/n_updates,train/ent_coef
10000,264.10714285714283,-1166817.5008296429,7724.5654296875,28,2788262.5,-12.745157241821289,635,15,0.0055,2474,21.46609878540039
20000,342.96153846153845,-667013.7828767115,2981.300537109375,52,3303871.0,3.341902732849121,637,31,0.0055,4974,24.08363151550293
30000,429.55384615384617,-543865.3198686462,697.2583618164062,65,2550998.25,3.9014837741851807,639,46,0.0055,7474,16.75579071044922
40000,483.4,-471191.72130065004,-125.22250366210938,80,4224176.0,0.9648864269256592,638,62,0.0055,9974,12.457747459411621
50000,510.09574468085106,-505028.66777530854,1798.1649169921875,94,4422503.5,0.8018236756324768,638,78,0.0055,12474,12.745975494384766
60000,556.58,-218525.33661993,1184.30126953125,112,1667374.25,2.3725979328155518,637,94,0.0055,14974,26.332626342773438
70000,618.13,-213070.13574117993,2261.351806640625,126,2655222.75,-2.6484200954437256,637,109,0.0055,17474,14.242813110351562
80000,643.64,-238606.83268783,1728.591552734375,135,3197154.5,0.6980275511741638,638,125,0.0055,19974,7.364951133728027
90000,722.92,-268974.5647603,10464.0078125,147,3481187.25,-8.532838821411133,638,141,0.0055,22474,51.41905975341797
100000,750.22,-395722.1658528599,3092.86376953125,157,1582366.0,11.328301429748535,638,156,0.0055,24974,20.310712814331055
110000,787.31,-402565.57935834007,2612.279052734375,168,1322786.75,-4.656946182250977,637,172,0.0055,27474,12.995413780212402
120000,818.0,-416710.96860003,132.64898681640625,177,1349798.875,0.7932301163673401,637,188,0.0055,29974,7.511410236358643
130000,842.96,-374135.46185239,-24151.669921875,188,1929622.375,-7.461055755615234,637,204,0.0055,32474,6.250088214874268
140000,865.48,-458732.1097974001,5842.37841796875,198,541176.3125,0.734389066696167,637,219,0.0055,34974,5.735151767730713
150000,916.4,-474790.40703100996,3066.918701171875,209,419015.125,0.15279215574264526,636,235,0.0055,37474,1.7465981245040894
160000,923.34,-461763.6010104,4239.3740234375,220,684627.75,6.222163200378418,636,251,0.0055,39974,17.485328674316406
170000,882.51,-515616.60932561994,14890.28515625,237,2026511.125,10.020174026489258,636,266,0.0055,42474,35.71089553833008
180000,885.84,-532345.34413688,14397.07421875,248,3006054.75,-13.90806770324707,637,282,0.0055,44974,32.34489440917969
190000,877.48,-453677.73181544,2675.0087890625,260,1379550.25,1.7685012817382812,637,298,0.0055,47474,9.10820198059082
200000,867.96,-441452.9724509601,7430.93701171875,270,21962174.0,-30.253101348876953,637,313,0.0055,49974,15.023354530334473
210000,852.93,-503222.67544461007,9315.771484375,283,1507100.0,-4.259782791137695,637,329,0.0055,52474,86.10121154785156
220000,854.08,-529694.85619941,1763.427490234375,291,1148375.125,-1.4720402956008911,637,345,0.0055,54974,13.308478355407715
230000,831.4,-574611.48759077,54938.64453125,307,6583674.0,-31.985942840576172,637,360,0.0055,57474,84.80895233154297
240000,779.94,-827427.9315270798,4934.365234375,324,2243039.0,13.849475860595703,637,376,0.0055,59974,26.359455108642578
250000,784.51,-763750.79447732,5708.04736328125,340,2195113.0,-5.0224456787109375,637,392,0.0055,62474,24.27665901184082
260000,783.28,-756940.212941,5414.3994140625,349,2514793.5,5.179193496704102,637,407,0.0055,64974,16.40838050842285
270000,797.61,-732477.2618989301,-33180.890625,361,2543296.5,-24.005887985229492,637,423,0.0055,67474,21.1166934967041
280000,618.27,-816493.40022813,5803.31884765625,390,29159820.0,20.127344131469727,637,439,0.0055,69974,58.87934875488281
290000,632.0,-832599.8322902201,8043.82958984375,402,3956292.25,-4.8125834465026855,637,455,0.0055,72474,29.49974250793457
300000,650.27,-518186.84198649996,6485.46923828125,410,32762480.0,-14.579541206359863,637,470,0.0055,74974,41.077598571777344
310000,726.0,-482011.11725693994,1289.181884765625,422,1294824.25,5.193826675415039,637,486,0.0055,77474,17.865285873413086
320000,726.0,-476841.4397251701,4009.9521484375,430,1304727.0,-61.70873260498047,637,502,0.0055,79974,9.037864685058594
330000,741.82,-641116.77765594,155768.265625,445,599233920.0,-69.92582702636719,637,517,0.0055,82474,3691.52783203125
340000,713.34,-1598974.7774028599,209884.25,457,185708992.0,45.61799621582031,637,533,0.0055,84974,948.7062377929688
350000,752.79,-1899469.0390164899,125120.8203125,474,40302032.0,11.063018798828125,637,549,0.0055,87474,63.25899124145508
360000,806.82,-1854870.1591816097,57055.6015625,486,9220400.0,1.521629810333252,637,564,0.0055,89974,26.996557235717773
370000,838.87,-1808411.5603647102,77429.90625,497,14361506.0,-45.26708984375,637,580,0.0055,92474,51.29448699951172
380000,838.87,-1849503.7711890698,7196.43359375,506,5817666.0,4.260008335113525,637,596,0.0055,94974,5.872162342071533
390000,848.59,-1852318.0713236101,8329.3330078125,517,1608631.75,-19.45154571533203,637,612,0.0055,97474,19.403221130371094
400000,633.87,-780955.4684614699,9836.5830078125,553,2010736.125,1.7826429605484009,636,627,0.0055,99974,21.779560089111328
410000,669.93,-714082.1561805801,43810.78125,561,6354403.0,9.036705017089844,635,645,0.0055,102474,56.08681869506836
420000,705.29,-608917.1186600499,38278.9765625,573,93078720.0,-1.9945549964904785,633,662,0.0055,104974,2.294217824935913
430000,722.68,-627219.06022297,19499.904296875,581,28747056.0,2.3853678703308105,632,679,0.0055,107474,30.59280014038086
440000,715.92,-851566.31489735,14384.806640625,596,3777859.5,5.5056304931640625,631,697,0.0055,109974,44.17360305786133
450000,715.92,-832410.9774414699,10386.046875,604,494643.3125,6.4336090087890625,629,714,0.0055,112474,16.273761749267578
460000,704.01,-827299.0622576199,6787.177734375,616,665692.875,1.8968104124069214,628,731,0.0055,114974,5.065152645111084
470000,704.01,-695395.5327205998,7986.798828125,626,1062749.875,-2.2158124446868896,627,748,0.0055,117474,4.964580535888672
480000,792.72,-691545.9537825402,1368.3306884765625,636,184753.515625,-0.0710991770029068,626,766,0.0055,119974,1.9363746643066406
490000,862.63,-1304545.5419058898,93013.515625,657,34647432.0,26.511045455932617,625,783,0.0055,122474,80.3291244506836
500000,718.34,-1160701.18760055,102045.8125,682,213853376.0,-17.304500579833984,624,800,0.0055,124974,390.5615539550781
510000,155.81,-393567.49992975005,183675.984375,766,121889320.0,65.9264144897461,623,818,0.0055,127474,1098.2569580078125
520000,153.51,-293197.94345384004,81347.59375,794,27332316.0,22.20075798034668,622,835,0.0055,129974,164.07681274414062
530000,246.13,-374779.00821513997,44124.91015625,805,11388272.0,-27.681079864501953,621,852,0.0055,132474,53.95532989501953
540000,327.35,-369168.87320966,27334.291015625,814,19830904.0,-0.045594990253448486,620,870,0.0055,134974,13.35773754119873
550000,425.41,-1230981.2324116,748153.875,835,29905387520.0,-295.3575744628906,619,887,0.0055,137474,12083.638671875
560000,493.86,-1863319.6953189704,1120743.875,855,37737299968.0,43.48566436767578,618,904,0.0055,139974,23227.873046875
570000,575.51,-2100750.8190598805,796215.875,887,1757408000.0,39.533512115478516,617,922,0.0055,142474,4401.47998046875
580000,327.88,-1545614.49294931,381255.71875,924,930155008.0,19.570148468017578,617,939,0.0055,144974,507.8320007324219
590000,333.49,-763888.510811,154311.5,952,74607208.0,11.632431030273438,616,957,0.0055,147474,59.71298599243164
600000,317.13,-516277.57568124007,34082.3671875,977,13066797.0,-0.3408225476741791,615,974,0.0055,149974,15.75650691986084
610000,373.95,-465252.30919836,25423.72265625,994,35005260.0,-28.182403564453125,614,992,0.0055,152474,49.77778244018555
620000,433.01,-490684.12900429993,47548.1484375,1003,10585566.0,5.296246528625488,614,1009,0.0055,154974,97.52587127685547
630000,491.5,-432340.4632898201,53263.2421875,1016,40771736.0,-47.756591796875,613,1026,0.0055,157474,202.4999237060547
640000,486.14,-1471074.97738814,1134544.25,1057,56473227264.0,45.19968795776367,612,1044,0.0055,159974,48535.39453125
650000,508.85,-1929153.99450064,618847.5,1071,3948045568.0,38.47539520263672,612,1061,0.0055,162474,6799.37451171875
660000,338.55,-2311282.08663646,518591.375,1112,1921474816.0,28.75145149230957,611,1078,0.0055,164974,1977.86474609375
670000,216.6,-1010955.6596480501,255298.34375,1169,239642784.0,14.322738647460938,611,1096,0.0055,167474,302.5558776855469
680000,232.39,-1215179.99960081,252883.84375,1207,101503048.0,21.13218879699707,610,1113,0.0055,169974,688.6888427734375
690000,250.83,-997338.7258648201,254267.9375,1253,414274880.0,-34.470767974853516,610,1130,0.0055,172474,103.13219451904297
700000,210.0,-419104.02834614995,182902.375,1294,63223952.0,-0.19075250625610352,609,1148,0.0055,174974,229.34970092773438
710000,199.24,-744882.0873414,599474.625,1354,10367838208.0,-309.1572570800781,609,1165,0.0055,177474,5903.1865234375
720000,211.78,-1196636.4300213598,844911.3125,1391,6673460224.0,41.181732177734375,608,1182,0.0055,179974,13705.5947265625
730000,167.35,-583655.3931011,635284.1875,1467,1347995392.0,31.82095718383789,608,1200,0.0055,182474,2443.08837890625
740000,137.53,-687393.04323833,356937.15625,1544,311811136.0,25.184307098388672,607,1217,0.0055,184974,252.32858276367188
750000,162.2,-661232.6617231299,123769.09375,1586,43671608.0,7.830305099487305,607,1234,0.0055,187474,17.143449783325195
760000,248.4,-1285330.84317184,145951.859375,1600,42551920.0,-0.3500688672065735,606,1252,0.0055,189974,57.397850036621094
770000,303.13,-1678879.10102888,218126.796875,1639,61069208.0,11.190841674804688,606,1269,0.0055,192474,66.78936004638672
780000,374.1,-2862743.8546417896,4694703.0,1659,6318600486912.0,-471.82470703125,606,1287,0.0055,194974,83565.8515625
790000,265.11,-2317385.86944523,12247293.0,1719,54852960911360.0,-104.35224914550781,605,1304,0.0055,197474,516949.09375
800000,162.1,-899134.48255058,101059664.0,1770,8481247223349248.0,-268.51397705078125,605,1321,0.0055,199974,4059807.5
810000,202.65,-661477.2534836798,40902780.0,1818,6395809746649088.0,70.37651824951172,604,1339,0.0055,202474,17238878.0
820000,207.5,-496299.33650245995,12477736.0,1863,184497601511424.0,76.16693878173828,604,1356,0.0055,204974,3095684.25
830000,225.43,-479652.01061871,10135152.0,1905,2103011835904.0,56.41234588623047,604,1373,0.0055,207474,285267.3125
840000,255.88,-690014.9158742699,9887327.0,1928,175626911744.0,34.59215545654297,603,1391,0.0055,209974,56687.58984375
850000,291.34,-1617323.1584209697,9848937.0,1966,169799745536.0,46.08391571044922,603,1408,0.0055,212474,32934.0625
860000,273.06,-2063595.9836068803,8444276.0,2015,365793804288.0,39.390289306640625,603,1425,0.0055,214974,18343.767578125
870000,232.82,-1893575.67313114,7244717.0,2051,280997494784.0,22.88138198852539,602,1443,0.0055,217474,8905.4404296875
880000,251.62,-2455484.08594549,10404126.0,2085,410764378112.0,-287.154541015625,602,1460,0.0055,219974,58426.2265625
890000,231.47,-2145238.5978852897,8198075.0,2135,606833606656.0,49.73166275024414,602,1478,0.0055,222474,82070.0625
900000,122.0,-858627.74813681,6711406.5,2215,103559356416.0,38.513633728027344,601,1495,0.0055,224974,4598.66943359375
910000,98.44,-963103.2903449199,5832408.5,2317,163316400128.0,26.487913131713867,601,1513,0.0055,227474,6720.8134765625
920000,121.59,-1237644.7230639001,5634446.5,2387,299690557440.0,-23.619186401367188,601,1530,0.0055,229974,20377.173828125
930000,175.96,-2231945.09267236,12893498.0,2418,28477277339648.0,-27.252180099487305,600,1547,0.0055,232474,785742.6875
940000,252.13,-2486425.80727402,23105780.0,2450,157773073481728.0,-14.480890274047852,600,1565,0.0055,234974,1867478.625
950000,308.88,-2090858.0046702796,14157778.0,2486,3875984113664.0,49.07992172241211,600,1582,0.0055,237474,114789.046875
960000,214.01,-779186.61858121,12429537.0,2549,1413198118912.0,32.04902648925781,599,1600,0.0055,239974,4600.57275390625
970000,139.48,-822886.82628006,10207807.0,2626,654352973824.0,17.845882415771484,599,1617,0.0055,242474,107.1202621459961
980000,156.44,-1325106.23041603,9290706.0,2678,389912788992.0,-84.97119140625,599,1634,0.0055,244974,279.4509582519531
990000,214.29,-2441318.3141930597,7914866.5,2714,265154658304.0,46.13689422607422,599,1652,0.0055,247474,37199.859375
1000000,70.81,-734949.3197306601,5748891.0,2859,324090626048.0,22.59103775024414,598,1669,0.0055,249974,2485.087890625
