time/fps,train/clip_fraction,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/clip_range,train/loss,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates
1657,0.035107421875,131.75342465753425,0.0017,6,0.2,747132480.0,1732936328.7,1.7881393432617188e-07,10000,-371119.0114883013,0.0055566267,-0.008348852723793243,1.0148860216140747,-8.563212733715773,10
1671,0.05679931640625,150.04,0.0017,11,0.2,775406720.0,1452497206.2,1.1920928955078125e-07,20000,-380418.31871697004,0.0069872034,-0.006975993719242979,1.026987910270691,-8.641279279440642,20
1676,0.02598876953125,144.52,0.0017,17,0.2,524848320.0,1277262127.25,0.0,30000,-359054.19227478007,0.0050903885,-0.004090068945515668,1.0412999391555786,-8.719864953309298,30
1678,0.0198974609375,141.29,0.0017,23,0.2,683990336.0,1348944307.45,5.960464477539063e-08,40000,-316370.16090642003,0.00438006,-0.0039924346077896185,1.0565462112426758,-8.803743367642165,40
1519,0.01243896484375,140.21,0.0017,32,0.2,543438592.0,1173277790.95,0.0,50000,-302253.34346670005,0.0038070036,-0.002275155235474813,1.0929734706878662,-9.001697551459074,60
1544,0.03636474609375,138.94,0.0017,38,0.2,463121504.0,1155503415.95,1.1920928955078125e-07,60000,-288328.75333691,0.0059956415,-0.004438832765299594,1.108934760093689,-9.095486888289452,70
1562,0.0406982421875,125.87,0.0017,44,0.2,473833760.0,1116572992.35,0.0,70000,-266172.64842166,0.0054726973,-0.0054495179992954945,1.1232165098190308,-9.175746830552816,80
1576,0.0402587890625,129.96,0.0017,50,0.2,575670976.0,1111680851.35,-1.1920928955078125e-07,80000,-257530.51160235997,0.006030618,-0.004677578658265702,1.137078881263733,-9.252226033061742,90
1587,0.03255615234375,125.58,0.0017,56,0.2,327054432.0,992767426.375,1.1920928955078125e-07,90000,-245574.80063262998,0.0051982002,-0.0035456101489216964,1.153339147567749,-9.330478177964688,100
1520,0.0285888671875,109.59,0.0017,65,0.2,424388288.0,969715885.525,0.0,100000,-212601.3559601,0.005455354,-0.0025735478227943533,1.192128300666809,-9.521658505499364,120
1532,0.02659912109375,125.13,0.0017,71,0.2,430733568.0,998474974.4,0.0,110000,-224192.73970508002,0.00491677,-0.0033165161155920943,1.208410382270813,-9.608229914307595,130
1543,0.0329833984375,118.53,0.0017,77,0.2,567335168.0,956007313.65,0.0,120000,-204150.77018539,0.0058064847,-0.003751482112056692,1.2314378023147583,-9.708812300860881,140
1552,0.03028564453125,111.83,0.0017,83,0.2,341338848.0,1014406480.625,0.0,130000,-198889.82990446,0.0049678665,-0.0026850740674490225,1.2532140016555786,-9.817681071907282,150
1508,0.034912109375,131.43,0.0017,92,0.2,367155872.0,850401507.675,5.960464477539063e-08,140000,-222128.69036706001,0.005087631,-0.0031064833427080886,1.2897242307662964,-10.003014986217021,170
1518,0.02999267578125,96.21,0.0017,98,0.2,377102400.0,1097585051.4,1.1920928955078125e-07,150000,-193804.81557822,0.0050983513,-0.003581228909024503,1.3116188049316406,-10.09074953943491,180
1527,0.02322998046875,110.84,0.0017,104,0.2,500817952.0,1019445544.025,0.0,160000,-194772.89502877,0.0050632358,-0.002184790264982439,1.3403629064559937,-10.20667481943965,190
1535,0.01859130859375,125.23,0.0017,110,0.2,460099296.0,857073077.1125,0.0,170000,-212489.06865583998,0.004473443,-0.002470241251830885,1.3612867593765259,-10.315594475716352,200
1543,0.03785400390625,110.66,0.0017,116,0.2,327435456.0,987903098.225,0.0,180000,-186492.74629960998,0.005714547,-0.003162785855602124,1.389183521270752,-10.425179235637188,210
1511,0.04361572265625,117.14,0.0017,125,0.2,402695680.0,775559594.3,0.0005924105644226074,190000,-173159.81809508,0.007386255,-0.0032559366591158323,1.4460382461547852,-10.658181129395961,230
1519,0.03111572265625,106.17,0.0017,131,0.2,303466752.0,854807717.35,0.0,200000,-157470.79650209,0.006231112,-0.002260489254967979,1.4839224815368652,-10.807861807942391,240
1525,0.02550048828125,100.59,0.0017,137,0.2,399315680.0,989599348.65,0.0,210000,-177352.14405364,0.005354861,-0.0024270760073704877,1.5084949731826782,-10.92796588242054,250
1532,0.0256103515625,121.86,0.0017,143,0.2,384706240.0,902117278.925,0.0,220000,-177974.36637807998,0.0049071256,-0.0023307019711864994,1.540064811706543,-11.040214689821005,260
1506,0.04349365234375,119.16,0.0017,152,0.2,383417760.0,865632861.85,0.0,230000,-174546.11828785,0.0060460614,-0.003114035795988457,1.602547287940979,-11.28536956757307,280
1513,0.032275390625,110.98,0.0017,158,0.2,387375360.0,857095862.825,0.0,240000,-167272.2935282,0.0053871856,-0.0021127716623595915,1.63655424118042,-11.40266448929906,290
1518,0.02420654296875,115.14,0.0017,164,0.2,638604928.0,850981285.0375,0.0,250000,-190544.78839291996,0.004919363,-0.0017857651511803852,1.666383147239685,-11.51957409158349,300
1523,0.04906005859375,101.73,0.0017,170,0.2,412187360.0,880657719.3,0.0,260000,-184736.54323399,0.007316855,-0.00464831157532899,1.6967049837112427,-11.626483970880509,310
1526,0.02406005859375,113.01,0.0017,176,0.2,363356544.0,889779745.125,0.0,270000,-161444.33539586,0.0047393013,-0.001957375485199009,1.73416268825531,-11.744139192253352,320
1502,0.043505859375,116.62,0.0017,186,0.2,423048960.0,795417659.675,-1.1920928955078125e-07,280000,-166019.36519744998,0.0072666453,-0.0029036346829343527,1.8085554838180542,-11.986095951497555,340
1505,0.03355712890625,103.32,0.0017,192,0.2,378291456.0,924474559.375,0.0,290000,-161490.61791708,0.005695345,-0.0024997600119604614,1.8441370725631714,-12.116645765304565,350
1509,0.02796630859375,116.31,0.0017,198,0.2,350321920.0,807151771.725,0.0,300000,-187213.69056008002,0.0054510874,-0.001682581246132031,1.8836288452148438,-12.235767918080091,360
1512,0.03106689453125,112.12,0.0017,204,0.2,355458944.0,840056350.625,1.1920928955078125e-07,310000,-168258.46871617,0.005407231,-0.0017221711241290905,1.9236091375350952,-12.362717711180448,370
