time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,time/total_timesteps,time/fps,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss
8,-2.384185791015625e-07,108.875,0.0017,-8.545629578083753,10000,1205,0.2,0.02340087890625,-415586.1547191704,1.0096373558044434,0.0041545318,-0.00350890249665099,2723128838.5,10,1203383680.0
16,0.0,97.85,0.0017,-8.6048736654222,20000,1214,0.2,0.0123291015625,-367120.34441506,1.0204676389694214,0.003312088,-0.0032957822979369665,2747958817.2,20,1398862592.0
24,0.0,97.49,0.0017,-8.65900898054242,30000,1216,0.2,0.0428466796875,-325651.95087913,1.0278308391571045,0.0057771606,-0.004974739174576826,2228913437.1,30,1320770560.0
32,-1.1920928955078125e-07,101.6,0.0017,-8.71030946150422,40000,1217,0.2,0.02879638671875,-340098.21850147,1.0380607843399048,0.005199915,-0.004091550030534563,2296064068.2,40,1000377920.0
45,0.0,84.15,0.0017,-8.848166231065989,50000,1098,0.2,0.00980224609375,-278654.04367514,1.0640190839767456,0.0029459824,-0.002161269792122766,2145773305.7,60,1166875008.0
53,0.0,104.3,0.0017,-8.921404085308314,60000,1117,0.2,0.0423583984375,-331217.62902228005,1.0755470991134644,0.0056924666,-0.004834469068737235,2142325259.9,70,1011233664.0
62,1.1920928955078125e-07,87.48,0.0017,-8.979985788464546,70000,1128,0.2,0.02064208984375,-274213.68615392,1.0852059125900269,0.0042131348,-0.0028272258236029303,2094962168.4,80,754577984.0
70,-1.1920928955078125e-07,101.75,0.0017,-9.033533243089915,80000,1138,0.2,0.019482421875,-302924.07860743994,1.0952082872390747,0.0043768147,-0.0029241435830044795,1961465324.6,90,993318976.0
78,1.1920928955078125e-07,90.32,0.0017,-9.105612524598836,90000,1146,0.2,0.0182861328125,-282297.55042563996,1.1113108396530151,0.004051418,-0.0022198355728505702,1776079954.4,100,567474560.0
91,0.0,92.23,0.0017,-9.255632765591145,100000,1097,0.2,0.02291259765625,-270271.68532437005,1.1387672424316406,0.00449872,-0.002835413771481399,1857647525.4,120,778055488.0
99,0.0,79.85,0.0017,-9.328571950644255,110000,1107,0.2,0.02320556640625,-259461.30749603003,1.1513034105300903,0.005111647,-0.0031290575154343967,1960179392.4,130,789245184.0
107,0.0,94.32,0.0017,-9.387811766564846,120000,1115,0.2,0.0303955078125,-267565.15805271,1.1616253852844238,0.004866246,-0.0035002900572180806,1896741592.1,140,929942912.0
115,0.0,74.14,0.0017,-9.443984188139439,130000,1122,0.2,0.0211669921875,-226332.25298710997,1.1729788780212402,0.0042648064,-0.002675694754907454,1797413056.3,150,809087488.0
128,0.0,85.26,0.0017,-9.560053415596485,140000,1088,0.2,0.00928955078125,-259692.66391793004,1.196130394935608,0.0032443213,-0.0015915230518658064,1946145098.6,170,1032585152.0
137,0.0,84.88,0.0017,-9.626654609292746,150000,1094,0.2,0.01053466796875,-234411.91611188,1.2108451128005981,0.0033375397,-0.0017692716002784437,1711076960.85,180,881913664.0
145,0.0,92.39,0.0017,-9.703106148540973,160000,1101,0.2,0.01307373046875,-255963.11126047,1.226873517036438,0.0036214646,-0.0021632183117617386,1691408336.75,190,1010376320.0
153,0.0,81.74,0.0017,-9.778908536583184,170000,1106,0.2,0.03807373046875,-239919.96297439002,1.2425131797790527,0.0055436436,-0.003710398366456502,1694184810.1,200,947395008.0
162,0.0,92.11,0.0017,-9.853308875858783,180000,1111,0.2,0.0255126953125,-255263.77977022,1.2567849159240723,0.004524163,-0.002935120870643004,1828295209.6,210,977543936.0
174,0.0,78.92,0.0017,-10.008596801757813,190000,1087,0.2,0.019580078125,-202566.21863185003,1.2904199361801147,0.0041185045,-0.0026152766215091104,1628689018.05,230,914666176.0
182,0.0,82.55,0.0017,-10.08182411044836,200000,1092,0.2,0.0193115234375,-215812.50530214998,1.3059825897216797,0.0041705603,-0.002548057678541227,1694535954.6,240,734236160.0
