time/time_elapsed,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate
65,815.2695922851562,4544.3603515625,161.1,153,1.1760746240615845,2474,19.071393966674805,-530978.37482405,10000,40,0.0064
131,644.0641479492188,1952.72216796875,277.0923076923077,151,0.3252568244934082,4974,6.885581016540527,-355226.94589152315,20000,65,0.0064
198,494.6331481933594,469.5662841796875,289.59,151,-0.9209734797477722,7474,5.32384729385376,-171593.61450949003,30000,107,0.0064
265,320.37847900390625,47.18919372558594,266.5,150,1.2962608337402344,9974,5.585309028625488,-86858.83486606,40000,155,0.0064
331,571.0469970703125,-434.0008850097656,207.51,150,1.098248839378357,12474,7.117401123046875,-88483.31704543,50000,184,0.0064
397,385.3796691894531,-1138.3372802734375,279.32,150,-0.7647463083267212,14974,6.266347885131836,-85504.98814650998,60000,192,0.0064
466,300.0225524902344,-726.0147094726562,392.04,150,-0.1408015489578247,17474,4.4505414962768555,-87159.91679942001,70000,205,0.0064
535,270.6973876953125,-284.25958251953125,474.16,149,0.22876444458961487,19974,3.2799837589263916,-83849.99795091001,80000,217,0.0064
602,255.08798217773438,-269.57269287109375,557.24,149,0.3990936577320099,22474,3.913848400115967,-68582.18784539,90000,233,0.0064
670,187.90283203125,199.21388244628906,608.53,149,1.01528000831604,24974,2.9256515502929688,-34913.74666428,100000,252,0.0064
738,294.69085693359375,139.43887329101562,669.92,149,0.19609391689300537,27474,2.4371633529663086,-20442.615485340004,110000,266,0.0064
805,88.86933135986328,77.32952880859375,752.41,148,0.11304245889186859,29974,1.8654494285583496,-30840.30778486,120000,278,0.0064
873,120.56005096435547,85.51557159423828,469.16,148,0.6770005226135254,32474,2.1196346282958984,5382.754783729997,130000,322,0.0064
942,287.9742431640625,-318.7110900878906,507.35,148,0.5874434113502502,34974,1.7350983619689941,-5766.777963120001,140000,331,0.0064
1010,50.495052337646484,71.9473648071289,524.84,148,0.17584732174873352,37474,1.538446307182312,-6051.48435809,150000,350,0.0064
1077,69.0631103515625,-829.8717651367188,354.17,148,1.4020287990570068,39974,2.377526044845581,82951.34672329998,160000,411,0.0064
1145,284.0123596191406,-903.6602783203125,49.0,148,-0.25792375206947327,42474,3.0497446060180664,130712.02556354001,170000,582,0.0064
1213,352.7317810058594,-1447.9677734375,87.13,148,0.3918008506298065,44974,5.902950286865234,122485.91801934998,180000,673,0.0064
1281,488.8285827636719,-2432.868896484375,169.57,148,-1.789415955543518,47474,13.626068115234375,105532.90719903,190000,730,0.0064
1350,1680.874267578125,-3845.242919921875,259.64,148,-1.6817418336868286,49974,23.586822509765625,79544.76186246,200000,748,0.0064
1418,1710.759521484375,-4519.9912109375,313.95,148,2.6134743690490723,52474,26.24857521057129,57499.71470997,210000,773,0.0064
1487,1640.6383056640625,-5544.1357421875,320.53,147,-1.9165719747543335,54974,27.735790252685547,39143.96601953999,220000,793,0.0064
1557,2491.903076171875,-8622.5185546875,363.01,147,-0.03568148612976074,57474,25.719221115112305,33163.69280784,230000,839,0.0064
1627,1461.031494140625,-8330.7490234375,61.45,147,-1.5443191528320312,59974,26.00574493408203,110693.86554058999,240000,986,0.0064
1697,1080.1552734375,-5438.4365234375,114.43,147,0.1254456639289856,62474,25.879491806030273,113747.04359299,250000,1065,0.0064
1767,1118.6490478515625,-6592.107421875,69.95,147,2.773367404937744,64974,18.040910720825195,125571.35130378,260000,1175,0.0064
1840,1540.8919677734375,-7268.9560546875,112.41,146,1.0550217628479004,67474,13.312328338623047,89577.41022356998,270000,1274,0.0064
1914,1734.760986328125,-7488.595703125,43.28,146,0.19992423057556152,69974,19.681438446044922,119944.59715925,280000,1481,0.0064
1986,1785.137451171875,-6918.48583984375,77.04,145,4.304951190948486,72474,25.783496856689453,117707.55357842,290000,1590,0.0064
2059,1935.951904296875,-8380.525390625,99.2,145,-0.4246480464935303,74974,25.962162017822266,106366.60051412,300000,1681,0.0064
2134,1822.7247314453125,-9323.5986328125,38.72,145,1.676666498184204,77474,29.702892303466797,133092.28767633002,310000,1862,0.0064
2208,1981.4716796875,-14706.8720703125,39.74,144,1.5815229415893555,79974,34.133567810058594,132062.78178448998,320000,2085,0.0064
2285,2082.1181640625,-14420.3544921875,56.68,144,1.2504502534866333,82474,38.244293212890625,127312.93591969999,330000,2296,0.0064
2360,2174.283935546875,-23303.17578125,40.23,144,-1.6926418542861938,84974,50.008480072021484,128757.75895047002,340000,2523,0.0064
2437,1496.956787109375,-23240.9453125,35.05,143,0.8679496049880981,87474,46.87211990356445,133281.8043039,350000,2731,0.0064
2516,1431.9759521484375,-25568.21484375,33.78,143,1.7786604166030884,89974,55.70660400390625,131162.94854362,360000,2977,0.0064
2594,1288.2017822265625,-27310.150390625,35.37,142,4.6558918952941895,92474,51.674102783203125,132266.15811517,370000,3243,0.0064
2670,1529.983154296875,-33372.48828125,32.37,142,1.1404139995574951,94974,54.78092956542969,129093.25542251002,380000,3546,0.0064
2747,1217.9688720703125,-32006.447265625,27.02,141,-0.8653961420059204,97474,63.6275520324707,132029.45533541,390000,3864,0.0064
2824,1573.3428955078125,-34712.15234375,34.96,141,1.3083360195159912,99974,68.46983337402344,131059.28821501002,400000,4175,0.0064
2902,1497.8787841796875,-34376.0078125,36.38,141,3.9114279747009277,102474,73.84016418457031,129504.55857263,410000,4458,0.0064
2979,1615.9786376953125,-36888.01171875,23.68,140,2.121487617492676,104974,76.7610855102539,133520.78720294,420000,4786,0.0064
