train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/n_updates,train/policy_objective,train/kl_divergence_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,train/value_loss,train/std,train/is_line_search_success
0.0013,-483011.86066040915,10000,4.76837158203125e-07,1,0.04230356588959694,0.00615807855501771,214.0681818181818,5,1722,1944404549.0,1.0090223550796509,1.0
0.0013,-420676.111804625,20000,0.0,2,0.02925257571041584,0.004997604992240667,203.15625,11,1735,1474798151.0,1.0051288604736328,1.0
0.0013,-372517.82596102,30000,-1.1920928955078125e-07,3,0.037501994520425797,0.008228165097534657,194.98,17,1739,1410600149.7,1.0107898712158203,1.0
0.0013,-346621.23330868,40000,-1.1920928955078125e-07,4,0.03875746950507164,0.007466512266546488,194.56,22,1743,1284734207.6,1.0022859573364258,1.0
0.0013,-296727.72332551,50000,0.0,6,0.018758296966552734,0.00398228270933032,183.2,30,1665,1103462220.8,0.9854422211647034,1.0
0.0013,-262036.06121483003,60000,0.0,7,0.024865729734301567,0.007976111024618149,162.29,35,1679,1149985880.0,0.9831560254096985,1.0
0.0013,-299410.7664127,70000,5.960464477539063e-08,8,0.03560323640704155,0.004978558514267206,177.0,41,1690,1450516562.9,0.9878426194190979,1.0
0.0013,-292776.02794688,80000,5.960464477539063e-08,9,0.03125560283660889,0.004743032623082399,186.47,47,1698,919699109.5,0.9664573073387146,1.0
0.0013,-220044.25766394,90000,0.0,10,0.030635181814432144,0.006101181730628014,147.23,52,1705,1063069756.4,0.9587286114692688,1.0
0.0013,-244489.56154627996,100000,5.960464477539063e-08,12,0.028968993574380875,0.005793020594865084,169.6,59,1670,995084160.7,0.9646547436714172,1.0
0.0013,-237670.03957745002,110000,-1.1920928955078125e-07,13,0.03077016957104206,0.006022536661475897,176.14,65,1677,925822487.15,0.9652385711669922,1.0
