train/policy_loss,rollout/ep_len_mean,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/value_loss,time/fps,train/learning_rate,train/n_updates,time/time_elapsed,train/std,time/total_timesteps
-165182.453125,77.52,-12.772089004516602,-317882.36191539996,8.761882781982422e-06,263538736.0,1893,0.0001,124,5,1.0001777410507202,10000
-227861.171875,89.85,-12.774782180786133,-348118.32842647994,1.8477439880371094e-06,853474944.0,1898,0.0001,249,10,1.0004514455795288,20000
-182716.21875,66.38,-12.775732040405273,-258039.62647628,-4.76837158203125e-07,687838976.0,1900,0.0001,374,15,1.0005825757980347,30000
-404955.84375,77.56,-12.774499893188477,-280113.1284216,-2.1457672119140625e-06,2053662720.0,1900,0.0001,499,21,1.0004842281341553,40000
-200417.734375,69.23,-12.777190208435059,-256603.80526677004,0.0,760514432.0,1900,0.0001,624,26,1.0008496046066284,50000
-284282.5625,67.79,-12.772727966308594,-239469.53463783997,1.7881393432617188e-07,974465024.0,1899,0.0001,749,31,1.0002609491348267,60000
-206011.78125,75.73,-12.771183967590332,-262101.21537724,4.76837158203125e-07,466138560.0,1898,0.0001,874,36,1.0001168251037598,70000
-143019.53125,68.16,-12.769440650939941,-241899.26599212002,0.0,291430688.0,1891,0.0001,999,42,0.9998362064361572,80000
-168309.53125,72.47,-12.76634407043457,-243405.09399081004,0.0,306022016.0,1892,0.0001,1124,47,0.9995710849761963,90000
-219867.25,71.38,-12.758636474609375,-243771.10945788998,1.1920928955078125e-07,598857024.0,1892,0.0001,1249,52,0.9987035393714905,100000
-141114.375,69.75,-12.760810852050781,-238671.07561486997,-1.1920928955078125e-07,197904544.0,1892,0.0001,1374,58,0.9989226460456848,110000
-310898.40625,53.8,-12.759759902954102,-200983.36057462002,5.960464477539063e-08,1433669888.0,1892,0.0001,1499,63,0.9988511204719543,120000
-235986.125,69.52,-12.762269020080566,-228427.82979716998,0.0,846038656.0,1891,0.0001,1624,68,0.9991176128387451,130000
-345758.875,69.65,-12.76194953918457,-223828.29329635997,-1.1920928955078125e-07,1378943872.0,1891,0.0001,1749,74,0.9990768432617188,140000
-232872.953125,52.46,-12.75904655456543,-180464.63155405995,5.960464477539063e-08,1092790912.0,1892,0.0001,1874,79,0.9987916946411133,150000
-173508.390625,63.43,-12.762720108032227,-203481.42064504005,-1.1920928955078125e-07,256795312.0,1892,0.0001,1999,84,0.9991456270217896,160000
-292332.90625,60.07,-12.760461807250977,-207276.77604891,-1.1920928955078125e-07,1489095552.0,1893,0.0001,2124,89,0.9989252090454102,170000
-160312.78125,60.32,-12.758460998535156,-187976.85248935,5.960464477539063e-08,887463040.0,1893,0.0001,2249,95,0.9987141489982605,180000
-201418.3125,65.22,-12.753630638122559,-207497.9701534,0.0,683267136.0,1894,0.0001,2374,100,0.9981400370597839,190000
-261185.953125,64.21,-12.75304126739502,-188283.97009664998,0.0,1137022720.0,1894,0.0001,2499,105,0.9981514811515808,200000
-163679.671875,56.77,-12.755339622497559,-188588.98573763997,0.0,560859584.0,1892,0.0001,2624,110,0.9983441829681396,210000
-127123.734375,63.09,-12.755578994750977,-197777.53889095996,5.960464477539063e-08,584803392.0,1891,0.0001,2749,116,0.9984605312347412,220000
-382745.84375,58.06,-12.750617027282715,-177101.64140357,0.0,1491528064.0,1891,0.0001,2874,121,0.9978873133659363,230000
-208736.03125,57.54,-12.750787734985352,-175600.98597712998,-1.1920928955078125e-07,932774080.0,1887,0.0001,2999,127,0.9978377819061279,240000
-118019.25,63.75,-12.746485710144043,-195495.53392150998,0.0,166076736.0,1884,0.0001,3124,132,0.9974064230918884,250000
-261336.125,63.19,-12.747466087341309,-192803.26136057003,0.0,1019192704.0,1879,0.0001,3249,138,0.9974177479743958,260000
-107217.1484375,53.52,-12.748252868652344,-173643.01799293997,1.1920928955078125e-07,156183504.0,1879,0.0001,3374,143,0.9976115822792053,270000
-172598.96875,57.01,-12.74772834777832,-180982.03004391998,-1.1920928955078125e-07,419912704.0,1879,0.0001,3499,148,0.9975121021270752,280000
-269210.71875,57.45,-12.745471954345703,-184133.22447214,0.0,1112799488.0,1876,0.0001,3624,154,0.9972739815711975,290000
-176633.28125,63.84,-12.744464874267578,-184955.18113757993,1.1920928955078125e-07,665913280.0,1875,0.0001,3749,159,0.9971632361412048,300000
-197724.34375,61.89,-12.746814727783203,-186884.34221884,0.0,636150272.0,1874,0.0001,3874,165,0.9974178671836853,310000
-153396.765625,53.95,-12.746159553527832,-164320.59927572,0.0,241069472.0,1873,0.0001,3999,170,0.9973877668380737,320000
-222906.578125,57.61,-12.744255065917969,-179605.94469294001,0.0,876379008.0,1874,0.0001,4124,176,0.9971354603767395,330000
-333638.03125,66.56,-12.74146842956543,-188040.38401256996,0.0,1293062272.0,1874,0.0001,4249,181,0.9968456625938416,340000
-285474.625,65.25,-12.74014949798584,-183455.65574182998,0.0,1400708736.0,1874,0.0001,4374,186,0.9967206120491028,350000
