time/fps,train/entropy_loss,train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/std,rollout/ep_len_mean,train/policy_loss,train/learning_rate
2515,-12.776445388793945,124,3,-9.5367431640625e-06,10000,1367017216.0,-214832.76063733,1.0006946325302124,30.68,-330071.25,0.0001
2472,-12.780357360839844,249,8,-5.960464477539062e-07,20000,1677141888.0,-229584.95520010998,1.0010571479797363,31.55,-413687.75,0.0001
2457,-12.775310516357422,374,12,5.960464477539063e-08,30000,1913042944.0,-207997.32031271997,1.0005052089691162,30.44,-263973.0625,0.0001
2456,-12.770275115966797,499,16,0.0,40000,2725434624.0,-199833.08941589002,1.0000269412994385,29.04,-523215.25,0.0001
2449,-12.771269798278809,624,20,-5.960464477539062e-07,50000,1651997824.0,-192508.47471133005,1.0001375675201416,27.49,-403116.71875,0.0001
2444,-12.765631675720215,749,24,0.0,60000,754009408.0,-204426.21841083,0.9994726181030273,28.03,-273274.8125,0.0001
2444,-12.762153625488281,874,28,1.7881393432617188e-07,70000,1536298624.0,-197508.52153578,0.9991112947463989,28.75,-374545.5625,0.0001
2439,-12.758862495422363,999,32,-1.1920928955078125e-07,80000,907216768.0,-196570.41367523998,0.9986944198608398,27.79,-310591.46875,0.0001
2434,-12.754133224487305,1124,36,1.1920928955078125e-07,90000,1924731136.0,-201478.25731173,0.9982027411460876,30.67,-314490.3125,0.0001
2431,-12.748376846313477,1249,41,0.0,100000,1904199424.0,-182888.32348038992,0.9975704550743103,26.13,-407738.09375,0.0001
2427,-12.74948787689209,1374,45,-1.1920928955078125e-07,110000,1431291648.0,-188142.56527774,0.9976610541343689,29.3,-335553.4375,0.0001
2422,-12.74995231628418,1499,49,0.0,120000,1269769600.0,-190092.3108695,0.9976983666419983,27.45,-392432.75,0.0001
2420,-12.74699592590332,1624,53,-1.1920928955078125e-07,130000,1662317312.0,-212863.12134078002,0.99740070104599,34.37,-293051.75,0.0001
2416,-12.746679306030273,1749,57,0.0,140000,2799803904.0,-207407.36657215003,0.9973971247673035,31.46,-563732.125,0.0001
2412,-12.742308616638184,1874,62,0.0,150000,1890690048.0,-185887.21596374002,0.9969377517700195,31.08,-253459.046875,0.0001
2410,-12.741057395935059,1999,66,0.0,160000,2308296192.0,-179650.61570029004,0.9967641830444336,29.09,-419767.6875,0.0001
2395,-12.738617897033691,2124,70,0.0,170000,1623404288.0,-176105.46269933,0.9964556097984314,27.32,-431703.0625,0.0001
2391,-12.73563289642334,2249,75,-1.1920928955078125e-07,180000,1490368128.0,-194750.44216512996,0.9962061643600464,30.96,-342550.15625,0.0001
2388,-12.730280876159668,2374,79,0.0,190000,2512142080.0,-212676.82512747002,0.99560546875,31.53,-486479.40625,0.0001
2387,-12.730859756469727,2499,83,0.0,200000,1124974080.0,-195388.05298189996,0.995696485042572,30.55,-251321.0,0.0001
2383,-12.72563362121582,2624,88,0.0,210000,1748791296.0,-199890.57834585998,0.9950253963470459,34.36,-433229.15625,0.0001
2369,-12.727996826171875,2749,92,0.0,220000,2578844928.0,-181757.83883959003,0.9953501224517822,32.98,-513229.3125,0.0001
2348,-12.722362518310547,2874,97,0.0,230000,1626466560.0,-170863.66481824004,0.9947360157966614,36.51,-389168.03125,0.0001
