time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/iterations,rollout/return_std,train/step_size,train/delta_std
2083,-29924872.149448,4,10000,1000.0,,,,,
2213,-23614924.543922,9,20000,804.8,,,,,
2266,-25914270.450902626,13,30000,878.0,,,,,
2281,-26702531.8753881,17,40000,902.4,,,,,
2261,-27469518.100110848,22,50000,924.9230769230769,,,,,
2237,,26,60000,,0.0018,0,10103784.0,2.2268884652953957e-11,0.05
2220,-29769489.773256,31,70000,1000.0,,,,,
2203,-29847565.960461996,36,80000,1000.0,,,,,
2170,-29887038.147352375,41,90000,1000.0,,,,,
2152,-29794836.5061271,46,100000,1000.0,,,,,
2146,-29780354.090323847,51,110000,1000.0,,,,,
2142,,56,120000,,0.0018,1,7401150.0,3.04006785023514e-11,0.05
2139,-30005443.921269666,60,130000,1000.0,,,,,
2136,-29931399.492632598,65,140000,1000.0,,,,,
2125,-29902639.602044,70,150000,1000.0,,,,,
2116,-29925568.426632397,75,160000,1000.0,,,,,
2114,-29890100.42828577,80,170000,1000.0,,,,,
2114,,85,180000,,0.0018,2,7254571.5,3.101492326851307e-11,0.05
2112,-22477811.776643,89,190000,753.25,,,,,
2110,-24909395.537604835,94,200000,835.5,,,,,
2109,-23966034.891142,99,210000,803.6,,,,,
2109,-23061122.930756845,104,220000,775.1538461538462,,,,,
2108,-29765230.0,109,230000,1000.0,0.0018,3,13254807.0,1.6974973510164304e-11,0.05
2108,-29872856.666666668,113,240000,1000.0,,,,,
2106,-25540685.54638586,118,250000,860.0,,,,,
2106,-26520728.593386114,123,260000,891.1111111111111,,,,,
2105,-25267405.18003654,128,270000,849.0769230769231,,,,,
2105,-25883178.322171,132,280000,869.2,,,,,
2104,-29916909.8614655,137,290000,1000.0,0.0018,4,10081572.0,2.231794783702501e-11,0.05
2092,-24015637.750814997,143,300000,811.8,,,,,
2090,-21039173.8754075,148,310000,708.0,,,,,
2089,-22511135.837258834,153,320000,756.6666666666666,,,,,
2083,-24004852.563607737,158,330000,805.3333333333334,,,,,
2077,-29954131.578624,163,340000,1000.0,0.0018,5,11911601.0,1.8889147190837008e-11,0.05
2076,-29952675.182236,168,350000,1000.0,,,,,
2070,-29988745.12149067,173,360000,1000.0,,,,,
2059,-26997179.196621697,179,370000,902.3,,,,,
2051,-27406607.553891998,185,380000,918.5833333333334,,,,,
2046,-27901077.94131973,190,390000,934.8666666666667,,,,,
2041,-15299440.0,195,400000,518.5,0.0018,6,7416973.5,3.033582413047853e-11,0.05
2038,-24119996.585727,201,410000,807.4,,,,,
2034,-22579285.366079375,206,420000,755.375,,,,,
2026,-24397395.740114912,212,430000,822.0909090909091,,,,,
2024,-25255785.925730847,217,440000,849.4615384615385,,,,,
