time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,train/step_size
4,10000,-19861613.667737667,2018,670.3333333333334,,,,,
9,20000,-19887051.71587283,2090,669.6666666666666,,,,,
14,30000,-20938892.5772174,2114,705.0,,,,,
19,40000,-22449750.14728275,2098,754.1666666666666,,,,,
23,50000,-23957293.2667316,2104,803.3333333333334,,,,,
28,60000,-29957252.928299,2108,1000.0,0,0.05,11965737.0,0.0018,1.8803689508239962e-11
33,70000,-29897294.52870275,2104,1000.0,,,,,
37,80000,-29924162.43467133,2106,1000.0,,,,,
42,90000,-29855406.61007056,2110,1000.0,,,,,
47,100000,-29895156.131492004,2114,1000.0,,,,,
51,110000,-27956132.6845116,2116,934.1333333333333,,,,,
56,120000,-14909298.332564,2116,504.5,1,0.05,7452323.5,0.0018,3.01919253486993e-11
61,130000,-17121644.788234714,2118,575.7142857142857,,,,,
66,140000,-19973270.301139887,2116,670.0,,,,,
70,150000,-22471043.792843834,2116,752.5,,,,,
75,160000,-23562907.86348814,2116,787.8571428571429,,,,,
80,170000,-15011201.895458,2116,504.0,2,0.05,12035652.0,0.0018,1.869445917512813e-11
85,180000,-17956153.767299797,2116,603.8,,,,,
89,190000,-22444334.588959,2117,752.375,,,,,
94,200000,-23957527.4943871,2118,801.9,,,,,
99,210000,-23562508.9072985,2119,787.7857142857143,,,,,
103,220000,-7623149.514891501,2120,258.0,3,0.05,13321155.0,0.0018,1.6890426557392146e-11
108,230000,-17206848.708079144,2121,576.0,,,,,
113,240000,-20044207.030735776,2122,670.2222222222222,,,,,
117,250000,-22531183.064804748,2122,752.6666666666666,,,,,
122,260000,-23555991.377009995,2122,788.0,,,,,
127,270000,-29962380.748932,2122,1000.0,4,0.05,11995130.0,0.0018,1.8757613517994542e-11
131,280000,-22428874.787715252,2122,753.0,,,,,
136,290000,-19972141.739754222,2122,670.3333333333334,,,,,
141,300000,-21808120.76731536,2115,730.2727272727273,,,,,
146,310000,-23577394.98345607,2111,788.0714285714286,,,,,
152,320000,,2105,,5,0.05,12014115.0,0.0018,1.872797056323705e-11
156,330000,-29960479.110880334,2102,1000.0,,,,,
162,340000,-29965533.672980405,2097,1000.0,,,,,
166,350000,-29988031.084223624,2096,1000.0,,,,,
172,360000,-29983309.881860197,2092,1000.0,,,,,
177,370000,-27865138.455723643,2090,929.9285714285714,,,,,
182,380000,-30065888.016764,2085,1000.0,6,0.05,10182294.0,0.0018,2.2097181723301773e-11
187,390000,-29943929.0671635,2083,1000.0,,,,,
192,400000,-29936820.59684317,2080,1000.0,,,,,
197,410000,-26957364.975587,2078,900.7,,,,,
202,420000,-25389369.893034153,2075,848.3846153846154,,,,,
207,430000,,2072,,7,0.05,10150295.0,0.0018,2.2166843013926574e-11
212,440000,-29991333.080855,2067,1000.0,,,,,
218,450000,-29934386.8715258,2064,1000.0,,,,,
222,460000,-29943604.812232,2063,1000.0,,,,,
