time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,time/fps,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/episodes
52,-983299.041297677,100.09375,27.214277267456055,-20.57684326171875,34066596.0,190,16038.5400390625,2474,10000,0.0055,96
105,-136471.63570068998,82.71,45.0065803527832,-5.848276138305664,19832660.0,188,12964.876953125,4974,20000,0.0055,205
159,-148793.12478372,143.07,45.12357711791992,5.368091583251953,49384072.0,188,9799.2978515625,7474,30000,0.0055,273
211,-153304.55364738998,177.89,37.63544845581055,2.6498074531555176,9805976.0,188,6591.0810546875,9974,40000,0.0055,318
265,-222071.87570672,215.3,32.45309829711914,2.352126121520996,68515880.0,188,7189.935546875,12474,50000,0.0055,365
317,-269525.72638731,272.27,22.972198486328125,0.21279340982437134,40030944.0,189,3228.474365234375,14974,60000,0.0055,385
367,-550395.7709057899,267.45,53.47123336791992,14.327442169189453,16122903.0,190,11864.8359375,17474,70000,0.0055,436
420,-496588.27713127993,267.15,21.63887596130371,-1.8107006549835205,20561772.0,190,-1242.655517578125,19974,80000,0.0055,468
475,-489976.36312136,252.83,52.540061950683594,-15.952468872070312,26094434.0,189,8125.99755859375,22474,90000,0.0055,499
528,-237598.72288216,286.32,22.92331314086914,1.6706044673919678,10699630.0,189,-3751.366943359375,24974,100000,0.0055,541
580,-322300.55242356,351.57,21.31496810913086,2.703646421432495,5507011.5,189,1680.5054931640625,27474,110000,0.0055,556
631,-368799.51647891005,383.03,18.555675506591797,-0.09791219234466553,9975922.0,190,9.103431701660156,29974,120000,0.0055,582
682,-397978.81214204995,430.9,13.480889320373535,4.638917922973633,4547496.0,190,1372.081787109375,32474,130000,0.0055,590
735,-541727.9665137599,463.49,15.842727661132812,10.956101417541504,15069690.0,190,454.6016845703125,34974,140000,0.0055,611
787,-538649.4782672599,482.35,13.762057304382324,1.2007782459259033,24918428.0,190,5575.13330078125,37474,150000,0.0055,643
841,-500580.02314925,506.96,23.72629165649414,12.219005584716797,4088637.75,190,5688.322265625,39974,160000,0.0055,655
892,-481963.36819560995,534.21,9.408049583435059,-16.772289276123047,2414699.5,190,-2144.6083984375,42474,170000,0.0055,671
