train/explained_variance,train/std,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,time/total_timesteps,train/n_updates,train/kl_divergence_loss
-2.1457672119140625e-06,1.00199556350708,0.060303863137960434,90.93,0.0013,4340562864.0,-351853.32078024,4022,2,1.0,10000,1,0.005709157325327396
0.0,1.005470871925354,0.05388960987329483,73.59,0.0013,3244951336.8,-249337.46111404002,3968,5,1.0,20000,2,0.004622703418135643
0.0,1.0033166408538818,0.0424012765288353,59.95,0.0013,3074337751.6,-192229.20561718,3946,7,1.0,30000,3,0.004585241433233023
0.0,0.9976761937141418,0.033031269907951355,53.53,0.0013,2821922650.8,-176080.41000611,3931,10,1.0,40000,4,0.0039224773645401
0.0,0.9890555143356323,0.04525546729564667,61.83,0.0013,2887809235.6,-199122.32360258003,3719,13,1.0,50000,6,0.0054867020808160305
0.0,0.9807873964309692,0.04272264242172241,55.59,0.0013,2629677005.2,-170050.33612895999,3746,16,1.0,60000,7,0.005452255252748728
0.0,0.9825164079666138,0.04255657270550728,59.18,0.0013,2473158251.6,-174156.26865425997,3766,18,1.0,70000,8,0.00498529989272356
-1.1920928955078125e-07,0.9670403599739075,0.04955992102622986,61.77,0.0013,2462849209.0,-168218.25101176,3780,21,1.0,80000,9,0.005207439418882132
-1.1920928955078125e-07,0.9659039378166199,0.052151136100292206,60.53,0.0013,2250717796.0,-163823.09828062,3791,23,1.0,90000,10,0.0055356635712087154
0.0,0.9658493399620056,0.049489401280879974,70.42,0.0013,2156327864.8,-176279.02638955,3706,26,1.0,100000,12,0.005323351826518774
-1.1920928955078125e-07,0.9600809812545776,0.04530951753258705,72.94,0.0013,2098224543.2,-178989.41457266003,3722,29,1.0,110000,13,0.004715591669082642
1.1920928955078125e-07,0.9532085061073303,0.05173443257808685,80.29,0.0013,2056810444.0,-186569.90668542002,3735,32,1.0,120000,14,0.0049847932532429695
0.0,0.9603594541549683,0.052447982132434845,69.91,0.0013,1737093139.0,-167909.43604403004,3748,34,1.0,130000,15,0.005088932812213898
0.0,0.9571387767791748,0.05281303822994232,81.45,0.0013,1721840129.7,-171343.56070776,3686,37,1.0,140000,17,0.005346347112208605
1.1920928955078125e-07,0.9611465930938721,0.05282913148403168,79.93,0.0013,1465920401.6,-156231.47962085,3692,40,1.0,150000,18,0.005627219099551439
-1.1920928955078125e-07,0.9602178931236267,0.04917655885219574,90.12,0.0013,1603773739.9,-168821.79591360997,3697,43,1.0,160000,19,0.005748911295086145
0.0,0.9651020765304565,0.05307880789041519,99.29,0.0013,1481197820.4,-181996.60018219,3702,45,1.0,170000,20,0.006098550278693438
0.0,0.9698079228401184,0.057396300137043,108.21,0.0013,1420249192.6,-175593.33149532,3706,48,1.0,180000,21,0.006489900406450033
-1.1920928955078125e-07,0.9603599905967712,0.05415448918938637,119.66,0.0013,1146781722.1,-188565.79484670996,3659,51,1.0,190000,23,0.006262610200792551
5.960464477539063e-08,0.9554488062858582,0.058467790484428406,143.59,0.0013,1055745628.1,-213406.43119933002,3667,54,1.0,200000,24,0.006717699114233255
5.960464477539063e-08,0.9520034790039062,0.05326871573925018,164.0,0.0013,965230909.9,-200520.08230423005,3673,57,1.0,210000,25,0.006228715181350708
-1.1920928955078125e-07,0.9494368433952332,0.05827784538269043,198.75,0.0013,737816310.4,-206440.88514713,3681,59,1.0,220000,26,0.0067952945828437805
0.0,0.9412990212440491,0.056170765310525894,228.72,0.0013,594411309.9,-210415.69802599,3648,63,1.0,230000,28,0.007056817412376404
0.0,0.9263994693756104,0.0523492693901062,275.13,0.0013,379185465.25,-229034.14454281997,3655,65,1.0,240000,29,0.007165176328271627
0.0,0.917535126209259,0.05339289456605911,336.65,0.0013,298414159.0875,-246823.3613714,3663,68,1.0,250000,30,0.006630237214267254
5.960464477539063e-08,0.9163798093795776,0.05396532267332077,389.8,0.0013,127965095.45,-249471.38324289,3669,70,1.0,260000,31,0.0071891676634550095
0.0,0.9179342985153198,0.052635807543992996,454.7,0.0013,307388123.775,-245978.97603827,3676,73,1.0,270000,32,0.008278189226984978
0.0,0.9125867486000061,0.0435616597533226,517.78,0.0013,88633681.453125,-242965.52181845,3648,76,1.0,280000,34,0.007329568266868591
0.0,0.9014902114868164,0.05590067803859711,591.51,0.0013,30018547.2625,-239167.97677252,3656,79,1.0,290000,35,0.007453459780663252
0.0,0.8946211934089661,0.04895292595028877,669.12,0.0013,34232673.22890625,-227243.85286563,3662,81,1.0,300000,36,0.007479052525013685
0.0,0.892044723033905,0.20493453741073608,713.96,0.0013,61153405.27421875,-192562.63403649,3666,84,1.0,310000,37,0.007873432710766792
0.0,0.892907440662384,0.05252640321850777,746.37,0.0013,220965834.8125,-178652.81674314998,3641,87,1.0,320000,39,0.008358674123883247
0.0,0.8933308720588684,0.048248715698719025,672.41,0.0013,507597706.625,-136444.99591688,3647,90,1.0,330000,40,0.008554081432521343
0.0,0.8928864598274231,0.0480588898062706,655.64,0.0013,210193971.403125,-125035.87558041001,3639,93,1.0,340000,41,0.009085391648113728
0.0,0.8887062072753906,0.058775998651981354,629.81,0.0013,81786435.94453125,-115531.84414465001,3621,96,1.0,350000,42,0.009260227903723717
0.0,0.8906927108764648,0.05283922702074051,609.16,0.0013,67925777.68125,-115768.06444767,3614,99,1.0,360000,43,0.008262401446700096
-1.1920928955078125e-07,0.8945715427398682,0.03452843055129051,626.97,0.0013,405196086.825,-129356.16318995997,3553,104,1.0,370000,45,0.008541487157344818
0.0,0.8901059627532959,0.05755168944597244,625.83,0.0013,167505616.63125,-137663.94994601,3540,107,1.0,380000,46,0.008192128501832485
0.0,0.8854151964187622,0.04318293556571007,673.98,0.0013,31500477.018945314,-134788.03809569,3537,110,1.0,390000,47,0.009174653328955173
0.0,0.8816826343536377,0.03800560161471367,751.44,0.0013,14489856.548242187,-139627.54368248998,3528,113,1.0,400000,48,0.0062691764906048775
0.0,0.8756135702133179,0.044392816722393036,798.02,0.0013,3001323.135546875,-117053.83582506001,3506,116,1.0,410000,50,0.008505184203386307
